metrics;baseline,enc:gcn_bgrl,pred:mlp_mean;baseline,enc:gcn_bgrl,pred:mlp;bgrl,enc:gcn_bgrl,pred:mlp,random_mean;bgrl,enc:gcn_bgrl,pred:mlp,random;bgrl,enc:gcn_bgrl,pred:mlp,deg_mean;bgrl,enc:gcn_bgrl,pred:mlp,deg;bgrl,enc:gcn_bgrl,pred:mlp,evc_mean;bgrl,enc:gcn_bgrl,pred:mlp,evc;bgrl,enc:gcn_bgrl,pred:mlp,pr_mean;bgrl,enc:gcn_bgrl,pred:mlp,pr;bgrl,enc:gcn_bgrl,pred:mlp,scom_mean;bgrl,enc:gcn_bgrl,pred:mlp,scom;leiden_prob_pred_mean;leiden_prob_pred;bgrl,enc:gcn_bgrl,pred:mlp,sbm_fast+random_mean;bgrl,enc:gcn_bgrl,pred:mlp,sbm_fast+random;bgrl,enc:gcn_bgrl,pred:mlp,sbm_fast_cheat+random_mean;bgrl,enc:gcn_bgrl,pred:mlp,sbm_fast_cheat+random;grace,enc:gcn_bgrl,pred:mlp,random_mean;grace,enc:gcn_bgrl,pred:mlp,random;grace,enc:gcn_bgrl,pred:mlp,deg_mean;grace,enc:gcn_bgrl,pred:mlp,deg;grace,enc:gcn_bgrl,pred:mlp,evc_mean;grace,enc:gcn_bgrl,pred:mlp,evc;grace,enc:gcn_bgrl,pred:mlp,pr_mean;grace,enc:gcn_bgrl,pred:mlp,pr;grace,enc:gcn_bgrl,pred:mlp,scom_mean;grace,enc:gcn_bgrl,pred:mlp,scom;louvain_prob_pred_mean;louvain_prob_pred;grace,enc:gcn_bgrl,pred:mlp,sbm_fast+random_mean;grace,enc:gcn_bgrl,pred:mlp,sbm_fast+random;grace,enc:gcn_bgrl,pred:mlp,sbm_fast_cheat+random_mean;grace,enc:gcn_bgrl,pred:mlp,sbm_fast_cheat+random;lbgrl,enc:gcn_bgrl,pred:mlp,random_mean;lbgrl,enc:gcn_bgrl,pred:mlp,random;lbgrl,enc:gcn_bgrl,pred:mlp,deg_mean;lbgrl,enc:gcn_bgrl,pred:mlp,deg;lbgrl,enc:gcn_bgrl,pred:mlp,evc_mean;lbgrl,enc:gcn_bgrl,pred:mlp,evc;lbgrl,enc:gcn_bgrl,pred:mlp,pr_mean;lbgrl,enc:gcn_bgrl,pred:mlp,pr;lbgrl,enc:gcn_bgrl,pred:mlp,scom_mean;lbgrl,enc:gcn_bgrl,pred:mlp,scom;infomap_prob_pred_mean;infomap_prob_pred;lbgrl,enc:gcn_bgrl,pred:mlp,sbm_fast+random_mean;lbgrl,enc:gcn_bgrl,pred:mlp,sbm_fast+random;lbgrl,enc:gcn_bgrl,pred:mlp,sbm_fast_cheat+random_mean;lbgrl,enc:gcn_bgrl,pred:mlp,sbm_fast_cheat+random;lgrace,enc:gcn_bgrl,pred:mlp,random_mean;lgrace,enc:gcn_bgrl,pred:mlp,random;lgrace,enc:gcn_bgrl,pred:mlp,deg_mean;lgrace,enc:gcn_bgrl,pred:mlp,deg;lgrace,enc:gcn_bgrl,pred:mlp,evc_mean;lgrace,enc:gcn_bgrl,pred:mlp,evc;lgrace,enc:gcn_bgrl,pred:mlp,pr_mean;lgrace,enc:gcn_bgrl,pred:mlp,pr;lgrace,enc:gcn_bgrl,pred:mlp,scom_mean;lgrace,enc:gcn_bgrl,pred:mlp,scom;lgrace,enc:gcn_bgrl,pred:mlp,sbm_fast+random_mean;lgrace,enc:gcn_bgrl,pred:mlp,sbm_fast+random;lgrace,enc:gcn_bgrl,pred:mlp,sbm_fast_cheat+random_mean;lgrace,enc:gcn_bgrl,pred:mlp,sbm_fast_cheat+random
Hits@20;34.08$\pm$4.38;"[0.33093956 0.27797726 0.35397965 0.39108318 0.29832436 0.31298624
 0.33901855 0.331538   0.33303411 0.43925793]";32.14$\pm$2.03;"[0.31328546 0.30670257 0.30760024 0.34350688 0.33871933 0.30251346
 0.32286056 0.32974267 0.28964692 0.35906643]";31.1$\pm$4.22;"[0.30849791 0.30311191 0.27678037 0.37432675 0.22501496 0.28904847
 0.29144225 0.35397965 0.33213645 0.35577499]";33.23$\pm$3.62;"[0.30221424 0.32704967 0.34530221 0.35517654 0.29772591 0.35158588
 0.37253142 0.35427887 0.25074806 0.36594853]";29.46$\pm$3.52;"[0.2716936  0.32824656 0.32914423 0.34320766 0.24745661 0.23668462
 0.27648115 0.30341113 0.28276481 0.32704967]";29.82$\pm$3.01;"[0.25553561 0.32585278 0.2989228  0.33871933 0.25374028 0.27498504
 0.30251346 0.27707959 0.31747457 0.336924  ]";1.79$\pm$0.71;"[0.02333932 0.0095751  0.02842609 0.0230401  0.01017355 0.01915021
 0.02603232 0.01196888 0.00777977 0.01974865]";27.37$\pm$4.36;"[0.23788151 0.2866547  0.30101735 0.32794734 0.18491921 0.22561341
 0.27468582 0.28306403 0.28246559 0.33303411]";26.85$\pm$4.26;"[0.27827648 0.30371035 0.24266906 0.32555356 0.20945542 0.22591263
 0.22591263 0.27438659 0.25583483 0.34320766]";31.85$\pm$2.19;"[0.29952124 0.29982047 0.31328546 0.34260922 0.31986834 0.29323758
 0.33393178 0.30939557 0.30580491 0.36714542]";30.13$\pm$4.71;"[0.31448235 0.23429084 0.29024536 0.28815081 0.25344105 0.29024536
 0.26062238 0.39347696 0.32106523 0.3668462 ]";28.56$\pm$5.03;"[0.22710952 0.31238779 0.28515859 0.34440455 0.24296828 0.23249551
 0.25314183 0.34679832 0.24476361 0.3668462 ]";33.94$\pm$4.42;"[0.29982047 0.32734889 0.31298624 0.40634351 0.30849791 0.30520646
 0.334231   0.35816876 0.30640335 0.4347696 ]";27.99$\pm$3.13;"[0.26421305 0.26780371 0.31837223 0.27528426 0.24356673 0.28366248
 0.23847995 0.30490724 0.26032316 0.34201077]";1.79$\pm$0.71;"[0.02333932 0.0095751  0.02842609 0.0230401  0.01017355 0.01915021
 0.02603232 0.01196888 0.00777977 0.01974865]";31.3$\pm$3.02;"[0.31717534 0.29204069 0.32166367 0.33482944 0.29024536 0.26750449
 0.29772591 0.3192699  0.3043088  0.38479952]";28.82$\pm$3.33;"[0.27618193 0.28605625 0.29144225 0.31777379 0.24057451 0.27049671
 0.27199282 0.29473369 0.26331538 0.36923998]";32.53$\pm$2.83;"[0.28216637 0.29503291 0.33812089 0.35308199 0.34051466 0.31358468
 0.33093956 0.29503291 0.32525434 0.37971275]";28.98$\pm$3.86;"[0.26810293 0.31747457 0.29174147 0.34171155 0.20616397 0.26211849
 0.26690604 0.2935368  0.31478157 0.33512867]";16.93$\pm$4.55;"[0.163076   0.1331538  0.15380012 0.14931179 0.13255536 0.18043088
 0.26600838 0.16756433 0.11071215 0.23608618]";32.97$\pm$2.7;"[0.31687612 0.28755236 0.29982047 0.37163375 0.32944345 0.31956912
 0.34530221 0.31597846 0.33542789 0.37582286]";31.19$\pm$2.97;"[0.3165769  0.29922202 0.34021544 0.3464991  0.29293836 0.27199282
 0.3165769  0.32106523 0.25942549 0.3545781 ]";1.79$\pm$0.71;"[0.02333932 0.0095751  0.02842609 0.0230401  0.01017355 0.01915021
 0.02603232 0.01196888 0.00777977 0.01974865]";27.61$\pm$2.86;"[0.26570916 0.30221424 0.27259126 0.29144225 0.21304608 0.25703172
 0.2758827  0.28186715 0.27289048 0.32854578]";27.44$\pm$4.29;"[0.23608618 0.29862358 0.28725314 0.33722322 0.1956912  0.21244764
 0.27229204 0.30011969 0.29952124 0.30490724]";35.33$\pm$3.47;"[0.35128665 0.32675045 0.31897068 0.38360263 0.3138839  0.31567923
 0.35936565 0.40634351 0.34560144 0.41143028]";30.48$\pm$3.01;"[0.32435667 0.29712747 0.27019749 0.31837223 0.27827648 0.27528426
 0.3016158  0.32315978 0.28515859 0.37492519]";34.82$\pm$3.29;"[0.3165769  0.33632555 0.3818073  0.38150808 0.31178935 0.31867145
 0.34530221 0.3614602  0.31627768 0.41202873]";32.84$\pm$4.25;"[0.26720527 0.35816876 0.35368043 0.35098743 0.24147217 0.33482944
 0.31627768 0.34889288 0.32046679 0.39228007]";33.11$\pm$3.59;"[0.35218432 0.2989228  0.35846798 0.36894075 0.27468582 0.29652902
 0.31837223 0.35876721 0.2989228  0.38479952]";32.69$\pm$3.85;"[0.29832436 0.32226212 0.32764811 0.32944345 0.31478157 0.30879713
 0.28216637 0.34949132 0.30610413 0.42968282]";30.78$\pm$4.15;"[0.29682825 0.29952124 0.2866547  0.36505087 0.23698384 0.31298624
 0.26062238 0.33632555 0.30281269 0.38001197]"
Hits@50;50.94$\pm$3.3;"[0.50777977 0.48653501 0.53710353 0.5502693  0.45900658 0.47905446
 0.50508677 0.48025135 0.5203471  0.56822262]";47.24$\pm$3.24;"[0.41771394 0.47456613 0.46439258 0.54129264 0.45840814 0.45421903
 0.46379414 0.49670856 0.44943148 0.50388989]";47.75$\pm$3.57;"[0.47396768 0.4551167  0.48324357 0.52752843 0.41561939 0.47725913
 0.43297427 0.47785757 0.49371634 0.53770197]";49.0$\pm$3.9;"[0.40155595 0.45212448 0.52363854 0.52483543 0.5        0.48025135
 0.49581089 0.52872531 0.46618791 0.52663076]";44.47$\pm$2.73;"[0.44374626 0.43237582 0.44105326 0.50329144 0.40843806 0.44344704
 0.40754039 0.45601436 0.43536804 0.47546379]";44.67$\pm$2.61;"[0.45272292 0.43417115 0.41861161 0.46588869 0.42190305 0.44853381
 0.4117295  0.43626571 0.48713345 0.49012567]";4.61$\pm$1.08;"[0.05954518 0.04578097 0.0556553  0.04877319 0.0406942  0.04039497
 0.06163974 0.02872531 0.02962298 0.04967086]";43.85$\pm$3.44;"[0.42579294 0.46828247 0.40813884 0.45751047 0.39078396 0.46558947
 0.39018552 0.44254937 0.43327349 0.502693  ]";44.23$\pm$3.44;"[0.42758827 0.44913226 0.43327349 0.48084979 0.39257929 0.40873728
 0.40454817 0.45122681 0.46678636 0.50777977]";48.03$\pm$2.32;"[0.45960503 0.45601436 0.47247157 0.51256732 0.45062837 0.49311789
 0.45990425 0.49371634 0.4850389  0.5203471 ]";46.12$\pm$3.78;"[0.45780969 0.43506882 0.46678636 0.46080192 0.41891083 0.42040694
 0.4198085  0.52812687 0.48563734 0.51885099]";44.36$\pm$3.17;"[0.40095751 0.45601436 0.4198085  0.4877319  0.42339916 0.39497307
 0.46439258 0.45332136 0.44404548 0.49132256]";49.56$\pm$3.68;"[0.46140036 0.47845601 0.50329144 0.55445841 0.45302214 0.49790545
 0.4769599  0.46319569 0.49850389 0.56852184]";46.01$\pm$3.11;"[0.43686415 0.4171155  0.51107121 0.46229803 0.41771394 0.46768402
 0.43806104 0.49640934 0.46169958 0.49222023]";4.61$\pm$1.08;"[0.05954518 0.04578097 0.0556553  0.04877319 0.0406942  0.04039497
 0.06163974 0.02872531 0.02962298 0.04967086]";46.71$\pm$2.09;"[0.46977858 0.44284859 0.46947935 0.49880311 0.4401556  0.46558947
 0.45810892 0.45182525 0.46588869 0.50837822]";45.21$\pm$3.18;"[0.45751047 0.43955715 0.44045482 0.47995212 0.41023339 0.44823459
 0.40694195 0.45152603 0.46259725 0.52363854]";47.72$\pm$2.3;"[0.47366846 0.45152603 0.48084979 0.50448833 0.45451825 0.48533812
 0.44344704 0.48952723 0.46768402 0.52064632]";46.8$\pm$3.25;"[0.44524237 0.45751047 0.48444045 0.46020347 0.44584081 0.44614004
 0.42040694 0.47307002 0.5149611  0.53231598]";34.51$\pm$3.75;"[0.35757032 0.28635548 0.33602633 0.37462597 0.30520646 0.32764811
 0.40724117 0.33572711 0.31986834 0.40035907]";47.59$\pm$2.18;"[0.46918013 0.48294434 0.47396768 0.52393776 0.44284859 0.48055057
 0.44943148 0.48204668 0.46169958 0.49281867]";47.68$\pm$3.35;"[0.4646918  0.4877319  0.45182525 0.54219031 0.43865949 0.4470377
 0.46259725 0.4823459  0.45810892 0.53291442]";4.61$\pm$1.08;"[0.05954518 0.04578097 0.0556553  0.04877319 0.0406942  0.04039497
 0.06163974 0.02872531 0.02962298 0.04967086]";42.21$\pm$3.17;"[0.42399761 0.40544584 0.44195093 0.44584081 0.34560144 0.44374626
 0.39198085 0.42968282 0.43267504 0.45990425]";43.75$\pm$3.31;"[0.45840814 0.44225015 0.40634351 0.47845601 0.38120886 0.43985637
 0.38958707 0.46169958 0.43686415 0.47995212]";51.98$\pm$3.28;"[0.47396768 0.5149611  0.55236385 0.56014363 0.48294434 0.52274087
 0.46918013 0.52812687 0.53201676 0.56193896]";48.52$\pm$2.79;"[0.46499102 0.46768402 0.44763615 0.5529623  0.47845601 0.48473968
 0.46947935 0.49910233 0.47785757 0.50867744]";50.51$\pm$3.81;"[0.4673848  0.48174746 0.54877319 0.57211251 0.46169958 0.51077199
 0.47666068 0.51645721 0.4673848  0.54847397]";48.7$\pm$2.61;"[0.46080192 0.48982645 0.48324357 0.51286655 0.42609216 0.51316577
 0.48025135 0.4877319  0.5        0.51585877]";49.92$\pm$2.82;"[0.49102334 0.47067624 0.5380012  0.53560742 0.47217235 0.45780969
 0.48144823 0.502693   0.505386   0.53740275]";48.81$\pm$3.36;"[0.46529025 0.47785757 0.48144823 0.52094554 0.43147816 0.46798324
 0.48084979 0.50149611 0.49012567 0.56343507]";47.03$\pm$4.45;"[0.44793537 0.45900658 0.4646918  0.5272292  0.39616996 0.48354279
 0.40843806 0.52752843 0.46289647 0.52603232]"
Hits@100;64.94$\pm$2.19;"[0.62597247 0.63225613 0.665769   0.68013166 0.62537403 0.63704369
 0.62986236 0.64781568 0.66187911 0.68761221]";61.39$\pm$2.74;"[0.5733094  0.60442849 0.63285458 0.65948534 0.58886894 0.59754638
 0.58886894 0.6208857  0.61729503 0.65589467]";61.62$\pm$2.71;"[0.62208259 0.61639737 0.63764213 0.65020946 0.57420706 0.61250748
 0.56433273 0.6059246  0.63345302 0.64482346]";64.05$\pm$2.08;"[0.61609814 0.61849192 0.6561939  0.68432077 0.63225613 0.62836625
 0.6235787  0.65679234 0.63255536 0.65679234]";58.79$\pm$2.88;"[0.55954518 0.58467983 0.5882705  0.62567325 0.53859964 0.57869539
 0.55924596 0.62148414 0.59634949 0.62687014]";59.28$\pm$2.8;"[0.57989228 0.59126272 0.6101137  0.6235787  0.55864752 0.56642729
 0.54548175 0.60143627 0.61669659 0.63405147]";8.82$\pm$2.0;"[0.09455416 0.07869539 0.0951526  0.11998803 0.08138839 0.08318372
 0.12058648 0.0625374  0.05595452 0.08976661]";58.2$\pm$3.03;"[0.56433273 0.57510473 0.60083782 0.59485338 0.5380012  0.5855775
 0.53710353 0.59575105 0.58168761 0.64661879]";59.31$\pm$2.7;"[0.57839617 0.59934171 0.59156194 0.61789348 0.56612807 0.57211251
 0.54697786 0.60981448 0.60412926 0.64512268]";61.97$\pm$2.88;"[0.59964093 0.60891682 0.64392579 0.65888689 0.59245961 0.6005386
 0.56852184 0.62956314 0.63494913 0.65978456]";61.29$\pm$2.87;"[0.59844405 0.60442849 0.63285458 0.6005386  0.57121484 0.58527828
 0.58856972 0.64871335 0.63674446 0.66247756]";59.14$\pm$2.28;"[0.56014363 0.58976661 0.5978456  0.62417714 0.56941951 0.55774985
 0.57839617 0.61579892 0.60742071 0.61310592]";62.48$\pm$1.95;"[0.5978456  0.61639737 0.63016158 0.65589467 0.61789348 0.61968881
 0.59664871 0.61729503 0.64482346 0.65110712]";60.61$\pm$2.23;"[0.58677439 0.58378217 0.6304608  0.62896469 0.59036505 0.58527828
 0.57540395 0.62148414 0.62507481 0.63375224]";8.82$\pm$2.0;"[0.09455416 0.07869539 0.0951526  0.11998803 0.08138839 0.08318372
 0.12058648 0.0625374  0.05595452 0.08976661]";60.42$\pm$2.77;"[0.59724716 0.59814482 0.61729503 0.63883902 0.57301017 0.58378217
 0.55715141 0.59694794 0.63883902 0.64093357]";59.34$\pm$3.15;"[0.57271095 0.5882705  0.6235787  0.6208857  0.54997008 0.57570317
 0.54608019 0.60412926 0.60293238 0.64931179]";61.43$\pm$2.11;"[0.60891682 0.60682226 0.6235787  0.63225613 0.59964093 0.60861759
 0.56612807 0.62387792 0.62477558 0.64871335]";60.85$\pm$2.53;"[0.63494913 0.59814482 0.59036505 0.61071215 0.58258528 0.59006583
 0.5733094  0.61041293 0.64302813 0.65110712]";51.07$\pm$2.21;"[0.50478755 0.48055057 0.51825254 0.54907241 0.4850389  0.47785757
 0.51526032 0.52274087 0.52663076 0.52663076]";61.27$\pm$2.24;"[0.60412926 0.61729503 0.60472771 0.64871335 0.5706164  0.6128067
 0.59156194 0.60831837 0.62148414 0.64781568]";61.0$\pm$2.57;"[0.59904249 0.61759425 0.61041293 0.64991023 0.58408139 0.58737283
 0.56672651 0.62118492 0.6128067  0.65050868]";8.82$\pm$2.0;"[0.09455416 0.07869539 0.0951526  0.11998803 0.08138839 0.08318372
 0.12058648 0.0625374  0.05595452 0.08976661]";56.49$\pm$2.81;"[0.56732496 0.56582885 0.58797127 0.58408139 0.50508677 0.55804907
 0.52842609 0.56283662 0.58318372 0.6059246 ]";58.63$\pm$2.54;"[0.58108917 0.58886894 0.5951526  0.60801915 0.55475763 0.56642729
 0.5406942  0.59485338 0.6005386  0.63225613]";65.02$\pm$2.45;"[0.63913824 0.64183124 0.67893477 0.67863555 0.60771993 0.63943746
 0.62507481 0.65798923 0.64392579 0.68940754]";61.81$\pm$2.23;"[0.59724716 0.60682226 0.60203471 0.66995811 0.61310592 0.6059246
 0.60532615 0.61879114 0.61131059 0.6508079 ]";64.55$\pm$2.68;"[0.62148414 0.62956314 0.66337522 0.7037702  0.62597247 0.62687014
 0.61669659 0.64512268 0.64392579 0.6780371 ]";62.91$\pm$2.59;"[0.60981448 0.61938959 0.64661879 0.66636744 0.58856972 0.62298025
 0.59455416 0.62806703 0.64931179 0.66487133]";64.11$\pm$2.66;"[0.62268103 0.65050868 0.65110712 0.66816278 0.63435069 0.61968881
 0.59305805 0.62118492 0.66247756 0.68761221]";62.78$\pm$3.04;"[0.61250748 0.60622382 0.64063435 0.67743866 0.58198683 0.59994016
 0.60083782 0.63913824 0.65170557 0.66786355]";60.56$\pm$2.45;"[0.58258528 0.6032316  0.60861759 0.63824057 0.57360862 0.60203471
 0.56852184 0.61101137 0.62058648 0.64721724]"
ROCAUC;94.06$\pm$0.26;"[0.93874984 0.93967283 0.94170146 0.94533915 0.94017398 0.93636203
 0.93709761 0.94098692 0.94192542 0.94369242]";93.24$\pm$0.28;"[0.93022148 0.9286052  0.93282062 0.93916581 0.93009561 0.93133442
 0.93146497 0.93417752 0.93207266 0.93441958]";93.11$\pm$0.59;"[0.93476422 0.93068981 0.93340596 0.93009644 0.92013444 0.93471909
 0.91981034 0.93681036 0.93618826 0.9344151 ]";93.66$\pm$0.3;"[0.93336107 0.93388008 0.93873997 0.94316108 0.93638156 0.93434836
 0.93788393 0.93857671 0.93637252 0.93313324]";93.07$\pm$0.28;"[0.928848   0.92970109 0.92953532 0.93817879 0.929046   0.93033636
 0.93026202 0.93040624 0.93257653 0.92786236]";93.18$\pm$0.28;"[0.93010844 0.93145604 0.92975218 0.93709419 0.93442626 0.92670128
 0.93210872 0.92985313 0.93341691 0.93341226]";76.8$\pm$1.42;"[0.75771926 0.7577975  0.76357692 0.79635302 0.76451594 0.76004843
 0.79474679 0.75846673 0.75793638 0.76916768]";92.92$\pm$0.17;"[0.92727829 0.93042828 0.92793029 0.9314735  0.92847554 0.92711059
 0.92909721 0.92846596 0.92906892 0.93242232]";93.57$\pm$0.25;"[0.93528123 0.93444638 0.93417326 0.94009762 0.93622285 0.93118311
 0.93475139 0.93476619 0.93932682 0.93713686]";94.19$\pm$0.24;"[0.94039404 0.94110734 0.94382333 0.94696695 0.94334822 0.93767784
 0.942742   0.94001311 0.9408574  0.94227013]";93.44$\pm$0.4;"[0.93655964 0.93384194 0.93636243 0.93140423 0.92835623 0.93484075
 0.92730062 0.93975742 0.93836461 0.9370737 ]";92.11$\pm$0.19;"[0.9187207  0.91980778 0.91993792 0.9254654  0.92028311 0.91923491
 0.92069042 0.92235619 0.92245443 0.92163039]";93.97$\pm$0.22;"[0.93654153 0.9387778  0.93899899 0.94373515 0.93928071 0.94085278
 0.93768726 0.93744522 0.94227274 0.94100703]";93.53$\pm$0.3;"[0.93422848 0.93128284 0.9355884  0.94128034 0.93710679 0.93067501
 0.93574635 0.93635476 0.93787257 0.93334382]";76.8$\pm$1.42;"[0.75771926 0.7577975  0.76357692 0.79635302 0.76451594 0.76004843
 0.79474679 0.75846673 0.75793638 0.76916768]";93.72$\pm$0.25;"[0.93631443 0.93573974 0.93807647 0.94292584 0.93765476 0.93349793
 0.93443341 0.93676364 0.93830141 0.93854813]";93.41$\pm$0.28;"[0.93180678 0.93053474 0.93614687 0.93856458 0.93565601 0.92942012
 0.93294053 0.935457   0.93376853 0.93660292]";93.73$\pm$0.26;"[0.93414449 0.93562008 0.93835632 0.94162491 0.93952093 0.9332634
 0.93496735 0.93821271 0.93790399 0.93961502]";92.93$\pm$0.28;"[0.93093161 0.92464776 0.93033008 0.92700318 0.92604544 0.92920174
 0.92722256 0.93165894 0.93399107 0.93147941]";91.71$\pm$0.2;"[0.91960748 0.91381537 0.91584289 0.92017081 0.91587763 0.91612587
 0.9150475  0.91680687 0.91846169 0.91904692]";93.78$\pm$0.18;"[0.93511911 0.93577614 0.93805229 0.94203149 0.93890383 0.93672908
 0.93732864 0.93833142 0.93859656 0.93720046]";93.61$\pm$0.24;"[0.93461326 0.93436885 0.93747911 0.94197647 0.9357433  0.93246474
 0.93622659 0.93500889 0.93753153 0.93597343]";76.8$\pm$1.42;"[0.75771926 0.7577975  0.76357692 0.79635302 0.76451594 0.76004843
 0.79474679 0.75846673 0.75793638 0.76916768]";92.59$\pm$0.42;"[0.92075466 0.91832806 0.92814679 0.93234293 0.93007414 0.92500617
 0.92755364 0.92253572 0.9250794  0.92927332]";93.77$\pm$0.28;"[0.93547839 0.93676813 0.93581235 0.9441385  0.9398878  0.93310513
 0.93693678 0.93830248 0.93828936 0.93862199]";94.65$\pm$0.14;"[0.94444851 0.94547167 0.9478098  0.94962751 0.94650561 0.94530526
 0.94536717 0.94703251 0.94620063 0.94690139]";93.02$\pm$0.74;"[0.93616903 0.93217795 0.93572814 0.92537749 0.92052746 0.93112779
 0.91374403 0.93502519 0.93513632 0.93670182]";94.14$\pm$0.28;"[0.94426725 0.93800768 0.93876338 0.94623225 0.94010229 0.93758399
 0.9414292  0.94218332 0.94135311 0.94453167]";94.29$\pm$0.14;"[0.94184842 0.93970963 0.94366515 0.94439193 0.94338373 0.94168517
 0.94275483 0.94418802 0.94416408 0.94300349]";94.51$\pm$0.25;"[0.94386118 0.94314432 0.94539337 0.95055703 0.94559131 0.94102307
 0.94357157 0.94514839 0.94761508 0.94555324]";93.36$\pm$0.31;"[0.93119498 0.93104732 0.93192206 0.94051087 0.93031911 0.93234935
 0.93129486 0.93511182 0.93735279 0.93479836]";93.71$\pm$0.23;"[0.93582028 0.93834424 0.93844137 0.93714017 0.9353589  0.9350236
 0.93243019 0.93846665 0.94080478 0.93888095]"
