metrics;csgcl,enc:gcn_bgrl,pred:mlp,random_mean;csgcl,enc:gcn_bgrl,pred:mlp,random;csgcl,enc:gcn_bgrl,pred:mlp,deg_mean;csgcl,enc:gcn_bgrl,pred:mlp,deg;csgcl,enc:gcn_bgrl,pred:mlp,pr_mean;csgcl,enc:gcn_bgrl,pred:mlp,pr;csgcl,enc:gcn_bgrl,pred:mlp,evc_mean;csgcl,enc:gcn_bgrl,pred:mlp,evc;csgcl,enc:gcn_bgrl,pred:mlp,scom_mean;csgcl,enc:gcn_bgrl,pred:mlp,scom;louvain_prob_pred_mean;louvain_prob_pred;csgcl,enc:gcn_bgrl,pred:mlp,sbm_fast_mean;csgcl,enc:gcn_bgrl,pred:mlp,sbm_fast;infomap_prob_pred_mean;infomap_prob_pred;csgcl,enc:gcn_bgrl,pred:mlp,sbm_fast2_mean;csgcl,enc:gcn_bgrl,pred:mlp,sbm_fast2;leiden_prob_pred_mean;leiden_prob_pred;csgcl,enc:gcn_bgrl,pred:mlp,sbm_fast_cheat_mean;csgcl,enc:gcn_bgrl,pred:mlp,sbm_fast_cheat;csgcl,enc:gcn_bgrl,pred:mlp,sbm_fast2_cheat_mean;csgcl,enc:gcn_bgrl,pred:mlp,sbm_fast2_cheat
Hits@20;27.37$\pm$4.22;"[0.28217426 0.21342926 0.33892886 0.28776978 0.29096723 0.31095124
 0.2813749  0.18545164 0.26538769 0.28057554]";16.84$\pm$7.55;"[0.25899281 0.12789768 0.1254996  0.30935252 0.13109512 0.11510791
 0.117506   0.2773781  0.10231815 0.11910472]";19.92$\pm$4.48;"[0.19664269 0.25819345 0.10311751 0.17905675 0.20063949 0.20703437
 0.24780176 0.25419664 0.16546763 0.17985612]";22.49$\pm$2.43;"[0.26298961 0.26938449 0.2126299  0.24460432 0.22781775 0.20303757
 0.20303757 0.20863309 0.19904077 0.21742606]";27.47$\pm$2.87;"[0.27897682 0.30295763 0.26618705 0.26618705 0.23261391 0.29336531
 0.3117506  0.27418066 0.30135891 0.21902478]";19.18$\pm$1.98;"[0.20463629 0.19904077 0.18864908 0.2246203  0.15907274 0.21582734
 0.1822542  0.16546763 0.17985612 0.19824141]";23.33$\pm$1.15;"[0.25259792 0.23021583 0.23181455 0.23101519 0.22541966 0.23421263
 0.22941647 0.25419664 0.23181455 0.2126299 ]";18.97$\pm$2.21;"[0.21103118 0.19904077 0.18784972 0.22302158 0.15747402 0.21422862
 0.16946443 0.16147082 0.17346123 0.19984013]";16.43$\pm$2.21;"[0.19264588 0.14788169 0.18465228 0.16706635 0.14708233 0.20303757
 0.13029576 0.16866507 0.14548361 0.1558753 ]";18.97$\pm$2.21;"[0.21103118 0.19904077 0.18784972 0.22302158 0.15747402 0.21422862
 0.16946443 0.16147082 0.17346123 0.19984013]";86.5$\pm$1.82;"[0.86730616 0.86810552 0.86011191 0.87769784 0.85211831 0.84172662
 0.90007994 0.88729017 0.84092726 0.85451639]";86.73$\pm$2.45;"[0.90727418 0.88888889 0.82254197 0.85371703 0.8481215  0.85611511
 0.90167866 0.85851319 0.86650679 0.86970424]"
Hits@50;40.11$\pm$2.23;"[0.37729816 0.39968026 0.42925659 0.40127898 0.40367706 0.38609113
 0.43085532 0.35491607 0.41566747 0.41247002]";21.19$\pm$8.68;"[0.34372502 0.16946443 0.16546763 0.35491607 0.15347722 0.14788169
 0.15107914 0.33173461 0.13429257 0.16706635]";33.57$\pm$5.53;"[0.41966427 0.37410072 0.23341327 0.33493205 0.34692246 0.34292566
 0.38289369 0.37410072 0.26538769 0.28297362]";27.19$\pm$1.47;"[0.27897682 0.28377298 0.26139089 0.28776978 0.28057554 0.27498002
 0.27338129 0.25259792 0.24060751 0.28457234]";45.59$\pm$3.15;"[0.48441247 0.49160671 0.42605915 0.41966427 0.44844125 0.44924061
 0.50279776 0.46123102 0.47402078 0.40127898]";22.31$\pm$1.09;"[0.22302158 0.21742606 0.21742606 0.2470024  0.23021583 0.23741007
 0.21342926 0.21342926 0.21742606 0.21422862]";27.74$\pm$1.49;"[0.29576339 0.27178257 0.26938449 0.27577938 0.29896083 0.26778577
 0.27418066 0.29896083 0.27018385 0.2509992 ]";22.19$\pm$1.3;"[0.23261391 0.21422862 0.22222222 0.2470024  0.23021583 0.23261391
 0.20223821 0.20863309 0.21822542 0.21103118]";27.03$\pm$3.64;"[0.3117506  0.25019984 0.27817746 0.28057554 0.26938449 0.32933653
 0.20703437 0.28697042 0.21422862 0.27577938]";22.19$\pm$1.3;"[0.23261391 0.21422862 0.22222222 0.2470024  0.23021583 0.23261391
 0.20223821 0.20863309 0.21822542 0.21103118]";97.42$\pm$0.7;"[0.97442046 0.97761791 0.9696243  0.97442046 0.95523581 0.97601918
 0.97761791 0.97921663 0.97681855 0.98081535]";97.55$\pm$0.97;"[0.98001599 0.98001599 0.97761791 0.97921663 0.95123901 0.9736211
 0.98481215 0.97442046 0.96722622 0.98721023]"
Hits@100;50.63$\pm$1.94;"[0.49320544 0.50999201 0.50759392 0.49560352 0.5243805  0.50839329
 0.53077538 0.45883293 0.52198241 0.51239009]";25.21$\pm$10.23;"[0.4108713  0.20543565 0.19344524 0.40767386 0.18784972 0.16946443
 0.18705036 0.40367706 0.16147082 0.1942446 ]";45.66$\pm$6.09;"[0.52358114 0.48361311 0.35331735 0.48041567 0.47801759 0.48361311
 0.50759392 0.49960032 0.34132694 0.41486811]";32.13$\pm$2.17;"[0.29896083 0.30215827 0.32374101 0.35171863 0.35411671 0.33733014
 0.32294165 0.29416467 0.29496403 0.33253397]";58.35$\pm$3.14;"[0.61630695 0.62829736 0.53397282 0.57713829 0.54356515 0.60831335
 0.60911271 0.57154277 0.59632294 0.54996003]";25.8$\pm$1.2;"[0.26139089 0.25739408 0.24460432 0.28217426 0.27018385 0.26778577
 0.25179856 0.24140687 0.25419664 0.24860112]";32.25$\pm$1.86;"[0.33892886 0.31414868 0.30295763 0.30135891 0.35171863 0.3157474
 0.31334932 0.34372502 0.3421263  0.30055955]";25.5$\pm$1.32;"[0.25659472 0.24780176 0.25579536 0.28377298 0.26858513 0.26378897
 0.2430056  0.24060751 0.24940048 0.24060751]";37.04$\pm$3.52;"[0.38928857 0.35731415 0.37010392 0.38529177 0.3685052  0.43884892
 0.30535572 0.39408473 0.32374101 0.37170264]";25.5$\pm$1.32;"[0.25659472 0.24780176 0.25579536 0.28377298 0.26858513 0.26378897
 0.2430056  0.24060751 0.24940048 0.24060751]";98.28$\pm$0.18;"[0.98241407 0.98321343 0.97841727 0.98161471 0.98401279 0.98481215
 0.98481215 0.98401279 0.98241407 0.98241407]";98.53$\pm$0.3;"[0.98161471 0.98401279 0.98401279 0.98641087 0.98241407 0.98800959
 0.98721023 0.98401279 0.98321343 0.99200639]"
ROCAUC;79.05$\pm$0.75;"[0.79820716 0.77600206 0.79350684 0.78524423 0.79573687 0.79597872
 0.79157777 0.77961036 0.78931611 0.79964422]";48.51$\pm$13.43;"[0.67754014 0.44320163 0.40120677 0.70346281 0.38122723 0.39413266
 0.39082595 0.68373183 0.37332692 0.40228632]";76.52$\pm$6.32;"[0.79306627 0.80418798 0.65482642 0.79945444 0.79806275 0.80392824
 0.80556051 0.81328191 0.63338043 0.74649281]";57.57$\pm$4.07;"[0.49816837 0.50274728 0.58573445 0.61286798 0.60838108 0.59527502
 0.61135041 0.58466225 0.55744437 0.60015681]";80.04$\pm$1.19;"[0.81098479 0.79633879 0.79087873 0.79592537 0.77374391 0.8197343
 0.80479757 0.7997554  0.80906338 0.80234901]";59.13$\pm$0.8;"[0.59104179 0.59768652 0.5982878  0.597137   0.60302517 0.59329994
 0.59018493 0.58432678 0.57535746 0.5827434 ]";60.58$\pm$2.21;"[0.61846254 0.61236383 0.56977312 0.58038621 0.6378309  0.59126671
 0.60111144 0.64335007 0.59925776 0.60386862]";59.74$\pm$1.17;"[0.58366033 0.58968525 0.59546224 0.6240603  0.59753125 0.59690505
 0.58065522 0.59945904 0.59813828 0.60826926]";71.14$\pm$1.28;"[0.70348901 0.70363054 0.7196513  0.71204683 0.72941647 0.71416664
 0.70566057 0.73467557 0.69192224 0.69910275]";59.74$\pm$1.17;"[0.58366033 0.58968525 0.59546224 0.6240603  0.59753125 0.59690505
 0.58065522 0.59945904 0.59813828 0.60826926]";98.66$\pm$0.14;"[0.98447573 0.98609394 0.98497828 0.98670033 0.98719617 0.98993803
 0.98729585 0.98686391 0.98595848 0.98687573]";98.74$\pm$0.17;"[0.98587157 0.98715975 0.9856671  0.98671598 0.98577828 0.9880179
 0.99023004 0.9875572  0.98611055 0.9904409 ]"
AP;81.99$\pm$0.84;"[0.82323506 0.80791458 0.82863371 0.81806314 0.82581069 0.82445269
 0.82284514 0.80113348 0.81987698 0.82680246]";60.0$\pm$10.16;"[0.74742087 0.55958367 0.54091714 0.76488949 0.53014031 0.52743844
 0.53096346 0.7495702  0.50880783 0.54030968]";78.94$\pm$4.79;"[0.81301337 0.82277698 0.70194287 0.80769654 0.81014675 0.81850817
 0.8258141  0.82861917 0.6956095  0.76946301]";67.68$\pm$2.18;"[0.64057046 0.64305447 0.6804314  0.70380295 0.69926688 0.68738411
 0.69479303 0.67201651 0.65664209 0.6902874 ]";83.62$\pm$1.04;"[0.84430841 0.84044903 0.82450938 0.83262138 0.81556906 0.84919249
 0.84661249 0.83654184 0.84485073 0.82783596]";65.33$\pm$0.78;"[0.65734966 0.65841255 0.65337318 0.66881564 0.65598033 0.65735715
 0.64845161 0.63964811 0.64433798 0.64905922]";69.13$\pm$1.36;"[0.70082578 0.69397616 0.67012553 0.67768102 0.7115834  0.68004892
 0.68800459 0.71438164 0.69033841 0.68622182]";65.55$\pm$0.95;"[0.65343019 0.65331486 0.65561997 0.68003919 0.65271671 0.65757524
 0.64064223 0.64847703 0.65480434 0.65795867]";74.55$\pm$1.5;"[0.75015346 0.73885369 0.75626056 0.74760593 0.7534148  0.76701754
 0.72198531 0.76183052 0.7201602  0.73736345]";65.55$\pm$0.95;"[0.65343019 0.65331486 0.65561997 0.68003919 0.65271671 0.65757524
 0.64064223 0.64847703 0.65480434 0.65795867]";98.87$\pm$0.12;"[0.98683277 0.98783191 0.98842373 0.98901619 0.98925707 0.99092328
 0.99006235 0.98928475 0.98866132 0.98720169]";98.93$\pm$0.1;"[0.98943442 0.98865645 0.98833779 0.98930964 0.98855059 0.98928699
 0.99202485 0.98948335 0.98861934 0.9890664 ]"
pretrain_time;52.24$\pm$0.47;"[51.86539268 52.26295328 51.84651661 51.81097531 52.08096147 51.99291587
 51.90002728 52.47119832 52.93356061 53.21792245]";10.69$\pm$0.13;"[10.6413579  10.78691792 10.70329475 10.67242789 10.69273353 10.59718728
 10.57884908 10.58946681 10.62976909 11.04013681]";39.18$\pm$0.12;"[39.16753316 39.22657681 39.13999438 38.99537468 39.15424466 39.19737864
 39.1385684  39.48220587 39.06856561 39.20800948]";13.82$\pm$0.1;"[13.74916458 13.85129023 13.79523206 13.73122859 14.10310936 13.79440165
 13.78585958 13.75986695 13.78499651 13.83350253]";66.6$\pm$0.24;"[66.83638811 66.83125448 66.3928442  66.23591685 66.50049877 66.34051299
 66.70790315 66.56122875 67.05061197 66.55704355]";nan$\pm$nan;[];16.03$\pm$0.07;"[15.92835236 15.99534678 16.0388546  15.98803973 16.17914176 16.1214664
 15.99806881 16.00547075 16.05856824 15.99437547]";nan$\pm$nan;[];117.65$\pm$3.8;"[116.65955567 117.1121664  112.92120934 120.88723421 110.97428441
 116.80007267 122.42359829 117.36147189 124.12498045 117.20296383]";nan$\pm$nan;[];13.86$\pm$0.11;"[13.80657315 14.1628077  13.78772092 13.75737786 13.92997074 13.8549881
 13.90173149 13.78539872 13.8537097  13.80705547]";35.3$\pm$0.27;"[34.81690335 35.06340957 34.99936652 35.50325441 35.36910009 35.68364024
 35.07158923 35.54213452 35.51672316 35.4191649 ]"
