metrics;leiden_prob_pred_mean;leiden_prob_pred;bgrl,enc:gcn_bgrl,pred:mlp,sbm_fast_mean;bgrl,enc:gcn_bgrl,pred:mlp,sbm_fast;infomap_prob_pred_mean;infomap_prob_pred;bgrl,enc:gcn_bgrl,pred:mlp,sbm_fast+deg_mean;bgrl,enc:gcn_bgrl,pred:mlp,sbm_fast+deg;bgrl,enc:gcn_bgrl,pred:mlp,sbm_fast+evc_mean;bgrl,enc:gcn_bgrl,pred:mlp,sbm_fast+evc;louvain_prob_pred_mean;louvain_prob_pred;bgrl,enc:gcn_bgrl,pred:mlp,sbm_fast+pr_mean;bgrl,enc:gcn_bgrl,pred:mlp,sbm_fast+pr;bgrl,enc:gcn_bgrl,pred:mlp,sbm_fast+scom_mean;bgrl,enc:gcn_bgrl,pred:mlp,sbm_fast+scom;bgrl,enc:gcn_bgrl,pred:mlp,sbm_fast2_mean;bgrl,enc:gcn_bgrl,pred:mlp,sbm_fast2;grace,enc:gcn_bgrl,pred:mlp,sbm_fast_mean;grace,enc:gcn_bgrl,pred:mlp,sbm_fast;grace,enc:gcn_bgrl,pred:mlp,sbm_fast+deg_mean;grace,enc:gcn_bgrl,pred:mlp,sbm_fast+deg;grace,enc:gcn_bgrl,pred:mlp,sbm_fast+evc_mean;grace,enc:gcn_bgrl,pred:mlp,sbm_fast+evc;grace,enc:gcn_bgrl,pred:mlp,sbm_fast+pr_mean;grace,enc:gcn_bgrl,pred:mlp,sbm_fast+pr;grace,enc:gcn_bgrl,pred:mlp,sbm_fast+scom_mean;grace,enc:gcn_bgrl,pred:mlp,sbm_fast+scom;grace,enc:gcn_bgrl,pred:mlp,sbm_fast2_mean;grace,enc:gcn_bgrl,pred:mlp,sbm_fast2;lbgrl,enc:gcn_bgrl,pred:mlp,sbm_fast_mean;lbgrl,enc:gcn_bgrl,pred:mlp,sbm_fast;lbgrl,enc:gcn_bgrl,pred:mlp,sbm_fast+deg_mean;lbgrl,enc:gcn_bgrl,pred:mlp,sbm_fast+deg;lbgrl,enc:gcn_bgrl,pred:mlp,sbm_fast+evc_mean;lbgrl,enc:gcn_bgrl,pred:mlp,sbm_fast+evc;lbgrl,enc:gcn_bgrl,pred:mlp,sbm_fast+pr_mean;lbgrl,enc:gcn_bgrl,pred:mlp,sbm_fast+pr;lbgrl,enc:gcn_bgrl,pred:mlp,sbm_fast+scom_mean;lbgrl,enc:gcn_bgrl,pred:mlp,sbm_fast+scom;lbgrl,enc:gcn_bgrl,pred:mlp,sbm_fast2_mean;lbgrl,enc:gcn_bgrl,pred:mlp,sbm_fast2;lgrace,enc:gcn_bgrl,pred:mlp,sbm_fast_mean;lgrace,enc:gcn_bgrl,pred:mlp,sbm_fast;lgrace,enc:gcn_bgrl,pred:mlp,sbm_fast+deg_mean;lgrace,enc:gcn_bgrl,pred:mlp,sbm_fast+deg;lgrace,enc:gcn_bgrl,pred:mlp,sbm_fast+evc_mean;lgrace,enc:gcn_bgrl,pred:mlp,sbm_fast+evc;lgrace,enc:gcn_bgrl,pred:mlp,sbm_fast+pr_mean;lgrace,enc:gcn_bgrl,pred:mlp,sbm_fast+pr;lgrace,enc:gcn_bgrl,pred:mlp,sbm_fast+scom_mean;lgrace,enc:gcn_bgrl,pred:mlp,sbm_fast+scom;lgrace,enc:gcn_bgrl,pred:mlp,sbm_fast2_mean;lgrace,enc:gcn_bgrl,pred:mlp,sbm_fast2
Hits@20;34.55$\pm$1.0;"[0.3526603  0.36050477 0.33390177 0.35027285 0.33594816 0.32946794
 0.34276944 0.34208731 0.3478854  0.35948158]";71.07$\pm$1.6;"[0.70088677 0.70225102 0.69645293 0.70634379 0.70804911 0.74965894
 0.69338336 0.72100955 0.72510232 0.70429741]";34.55$\pm$1.0;"[0.3526603  0.36050477 0.33390177 0.35027285 0.33594816 0.32946794
 0.34276944 0.34208731 0.3478854  0.35948158]";75.37$\pm$1.15;"[0.74897681 0.75716235 0.74010914 0.73499318 0.75545703 0.77728513
 0.75409277 0.76159618 0.76159618 0.74590723]";68.02$\pm$5.83;"[0.6388131  0.69713506 0.55218281 0.64495225 0.67769441 0.77319236
 0.72135061 0.66302865 0.74010914 0.69338336]";34.55$\pm$1.0;"[0.3526603  0.36050477 0.33390177 0.35027285 0.33594816 0.32946794
 0.34276944 0.34208731 0.3478854  0.35948158]";68.29$\pm$2.01;"[0.66712142 0.6834925  0.66643929 0.64529332 0.7005457  0.70020464
 0.71077763 0.67837653 0.70634379 0.670191  ]";71.56$\pm$1.48;"[0.71282401 0.71521146 0.69611187 0.70702592 0.72373806 0.73976808
 0.71930423 0.70156889 0.7404502  0.69986357]";71.6$\pm$1.38;"[0.71793997 0.70702592 0.69474761 0.69781719 0.73055935 0.73567531
 0.71452933 0.7148704  0.73635744 0.71043656]";72.84$\pm$1.6;"[0.71725784 0.73499318 0.70873124 0.71998636 0.72169168 0.74454297
 0.76432469 0.72066849 0.73738063 0.7148704 ]";76.17$\pm$1.99;"[0.73738063 0.74590723 0.7404502  0.75443383 0.77080491 0.79297408
 0.74283765 0.79433834 0.77080491 0.76739427]";74.02$\pm$2.38;"[0.71521146 0.73533424 0.69713506 0.71793997 0.75238745 0.76603001
 0.77489768 0.73533424 0.76534789 0.74283765]";70.16$\pm$3.97;"[0.72271487 0.69849932 0.62414734 0.65757162 0.71180082 0.76705321
 0.70020464 0.67326057 0.71418827 0.74624829]";70.1$\pm$1.66;"[0.72100955 0.70361528 0.67496589 0.69099591 0.70804911 0.71555252
 0.67257844 0.70293315 0.72305593 0.69713506]";72.51$\pm$2.64;"[0.7100955  0.71998636 0.69474761 0.69474761 0.70634379 0.76909959
 0.71998636 0.71521146 0.75989086 0.76057299]";69.68$\pm$2.37;"[0.68792633 0.69713506 0.64120055 0.69167804 0.69031378 0.68860846
 0.70497954 0.73294679 0.70702592 0.72578445]";67.32$\pm$2.84;"[0.66371078 0.70634379 0.66609823 0.60948158 0.68178718 0.68690314
 0.6691678  0.68690314 0.7138472  0.64768076]";68.8$\pm$1.4;"[0.69065484 0.66371078 0.67905866 0.66643929 0.70088677 0.69474761
 0.68315143 0.70259209 0.70702592 0.69167804]";69.95$\pm$2.86;"[0.68553888 0.6957708  0.64699864 0.67496589 0.68860846 0.74420191
 0.70600273 0.70293315 0.74863574 0.70088677]";70.09$\pm$1.19;"[0.70497954 0.69474761 0.70190996 0.69406548 0.69474761 0.71418827
 0.70600273 0.71623465 0.70907231 0.67291951]";70.09$\pm$2.07;"[0.69270123 0.6834925  0.65484311 0.68826739 0.72646658 0.71725784
 0.71350614 0.69952251 0.72203274 0.71077763]";76.26$\pm$1.44;"[0.77592087 0.75409277 0.73840382 0.75306958 0.75989086 0.78444748
 0.77967258 0.77421555 0.7585266  0.74795362]";75.99$\pm$1.66;"[0.7414734  0.75068213 0.73226467 0.75170532 0.76705321 0.78956344
 0.76398363 0.75716235 0.76159618 0.78308322]";77.83$\pm$1.11;"[0.77148704 0.78444748 0.77080491 0.79195089 0.75443383 0.78308322
 0.7680764  0.78308322 0.78717599 0.78888131]";76.85$\pm$2.05;"[0.76500682 0.75818554 0.72680764 0.74283765 0.77557981 0.76944065
 0.79809004 0.77557981 0.79024557 0.78342428]";74.67$\pm$2.36;"[0.74454297 0.70497954 0.73294679 0.71350614 0.75034106 0.76978172
 0.78035471 0.73942701 0.7585266  0.7728513 ]";71.48$\pm$3.6;"[0.72783083 0.62755798 0.69884038 0.7053206  0.70429741 0.76091405
 0.74386085 0.70020464 0.72680764 0.75204638]"
Hits@50;36.96$\pm$0.99;"[0.36425648 0.39051842 0.35572988 0.37585266 0.36903138 0.36459754
 0.35948158 0.37517053 0.36255116 0.37858117]";79.21$\pm$1.4;"[0.78717599 0.79638472 0.78342428 0.77899045 0.78171896 0.82776262
 0.7899045  0.80525239 0.78785812 0.78206003]";36.96$\pm$0.99;"[0.36425648 0.39051842 0.35572988 0.37585266 0.36903138 0.36459754
 0.35948158 0.37517053 0.36255116 0.37858117]";82.22$\pm$0.92;"[0.81377899 0.83560709 0.81889495 0.81002729 0.8175307  0.83628922
 0.82673943 0.83253752 0.81446112 0.8165075 ]";79.73$\pm$1.43;"[0.79365621 0.80729877 0.76261937 0.78922237 0.79433834 0.81855389
 0.81036835 0.79604366 0.80150068 0.79979536]";36.96$\pm$0.99;"[0.36425648 0.39051842 0.35572988 0.37585266 0.36903138 0.36459754
 0.35948158 0.37517053 0.36255116 0.37858117]";76.27$\pm$1.35;"[0.76057299 0.77251023 0.77421555 0.73976808 0.75989086 0.77728513
 0.75443383 0.776603   0.77114598 0.74010914]";78.91$\pm$0.74;"[0.80115962 0.79740791 0.78717599 0.77830832 0.7813779  0.79331514
 0.78410641 0.79604366 0.78103683 0.79058663]";79.77$\pm$1.02;"[0.80491132 0.80047749 0.77933151 0.79433834 0.79297408 0.81923602
 0.79092769 0.79877217 0.80491132 0.79126876]";79.54$\pm$1.14;"[0.79604366 0.79604366 0.78922237 0.78376535 0.79877217 0.81105048
 0.81991814 0.79092769 0.78410641 0.78410641]";82.59$\pm$0.62;"[0.81991814 0.82571623 0.82094134 0.81991814 0.81889495 0.83765348
 0.82435198 0.83492497 0.82810368 0.82844475]";81.91$\pm$0.75;"[0.81821282 0.80934516 0.8127558  0.81036835 0.81957708 0.83015007
 0.82708049 0.82912688 0.82298772 0.81173261]";80.29$\pm$1.02;"[0.7946794  0.79843111 0.79399727 0.79297408 0.8127558  0.82230559
 0.80013643 0.79740791 0.79774898 0.81855389]";77.86$\pm$1.24;"[0.79297408 0.79092769 0.78069577 0.74795362 0.77489768 0.78888131
 0.77626194 0.7851296  0.77796726 0.77080491]";82.36$\pm$0.64;"[0.81889495 0.82264666 0.81207367 0.82708049 0.82571623 0.83287858
 0.81889495 0.81787176 0.82639836 0.83321965]";77.81$\pm$0.98;"[0.77933151 0.78581173 0.78751705 0.76364256 0.78069577 0.77080491
 0.77455662 0.79433834 0.76227831 0.78206003]";75.02$\pm$1.81;"[0.73396999 0.76909959 0.75818554 0.70907231 0.73976808 0.76466576
 0.75409277 0.76841746 0.7633015  0.74181446]";76.74$\pm$1.1;"[0.77523874 0.78035471 0.75       0.74693042 0.76739427 0.7680764
 0.76875853 0.78069577 0.77421555 0.76261937]";79.09$\pm$1.31;"[0.77251023 0.79570259 0.78240109 0.77251023 0.78274216 0.80354707
 0.79160982 0.81582538 0.80013643 0.79229195]";77.85$\pm$0.85;"[0.78103683 0.77830832 0.77012278 0.77046385 0.77592087 0.79536153
 0.77762619 0.79229195 0.77523874 0.76875853]";79.21$\pm$1.47;"[0.81582538 0.79126876 0.78888131 0.7595498  0.80286494 0.79604366
 0.776603   0.80013643 0.78956344 0.80047749]";82.9$\pm$0.59;"[0.82912688 0.81957708 0.82025921 0.82537517 0.83424284 0.84004093
 0.82912688 0.82946794 0.83390177 0.82878581]";82.25$\pm$0.93;"[0.82196453 0.81821282 0.81412005 0.81070941 0.82673943 0.83594816
 0.83049113 0.8260573  0.80729877 0.83390177]";83.99$\pm$0.54;"[0.84447476 0.8393588  0.83594816 0.83969986 0.83731241 0.84583902
 0.82844475 0.83799454 0.84072306 0.84890859]";83.71$\pm$1.03;"[0.83117326 0.83151432 0.81821282 0.8260573  0.85027285 0.83833561
 0.84106412 0.85027285 0.84890859 0.83492497]";81.82$\pm$1.32;"[0.81036835 0.82094134 0.79433834 0.79843111 0.81616644 0.83697135
 0.82060027 0.82946794 0.83321965 0.82162347]";81.28$\pm$1.0;"[0.81036835 0.80013643 0.79979536 0.80218281 0.82162347 0.82878581
 0.82401091 0.80661664 0.81412005 0.82060027]"
Hits@100;40.06$\pm$1.07;"[0.38710778 0.42053206 0.39427012 0.41473397 0.3888131  0.38949523
 0.40416098 0.39802183 0.40143247 0.40791269]";83.15$\pm$0.77;"[0.82673943 0.82946794 0.83049113 0.81821282 0.83594816 0.84652115
 0.83185539 0.83628922 0.82230559 0.83765348]";40.06$\pm$1.07;"[0.38710778 0.42053206 0.39427012 0.41473397 0.3888131  0.38949523
 0.40416098 0.39802183 0.40143247 0.40791269]";85.75$\pm$0.65;"[0.85231924 0.86255116 0.8574352  0.84652115 0.85572988 0.86152797
 0.86698499 0.8611869  0.86323329 0.84754434]";84.22$\pm$0.71;"[0.83663029 0.83901774 0.83969986 0.83321965 0.83356071 0.85300136
 0.85334243 0.83901774 0.84686221 0.84754434]";40.06$\pm$1.07;"[0.38710778 0.42053206 0.39427012 0.41473397 0.3888131  0.38949523
 0.40416098 0.39802183 0.40143247 0.40791269]";81.06$\pm$0.55;"[0.81343793 0.81787176 0.8127558  0.80047749 0.81070941 0.81207367
 0.80763984 0.81684857 0.80184175 0.8127558 ]";82.9$\pm$0.73;"[0.82912688 0.83219645 0.83526603 0.8165075  0.82776262 0.82435198
 0.83765348 0.82639836 0.81991814 0.84106412]";83.83$\pm$0.75;"[0.83799454 0.82878581 0.83765348 0.82742156 0.83219645 0.84515689
 0.84072306 0.84959072 0.84890859 0.83424284]";83.55$\pm$0.76;"[0.84379263 0.84208731 0.83151432 0.82912688 0.83901774 0.83594816
 0.84890859 0.83253752 0.82230559 0.82946794]";85.85$\pm$0.59;"[0.85095498 0.85402456 0.85504775 0.85095498 0.86869031 0.8622101
 0.85436562 0.86493861 0.86050477 0.86357435]";85.96$\pm$0.65;"[0.85231924 0.86527967 0.85914052 0.84754434 0.86084584 0.86937244
 0.8622101  0.8611869  0.86562074 0.8526603 ]";84.83$\pm$0.59;"[0.84481583 0.8441337  0.84208731 0.84208731 0.84686221 0.85368349
 0.85368349 0.85504775 0.84242838 0.85845839]";82.48$\pm$0.61;"[0.8308322  0.83287858 0.82742156 0.81343793 0.82060027 0.82332879
 0.83185539 0.82469304 0.81718963 0.8260573 ]";85.79$\pm$0.4;"[0.85027285 0.85709413 0.85572988 0.85948158 0.86459754 0.85982265
 0.85334243 0.85641201 0.8622101  0.85982265]";82.24$\pm$0.71;"[0.82298772 0.83287858 0.82776262 0.82264666 0.82844475 0.81855389
 0.80968622 0.8260573  0.81105048 0.82435198]";79.4$\pm$0.64;"[0.78888131 0.79843111 0.79740791 0.78001364 0.79160982 0.80525239
 0.79706685 0.79024557 0.79638472 0.79433834]";80.73$\pm$0.68;"[0.81036835 0.80900409 0.79433834 0.79433834 0.80763984 0.81309686
 0.81139154 0.81446112 0.80866303 0.80968622]";83.42$\pm$0.59;"[0.82503411 0.84106412 0.83424284 0.82810368 0.8308322  0.83492497
 0.83492497 0.84583902 0.83799454 0.82946794]";81.6$\pm$0.55;"[0.82298772 0.81309686 0.81412005 0.80763984 0.82094134 0.82298772
 0.81582538 0.81957708 0.80695771 0.81548431]";83.66$\pm$0.58;"[0.84822647 0.8308322  0.8345839  0.82742156 0.84106412 0.83526603
 0.83594816 0.83969986 0.83151432 0.84140518]";86.2$\pm$0.66;"[0.85879945 0.86152797 0.84549795 0.86289222 0.86186903 0.86766712
 0.85811733 0.86664393 0.87005457 0.86664393]";85.65$\pm$0.53;"[0.84481583 0.85027285 0.85470668 0.85607094 0.86186903 0.86323329
 0.85982265 0.85607094 0.85879945 0.85948158]";86.27$\pm$0.37;"[0.86527967 0.86357435 0.86084584 0.85845839 0.86255116 0.86903138
 0.85504775 0.8622101  0.8659618  0.86391542]";87.03$\pm$0.56;"[0.86016371 0.87005457 0.86630286 0.86630286 0.87585266 0.86869031
 0.8755116  0.8755116  0.87858117 0.86562074]";85.73$\pm$0.74;"[0.8441337  0.86289222 0.84924966 0.85027285 0.85538881 0.86834925
 0.85777626 0.8622101  0.86630286 0.85641201]";85.99$\pm$0.62;"[0.84652115 0.85948158 0.85334243 0.85470668 0.8659618  0.86289222
 0.86255116 0.86186903 0.86357435 0.86800819]"
ROCAUC;79.75$\pm$0.68;"[0.7917821  0.80336536 0.78449868 0.80785627 0.79484551 0.80740982
 0.79472897 0.79613698 0.79953215 0.79524144]";94.42$\pm$0.2;"[0.94286385 0.94518844 0.94729855 0.94276325 0.94029585 0.94427338
 0.94542346 0.94258015 0.94589531 0.94565595]";79.75$\pm$0.68;"[0.7917821  0.80336536 0.78449868 0.80785627 0.79484551 0.80740982
 0.79472897 0.79613698 0.79953215 0.79524144]";95.03$\pm$0.28;"[0.94533278 0.95300945 0.95247881 0.94760407 0.94875558 0.94991113
 0.95394977 0.95119804 0.95335718 0.94758452]";94.47$\pm$0.3;"[0.94172829 0.94760685 0.94506284 0.94104879 0.94408527 0.9464364
 0.94872681 0.94107515 0.94931899 0.94185997]";79.75$\pm$0.68;"[0.7917821  0.80336536 0.78449868 0.80785627 0.79484551 0.80740982
 0.79472897 0.79613698 0.79953215 0.79524144]";92.62$\pm$0.2;"[0.9249061  0.92834324 0.92792062 0.92365633 0.92659142 0.92515226
 0.93033925 0.92562882 0.92576421 0.924038  ]";94.36$\pm$0.25;"[0.94086527 0.94546885 0.94680168 0.94205436 0.94299771 0.94124117
 0.94830883 0.94184607 0.94123248 0.94485828]";94.59$\pm$0.36;"[0.94079996 0.94209267 0.94663248 0.94576685 0.94322423 0.9487823
 0.94661561 0.95160456 0.95108412 0.94257323]";94.49$\pm$0.3;"[0.94291381 0.94947403 0.94863942 0.94325687 0.94101558 0.94306068
 0.94994526 0.94247496 0.94431439 0.94415648]";94.81$\pm$0.21;"[0.94419362 0.94763251 0.95078972 0.94640098 0.94759608 0.94794669
 0.94947276 0.94642716 0.94930165 0.95150798]";95.04$\pm$0.24;"[0.94564826 0.95192591 0.95284809 0.95026148 0.94970305 0.95012932
 0.95328597 0.9483918  0.95349537 0.94874438]";94.8$\pm$0.29;"[0.94434327 0.94828094 0.94967722 0.94562314 0.94292833 0.95061147
 0.95196721 0.94631999 0.95158844 0.94857891]";94.0$\pm$0.32;"[0.9381399  0.94418596 0.94271106 0.93668356 0.94000473 0.93729577
 0.94606486 0.93542287 0.93891956 0.94012876]";94.8$\pm$0.28;"[0.94503081 0.94935268 0.94806918 0.94779863 0.94684382 0.94697495
 0.95133681 0.94219906 0.95251232 0.94966511]";93.97$\pm$0.27;"[0.93448149 0.94287339 0.94344462 0.93848261 0.93756082 0.93812882
 0.94299458 0.93900602 0.93923828 0.94060201]";92.33$\pm$0.34;"[0.91750075 0.92883627 0.9290049  0.92016918 0.92171932 0.92431566
 0.92284317 0.9216057  0.92256146 0.92447681]";93.71$\pm$0.28;"[0.93330614 0.93853827 0.9398482  0.93366128 0.93549279 0.93788675
 0.94043695 0.93359571 0.93657569 0.941308  ]";94.17$\pm$0.34;"[0.93590949 0.94137451 0.94336817 0.93735952 0.93840353 0.94109182
 0.94686108 0.94306207 0.94604147 0.94308174]";93.72$\pm$0.25;"[0.93587459 0.93756001 0.94013016 0.9352354  0.93353184 0.9406304
 0.94055105 0.93820083 0.93469373 0.93555634]";94.69$\pm$0.19;"[0.94409491 0.94594716 0.94848361 0.94479137 0.94833146 0.94412031
 0.9480455  0.9474617  0.94770071 0.94989825]";95.08$\pm$0.27;"[0.94905896 0.95234589 0.951896   0.9507057  0.94996962 0.9530541
 0.95325513 0.94352794 0.95238333 0.95172983]";95.74$\pm$0.19;"[0.95578741 0.95609143 0.95744239 0.95557631 0.95666635 0.95778371
 0.95941209 0.95491007 0.9612425  0.95882713]";94.45$\pm$0.24;"[0.94291742 0.94656427 0.94670614 0.94208374 0.94201683 0.94349691
 0.94600685 0.94218381 0.94312962 0.94954427]";95.79$\pm$0.21;"[0.95393104 0.9586554  0.95791093 0.95909116 0.95664761 0.95875848
 0.96103462 0.9556221  0.96080218 0.95630679]";94.76$\pm$0.29;"[0.9410265  0.95065844 0.94624959 0.9460243  0.9466624  0.94780148
 0.95110879 0.94671679 0.95105142 0.94823063]";95.38$\pm$0.26;"[0.94899521 0.95512033 0.95193707 0.95495452 0.95468422 0.95480423
 0.95888921 0.95095158 0.95509602 0.95221367]"
AP;82.73$\pm$0.49;"[0.82421145 0.83390374 0.81765778 0.8325555  0.8248805  0.83451868
 0.82531235 0.82562166 0.82711374 0.82732134]";95.93$\pm$0.16;"[0.95921015 0.95840981 0.9618166  0.95684814 0.95763445 0.96020509
 0.95997332 0.95724562 0.96069992 0.96083275]";82.73$\pm$0.49;"[0.82421145 0.83390374 0.81765778 0.8325555  0.8248805  0.83451868
 0.82531235 0.82562166 0.82711374 0.82732134]";96.37$\pm$0.21;"[0.96080956 0.96411991 0.96519309 0.95971902 0.96402612 0.96486405
 0.9647057  0.96380414 0.9674336  0.96257349]";95.58$\pm$0.4;"[0.95541658 0.95395921 0.95323889 0.94850009 0.95728991 0.96194609
 0.9607307  0.95277088 0.96044252 0.95388372]";82.73$\pm$0.49;"[0.82421145 0.83390374 0.81765778 0.8325555  0.8248805  0.83451868
 0.82531235 0.82562166 0.82711374 0.82732134]";94.87$\pm$0.15;"[0.94847988 0.9499183  0.94804391 0.94569598 0.94892168 0.94769794
 0.95163011 0.94954405 0.94938376 0.94722396]";95.87$\pm$0.14;"[0.95813538 0.96015431 0.96019591 0.95608775 0.9589527  0.95814781
 0.96066551 0.95827003 0.95704046 0.95910082]";95.92$\pm$0.28;"[0.95748903 0.95607487 0.95646113 0.95713911 0.9580517  0.96225071
 0.96060167 0.96293455 0.96412046 0.95708556]";96.04$\pm$0.14;"[0.95988325 0.96149993 0.96226706 0.95847364 0.95910866 0.95974696
 0.96311384 0.95985084 0.96024761 0.95953925]";96.27$\pm$0.2;"[0.96055554 0.96277719 0.96500193 0.95884846 0.96160621 0.96274537
 0.96360021 0.96211836 0.9653233  0.96486514]";96.35$\pm$0.2;"[0.96124419 0.96233103 0.96511093 0.96163862 0.96424258 0.96380757
 0.9655892  0.96054848 0.96713348 0.96286834]";96.12$\pm$0.22;"[0.95789263 0.95986247 0.96227865 0.95945797 0.95872494 0.9646564
 0.96145082 0.96055072 0.96429354 0.96333154]";95.62$\pm$0.21;"[0.95485971 0.95761104 0.95752362 0.95236911 0.95741473 0.95483868
 0.95946218 0.95358491 0.95666317 0.95729579]";96.03$\pm$0.3;"[0.95761426 0.95869183 0.95937376 0.95755977 0.96074199 0.96310266
 0.96086852 0.9556214  0.96624591 0.96275409]";95.56$\pm$0.17;"[0.95323865 0.95892858 0.95683569 0.95553653 0.95491081 0.95411951
 0.95544861 0.95497015 0.95397337 0.95791927]";94.48$\pm$0.28;"[0.94319089 0.94959547 0.94917847 0.9409016  0.94308735 0.94641973
 0.94190574 0.94391648 0.9462302  0.9434806 ]";95.33$\pm$0.21;"[0.95154559 0.95345068 0.95564485 0.94872654 0.95314874 0.95413166
 0.95301108 0.95258856 0.95390828 0.95705135]";95.73$\pm$0.35;"[0.95450067 0.95477273 0.9546166  0.9512117  0.95662736 0.95812836
 0.96235381 0.95948923 0.96244009 0.95918814]";95.52$\pm$0.16;"[0.95520875 0.95522175 0.95667725 0.95275327 0.95394256 0.95765297
 0.95699516 0.95621823 0.95304652 0.95410185]";96.02$\pm$0.23;"[0.96067166 0.95814278 0.95970734 0.95882858 0.96329447 0.95618913
 0.96161852 0.95789569 0.96174495 0.96352586]";96.44$\pm$0.18;"[0.96409377 0.96538296 0.96502336 0.96421241 0.96501862 0.96493093
 0.96477447 0.95931227 0.96650233 0.96524091]";96.83$\pm$0.13;"[0.96718153 0.96670864 0.96841282 0.96639829 0.96895899 0.96859783
 0.96884886 0.96730375 0.97038459 0.96993472]";96.11$\pm$0.18;"[0.95965512 0.96244258 0.96228399 0.95980036 0.95901471 0.96008279
 0.96071139 0.95991524 0.96157842 0.96551411]";96.94$\pm$0.15;"[0.96541335 0.97040022 0.96936966 0.96898436 0.96959151 0.97010041
 0.97069336 0.96942035 0.97082766 0.96889862]";96.2$\pm$0.3;"[0.9557351  0.96245143 0.96135015 0.95833351 0.96184261 0.96355248
 0.96558359 0.96136179 0.96610042 0.96388848]";96.4$\pm$0.26;"[0.95802228 0.96174913 0.96459478 0.96280038 0.96598909 0.96534011
 0.9659571  0.96281566 0.96686527 0.96589227]"
pretrain_time;nan$\pm$nan;[];54.67$\pm$2.14;"[60.33022165 53.5185163  53.36062169 53.2942636  53.15644431 53.14279532
 56.27449965 54.39860702 55.51780534 53.75238276]";nan$\pm$nan;[];123.12$\pm$1.42;"[123.45710349 125.66571021 122.74146199 124.36988425 123.26768184
 123.95993948 122.46251154 120.84558368 123.59653831 120.8041544 ]";44.11$\pm$0.5;"[44.80392528 43.99856234 44.26847029 43.91635895 44.13136697 44.04854989
 45.0853076  43.79970074 43.87608409 43.22008681]";nan$\pm$nan;[];2.17$\pm$0.03;"[2.17778015 2.15818238 2.15059972 2.15408564 2.13800526 2.14150023
 2.14081693 2.24545336 2.21667433 2.15065694]";94.28$\pm$1.22;"[92.43977213 95.69095087 92.82845306 95.66179919 93.5895462  95.70786238
 93.88225317 93.03375006 94.6407938  95.33556175]";63.13$\pm$0.17;"[62.9137001  63.54101443 63.02433658 63.01055169 63.30446362 63.11814857
 62.990973   63.08377051 63.20498586 63.12482953]";24.35$\pm$0.1;"[24.49904633 24.42147493 24.42514038 24.36169147 24.22293401 24.37996936
 24.2713244  24.14926648 24.41318345 24.33072209]";11.64$\pm$0.21;"[11.55293107 11.82231927 11.93750429 11.67535663 11.58142257 11.77936125
 11.35143042 11.35218787 11.42485642 11.9105823 ]";3.13$\pm$0.09;"[3.05384207 3.06291819 3.05637074 3.03427792 3.10405159 3.21155953
 3.21803856 3.24785089 3.05090475 3.28670979]";16.48$\pm$0.29;"[16.60995865 16.13302469 16.57140636 16.63428688 16.39157891 16.05902171
 16.54899502 16.51019382 16.21483445 17.11707306]";78.74$\pm$1.77;"[80.84615469 78.49768972 78.37821126 78.18351054 79.75760031 81.69471788
 77.6871264  75.36209321 77.11502337 79.90284514]";26.12$\pm$0.26;"[26.10882998 26.82911444 26.08033061 25.87290096 26.21252322 26.08999968
 26.08543181 26.01588988 25.87357616 26.01979804]";7.53$\pm$0.43;"[7.0746696  7.06436896 7.04092979 6.982934   7.90020514 7.88967204
 7.38563275 7.98865986 7.97437572 7.96497345]";42.17$\pm$0.62;"[43.07883334 42.36401439 42.19873285 42.73902678 43.16815066 41.31852412
 41.73711014 41.48337626 41.84072924 41.75878692]";39.8$\pm$0.89;"[40.57019091 41.27675724 39.96346235 39.13442874 39.03370142 39.3489306
 41.12416005 39.94883108 38.83933711 38.73743963]";50.32$\pm$1.51;"[51.04614425 52.18752193 51.27622175 50.37880683 52.04392505 51.58815646
 49.70688462 48.0308671  47.87991762 49.04206443]";17.64$\pm$0.81;"[18.83073163 18.69641638 17.99653888 17.07983279 18.79106998 17.37924504
 16.87591505 16.77993059 16.8424201  17.16538954]";79.45$\pm$5.35;"[73.15909433 75.06958914 74.63202667 84.66858482 84.90131283 84.80105519
 84.92515802 84.61218214 74.02740645 73.72858286]";79.48$\pm$2.39;"[78.01411867 78.04042411 77.9210403  78.19042277 78.14857864 80.079633
 84.9302938  83.13274837 78.01997066 78.30107808]";72.25$\pm$1.27;"[72.01873708 70.8446219  73.3839407  72.15592456 69.72775316 72.52546024
 73.0363245  73.78705382 71.24331093 73.75189924]";102.89$\pm$2.17;"[105.0564239  105.97676373 102.45634723 102.50003076 103.75418782
  99.39190698 102.60889482 102.21959662  99.38882613 105.51175356]";142.91$\pm$3.16;"[145.36756968 146.88055062 144.94219089 143.30057406 146.25532436
 145.19307709 139.43504715 138.75983644 137.98641348 140.98552728]";61.31$\pm$0.85;"[60.25509572 61.2824111  60.95538521 60.1456902  62.61972427 61.5667448
 61.74008727 62.08382511 60.21061158 62.19682932]";72.7$\pm$0.37;"[72.36283326 72.13460898 72.996737   73.09177184 73.4413693  72.87727618
 72.5718441  72.52119708 72.44610643 72.5212779 ]"
