metrics;baseline,enc:gcn_bgrl,pred:mlp_mean;baseline,enc:gcn_bgrl,pred:mlp;bgrl,enc:gcn_bgrl,pred:mlp,random_mean;bgrl,enc:gcn_bgrl,pred:mlp,random;bgrl,enc:gcn_bgrl,pred:mlp,deg_mean;bgrl,enc:gcn_bgrl,pred:mlp,deg;bgrl,enc:gcn_bgrl,pred:mlp,evc_mean;bgrl,enc:gcn_bgrl,pred:mlp,evc;bgrl,enc:gcn_bgrl,pred:mlp,pr_mean;bgrl,enc:gcn_bgrl,pred:mlp,pr;bgrl,enc:gcn_bgrl,pred:mlp,scom_mean;bgrl,enc:gcn_bgrl,pred:mlp,scom;louvain_prob_pred_mean;louvain_prob_pred;bgrl,enc:gcn_bgrl,pred:mlp,sbm_fast+random_mean;bgrl,enc:gcn_bgrl,pred:mlp,sbm_fast+random;bgrl,enc:gcn_bgrl,pred:mlp,sbm_fast_cheat+random_mean;bgrl,enc:gcn_bgrl,pred:mlp,sbm_fast_cheat+random;grace,enc:gcn_bgrl,pred:mlp,random_mean;grace,enc:gcn_bgrl,pred:mlp,random;grace,enc:gcn_bgrl,pred:mlp,deg_mean;grace,enc:gcn_bgrl,pred:mlp,deg;grace,enc:gcn_bgrl,pred:mlp,evc_mean;grace,enc:gcn_bgrl,pred:mlp,evc;grace,enc:gcn_bgrl,pred:mlp,pr_mean;grace,enc:gcn_bgrl,pred:mlp,pr;grace,enc:gcn_bgrl,pred:mlp,scom_mean;grace,enc:gcn_bgrl,pred:mlp,scom;infomap_prob_pred_mean;infomap_prob_pred;grace,enc:gcn_bgrl,pred:mlp,sbm_fast+random_mean;grace,enc:gcn_bgrl,pred:mlp,sbm_fast+random;leiden_prob_pred_mean;leiden_prob_pred;grace,enc:gcn_bgrl,pred:mlp,sbm_fast_cheat+random_mean;grace,enc:gcn_bgrl,pred:mlp,sbm_fast_cheat+random;lbgrl,enc:gcn_bgrl,pred:mlp,random_mean;lbgrl,enc:gcn_bgrl,pred:mlp,random;lbgrl,enc:gcn_bgrl,pred:mlp,deg_mean;lbgrl,enc:gcn_bgrl,pred:mlp,deg;lbgrl,enc:gcn_bgrl,pred:mlp,evc_mean;lbgrl,enc:gcn_bgrl,pred:mlp,evc;lbgrl,enc:gcn_bgrl,pred:mlp,pr_mean;lbgrl,enc:gcn_bgrl,pred:mlp,pr;lbgrl,enc:gcn_bgrl,pred:mlp,scom_mean;lbgrl,enc:gcn_bgrl,pred:mlp,scom;lbgrl,enc:gcn_bgrl,pred:mlp,sbm_fast+random_mean;lbgrl,enc:gcn_bgrl,pred:mlp,sbm_fast+random;lbgrl,enc:gcn_bgrl,pred:mlp,sbm_fast_cheat+random_mean;lbgrl,enc:gcn_bgrl,pred:mlp,sbm_fast_cheat+random;lgrace,enc:gcn_bgrl,pred:mlp,random_mean;lgrace,enc:gcn_bgrl,pred:mlp,random;lgrace,enc:gcn_bgrl,pred:mlp,deg_mean;lgrace,enc:gcn_bgrl,pred:mlp,deg;lgrace,enc:gcn_bgrl,pred:mlp,evc_mean;lgrace,enc:gcn_bgrl,pred:mlp,evc;lgrace,enc:gcn_bgrl,pred:mlp,pr_mean;lgrace,enc:gcn_bgrl,pred:mlp,pr;lgrace,enc:gcn_bgrl,pred:mlp,scom_mean;lgrace,enc:gcn_bgrl,pred:mlp,scom
Hits@20;76.98$\pm$1.47;"[0.75034106 0.75579809 0.76057299 0.76671214 0.76978172 0.77387449
 0.7633015  0.7899045  0.76603001 0.80184175]";72.76$\pm$2.64;"[0.69338336 0.73738063 0.7005457  0.69713506 0.71248295 0.75682128
 0.76125512 0.71589359 0.76841746 0.73226467]";76.76$\pm$2.55;"[0.76739427 0.76841746 0.696794   0.77626194 0.76261937 0.79502046
 0.77251023 0.7899045  0.776603   0.77080491]";71.81$\pm$4.13;"[0.67769441 0.71623465 0.63199181 0.68826739 0.71418827 0.74658936
 0.77114598 0.74624829 0.77012278 0.7186221 ]";72.56$\pm$3.46;"[0.69474761 0.68929059 0.65825375 0.71111869 0.72169168 0.74488404
 0.76466576 0.75238745 0.76466576 0.75409277]";72.37$\pm$3.57;"[0.67087312 0.7053206  0.66746248 0.69986357 0.73499318 0.76705321
 0.72442019 0.73533424 0.776603   0.7547749 ]";34.75$\pm$0.97;"[0.34890859 0.35368349 0.32810368 0.34924966 0.33526603 0.34481583
 0.35641201 0.35436562 0.34208731 0.36186903]";72.58$\pm$2.5;"[0.72953615 0.69372442 0.71998636 0.67257844 0.71657572 0.74215553
 0.73294679 0.74965894 0.76023192 0.74010914]";72.46$\pm$1.61;"[0.71452933 0.73738063 0.71725784 0.69645293 0.73738063 0.74386085
 0.71180082 0.74693042 0.73090041 0.70907231]";71.39$\pm$3.88;"[0.69747613 0.70702592 0.62039563 0.72987722 0.67939973 0.75886767
 0.73294679 0.74351978 0.74897681 0.72100955]";58.15$\pm$29.74;"[0.74658936 0.75682128 0.73226467 0.54570259 0.75545703 0.77694407
 0.74283765 0.         0.75886767 0.        ]";71.03$\pm$3.08;"[0.70736698 0.696794   0.64870396 0.69270123 0.73396999 0.75034106
 0.67837653 0.7452251  0.73874488 0.71111869]";73.54$\pm$3.82;"[0.69884038 0.696794   0.6654161  0.72953615 0.71316508 0.7813779
 0.77455662 0.75545703 0.76568895 0.7728513 ]";74.03$\pm$2.85;"[0.70941337 0.71623465 0.71350614 0.69713506 0.75136426 0.78683492
 0.77421555 0.74556617 0.74693042 0.76227831]";34.67$\pm$0.97;"[0.34345157 0.35436562 0.33492497 0.34515689 0.33049113 0.34481583
 0.35641201 0.35334243 0.34038199 0.36357435]";71.37$\pm$1.85;"[0.70497954 0.71930423 0.67974079 0.71691678 0.7281719  0.72373806
 0.69747613 0.69236016 0.73772169 0.7366985 ]";34.67$\pm$0.97;"[0.34345157 0.35436562 0.33492497 0.34515689 0.33049113 0.34481583
 0.35641201 0.35334243 0.34038199 0.36357435]";72.17$\pm$1.78;"[0.7100955  0.73772169 0.71111869 0.71759891 0.7148704  0.73396999
 0.71623465 0.70634379 0.76500682 0.70395634]";74.65$\pm$2.32;"[0.72919509 0.75170532 0.6957708  0.73294679 0.73021828 0.77694407
 0.77012278 0.75784447 0.76500682 0.75511596]";63.86$\pm$2.39;"[0.64495225 0.60914052 0.63199181 0.61664393 0.65075034 0.64529332
 0.62585266 0.62210095 0.64017735 0.69884038]";74.45$\pm$2.22;"[0.72783083 0.72373806 0.73499318 0.70259209 0.7595498  0.78103683
 0.77012278 0.7414734  0.75682128 0.74693042]";73.82$\pm$4.4;"[0.68963165 0.66439291 0.69304229 0.71282401 0.76534789 0.74010914
 0.7994543  0.74829468 0.7899045  0.77864939]";76.05$\pm$2.58;"[0.72919509 0.74590723 0.72646658 0.78956344 0.73396999 0.77864939
 0.77353342 0.74727149 0.80252387 0.77796726]";68.29$\pm$1.65;"[0.68042292 0.66098226 0.6558663  0.67462483 0.67360164 0.70395634
 0.70122783 0.7053206  0.69065484 0.6824693 ]";70.38$\pm$2.28;"[0.6824693  0.72066849 0.68758527 0.65279673 0.70702592 0.73055935
 0.71282401 0.70873124 0.73158254 0.70361528]";73.42$\pm$2.1;"[0.72407913 0.70395634 0.7148704  0.72100955 0.75       0.77557981
 0.73396999 0.72578445 0.76261937 0.72987722]";79.12$\pm$1.76;"[0.77421555 0.79092769 0.77523874 0.78342428 0.75989086 0.81718963
 0.81207367 0.79126876 0.79740791 0.81002729]";74.02$\pm$1.63;"[0.7281719  0.7366985  0.723397   0.72987722 0.76023192 0.76637108
 0.72578445 0.73090041 0.73396999 0.76637108]";77.92$\pm$2.01;"[0.74727149 0.75204638 0.75238745 0.7861528  0.79263302 0.78854025
 0.77796726 0.79092769 0.79604366 0.80763984]";73.26$\pm$2.87;"[0.70156889 0.71793997 0.68076398 0.72578445 0.77728513 0.76875853
 0.74931787 0.71452933 0.75136426 0.73908595]"
Hits@50;81.91$\pm$1.1;"[0.80934516 0.80695771 0.80866303 0.82366985 0.80832196 0.82094134
 0.81173261 0.83526603 0.83321965 0.83321965]";81.63$\pm$0.72;"[0.80763984 0.82332879 0.81105048 0.80832196 0.80729877 0.82844475
 0.82401091 0.81684857 0.81582538 0.82060027]";82.73$\pm$0.83;"[0.82264666 0.8308322  0.82094134 0.82196453 0.82332879 0.83867667
 0.81582538 0.83969986 0.83799454 0.82094134]";82.79$\pm$1.45;"[0.81105048 0.81821282 0.81207367 0.80695771 0.84379263 0.85061392
 0.8308322  0.84276944 0.82946794 0.83287858]";82.95$\pm$0.81;"[0.82401091 0.82537517 0.81923602 0.82230559 0.82810368 0.84276944
 0.82776262 0.84583902 0.8308322  0.82878581]";82.36$\pm$1.04;"[0.81309686 0.81718963 0.80627558 0.82025921 0.82435198 0.8441337
 0.83390177 0.83253752 0.82435198 0.81991814]";36.44$\pm$1.02;"[0.35982265 0.38267394 0.35402456 0.35948158 0.35368349 0.35368349
 0.37312415 0.36869031 0.35982265 0.37892224]";78.54$\pm$1.18;"[0.77114598 0.77762619 0.77557981 0.76637108 0.79911323 0.80150068
 0.78717599 0.79774898 0.79297408 0.78478854]";79.82$\pm$0.75;"[0.78922237 0.81002729 0.78922237 0.78854025 0.80866303 0.79911323
 0.803206   0.79843111 0.79331514 0.80218281]";81.93$\pm$0.63;"[0.81446112 0.82162347 0.8079809  0.81412005 0.81821282 0.82708049
 0.81787176 0.82742156 0.82810368 0.81582538]";71.05$\pm$24.03;"[0.81480218 0.82025921 0.8079809  0.71623465 0.80457026 0.8260573
 0.79774898 0.         0.81207367 0.70497954]";82.19$\pm$1.2;"[0.81889495 0.82060027 0.80627558 0.81616644 0.82435198 0.83969986
 0.79911323 0.82673943 0.83321965 0.83424284]";84.32$\pm$0.85;"[0.83117326 0.84618008 0.82946794 0.83697135 0.84515689 0.84618008
 0.84924966 0.8574352  0.85163711 0.83901774]";82.88$\pm$1.39;"[0.81036835 0.8308322  0.82469304 0.80218281 0.83492497 0.85470668
 0.83049113 0.84072306 0.82639836 0.83253752]";36.78$\pm$1.1;"[0.36289222 0.38574352 0.3526603  0.3622101  0.35709413 0.36425648
 0.38199181 0.37619372 0.3574352  0.37755798]";80.28$\pm$1.0;"[0.79160982 0.79331514 0.79604366 0.79502046 0.81991814 0.81855389
 0.79911323 0.8127558  0.80252387 0.79877217]";36.78$\pm$1.1;"[0.36289222 0.38574352 0.3526603  0.3622101  0.35709413 0.36425648
 0.38199181 0.37619372 0.3574352  0.37755798]";81.4$\pm$0.76;"[0.81991814 0.82060027 0.81173261 0.80491132 0.81991814 0.8260573
 0.80525239 0.80491132 0.81889495 0.80763984]";81.75$\pm$1.01;"[0.80934516 0.81139154 0.80252387 0.81002729 0.81480218 0.83560709
 0.83253752 0.82094134 0.82469304 0.81309686]";73.27$\pm$1.14;"[0.73703956 0.73806276 0.71793997 0.72032742 0.73874488 0.73431105
 0.72032742 0.72169168 0.74590723 0.75272851]";82.07$\pm$0.93;"[0.8165075  0.82264666 0.81036835 0.81173261 0.82264666 0.83799454
 0.82708049 0.82025921 0.80661664 0.83117326]";83.34$\pm$1.08;"[0.83287858 0.8175307  0.82264666 0.82196453 0.83628922 0.83117326
 0.8431105  0.83901774 0.85641201 0.83287858]";83.22$\pm$0.71;"[0.82537517 0.83321965 0.8260573  0.83185539 0.84618008 0.83390177
 0.83799454 0.82571623 0.8393588  0.82264666]";75.86$\pm$1.32;"[0.76227831 0.76705321 0.75136426 0.72885402 0.74897681 0.78069577
 0.76705321 0.75989086 0.75443383 0.76500682]";79.05$\pm$1.25;"[0.7728513  0.80457026 0.79024557 0.76500682 0.7994543  0.80047749
 0.79774898 0.79979536 0.79331514 0.7813779 ]";81.67$\pm$1.22;"[0.81036835 0.81412005 0.80286494 0.82469304 0.80729877 0.83765348
 0.7994543  0.81446112 0.83526603 0.82060027]";84.27$\pm$0.78;"[0.83765348 0.84276944 0.82708049 0.84242838 0.85027285 0.85607094
 0.84856753 0.84549795 0.83492497 0.84140518]";79.19$\pm$0.93;"[0.77933151 0.79433834 0.77489768 0.79160982 0.80695771 0.79263302
 0.78922237 0.79126876 0.79365621 0.80491132]";83.08$\pm$0.45;"[0.82946794 0.82639836 0.82912688 0.82401091 0.83287858 0.83049113
 0.82844475 0.8393588  0.83765348 0.83049113]";82.45$\pm$0.88;"[0.82162347 0.81309686 0.81616644 0.82366985 0.83287858 0.84038199
 0.82503411 0.82946794 0.81105048 0.83117326]"
Hits@100;84.71$\pm$0.7;"[0.8441337  0.84481583 0.84447476 0.84549795 0.83697135 0.84004093
 0.8441337  0.85982265 0.85436562 0.85641201]";85.78$\pm$0.48;"[0.85572988 0.86562074 0.85436562 0.85231924 0.85334243 0.86391542
 0.8526603  0.8622101  0.85572988 0.86186903]";85.88$\pm$0.69;"[0.85470668 0.86289222 0.85129604 0.86357435 0.8622101  0.86050477
 0.84583902 0.86527967 0.86903138 0.85300136]";86.41$\pm$0.31;"[0.86527967 0.86289222 0.86391542 0.85948158 0.86630286 0.86050477
 0.8659618  0.86357435 0.87107776 0.8622101 ]";85.73$\pm$0.46;"[0.85845839 0.85163711 0.85061392 0.85368349 0.85402456 0.86323329
 0.85811733 0.86493861 0.8611869  0.85709413]";86.19$\pm$0.51;"[0.85914052 0.86186903 0.85095498 0.85709413 0.86971351 0.86562074
 0.86527967 0.86016371 0.86527967 0.86391542]";39.58$\pm$1.45;"[0.39358799 0.42360164 0.39017735 0.39085948 0.37414734 0.37789905
 0.41507503 0.40450205 0.39017735 0.39802183]";81.97$\pm$0.5;"[0.8165075  0.81241473 0.81787176 0.8127558  0.82571623 0.82025921
 0.82742156 0.81991814 0.8260573  0.81855389]";84.08$\pm$0.57;"[0.83833561 0.84720327 0.83560709 0.83492497 0.84515689 0.84140518
 0.84345157 0.84106412 0.8308322  0.85027285]";85.79$\pm$0.46;"[0.85538881 0.86152797 0.85504775 0.84856753 0.86425648 0.85368349
 0.86186903 0.85777626 0.85811733 0.86289222]";82.77$\pm$4.14;"[0.84652115 0.85811733 0.85402456 0.80900409 0.83969986 0.85504775
 0.84072306 0.7138472  0.84993179 0.80968622]";86.59$\pm$0.29;"[0.86698499 0.8622101  0.86391542 0.86903138 0.86562074 0.8707367
 0.86050477 0.86664393 0.86732606 0.86562074]";87.45$\pm$0.48;"[0.86937244 0.87312415 0.87175989 0.87517053 0.8792633  0.86698499
 0.87653479 0.87858117 0.88335607 0.8707367 ]";86.53$\pm$0.69;"[0.8622101  0.86527967 0.86186903 0.85163711 0.87653479 0.87312415
 0.8611869  0.87244202 0.86732606 0.86186903]";39.77$\pm$1.22;"[0.39563438 0.41882674 0.3888131  0.38540246 0.38096862 0.39802183
 0.41609823 0.40416098 0.38676671 0.4021146 ]";84.38$\pm$0.6;"[0.83663029 0.8441337  0.84140518 0.83526603 0.85231924 0.85470668
 0.83969986 0.84754434 0.84174625 0.8441337 ]";39.77$\pm$1.22;"[0.39563438 0.41882674 0.3888131  0.38540246 0.38096862 0.39802183
 0.41609823 0.40416098 0.38676671 0.4021146 ]";85.56$\pm$0.54;"[0.85607094 0.86186903 0.84549795 0.84618008 0.85572988 0.86084584
 0.85402456 0.85607094 0.85948158 0.85982265]";84.98$\pm$0.47;"[0.84447476 0.84618008 0.8478854  0.8431105  0.84822647 0.85777626
 0.85402456 0.8526603  0.85572988 0.84754434]";79.83$\pm$0.83;"[0.7899045  0.80081855 0.78103683 0.79502046 0.80934516 0.80832196
 0.79263302 0.80388813 0.80115962 0.80081855]";85.66$\pm$0.69;"[0.86084584 0.85334243 0.85129604 0.85334243 0.86357435 0.85982265
 0.85470668 0.85811733 0.84242838 0.86869031]";86.47$\pm$0.51;"[0.86357435 0.85811733 0.85879945 0.8622101  0.86869031 0.86937244
 0.85948158 0.87039563 0.87346521 0.86289222]";86.26$\pm$0.4;"[0.8574352  0.86357435 0.85470668 0.86425648 0.86732606 0.86391542
 0.86562074 0.86493861 0.86562074 0.85845839]";80.34$\pm$0.57;"[0.80047749 0.80900409 0.79502046 0.80013643 0.80115962 0.81548431
 0.80388813 0.80729877 0.79774898 0.80354707]";83.1$\pm$0.77;"[0.82537517 0.82912688 0.83219645 0.82094134 0.83390177 0.84208731
 0.84242838 0.83833561 0.82537517 0.82060027]";85.15$\pm$0.69;"[0.84345157 0.8478854  0.84686221 0.85607094 0.8441337  0.86016371
 0.8441337  0.85163711 0.86357435 0.85709413]";87.15$\pm$0.69;"[0.86698499 0.86425648 0.86016371 0.88028649 0.88028649 0.87687585
 0.87687585 0.8744884  0.86425648 0.87005457]";81.82$\pm$0.51;"[0.81105048 0.81684857 0.80968622 0.82639836 0.81821282 0.8165075
 0.82162347 0.81821282 0.81821282 0.82571623]";85.29$\pm$0.5;"[0.85402456 0.84379263 0.85197817 0.85470668 0.85948158 0.85572988
 0.84822647 0.85402456 0.86016371 0.84720327]";86.29$\pm$0.57;"[0.85982265 0.86766712 0.84856753 0.85982265 0.86698499 0.86562074
 0.86186903 0.87005457 0.86493861 0.86357435]"
ROCAUC;94.68$\pm$0.29;"[0.9422756  0.94564183 0.94855267 0.94661619 0.94491838 0.94393331
 0.95235866 0.94621124 0.94659094 0.95090189]";94.44$\pm$0.22;"[0.94011294 0.94652417 0.94665483 0.94272985 0.9429068  0.94388756
 0.94749684 0.94239525 0.94593814 0.94511951]";95.1$\pm$0.19;"[0.94813766 0.95256939 0.95140959 0.95235214 0.9494174  0.95109967
 0.951325   0.95166908 0.95424481 0.94787258]";94.57$\pm$0.26;"[0.94282104 0.94783872 0.94678748 0.94662841 0.94658744 0.94364201
 0.94951215 0.94235667 0.94860521 0.94228651]";94.5$\pm$0.23;"[0.93995532 0.94507465 0.94746146 0.94326042 0.94675425 0.94479959
 0.94740357 0.942951   0.94713675 0.94473074]";94.33$\pm$0.28;"[0.93928215 0.94638652 0.94416282 0.94358304 0.94285715 0.94226204
 0.94778804 0.94091509 0.94679906 0.93943808]";79.34$\pm$0.93;"[0.78989415 0.80066991 0.80378189 0.79525727 0.78504603 0.79969525
 0.80926661 0.78724662 0.78433763 0.77917093]";93.24$\pm$0.33;"[0.92788605 0.93256714 0.93323766 0.92984581 0.93200578 0.93054386
 0.93959913 0.93010431 0.93706052 0.93099439]";95.05$\pm$0.24;"[0.94816744 0.95244297 0.9478987  0.94984088 0.94960807 0.94738801
 0.95415492 0.95218167 0.94943768 0.95383649]";94.46$\pm$0.25;"[0.94228566 0.94746181 0.94562046 0.94283237 0.94387703 0.94361162
 0.95030297 0.94208647 0.94583574 0.94229791]";94.57$\pm$1.06;"[0.94916237 0.95405104 0.95470061 0.94202317 0.94912348 0.95168507
 0.9530028  0.92114088 0.95109936 0.93085853]";95.42$\pm$0.11;"[0.95369624 0.95472356 0.9538522  0.95581166 0.95387795 0.95347373
 0.95523717 0.95227674 0.95544674 0.95323651]";95.18$\pm$0.29;"[0.94913765 0.95360277 0.95224829 0.95192549 0.95168216 0.94942392
 0.95656459 0.9491854  0.95642874 0.94788747]";95.22$\pm$0.23;"[0.95144978 0.95185851 0.95283424 0.94960699 0.95318167 0.95183662
 0.95571787 0.95033927 0.95614888 0.94874822]";79.36$\pm$0.92;"[0.79114557 0.79954858 0.80413901 0.79620982 0.78440382 0.80027448
 0.80912057 0.78690021 0.7854325  0.77916791]";94.22$\pm$0.28;"[0.93596736 0.944976   0.94571786 0.94016396 0.94243327 0.94318366
 0.94429693 0.94115434 0.94389932 0.9399246 ]";79.36$\pm$0.92;"[0.79114557 0.79954858 0.80413901 0.79620982 0.78440382 0.80027448
 0.80912057 0.78690021 0.7854325  0.77916791]";95.57$\pm$0.24;"[0.95399671 0.95823577 0.95698671 0.95126152 0.95664621 0.95405063
 0.95721013 0.95295061 0.95946608 0.95656779]";94.03$\pm$0.32;"[0.93495412 0.93484989 0.94422165 0.94067253 0.93828532 0.94098159
 0.94341861 0.93990069 0.94389164 0.94157517]";94.03$\pm$0.31;"[0.93850941 0.94125339 0.93946071 0.94061441 0.9370863  0.9342426
 0.94590474 0.94321957 0.94168636 0.94069871]";94.78$\pm$0.21;"[0.94589527 0.94589658 0.95024124 0.94795898 0.94708431 0.94679388
 0.95296899 0.94654736 0.94806894 0.94662725]";94.36$\pm$0.24;"[0.93818794 0.94308187 0.94625372 0.94322789 0.94274395 0.94255986
 0.94644194 0.94261256 0.94653532 0.94463753]";94.81$\pm$0.29;"[0.94609081 0.95047854 0.94843881 0.94952664 0.94638699 0.94960638
 0.95086861 0.94278239 0.95207717 0.94430869]";93.4$\pm$0.25;"[0.93054808 0.93658547 0.93449486 0.93433137 0.92844289 0.93480455
 0.9366938  0.93354184 0.93423618 0.93618901]";93.98$\pm$0.33;"[0.93279298 0.93950972 0.94439608 0.93597682 0.939731   0.93834882
 0.94361795 0.94066252 0.94135396 0.94201782]";94.52$\pm$0.3;"[0.94601823 0.94088195 0.94462904 0.94544545 0.94051644 0.94686803
 0.94475436 0.94373978 0.95153899 0.9472107 ]";95.47$\pm$0.32;"[0.95274587 0.94717039 0.9548456  0.95765557 0.95353304 0.95687233
 0.95986632 0.95435384 0.95509398 0.95525311]";91.93$\pm$0.46;"[0.91175012 0.91632556 0.91723197 0.92532465 0.9152068  0.92046088
 0.92563295 0.91592799 0.92079888 0.92479751]";94.52$\pm$0.39;"[0.94334427 0.93552456 0.94716217 0.9493333  0.9457328  0.94663371
 0.94746647 0.94252517 0.9492387  0.94470095]";95.03$\pm$0.18;"[0.94823759 0.95025411 0.94962613 0.94988871 0.9508125  0.9479166
 0.95383439 0.94957557 0.95290511 0.94975349]"
AP;96.21$\pm$0.22;"[0.95895351 0.95998335 0.96332052 0.96205317 0.96000097 0.96013581
 0.96550582 0.9634896  0.96203427 0.96546226]";96.08$\pm$0.21;"[0.95639127 0.96279297 0.9618392  0.95902828 0.96123085 0.96099898
 0.96264745 0.95812787 0.96225014 0.96262922]";96.55$\pm$0.14;"[0.96352703 0.96665337 0.96425481 0.96418446 0.96578573 0.96615593
 0.9658766  0.9661119  0.96849725 0.96408756]";96.09$\pm$0.19;"[0.95718704 0.96268974 0.96171248 0.96076105 0.96142431 0.96018532
 0.96186253 0.95931338 0.96438305 0.95913358]";95.91$\pm$0.22;"[0.95549359 0.95604614 0.96035665 0.95790253 0.96002828 0.95810667
 0.95948175 0.95969257 0.96331397 0.96070263]";95.86$\pm$0.18;"[0.95458987 0.96044953 0.95808823 0.95764762 0.95996531 0.95865286
 0.95976036 0.9585381  0.96132116 0.95722781]";82.45$\pm$0.68;"[0.82187645 0.83218884 0.82891595 0.82399305 0.81749744 0.82787585
 0.83757056 0.82208365 0.81607518 0.81660654]";95.12$\pm$0.28;"[0.94665164 0.95048108 0.95186039 0.94707208 0.95162421 0.95138685
 0.95511364 0.95040058 0.95589814 0.95122172]";96.27$\pm$0.17;"[0.96066529 0.96417787 0.96064326 0.96142312 0.96192591 0.96173957
 0.96354721 0.9642627  0.96262941 0.96609708]";95.93$\pm$0.23;"[0.95504632 0.96035701 0.95566649 0.95965709 0.96004915 0.95944227
 0.96269028 0.95804981 0.96208586 0.9596191 ]";95.82$\pm$1.36;"[0.96503482 0.96763873 0.96747074 0.95537792 0.96310359 0.96639585
 0.96563935 0.92534147 0.96571599 0.94012872]";96.54$\pm$0.11;"[0.96632397 0.96487261 0.96327367 0.96474573 0.96556088 0.96493733
 0.96520745 0.96568566 0.96780672 0.96574495]";96.38$\pm$0.17;"[0.96192112 0.96352615 0.96239861 0.96368598 0.96364563 0.96370411
 0.96508666 0.96404746 0.968024   0.96231359]";96.43$\pm$0.18;"[0.96448505 0.9614287  0.96528782 0.96146408 0.96564628 0.96521696
 0.96651695 0.96341509 0.96615689 0.96301827]";82.44$\pm$0.67;"[0.82293726 0.83043079 0.82972646 0.8246637  0.81696642 0.82884875
 0.83677974 0.82159541 0.81564842 0.81618767]";95.82$\pm$0.23;"[0.9541907  0.95822512 0.96058633 0.95469972 0.9600918  0.96016942
 0.95928549 0.95779123 0.96024329 0.95624723]";82.44$\pm$0.67;"[0.82293726 0.83043079 0.82972646 0.8246637  0.81696642 0.82884875
 0.83677974 0.82159541 0.81564842 0.81618767]";96.61$\pm$0.17;"[0.96456674 0.96714502 0.96683651 0.96192081 0.96641856 0.96532952
 0.96780213 0.96634561 0.96818451 0.96661666]";95.93$\pm$0.2;"[0.95641173 0.95580549 0.96030163 0.95743191 0.95900777 0.96041316
 0.96170192 0.95958408 0.96203297 0.96066006]";95.29$\pm$0.19;"[0.95163721 0.95310713 0.95034765 0.95451364 0.95290146 0.9495378
 0.95239677 0.95459287 0.95463354 0.95545838]";96.35$\pm$0.1;"[0.96161026 0.96284713 0.96290672 0.96377417 0.96446042 0.96385816
 0.96532805 0.96323614 0.9629647  0.96432623]";96.06$\pm$0.26;"[0.95843775 0.95386    0.96182794 0.96019948 0.96142161 0.96182405
 0.9621762  0.96084615 0.96307106 0.96274112]";96.25$\pm$0.26;"[0.96014166 0.96303159 0.96227486 0.96320266 0.96234232 0.96420624
 0.96436789 0.95682706 0.96698788 0.96173221]";95.25$\pm$0.16;"[0.95058897 0.95397486 0.95197194 0.95236832 0.94942832 0.95368291
 0.95452492 0.95263866 0.95154394 0.95408675]";95.71$\pm$0.22;"[0.95295735 0.9559406  0.95871734 0.95351757 0.95751451 0.95698107
 0.95880615 0.95770635 0.95913529 0.9592695 ]";96.09$\pm$0.24;"[0.96182319 0.95715303 0.9593596  0.96073293 0.95969505 0.96230737
 0.96002903 0.95916369 0.96651299 0.96192322]";96.78$\pm$0.15;"[0.96600572 0.96502161 0.96822594 0.96814982 0.96648902 0.96850543
 0.97071137 0.96750881 0.96831991 0.96904589]";94.64$\pm$0.26;"[0.94221641 0.94426952 0.94480011 0.94998782 0.94517031 0.94782708
 0.94910248 0.94368981 0.94653147 0.94995234]";96.16$\pm$0.21;"[0.95965449 0.95711566 0.96278993 0.96403607 0.96232915 0.96199367
 0.96177703 0.95993647 0.96460878 0.9616176 ]";96.47$\pm$0.18;"[0.96420435 0.96404997 0.96368668 0.96176485 0.96548418 0.96357792
 0.96787237 0.96312936 0.9673511  0.96574783]"
