metrics;csgcl,enc:gcn_bgrl,pred:mlp,random_mean;csgcl,enc:gcn_bgrl,pred:mlp,random;csgcl,enc:gcn_bgrl,pred:mlp,deg_mean;csgcl,enc:gcn_bgrl,pred:mlp,deg;csgcl,enc:gcn_bgrl,pred:mlp,pr_mean;csgcl,enc:gcn_bgrl,pred:mlp,pr;csgcl,enc:gcn_bgrl,pred:mlp,evc_mean;csgcl,enc:gcn_bgrl,pred:mlp,evc;csgcl,enc:gcn_bgrl,pred:mlp,scom_mean;csgcl,enc:gcn_bgrl,pred:mlp,scom;infomap_prob_pred_mean;infomap_prob_pred;csgcl,enc:gcn_bgrl,pred:mlp,sbm_fast_mean;csgcl,enc:gcn_bgrl,pred:mlp,sbm_fast;csgcl,enc:gcn_bgrl,pred:mlp,sbm_fast2_mean;csgcl,enc:gcn_bgrl,pred:mlp,sbm_fast2;leiden_prob_pred_mean;leiden_prob_pred;csgcl,enc:gcn_bgrl,pred:mlp,sbm_fast_cheat_mean;csgcl,enc:gcn_bgrl,pred:mlp,sbm_fast_cheat;csgcl,enc:gcn_bgrl,pred:mlp,sbm_fast2_cheat_mean;csgcl,enc:gcn_bgrl,pred:mlp,sbm_fast2_cheat
Hits@20;69.83$\pm$2.99;"[0.696794   0.63710778 0.67155525 0.66609823 0.70361528 0.71452933
 0.73567531 0.71452933 0.73533424 0.70770805]";76.23$\pm$1.97;"[0.7404502  0.75886767 0.74420191 0.78001364 0.72612551 0.76432469
 0.78410641 0.78103683 0.75750341 0.7861528 ]";70.89$\pm$4.81;"[0.67633015 0.72271487 0.62858117 0.64529332 0.71521146 0.75648022
 0.67564802 0.72748977 0.76944065 0.7718281 ]";72.65$\pm$3.68;"[0.67360164 0.67496589 0.70668486 0.71452933 0.70429741 0.77967258
 0.75750341 0.72135061 0.77216917 0.76023192]";61.63$\pm$4.2;"[0.67462483 0.52796726 0.58867667 0.61834925 0.59959072 0.62210095
 0.58526603 0.63165075 0.67735334 0.63710778]";38.58$\pm$1.61;"[0.39358799 0.37858117 0.35845839 0.37244202 0.38199181 0.38847203
 0.39972715 0.37858117 0.38472033 0.42155525]";68.14$\pm$3.08;"[0.65347885 0.68212824 0.61391542 0.66780355 0.7005457  0.72510232
 0.71725784 0.68690314 0.69713506 0.66950887]";69.4$\pm$4.04;"[0.67530696 0.67087312 0.61869031 0.64870396 0.71930423 0.73772169
 0.70190996 0.68315143 0.72851296 0.75545703]";38.58$\pm$1.61;"[0.39358799 0.37858117 0.35845839 0.37244202 0.38199181 0.38847203
 0.39972715 0.37858117 0.38472033 0.42155525]";72.05$\pm$1.37;"[0.70634379 0.71043656 0.72271487 0.71521146 0.72510232 0.73055935
 0.69645293 0.72578445 0.74897681 0.72373806]";69.58$\pm$2.67;"[0.64051842 0.71418827 0.66984993 0.72169168 0.71896317 0.70190996
 0.68451569 0.70668486 0.67223738 0.72748977]"
Hits@50;81.5$\pm$1.11;"[0.81070941 0.8079809  0.8042292  0.80763984 0.82162347 0.83049113
 0.82503411 0.82503411 0.82332879 0.79399727]";82.06$\pm$0.61;"[0.81616644 0.82639836 0.80457026 0.81923602 0.82094134 0.82469304
 0.82332879 0.82571623 0.82230559 0.82298772]";82.09$\pm$1.32;"[0.79195089 0.82060027 0.81139154 0.80832196 0.83219645 0.83287858
 0.82742156 0.8260573  0.83867667 0.81991814]";84.16$\pm$1.38;"[0.83253752 0.81991814 0.8212824  0.83663029 0.85504775 0.85607094
 0.85504775 0.8526603  0.85368349 0.83287858]";74.07$\pm$1.43;"[0.74351978 0.73055935 0.73362892 0.72953615 0.7148704  0.74795362
 0.75341064 0.73601637 0.76909959 0.74863574]";42.75$\pm$1.39;"[0.42633015 0.44167804 0.39495225 0.42598909 0.42291951 0.42701228
 0.44611187 0.41746248 0.43042292 0.44167804]";75.1$\pm$0.82;"[0.75443383 0.74761255 0.73806276 0.74351978 0.75886767 0.75818554
 0.76261937 0.75920873 0.74420191 0.74283765]";80.45$\pm$1.06;"[0.81036835 0.81139154 0.79809004 0.78478854 0.81036835 0.81514325
 0.80354707 0.79399727 0.79604366 0.8212824 ]";42.75$\pm$1.39;"[0.42633015 0.44167804 0.39495225 0.42598909 0.42291951 0.42701228
 0.44611187 0.41746248 0.43042292 0.44167804]";78.67$\pm$1.49;"[0.77080491 0.80763984 0.79126876 0.75989086 0.77592087 0.7994543
 0.78649386 0.7994543  0.80115962 0.77455662]";80.91$\pm$1.17;"[0.81548431 0.81070941 0.80491132 0.80457026 0.80081855 0.80081855
 0.82298772 0.82639836 0.78547067 0.81889495]"
Hits@100;85.32$\pm$0.63;"[0.85641201 0.85334243 0.84549795 0.85027285 0.85300136 0.85436562
 0.85641201 0.86459754 0.85709413 0.84072306]";85.15$\pm$0.5;"[0.84924966 0.85368349 0.84174625 0.84890859 0.85231924 0.85436562
 0.85607094 0.85470668 0.85914052 0.84515689]";86.22$\pm$0.84;"[0.86186903 0.86459754 0.85572988 0.85027285 0.87346521 0.86323329
 0.86255116 0.86732606 0.87517053 0.84822647]";87.57$\pm$0.41;"[0.87141883 0.87517053 0.87482947 0.87039563 0.88062756 0.87619372
 0.87824011 0.87721692 0.88301501 0.86971351]";79.63$\pm$1.09;"[0.79774898 0.78751705 0.79058663 0.79672578 0.77523874 0.80081855
 0.80900409 0.78922237 0.81616644 0.79979536]";48.09$\pm$1.52;"[0.48874488 0.49283765 0.45463847 0.47646658 0.46316508 0.48840382
 0.50818554 0.46657572 0.48021828 0.48942701]";78.69$\pm$0.64;"[0.78888131 0.78751705 0.77728513 0.78035471 0.78956344 0.79126876
 0.79911323 0.79229195 0.78035471 0.78206003]";85.04$\pm$0.38;"[0.84208731 0.8478854  0.84720327 0.84890859 0.8526603  0.85095498
 0.85538881 0.85231924 0.85095498 0.85538881]";48.09$\pm$1.52;"[0.48874488 0.49283765 0.45463847 0.47646658 0.46316508 0.48840382
 0.50818554 0.46657572 0.48021828 0.48942701]";82.87$\pm$0.86;"[0.81855389 0.84174625 0.83390177 0.80968622 0.82776262 0.83663029
 0.82742156 0.83253752 0.82844475 0.83015007]";85.45$\pm$0.55;"[0.85948158 0.84652115 0.85641201 0.85504775 0.85538881 0.85538881
 0.85879945 0.86084584 0.84208731 0.85538881]"
ROCAUC;94.02$\pm$0.21;"[0.93941017 0.94188995 0.94001955 0.93876183 0.93925281 0.93995857
 0.94401684 0.93969373 0.94289212 0.93629385]";94.39$\pm$0.35;"[0.94255536 0.9471403  0.94704116 0.94285285 0.94013661 0.94147235
 0.94982936 0.93957079 0.94798615 0.9408337 ]";94.79$\pm$0.22;"[0.94738091 0.94926991 0.94886156 0.94701771 0.95001665 0.94705078
 0.94917964 0.94472417 0.95152695 0.94426371]";94.98$\pm$0.32;"[0.94393823 0.95360707 0.95157634 0.95011091 0.94844985 0.94982714
 0.95466494 0.94579745 0.95203889 0.94824873]";92.98$\pm$0.36;"[0.92648445 0.93285216 0.92826005 0.9274078  0.92947458 0.93275589
 0.93610465 0.92413662 0.93337316 0.92719066]";86.27$\pm$0.53;"[0.85894091 0.8633526  0.86128919 0.86247157 0.86528363 0.86028105
 0.8757292  0.85721317 0.86601056 0.85642073]";92.72$\pm$0.32;"[0.92504656 0.93215693 0.92478914 0.92753103 0.92485956 0.92793891
 0.93436046 0.9246733  0.92561218 0.92546917]";94.58$\pm$0.28;"[0.94285734 0.94646283 0.9459926  0.9441829  0.94403539 0.9454621
 0.95191589 0.94192799 0.9491637  0.94551399]";86.27$\pm$0.53;"[0.85894091 0.8633526  0.86128919 0.86247157 0.86528363 0.86028105
 0.8757292  0.85721317 0.86601056 0.85642073]";95.69$\pm$0.28;"[0.95392232 0.95982765 0.95869738 0.95491001 0.95209498 0.95484299
 0.96010731 0.95614498 0.95720838 0.96106924]";96.78$\pm$0.1;"[0.96692899 0.96854702 0.96775647 0.96847362 0.96957417 0.96794405
 0.96738404 0.96785933 0.96571101 0.96826009]"
AP;95.6$\pm$0.24;"[0.95474645 0.95435491 0.95682167 0.95147194 0.95533309 0.95807475
 0.95994104 0.9573564  0.95783926 0.95377802]";96.1$\pm$0.2;"[0.96077745 0.96331481 0.96208172 0.96032201 0.95850245 0.96003452
 0.96356519 0.95811006 0.96371886 0.95918426]";95.99$\pm$0.21;"[0.96156101 0.95705443 0.95817215 0.95944935 0.95884921 0.9582457
 0.95980148 0.95937572 0.96480088 0.96141581]";96.1$\pm$0.3;"[0.95610632 0.95985558 0.9641461  0.96131032 0.96169751 0.96130385
 0.96359831 0.95494341 0.96337451 0.96361002]";94.53$\pm$0.29;"[0.94360702 0.94581822 0.94142787 0.94404973 0.94507045 0.94863227
 0.94895026 0.94054859 0.94914562 0.94533455]";87.94$\pm$0.46;"[0.8763055  0.8746771  0.87657301 0.87889511 0.88066466 0.88025001
 0.89152293 0.87546812 0.88158743 0.87836494]";94.49$\pm$0.31;"[0.93987424 0.9489021  0.94220871 0.945168   0.94234014 0.94699891
 0.95048354 0.94268914 0.94627716 0.94392558]";95.91$\pm$0.23;"[0.95725527 0.95681551 0.95890802 0.95690258 0.9590356  0.96096404
 0.96251375 0.95689843 0.96340666 0.95834942]";87.94$\pm$0.46;"[0.8763055  0.8746771  0.87657301 0.87889511 0.88066466 0.88025001
 0.89152293 0.87546812 0.88158743 0.87836494]";96.53$\pm$0.21;"[0.96345991 0.96781829 0.96561556 0.96235432 0.9623014  0.96432073
 0.96705163 0.9647693  0.96676392 0.96856473]";97.15$\pm$0.2;"[0.97053675 0.97239514 0.9730377  0.97166112 0.97346624 0.97197556
 0.96647729 0.97340992 0.97021412 0.97222569]"
pretrain_time;19.09$\pm$0.08;"[19.03836632 19.01832867 19.04461646 19.03989148 19.03546214 19.28219867
 19.04622579 19.10130715 19.11381483 19.13093185]";25.36$\pm$0.08;"[25.37485981 25.39299893 25.28204226 25.27648115 25.30002427 25.55201268
 25.39633203 25.31093526 25.34334326 25.35775471]";22.19$\pm$0.13;"[22.10753703 22.0904386  22.09401107 22.10311389 22.14119124 22.10141492
 22.14863729 22.41100621 22.19702101 22.47994685]";35.08$\pm$0.15;"[35.34493685 35.07912612 35.08856249 35.06509972 35.03824306 35.18734813
 34.94280815 34.92985964 34.85651302 35.28550839]";36.7$\pm$0.02;"[36.70595479 36.66610074 36.65137768 36.71787381 36.70607042 36.73101497
 36.6885097  36.72338343 36.70025539 36.71995735]";nan$\pm$nan;[];1.33$\pm$0.01;"[1.34003067 1.32836103 1.33282661 1.32761288 1.33350635 1.31456161
 1.32443953 1.34478045 1.33215833 1.33444452]";44.03$\pm$0.52;"[44.46486616 44.36279035 43.4987998  43.22850776 44.77926636 44.22348118
 44.1529243  43.84283185 43.263026   44.48817825]";nan$\pm$nan;[];9.71$\pm$0.09;"[9.67963886 9.69566894 9.69476438 9.68724465 9.64990544 9.70884657
 9.66564655 9.67725348 9.98401332 9.69789743]";8.24$\pm$0.12;"[8.15866518 8.20722103 8.18561983 8.19641829 8.5021224  8.17410684
 8.17339253 8.44913578 8.16903949 8.15158367]"
