metrics;infomap_prob_pred_mean;infomap_prob_pred;bgrl,enc:gcn_bgrl,pred:mlp,sbm_fast_mean;bgrl,enc:gcn_bgrl,pred:mlp,sbm_fast;louvain_prob_pred_mean;louvain_prob_pred;bgrl,enc:gcn_bgrl,pred:mlp,sbm_fast+deg_mean;bgrl,enc:gcn_bgrl,pred:mlp,sbm_fast+deg;leiden_prob_pred_mean;leiden_prob_pred;bgrl,enc:gcn_bgrl,pred:mlp,sbm_fast+evc_mean;bgrl,enc:gcn_bgrl,pred:mlp,sbm_fast+evc;bgrl,enc:gcn_bgrl,pred:mlp,sbm_fast+pr_mean;bgrl,enc:gcn_bgrl,pred:mlp,sbm_fast+pr;bgrl,enc:gcn_bgrl,pred:mlp,sbm_fast+scom_mean;bgrl,enc:gcn_bgrl,pred:mlp,sbm_fast+scom;bgrl,enc:gcn_bgrl,pred:mlp,sbm_fast2_mean;bgrl,enc:gcn_bgrl,pred:mlp,sbm_fast2;grace,enc:gcn_bgrl,pred:mlp,sbm_fast_mean;grace,enc:gcn_bgrl,pred:mlp,sbm_fast;grace,enc:gcn_bgrl,pred:mlp,sbm_fast+deg_mean;grace,enc:gcn_bgrl,pred:mlp,sbm_fast+deg;grace,enc:gcn_bgrl,pred:mlp,sbm_fast+evc_mean;grace,enc:gcn_bgrl,pred:mlp,sbm_fast+evc;grace,enc:gcn_bgrl,pred:mlp,sbm_fast+pr_mean;grace,enc:gcn_bgrl,pred:mlp,sbm_fast+pr;grace,enc:gcn_bgrl,pred:mlp,sbm_fast+scom_mean;grace,enc:gcn_bgrl,pred:mlp,sbm_fast+scom;grace,enc:gcn_bgrl,pred:mlp,sbm_fast2_mean;grace,enc:gcn_bgrl,pred:mlp,sbm_fast2;lbgrl,enc:gcn_bgrl,pred:mlp,sbm_fast_mean;lbgrl,enc:gcn_bgrl,pred:mlp,sbm_fast;lbgrl,enc:gcn_bgrl,pred:mlp,sbm_fast+deg_mean;lbgrl,enc:gcn_bgrl,pred:mlp,sbm_fast+deg;lbgrl,enc:gcn_bgrl,pred:mlp,sbm_fast+evc_mean;lbgrl,enc:gcn_bgrl,pred:mlp,sbm_fast+evc;lbgrl,enc:gcn_bgrl,pred:mlp,sbm_fast+pr_mean;lbgrl,enc:gcn_bgrl,pred:mlp,sbm_fast+pr;lbgrl,enc:gcn_bgrl,pred:mlp,sbm_fast+scom_mean;lbgrl,enc:gcn_bgrl,pred:mlp,sbm_fast+scom;lbgrl,enc:gcn_bgrl,pred:mlp,sbm_fast2_mean;lbgrl,enc:gcn_bgrl,pred:mlp,sbm_fast2;lgrace,enc:gcn_bgrl,pred:mlp,sbm_fast_mean;lgrace,enc:gcn_bgrl,pred:mlp,sbm_fast;lgrace,enc:gcn_bgrl,pred:mlp,sbm_fast+deg_mean;lgrace,enc:gcn_bgrl,pred:mlp,sbm_fast+deg;lgrace,enc:gcn_bgrl,pred:mlp,sbm_fast+evc_mean;lgrace,enc:gcn_bgrl,pred:mlp,sbm_fast+evc;lgrace,enc:gcn_bgrl,pred:mlp,sbm_fast+pr_mean;lgrace,enc:gcn_bgrl,pred:mlp,sbm_fast+pr;lgrace,enc:gcn_bgrl,pred:mlp,sbm_fast+scom_mean;lgrace,enc:gcn_bgrl,pred:mlp,sbm_fast+scom;lgrace,enc:gcn_bgrl,pred:mlp,sbm_fast2_mean;lgrace,enc:gcn_bgrl,pred:mlp,sbm_fast2
Hits@20;21.05$\pm$1.11;"[0.19504396 0.2126299  0.20223821 0.2126299  0.23501199 0.21183054
 0.20623501 0.21023181 0.22142286 0.19744205]";32.69$\pm$3.08;"[0.31814548 0.2773781  0.33093525 0.34292566 0.33733014 0.3381295
 0.30455635 0.37569944 0.36370903 0.27977618]";21.05$\pm$1.11;"[0.19504396 0.2126299  0.20223821 0.2126299  0.23501199 0.21183054
 0.20623501 0.21023181 0.22142286 0.19744205]";34.04$\pm$4.05;"[0.34532374 0.28776978 0.3501199  0.34292566 0.37170264 0.36290967
 0.29816147 0.37969624 0.39808153 0.26698641]";21.05$\pm$1.11;"[0.19504396 0.2126299  0.20223821 0.2126299  0.23501199 0.21183054
 0.20623501 0.21023181 0.22142286 0.19744205]";19.66$\pm$4.44;"[0.31334932 0.23101519 0.19584333 0.17745803 0.14308553 0.18065548
 0.17505995 0.17426059 0.19984013 0.17505995]";31.89$\pm$5.11;"[0.37330136 0.28457234 0.33733014 0.36690647 0.38689049 0.25739408
 0.26618705 0.28297362 0.37490008 0.25819345]";35.61$\pm$3.34;"[0.32454037 0.33093525 0.36530775 0.38928857 0.37410072 0.36690647
 0.32374101 0.36131095 0.42046363 0.30455635]";30.45$\pm$3.57;"[0.29416467 0.27338129 0.29416467 0.29416467 0.28297362 0.31494804
 0.27897682 0.39568345 0.33892886 0.2773781 ]";27.22$\pm$2.09;"[0.24460432 0.29496403 0.27817746 0.27897682 0.27498002 0.30535572
 0.2773781  0.23820943 0.2470024  0.28217426]";27.95$\pm$1.52;"[0.2813749  0.32214229 0.27817746 0.26378897 0.27817746 0.27817746
 0.26618705 0.27178257 0.27657874 0.27897682]";12.57$\pm$5.38;"[0.23820943 0.22142286 0.07274181 0.0991207  0.13029576 0.09432454
 0.09592326 0.10311751 0.09752198 0.10471623]";10.5$\pm$1.13;"[0.08153477 0.12230216 0.10951239 0.10231815 0.10231815 0.09272582
 0.10231815 0.11830536 0.10631495 0.11191047]";20.74$\pm$2.81;"[0.19264588 0.18705036 0.16786571 0.22541966 0.21582734 0.20463629
 0.2206235  0.21422862 0.27098321 0.17505995]";17.18$\pm$2.62;"[0.20543565 0.1598721  0.17026379 0.18944844 0.16067146 0.18305356
 0.14708233 0.20463629 0.11510791 0.1822542 ]";28.96$\pm$1.74;"[0.26618705 0.31654676 0.28057554 0.3077538  0.26139089 0.29816147
 0.30855316 0.28457234 0.28057554 0.29176659]";28.63$\pm$4.88;"[0.32533973 0.28377298 0.22701839 0.36211031 0.24380496 0.29256595
 0.24940048 0.37330136 0.25659472 0.24940048]";26.48$\pm$3.25;"[0.33653078 0.3077538  0.24380496 0.2773781  0.23661071 0.26618705
 0.23261391 0.25419664 0.26059153 0.23261391]";26.01$\pm$9.03;"[0.30695444 0.28457234 0.29096723 0.33253397 0.24220624 0.01518785
 0.25979217 0.36690647 0.27018385 0.23181455]";34.12$\pm$3.34;"[0.37969624 0.32853717 0.33733014 0.38209432 0.34452438 0.29976019
 0.31494804 0.38768985 0.35251799 0.2853717 ]";22.61$\pm$2.11;"[0.22941647 0.21742606 0.18705036 0.23261391 0.23341327 0.20223821
 0.24780176 0.2509992  0.25259792 0.20703437]";20.99$\pm$2.11;"[0.1822542  0.22861711 0.21582734 0.21183054 0.21822542 0.17026379
 0.21422862 0.21982414 0.19264588 0.24540368]";28.93$\pm$2.35;"[0.29096723 0.27817746 0.27338129 0.34132694 0.27977618 0.28856914
 0.26858513 0.32533973 0.26618705 0.28057554]";25.96$\pm$2.01;"[0.24540368 0.2470024  0.2773781  0.31015188 0.27098321 0.25819345
 0.24540368 0.24460432 0.2470024  0.24940048]";28.02$\pm$1.32;"[0.27018385 0.27577938 0.28457234 0.3077538  0.29016787 0.29016787
 0.26698641 0.27498002 0.25899281 0.28217426]";29.02$\pm$1.11;"[0.30215827 0.29096723 0.29976019 0.30615508 0.29576339 0.29656275
 0.27258193 0.2813749  0.2773781  0.27897682]";25.57$\pm$0.96;"[0.26059153 0.2470024  0.26698641 0.27258193 0.24940048 0.26458833
 0.25259792 0.23980815 0.25339728 0.25019984]"
Hits@50;22.81$\pm$1.1;"[0.21342926 0.23421263 0.22621902 0.22701839 0.2509992  0.2246203
 0.22621902 0.22621902 0.23980815 0.21183054]";49.48$\pm$3.53;"[0.58593125 0.48681055 0.48441247 0.50119904 0.50839329 0.47002398
 0.4676259  0.49640288 0.50119904 0.44604317]";22.81$\pm$1.1;"[0.21342926 0.23421263 0.22621902 0.22701839 0.2509992  0.2246203
 0.22621902 0.22621902 0.23980815 0.21183054]";49.96$\pm$3.95;"[0.58513189 0.48441247 0.4756195  0.50519584 0.51798561 0.48361311
 0.47482014 0.53557154 0.50439648 0.42925659]";22.81$\pm$1.1;"[0.21342926 0.23421263 0.22621902 0.22701839 0.2509992  0.2246203
 0.22621902 0.22621902 0.23980815 0.21183054]";25.55$\pm$7.13;"[0.42206235 0.36690647 0.23181455 0.22701839 0.20703437 0.21023181
 0.2166267  0.21023181 0.23980815 0.22302158]";46.75$\pm$4.1;"[0.54676259 0.42046363 0.45083933 0.47961631 0.52278177 0.40527578
 0.46442846 0.4676259  0.47801759 0.43884892]";52.96$\pm$3.64;"[0.60351719 0.53876898 0.51398881 0.53077538 0.54756195 0.50519584
 0.5019984  0.54596323 0.54996003 0.45803357]";43.33$\pm$3.33;"[0.49560352 0.39968026 0.44364508 0.41406875 0.41806555 0.45003997
 0.38289369 0.48041567 0.4332534  0.41486811]";33.83$\pm$1.93;"[0.32054357 0.33013589 0.35411671 0.36770584 0.34372502 0.36450839
 0.32294165 0.30375699 0.33173461 0.34372502]";35.48$\pm$2.84;"[0.32214229 0.3988809  0.3764988  0.30935252 0.37969624 0.38209432
 0.32933653 0.3381295  0.3461231  0.36610711]";18.46$\pm$4.82;"[0.27657874 0.25899281 0.10791367 0.17426059 0.20623501 0.17825739
 0.17426059 0.14548361 0.16546763 0.15827338]";17.45$\pm$1.86;"[0.15907274 0.18065548 0.15747402 0.16946443 0.17426059 0.15427658
 0.17026379 0.17266187 0.18385292 0.22302158]";31.07$\pm$3.78;"[0.25979217 0.26698641 0.35411671 0.2773781  0.30375699 0.31894484
 0.31654676 0.3197442  0.39088729 0.29896083]";26.43$\pm$2.69;"[0.31414868 0.23900879 0.27577938 0.27018385 0.24540368 0.26698641
 0.23501199 0.29416467 0.22382094 0.27897682]";42.29$\pm$3.98;"[0.49160671 0.48920863 0.41806555 0.42845723 0.36610711 0.38609113
 0.42525979 0.42206235 0.37729816 0.42525979]";41.63$\pm$8.09;"[0.56994404 0.43884892 0.35971223 0.48361311 0.36211031 0.39728217
 0.32613909 0.52917666 0.33892886 0.35731415]";38.45$\pm$8.54;"[0.60431655 0.48441247 0.37170264 0.34132694 0.34772182 0.33253397
 0.32294165 0.34532374 0.33253397 0.36211031]";36.6$\pm$11.96;"[0.46522782 0.43804956 0.38928857 0.4756195  0.32853717 0.04236611
 0.39328537 0.44764189 0.35571543 0.32454037]";50.29$\pm$4.16;"[0.5971223  0.50119904 0.50679456 0.50919265 0.51318945 0.46442846
 0.48521183 0.53796962 0.47961631 0.43405276]";35.94$\pm$2.44;"[0.38289369 0.34452438 0.34532374 0.38129496 0.38609113 0.33972822
 0.35411671 0.39248601 0.35571543 0.3117506 ]";29.76$\pm$3.38;"[0.26458833 0.30615508 0.28936851 0.3197442  0.3685052  0.26059153
 0.31894484 0.25419664 0.27498002 0.31894484]";32.09$\pm$3.08;"[0.32693845 0.29816147 0.29336531 0.37410072 0.29976019 0.3197442
 0.30215827 0.38449241 0.30455635 0.30615508]";29.72$\pm$2.59;"[0.31654676 0.34132694 0.30535572 0.3381295  0.29176659 0.28297362
 0.26938449 0.26298961 0.28217426 0.2813749 ]";32.63$\pm$1.49;"[0.31734612 0.32533973 0.3197442  0.35731415 0.33733014 0.32454037
 0.3381295  0.32374101 0.29736211 0.32214229]";32.49$\pm$1.2;"[0.3501199  0.31654676 0.3197442  0.34052758 0.32374101 0.33413269
 0.31654676 0.3157474  0.32054357 0.31095124]";27.6$\pm$1.06;"[0.27817746 0.27098321 0.28617106 0.29176659 0.27258193 0.28297362
 0.26618705 0.25979217 0.28856914 0.26298961]"
Hits@100;26.23$\pm$1.42;"[0.24380496 0.25819345 0.25419664 0.26298961 0.29496403 0.25339728
 0.26378897 0.25819345 0.28057554 0.25259792]";63.18$\pm$1.93;"[0.67226219 0.62669864 0.63309353 0.60831335 0.63788969 0.60991207
 0.60991207 0.6538769  0.63629097 0.62989608]";26.23$\pm$1.42;"[0.24380496 0.25819345 0.25419664 0.26298961 0.29496403 0.25339728
 0.26378897 0.25819345 0.28057554 0.25259792]";63.88$\pm$2.25;"[0.69144684 0.62909672 0.64108713 0.61870504 0.65307754 0.61390887
 0.62110312 0.66027178 0.63229416 0.627498  ]";26.23$\pm$1.42;"[0.24380496 0.25819345 0.25419664 0.26298961 0.29496403 0.25339728
 0.26378897 0.25819345 0.28057554 0.25259792]";30.53$\pm$8.51;"[0.49320544 0.45243805 0.28776978 0.26618705 0.26378897 0.24460432
 0.25179856 0.2509992  0.27338129 0.26858513]";57.83$\pm$3.9;"[0.61790568 0.53397282 0.5891287  0.5931255  0.64828137 0.5019984
 0.58353317 0.56354916 0.5891287  0.5627498 ]";66.5$\pm$2.0;"[0.70663469 0.65947242 0.66506795 0.63868905 0.67865707 0.64028777
 0.64668265 0.68185452 0.67466027 0.6578737 ]";54.58$\pm$2.47;"[0.58752998 0.51638689 0.54036771 0.51079137 0.56434852 0.53717026
 0.52118305 0.57953637 0.55555556 0.54516387]";40.11$\pm$2.3;"[0.39328537 0.38609113 0.42845723 0.41966427 0.40047962 0.441247
 0.3804956  0.35971223 0.39168665 0.41007194]";42.53$\pm$3.42;"[0.36131095 0.46442846 0.43884892 0.38129496 0.45003997 0.47002398
 0.41886491 0.39728217 0.42366107 0.44764189]";24.08$\pm$3.8;"[0.31734612 0.28617106 0.17985612 0.25579536 0.254996   0.2430056
 0.20943245 0.20943245 0.22382094 0.22861711]";26.61$\pm$2.48;"[0.24380496 0.27258193 0.25819345 0.26298961 0.26858513 0.22222222
 0.27897682 0.25659472 0.27338129 0.32374101]";39.28$\pm$4.9;"[0.3157474  0.32294165 0.45883293 0.38129496 0.42366107 0.41167066
 0.36051159 0.40207834 0.47082334 0.3804956 ]";36.29$\pm$2.09;"[0.38928857 0.35411671 0.3461231  0.35891287 0.34692246 0.38689049
 0.3381295  0.39408473 0.33733014 0.37729816]";52.61$\pm$4.14;"[0.55715428 0.60271783 0.51398881 0.51718625 0.4756195  0.47881695
 0.57154277 0.5323741  0.4716227  0.53956835]";51.52$\pm$8.44;"[0.66266986 0.55955236 0.45803357 0.58513189 0.47242206 0.49320544
 0.40527578 0.6314948  0.42366107 0.46043165]";46.63$\pm$10.15;"[0.6802558  0.64028777 0.4716227  0.41007194 0.41406875 0.38449241
 0.38129496 0.41167066 0.40207834 0.46682654]";46.63$\pm$14.26;"[0.57553957 0.54756195 0.49080735 0.59072742 0.42046363 0.07753797
 0.51239009 0.56914468 0.46522782 0.41406875]";62.24$\pm$3.58;"[0.70583533 0.64268585 0.61870504 0.61390887 0.63309353 0.56834532
 0.63309353 0.62669864 0.60031974 0.58113509]";46.5$\pm$2.24;"[0.45483613 0.49160671 0.44684253 0.50039968 0.46682654 0.45003997
 0.43485212 0.49240608 0.47322142 0.43884892]";36.51$\pm$4.2;"[0.33013589 0.36610711 0.33892886 0.37490008 0.4756195  0.3685052
 0.37010392 0.31734612 0.33413269 0.37569944]";35.79$\pm$3.7;"[0.37569944 0.32134293 0.32933653 0.42525979 0.33493205 0.35891287
 0.3381295  0.42605915 0.33093525 0.3381295 ]";32.49$\pm$2.84;"[0.34692246 0.37809752 0.32294165 0.3685052  0.30615508 0.31814548
 0.29736211 0.28856914 0.31414868 0.30855316]";37.26$\pm$1.66;"[0.36930456 0.37490008 0.35571543 0.40207834 0.3804956  0.37010392
 0.37729816 0.38289369 0.33573141 0.37729816]";35.91$\pm$1.3;"[0.38689049 0.34452438 0.35411671 0.3804956  0.35971223 0.35731415
 0.35411671 0.35171863 0.35251799 0.34932054]";30.27$\pm$1.75;"[0.29576339 0.30215827 0.32533973 0.31734612 0.29416467 0.30855316
 0.28856914 0.28217426 0.33413269 0.27897682]"
ROCAUC;60.06$\pm$1.19;"[0.57659644 0.59459579 0.59421176 0.61469034 0.61159194 0.59306288
 0.59078684 0.60722517 0.61312549 0.60986351]";83.74$\pm$0.86;"[0.84685186 0.82406082 0.83965633 0.82722791 0.84083844 0.8389132
 0.82923717 0.84808476 0.83042886 0.84860329]";60.06$\pm$1.19;"[0.57659644 0.59459579 0.59421176 0.61469034 0.61159194 0.59306288
 0.59078684 0.60722517 0.61312549 0.60986351]";84.18$\pm$1.15;"[0.85974993 0.83930074 0.84218924 0.83344483 0.86163747 0.83830042
 0.83203429 0.84217646 0.84731767 0.8220589 ]";60.06$\pm$1.19;"[0.57659644 0.59459579 0.59421176 0.61469034 0.61159194 0.59306288
 0.59078684 0.60722517 0.61312549 0.60986351]";55.27$\pm$9.47;"[0.75910047 0.72043564 0.53111212 0.50357923 0.50595878 0.48415688
 0.49023547 0.51395814 0.51156006 0.50666294]";80.15$\pm$3.47;"[0.81210811 0.76132923 0.82630299 0.81523973 0.85930105 0.72839826
 0.79010748 0.78920269 0.82371641 0.80916562]";86.1$\pm$0.66;"[0.86736622 0.86345887 0.85731063 0.84803077 0.87006398 0.86320073
 0.85368444 0.86247389 0.86752852 0.85687996]";75.56$\pm$1.3;"[0.77255669 0.74047716 0.75697651 0.74156023 0.76202891 0.75156821
 0.73391614 0.77270558 0.76831836 0.75631134]";68.08$\pm$2.69;"[0.66908903 0.64186764 0.69799892 0.71874203 0.65469479 0.71993596
 0.67084302 0.64669032 0.69297911 0.69490946]";68.97$\pm$4.87;"[0.61027181 0.72618803 0.71828005 0.61733443 0.73608387 0.72917941
 0.68135484 0.63395998 0.69897879 0.74495256]";55.16$\pm$3.75;"[0.59422774 0.52832299 0.50498434 0.56587568 0.60833955 0.52742139
 0.48990767 0.54685652 0.59262901 0.55756258]";63.54$\pm$1.55;"[0.62235392 0.63188714 0.62605232 0.64591588 0.61055999 0.63433985
 0.64345007 0.62370599 0.64854336 0.66746986]";68.82$\pm$5.58;"[0.60180217 0.60590536 0.71416057 0.66319574 0.70712894 0.74612668
 0.63067052 0.73321487 0.76386597 0.71609251]";71.22$\pm$2.01;"[0.72892413 0.70888836 0.70728773 0.72058612 0.7158168  0.72481551
 0.68974333 0.74810112 0.67122513 0.70704683]";75.68$\pm$2.51;"[0.77114104 0.80227553 0.75914967 0.74802828 0.72880433 0.73121487
 0.78640429 0.74367045 0.72318931 0.77429982]";73.33$\pm$7.06;"[0.83934515 0.75228131 0.65385453 0.80791769 0.71772414 0.72802637
 0.62355807 0.82770746 0.6635344  0.71911903]";69.92$\pm$7.39;"[0.84603908 0.81383079 0.69175962 0.66944813 0.69854588 0.60604881
 0.61942005 0.64500917 0.67917528 0.72319027]";71.5$\pm$14.86;"[0.80051003 0.78692474 0.7628813  0.81139405 0.68224365 0.29840492
 0.76694647 0.84352278 0.73320848 0.66374111]";83.49$\pm$1.79;"[0.87102948 0.85525185 0.83729148 0.8270097  0.8423116  0.80182249
 0.83304484 0.83513525 0.8236688  0.82269149]";73.77$\pm$1.48;"[0.72973436 0.75194521 0.72326024 0.75424361 0.74298611 0.74401805
 0.70584428 0.75530495 0.73940272 0.7306302 ]";66.25$\pm$4.19;"[0.64406157 0.66289958 0.6467277  0.63432867 0.78065349 0.67466794
 0.64505646 0.62796701 0.63949033 0.6689459 ]";59.23$\pm$4.91;"[0.65285358 0.52906196 0.55722648 0.66245581 0.55785587 0.61294402
 0.5768942  0.66480533 0.56624628 0.54274023]";52.67$\pm$2.21;"[0.52321149 0.56641306 0.53660285 0.55815747 0.5039262  0.53362841
 0.52983289 0.49737668 0.51822139 0.50002173]";64.27$\pm$1.84;"[0.64836221 0.67528168 0.6328194  0.64563218 0.64259831 0.61712516
 0.62103347 0.66089894 0.62254785 0.66080086]";56.32$\pm$1.53;"[0.58834467 0.54089742 0.5782565  0.58361113 0.54980796 0.55936897
 0.54410956 0.55880603 0.56432743 0.56431466]";54.66$\pm$3.76;"[0.5089115  0.54394726 0.58879643 0.56426737 0.51431149 0.55025652
 0.53549487 0.49595655 0.62866797 0.5358233 ]"
AP;66.31$\pm$0.82;"[0.64627945 0.66149106 0.65932641 0.66994012 0.67795016 0.65635926
 0.65973195 0.66487693 0.66959792 0.66511795]";86.24$\pm$0.67;"[0.87263411 0.85200512 0.86294872 0.85723632 0.86765103 0.86213303
 0.85280133 0.87201215 0.86098247 0.86354082]";66.31$\pm$0.82;"[0.64627945 0.66149106 0.65932641 0.66994012 0.67795016 0.65635926
 0.65973195 0.66487693 0.66959792 0.66511795]";86.64$\pm$1.01;"[0.88181022 0.85887996 0.86639321 0.86035396 0.88098026 0.8650446
 0.85706611 0.87181625 0.8724628  0.84872278]";66.31$\pm$0.82;"[0.64627945 0.66149106 0.65932641 0.66994012 0.67795016 0.65635926
 0.65973195 0.66487693 0.66959792 0.66511795]";65.15$\pm$6.82;"[0.80244474 0.76902721 0.63701524 0.61747613 0.61295453 0.60404812
 0.60729743 0.61422266 0.62812666 0.62216835]";83.96$\pm$2.32;"[0.85292385 0.81157056 0.85547853 0.84814861 0.87834583 0.79219968
 0.83255113 0.83189856 0.85531726 0.83766885]";87.88$\pm$0.67;"[0.8842689  0.87713357 0.8785181  0.86871237 0.88800704 0.88021975
 0.87205802 0.88296833 0.88734457 0.86916989]";81.18$\pm$1.11;"[0.82151051 0.79757021 0.81532772 0.79767604 0.81673162 0.81248008
 0.79491421 0.82979785 0.8207239  0.81123633]";75.01$\pm$1.76;"[0.74221642 0.72727794 0.76313404 0.77491735 0.73895559 0.77670411
 0.74199369 0.72266458 0.75378698 0.75917673]";75.86$\pm$2.93;"[0.70930801 0.78533514 0.77437392 0.71570923 0.78573105 0.78428816
 0.75173964 0.72820211 0.76136857 0.79031722]";62.14$\pm$3.27;"[0.68315222 0.6428573  0.56868783 0.62430126 0.65945222 0.60823412
 0.58251199 0.60086965 0.62861856 0.61527604]";66.94$\pm$1.37;"[0.65214754 0.67430319 0.65813968 0.6722547  0.65361167 0.65924191
 0.67709656 0.66760455 0.68063947 0.6989187 ]";74.53$\pm$3.6;"[0.68490562 0.69223166 0.76242899 0.73318943 0.76118327 0.77769257
 0.71499181 0.77293712 0.79996047 0.75298893]";74.36$\pm$1.65;"[0.76359691 0.73794767 0.74280818 0.74655348 0.74118894 0.75832982
 0.72384047 0.76620902 0.70961336 0.74578877]";80.89$\pm$1.76;"[0.81983104 0.84062135 0.80994996 0.80585469 0.78460356 0.7923265
 0.82964779 0.80355459 0.78498558 0.8175042 ]";79.44$\pm$4.91;"[0.86893851 0.80922268 0.74372437 0.84467731 0.77906736 0.79175522
 0.71960488 0.86341591 0.74524169 0.77803326]";76.52$\pm$5.27;"[0.87075524 0.84974376 0.76480584 0.74238026 0.75795156 0.70285433
 0.70904211 0.72810553 0.74774646 0.77833467]";76.71$\pm$12.15;"[0.83697689 0.82034018 0.80470703 0.84558431 0.74798999 0.42112275
 0.80985794 0.86157417 0.78735932 0.73503241]";86.07$\pm$1.29;"[0.8865648  0.87127833 0.86350944 0.85933939 0.86773429 0.84019844
 0.85542314 0.86484597 0.8554217  0.84239094]";77.46$\pm$1.28;"[0.76900996 0.77982814 0.75950104 0.79162282 0.7820171  0.76942262
 0.75564599 0.79572532 0.78049912 0.7631189 ]";72.62$\pm$2.76;"[0.70991279 0.72947423 0.71274083 0.71539105 0.80335845 0.72759339
 0.72019723 0.70389841 0.70462926 0.73500664]";69.99$\pm$3.23;"[0.73338589 0.65918871 0.67741154 0.74978016 0.67779659 0.70947915
 0.68720119 0.75241454 0.68012537 0.6719933 ]";65.75$\pm$1.72;"[0.66049117 0.68375409 0.66357275 0.6894109  0.64300415 0.65949678
 0.65134601 0.63309121 0.65079174 0.64011311]";72.64$\pm$1.09;"[0.72691236 0.74239033 0.71992648 0.73368136 0.72984964 0.71321114
 0.71561684 0.73837277 0.7085711  0.73548766]";68.8$\pm$1.0;"[0.70542944 0.67371679 0.69531036 0.70346844 0.6821571  0.68826308
 0.67694592 0.68281664 0.68710291 0.68445526]";66.44$\pm$2.09;"[0.64468801 0.66331521 0.68928325 0.67631439 0.64770016 0.67047759
 0.65570341 0.63477956 0.70750717 0.65395927]"
pretrain_time;nan$\pm$nan;[];2.61$\pm$0.02;"[2.62751269 2.60763001 2.60905313 2.65193939 2.59263515 2.59778142
 2.60541582 2.59158754 2.58421421 2.58383393]";nan$\pm$nan;[];4.84$\pm$0.04;"[4.84806538 4.77900028 4.81054974 4.89151669 4.82005382 4.84225583
 4.89319324 4.78562284 4.79183173 4.89935613]";nan$\pm$nan;[];3.55$\pm$0.05;"[3.52484393 3.6582973  3.5886395  3.53082991 3.52915883 3.61832023
 3.56653357 3.49753118 3.46941423 3.55267501]";23.79$\pm$0.26;"[23.93263197 23.61685848 23.5248332  23.43264508 24.33120894 23.996701
 23.97357082 23.74083018 23.78332686 23.58788967]";5.13$\pm$0.05;"[5.12323833 5.08552694 5.18848848 5.13564539 5.09602332 5.06766796
 5.22546268 5.12953734 5.13064075 5.08762598]";3.47$\pm$0.06;"[3.45443034 3.45127392 3.45465875 3.44890952 3.44769096 3.47160721
 3.47818089 3.6408484  3.44870567 3.44762993]";3.48$\pm$0.01;"[3.48200345 3.48255825 3.4821744  3.47396779 3.47480083 3.49202156
 3.47884488 3.4836216  3.47398067 3.48336983]";16.37$\pm$0.16;"[16.49695587 16.22125626 16.28237486 16.69719172 16.51471996 16.43426728
 16.43437362 16.27919555 16.24725151 16.11864352]";132.06$\pm$3.79;"[136.32546163 134.66367936 140.52232695 132.47177386 128.72896433
 128.56453848 128.22952628 130.48902512 130.4503231  130.15875626]";20.5$\pm$0.31;"[21.07225204 20.29681802 20.73876905 20.55641031 20.31497812 20.13083959
 20.29592752 20.07867098 20.67410755 20.8398037 ]";105.03$\pm$2.14;"[107.33459401 104.25836182 104.1098578  103.01552224 102.16476846
 105.09532332 104.16383839 110.0474484  105.66426754 104.49059391]";34.09$\pm$0.07;"[34.23083663 34.15345359 34.02387261 34.00238204 34.06027675 34.0289917
 34.03880835 34.18197131 34.06132674 34.12907648]";82.9$\pm$0.18;"[83.17340279 83.0252285  82.80331874 82.79269719 82.63894224 82.87793207
 82.70639205 82.80276275 83.03764391 83.18705606]";89.11$\pm$1.11;"[90.8319242  89.90512609 89.58503151 89.05446339 88.22179914 88.48749542
 88.35679674 87.09090233 88.8398571  90.73696566]";92.14$\pm$0.88;"[91.80842066 93.45170999 92.61801338 92.28329325 91.48075819 91.46483517
 91.57166815 90.53305006 92.95490575 93.21473408]";5.12$\pm$0.06;"[5.18141341 5.1129694  5.08810377 5.11430907 5.04335403 5.00215244
 5.20425582 5.14642811 5.14621949 5.14393139]";5.74$\pm$0.05;"[5.8392303  5.74891019 5.7085259  5.67513275 5.67498899 5.77506924
 5.75417495 5.76091886 5.74910498 5.68421221]";1.71$\pm$0.01;"[1.7185843  1.6973021  1.69243217 1.71900177 1.69741654 1.70530725
 1.72151947 1.71534348 1.72202182 1.7175324 ]";64.24$\pm$0.42;"[64.57598186 63.93093252 64.86208653 63.81899834 65.02120399 64.2770555
 64.19749999 63.77820826 64.02091837 63.92214656]";24.83$\pm$0.17;"[25.13781738 24.83242512 24.78324056 25.06606531 24.97366619 24.68307161
 24.8460505  24.66903281 24.68866777 24.59235835]";24.71$\pm$0.18;"[25.03567743 24.76297092 24.88696361 24.70126081 24.73014832 24.71541309
 24.75162792 24.28978896 24.62705731 24.63846421]";4.51$\pm$0.08;"[4.5607636  4.50844789 4.52791166 4.46884489 4.49085212 4.68845415
 4.49158907 4.5114882  4.40418696 4.39874244]";150.42$\pm$0.91;"[150.19837213 150.57112646 151.57500911 151.71750641 149.05846381
 149.88211823 151.76861787 149.88478208 149.7037971  149.80311656]";44.32$\pm$0.19;"[44.77704382 44.17290592 44.38271809 44.32285833 44.11380506 44.13720989
 44.22443485 44.26173282 44.31918836 44.51231456]"
