metrics;baseline,enc:gcn_bgrl,pred:mlp_mean;baseline,enc:gcn_bgrl,pred:mlp;bgrl,enc:gcn_bgrl,pred:mlp,random_mean;bgrl,enc:gcn_bgrl,pred:mlp,random
Hits@20;32.83$\pm$2.56;"[0.31441048 0.34930299 0.33149983 0.28312899 0.35064662 0.36223547
 0.33956164 0.3283087  0.28401075 0.34027545]";23.53$\pm$3.7;"[0.21523346 0.21901243 0.2084733  0.19230769 0.27909809 0.30945583
 0.26734128 0.24710279 0.21960027 0.19537286]"
Hits@50;48.9$\pm$2.36;"[0.4694743  0.49256802 0.45032751 0.4602788  0.50390494 0.52036446
 0.50008398 0.52305173 0.47195163 0.49806853]";39.43$\pm$3.84;"[0.39360094 0.38747061 0.35157037 0.36425092 0.41568693 0.48736144
 0.41975983 0.39696003 0.37374034 0.35241014]"
Hits@100;63.82$\pm$3.0;"[0.67190124 0.65292241 0.58028216 0.60144441 0.65187269 0.64973127
 0.6334397  0.67324488 0.60765872 0.65938865]";53.53$\pm$2.86;"[0.55496305 0.52746053 0.51305845 0.51163084 0.54811891 0.6007306
 0.55433322 0.53388478 0.50571045 0.50348505]"
ROCAUC;98.78$\pm$0.07;"[0.98801074 0.98815067 0.98627324 0.9867714  0.98854893 0.9885322
 0.98795323 0.98811587 0.98743437 0.98837698]";98.41$\pm$0.1;"[0.98425747 0.9843403  0.98413476 0.98307247 0.98517458 0.98585146
 0.9851203  0.98280905 0.98297313 0.98347728]"
AP;98.81$\pm$0.08;"[0.9884159  0.98845822 0.98646201 0.98684698 0.98874832 0.98900385
 0.98852366 0.98870902 0.98727908 0.98859923]";98.35$\pm$0.13;"[0.9839123  0.98352351 0.98330583 0.98179252 0.984768   0.9859459
 0.98482267 0.98269334 0.98195321 0.98240476]"
pretrain_time;nan$\pm$nan;[];1.78$\pm$0.0;"[1.78190231 1.78221035 1.77729011 1.77885938 1.77924323 1.77832818
 1.77960992 1.77768302 1.77884626 1.78072524]"
