metrics;baseline,enc:gcn_bgrl,pred:mlp_mean;baseline,enc:gcn_bgrl,pred:mlp;bgrl,enc:gcn_bgrl,pred:mlp,random_mean;bgrl,enc:gcn_bgrl,pred:mlp,random;bgrl,enc:gcn_bgrl,pred:mlp,deg_mean;bgrl,enc:gcn_bgrl,pred:mlp,deg;bgrl,enc:gcn_bgrl,pred:mlp,evc_mean;bgrl,enc:gcn_bgrl,pred:mlp,evc;bgrl,enc:gcn_bgrl,pred:mlp,pr_mean;bgrl,enc:gcn_bgrl,pred:mlp,pr;bgrl,enc:gcn_bgrl,pred:mlp,scom_mean;bgrl,enc:gcn_bgrl,pred:mlp,scom;infomap_prob_pred_mean;infomap_prob_pred;bgrl,enc:gcn_bgrl,pred:mlp,sbm_fast+random_mean;bgrl,enc:gcn_bgrl,pred:mlp,sbm_fast+random;bgrl,enc:gcn_bgrl,pred:mlp,sbm_fast_cheat+random_mean;bgrl,enc:gcn_bgrl,pred:mlp,sbm_fast_cheat+random;grace,enc:gcn_bgrl,pred:mlp,random_mean;grace,enc:gcn_bgrl,pred:mlp,random;grace,enc:gcn_bgrl,pred:mlp,deg_mean;grace,enc:gcn_bgrl,pred:mlp,deg;grace,enc:gcn_bgrl,pred:mlp,evc_mean;grace,enc:gcn_bgrl,pred:mlp,evc;grace,enc:gcn_bgrl,pred:mlp,pr_mean;grace,enc:gcn_bgrl,pred:mlp,pr;grace,enc:gcn_bgrl,pred:mlp,scom_mean;grace,enc:gcn_bgrl,pred:mlp,scom;grace,enc:gcn_bgrl,pred:mlp,sbm_fast+random_mean;grace,enc:gcn_bgrl,pred:mlp,sbm_fast+random;grace,enc:gcn_bgrl,pred:mlp,sbm_fast_cheat+random_mean;grace,enc:gcn_bgrl,pred:mlp,sbm_fast_cheat+random;lbgrl,enc:gcn_bgrl,pred:mlp,random_mean;lbgrl,enc:gcn_bgrl,pred:mlp,random;lbgrl,enc:gcn_bgrl,pred:mlp,deg_mean;lbgrl,enc:gcn_bgrl,pred:mlp,deg;lbgrl,enc:gcn_bgrl,pred:mlp,evc_mean;lbgrl,enc:gcn_bgrl,pred:mlp,evc;lbgrl,enc:gcn_bgrl,pred:mlp,pr_mean;lbgrl,enc:gcn_bgrl,pred:mlp,pr;lbgrl,enc:gcn_bgrl,pred:mlp,scom_mean;lbgrl,enc:gcn_bgrl,pred:mlp,scom;lbgrl,enc:gcn_bgrl,pred:mlp,sbm_fast+random_mean;lbgrl,enc:gcn_bgrl,pred:mlp,sbm_fast+random;lbgrl,enc:gcn_bgrl,pred:mlp,sbm_fast_cheat+random_mean;lbgrl,enc:gcn_bgrl,pred:mlp,sbm_fast_cheat+random
Hits@20;60.64$\pm$2.09;"[0.59763097 0.61955062 0.61234583 0.6323727  0.59891318 0.64482843
 0.607217   0.58084015 0.59775308 0.57284162]";34.56$\pm$3.49;"[0.32061302 0.34698986 0.34528025 0.42373916 0.35724753 0.31975821
 0.32421541 0.29423617 0.33899133 0.38447918]";38.39$\pm$2.02;"[0.37257296 0.36597875 0.41494688 0.3894859  0.41317621 0.35468311
 0.39601905 0.36158261 0.39705703 0.37385517]";32.76$\pm$3.75;"[0.29496886 0.29173281 0.41445842 0.35224081 0.33331298 0.32391012
 0.32561973 0.30553181 0.354561   0.27994871]";36.09$\pm$3.79;"[0.35504946 0.39669068 0.3590182  0.44742948 0.3087068  0.33502259
 0.34369276 0.32513127 0.38368543 0.35486628]";33.18$\pm$4.77;"[0.28294053 0.31701062 0.44822323 0.32122359 0.3623153  0.34088411
 0.28355111 0.28984003 0.36225424 0.30992795]";32.75$\pm$1.35;"[0.28861888 0.33135914 0.33544999 0.33636586 0.32842838 0.32610819
 0.33123703 0.33367933 0.32665771 0.33697643]";25.11$\pm$1.95;"[0.25729637 0.25161802 0.27854439 0.26663817 0.24404689 0.24020027
 0.24948101 0.20466479 0.27164489 0.24636708]";27.56$\pm$3.57;"[0.29710587 0.23250702 0.25741849 0.31261448 0.35706435 0.27323238
 0.25448773 0.27671266 0.2493589  0.24508487]";42.4$\pm$1.54;"[0.40102577 0.4248382  0.41610697 0.43729393 0.44040786 0.41647332
 0.39644645 0.44333862 0.43576749 0.42844059]";41.44$\pm$2.68;"[0.36426914 0.40835267 0.45292466 0.43356942 0.38820369 0.42740261
 0.4212358  0.38075467 0.43466846 0.4321651 ]";39.45$\pm$4.0;"[0.37635853 0.40090365 0.40352912 0.38356332 0.41183295 0.45298571
 0.44663573 0.31139333 0.40743681 0.35040909]";41.7$\pm$3.3;"[0.39504213 0.44620833 0.42789107 0.46165588 0.4528636  0.37819026
 0.42465503 0.35614849 0.43448529 0.39302723]";38.62$\pm$3.43;"[0.39821712 0.37641959 0.42129686 0.44578093 0.41519111 0.37672487
 0.3363048  0.33337404 0.39339358 0.36481866]";31.37$\pm$2.75;"[0.32659665 0.2635853  0.34668458 0.32183417 0.33850287 0.32561973
 0.31066064 0.26053242 0.32268897 0.32012456]";26.79$\pm$4.64;"[0.23006472 0.27714007 0.35492734 0.22792771 0.29527415 0.27842227
 0.30547075 0.17554036 0.26743192 0.26706558]";32.16$\pm$2.18;"[0.31994138 0.30083038 0.354561   0.28953474 0.34265478 0.32946636
 0.32201734 0.28623764 0.34149469 0.32910001]";27.1$\pm$1.87;"[0.26596654 0.28776407 0.3087068  0.2753694  0.26578337 0.28599341
 0.2380022  0.252656   0.2644401  0.26529491]";28.07$\pm$3.85;"[0.25528148 0.25766272 0.34454756 0.27054585 0.22347051 0.24911467
 0.26914153 0.34222738 0.31609476 0.27921602]";29.57$\pm$3.15;"[0.28611552 0.29930394 0.33123703 0.33453413 0.30321163 0.28214678
 0.27701795 0.2713396  0.3396019  0.23293442]";30.8$\pm$3.15;"[0.28574918 0.29875443 0.3838686  0.31182074 0.32763463 0.29722799
 0.27127854 0.28300159 0.33367933 0.2867261 ]";27.5$\pm$2.33;"[0.29350348 0.24423006 0.27732324 0.27903285 0.24825986 0.32073513
 0.25381609 0.26999634 0.30058615 0.26211992]";25.63$\pm$3.25;"[0.25283917 0.26962999 0.32042984 0.24209305 0.26108194 0.29673953
 0.22878251 0.20991574 0.26321895 0.21803639]"
Hits@50;72.58$\pm$0.94;"[0.70545854 0.72231042 0.73458298 0.72426426 0.73299548 0.73855172
 0.71589938 0.73214068 0.72298205 0.72920992]";50.02$\pm$1.78;"[0.52161436 0.51343265 0.49725241 0.51172304 0.50873122 0.48504091
 0.50909757 0.45579436 0.50476249 0.49487117]";53.51$\pm$2.45;"[0.55751618 0.51025766 0.56404933 0.52216388 0.5707046  0.49432165
 0.5491513  0.5093418  0.53022347 0.54292343]";50.16$\pm$2.58;"[0.53590182 0.49981683 0.53675662 0.52826963 0.50634998 0.49230675
 0.47783612 0.48180486 0.50482354 0.45188668]";52.63$\pm$2.58;"[0.50903651 0.53040664 0.54109171 0.57479546 0.49358896 0.56557577
 0.50067163 0.51660764 0.52478935 0.50598364]";48.84$\pm$2.87;"[0.50036635 0.46244963 0.55971425 0.46776163 0.51123458 0.48876542
 0.46739529 0.49041397 0.47551594 0.46074002]";40.81$\pm$0.95;"[0.4130541  0.40969593 0.41567957 0.41775553 0.40835267 0.39095128
 0.39308829 0.41891562 0.41280987 0.40047625]";38.14$\pm$1.87;"[0.39913298 0.35938454 0.41531323 0.39412627 0.38686042 0.36610087
 0.37110758 0.37300037 0.39473684 0.35382831]";43.0$\pm$1.73;"[0.43784345 0.40139211 0.4130541  0.43338625 0.46483087 0.41610697
 0.4248382  0.42410551 0.43802662 0.44675785]";58.58$\pm$2.13;"[0.56520943 0.57980217 0.6165588  0.58951032 0.57235316 0.57906948
 0.62071071 0.56551471 0.60996459 0.55977531]";55.67$\pm$2.39;"[0.52472829 0.55183783 0.5950055  0.54878496 0.53944316 0.59231896
 0.57253633 0.52546098 0.57162047 0.54548785]";55.97$\pm$2.91;"[0.55110514 0.58230553 0.56484308 0.53553547 0.57711564 0.61826841
 0.56588106 0.50518989 0.55977531 0.53718403]";57.54$\pm$1.66;"[0.55788253 0.57351325 0.58889974 0.57613872 0.58486995 0.5442667
 0.57345219 0.58309928 0.607217   0.56447674]";53.51$\pm$2.49;"[0.51141776 0.5158139  0.56752961 0.56533154 0.5296129  0.52912444
 0.51080718 0.52900232 0.58041275 0.51196727]";44.49$\pm$1.86;"[0.44401026 0.42978386 0.48461351 0.44968861 0.46788375 0.4346074
 0.42599829 0.42166321 0.45219196 0.43833191]";42.98$\pm$3.11;"[0.40560508 0.41311515 0.48107217 0.43650018 0.46641837 0.41366467
 0.45396263 0.3834412  0.45152033 0.39308829]";47.19$\pm$1.73;"[0.48681158 0.47808035 0.47948467 0.48388082 0.48308707 0.4833313
 0.45451215 0.43729393 0.48552937 0.44730736]";39.83$\pm$3.14;"[0.40084259 0.36280376 0.47472219 0.41085603 0.38893638 0.42666992
 0.36829894 0.37348883 0.39101233 0.38563927]";42.66$\pm$2.27;"[0.38698254 0.42691415 0.4699597  0.42007571 0.41415313 0.42453291
 0.40835267 0.44144584 0.45591647 0.41799976]";45.1$\pm$2.4;"[0.45121504 0.46525827 0.45866406 0.45133716 0.42404445 0.46886067
 0.43063866 0.45896935 0.49505434 0.40603248]";44.68$\pm$1.87;"[0.44034681 0.45335206 0.47057028 0.47234095 0.45652705 0.44706313
 0.40163634 0.44132373 0.44162901 0.44278911]";42.16$\pm$3.36;"[0.42905117 0.37269508 0.41128343 0.47264623 0.37861766 0.41580169
 0.41543534 0.40798632 0.48504091 0.42740261]";39.92$\pm$1.55;"[0.37342777 0.41445842 0.41708389 0.38710465 0.40389547 0.38533398
 0.40652094 0.39388204 0.42361705 0.38673831]"
Hits@100;79.32$\pm$0.84;"[0.7822689  0.79032849 0.80400537 0.80101355 0.79368665 0.80644767
 0.79484675 0.78666504 0.79295396 0.78013188]";62.94$\pm$1.02;"[0.64488949 0.62596166 0.64525583 0.61808524 0.62516791 0.60990353
 0.62944193 0.63212847 0.63090731 0.63225058]";64.53$\pm$1.34;"[0.65630724 0.62748809 0.66290145 0.62474051 0.6523385  0.63536451
 0.66094761 0.65581878 0.64336305 0.63420442]";63.13$\pm$1.69;"[0.65197216 0.61643668 0.64794236 0.64910245 0.64409574 0.63518134
 0.62028331 0.61222371 0.63499817 0.60062279]";64.59$\pm$1.46;"[0.64281353 0.64617169 0.65820002 0.66925143 0.64263036 0.65673464
 0.64604958 0.62895347 0.65319331 0.61509342]";61.27$\pm$1.63;"[0.61375015 0.6011723  0.64336305 0.5791916  0.61607034 0.60190499
 0.6185737  0.61619245 0.60727806 0.6291977 ]";48.53$\pm$1.05;"[0.48894859 0.47453902 0.51184516 0.48314813 0.49371108 0.47698132
 0.47466113 0.48217121 0.48455245 0.48229332]";50.51$\pm$1.51;"[0.52045427 0.51947735 0.5251557  0.51428746 0.50183173 0.4793015
 0.48198803 0.49603126 0.51111247 0.5015875 ]";55.4$\pm$1.48;"[0.55989742 0.54109171 0.52955184 0.56533154 0.57345219 0.53242154
 0.56551471 0.54860178 0.55415802 0.5702772 ]";69.36$\pm$1.43;"[0.67651728 0.69709366 0.70973257 0.69288069 0.67389181 0.70924411
 0.71657101 0.68653071 0.69593357 0.67731103]";66.39$\pm$1.63;"[0.64128709 0.65539138 0.69117108 0.67163268 0.65716205 0.67138845
 0.68579802 0.63792893 0.66332886 0.66375626]";66.2$\pm$2.19;"[0.66540481 0.67297594 0.67315912 0.66265722 0.65874954 0.70948834
 0.66662596 0.63359385 0.65239956 0.62516791]";68.06$\pm$0.81;"[0.6690072  0.67627305 0.68958359 0.68060813 0.6705947  0.67187691
 0.68872878 0.6912932  0.68848455 0.67932593]";64.63$\pm$1.65;"[0.63682989 0.63426548 0.65441446 0.66839663 0.65929906 0.65703993
 0.61973379 0.63927219 0.667725   0.62571743]";57.63$\pm$1.67;"[0.56801807 0.57180364 0.59647088 0.55043351 0.60239345 0.552021
 0.58505312 0.56832336 0.5905483  0.57797045]";56.53$\pm$2.21;"[0.55000611 0.55489071 0.59921846 0.57980217 0.60080596 0.54731958
 0.55531811 0.5495787  0.58169496 0.53425327]";58.83$\pm$1.75;"[0.59201368 0.58047381 0.60416412 0.5998901  0.59305165 0.60294297
 0.57052143 0.57742093 0.61173525 0.55092197]";52.99$\pm$2.39;"[0.51416534 0.49993894 0.58334351 0.52826963 0.50537306 0.55409696
 0.51123458 0.5280254  0.54261815 0.53174991]";56.05$\pm$1.94;"[0.55501282 0.57308585 0.59927952 0.541397   0.53016241 0.54756381
 0.55482965 0.55208206 0.58193919 0.56917817]";57.64$\pm$1.45;"[0.55965319 0.56691904 0.55635609 0.58022958 0.57204787 0.60098913
 0.57412382 0.59634876 0.5905483  0.56710221]";56.26$\pm$1.55;"[0.5747344  0.56606423 0.59103676 0.56429356 0.57485651 0.54695323
 0.53229943 0.56264501 0.56111857 0.55238735]";55.32$\pm$2.33;"[0.57687141 0.53932104 0.52008792 0.58438149 0.51923312 0.54805227
 0.5438393  0.55312004 0.58926609 0.55824887]";52.66$\pm$1.17;"[0.53547442 0.52698742 0.5357797  0.53284894 0.53101722 0.51776774
 0.53590182 0.49719135 0.51856148 0.53419221]"
ROCAUC;97.0$\pm$0.15;"[0.97074613 0.97046255 0.97064078 0.96912943 0.96878971 0.97100065
 0.96989926 0.96875825 0.97314087 0.96753036]";96.27$\pm$0.12;"[0.96073584 0.96334865 0.96435657 0.96214913 0.96270696 0.9629515
 0.96396611 0.96198954 0.96394041 0.96056608]";96.29$\pm$0.15;"[0.96305035 0.96255667 0.96535599 0.96304877 0.96282434 0.96228847
 0.96323102 0.96219252 0.96506668 0.9594579 ]";97.42$\pm$0.11;"[0.97254737 0.97392379 0.97529528 0.97464379 0.97330271 0.97515453
 0.9751988  0.97293504 0.97582016 0.97365489]";97.19$\pm$0.14;"[0.97244941 0.97267466 0.97242665 0.97153513 0.97087118 0.97436356
 0.9718258  0.96944347 0.97314639 0.97008964]";97.46$\pm$0.13;"[0.97452836 0.97403391 0.97514762 0.97246187 0.97505257 0.97463728
 0.97535728 0.97353494 0.97759316 0.97403363]";86.66$\pm$0.22;"[0.86224467 0.86958561 0.86594827 0.86437378 0.86727005 0.86873918
 0.8692587  0.86744842 0.86666747 0.86452344]";95.99$\pm$0.19;"[0.95874051 0.96062774 0.96160016 0.96050266 0.95591098 0.95937969
 0.95839833 0.9594947  0.96288619 0.9617473 ]";96.16$\pm$0.09;"[0.96086561 0.96042545 0.96376164 0.96219157 0.9613689  0.96152296
 0.96155046 0.96191175 0.96221588 0.96046103]";96.38$\pm$0.19;"[0.96173561 0.96407714 0.96374733 0.96284155 0.96347489 0.96606505
 0.96563183 0.96341187 0.96703759 0.9601833 ]";96.88$\pm$0.13;"[0.96659188 0.97041095 0.96937706 0.96873528 0.96867963 0.97026152
 0.96948069 0.96782182 0.96970627 0.96691946]";97.24$\pm$0.14;"[0.97165249 0.97264147 0.97307796 0.97104781 0.97165194 0.97504847
 0.97355872 0.97090903 0.97415963 0.97063022]";96.02$\pm$0.12;"[0.9591493  0.96058619 0.96135869 0.95775488 0.96033431 0.96175833
 0.96012243 0.9602185  0.96180542 0.95898623]";97.47$\pm$0.09;"[0.97411978 0.97404403 0.97587984 0.97397595 0.97415558 0.97539339
 0.9756016  0.97433127 0.97583157 0.97337079]";96.77$\pm$0.1;"[0.96695273 0.96681555 0.96831336 0.967273   0.9681465  0.9677825
 0.96919977 0.96712371 0.96953681 0.96602305]";97.48$\pm$0.12;"[0.9738579  0.97452857 0.97585463 0.97465324 0.97423576 0.97451847
 0.97597377 0.97319068 0.97737567 0.97424315]";97.52$\pm$0.06;"[0.97506293 0.97483365 0.97549536 0.97577786 0.97517952 0.97621957
 0.9743306  0.97468294 0.97583895 0.97465745]";96.75$\pm$0.1;"[0.96614583 0.96678579 0.96820889 0.96785726 0.96689173 0.96844379
 0.96789972 0.96626588 0.96940438 0.96678773]";97.16$\pm$0.1;"[0.97081746 0.97162866 0.97163703 0.97158875 0.97047105 0.97153072
 0.97179423 0.97225068 0.97400499 0.97012134]";97.54$\pm$0.07;"[0.97468441 0.97563375 0.9756134  0.97655148 0.97482228 0.97601441
 0.97528263 0.97561829 0.97591487 0.97419224]";97.49$\pm$0.07;"[0.97427929 0.97546152 0.97579092 0.97496648 0.97433477 0.97478328
 0.97426588 0.97457078 0.97640918 0.97447702]";95.34$\pm$1.06;"[0.96264956 0.9433513  0.94315792 0.96201293 0.93978112 0.96322691
 0.96293146 0.93643611 0.96279881 0.95770066]";97.13$\pm$0.07;"[0.97106497 0.97039673 0.97104468 0.97169281 0.97107342 0.97225949
 0.97144092 0.97056802 0.97274296 0.9706455 ]"
AP;97.72$\pm$0.1;"[0.97743281 0.97743437 0.97776319 0.97703022 0.97668445 0.97824228
 0.97667205 0.97609427 0.9790122  0.97553931]";96.94$\pm$0.1;"[0.96804899 0.96978221 0.97095098 0.96959191 0.96959484 0.96954106
 0.96979304 0.96881788 0.97048371 0.96749578]";96.95$\pm$0.11;"[0.96980783 0.96916273 0.97121602 0.96974086 0.96968785 0.96818316
 0.96947209 0.96938449 0.97073536 0.96731438]";97.65$\pm$0.09;"[0.97556182 0.97588003 0.97778305 0.97725083 0.97572652 0.97716671
 0.97709573 0.97519803 0.97761511 0.97551836]";97.53$\pm$0.11;"[0.97576913 0.97611706 0.9758178  0.97578233 0.97420558 0.97678982
 0.975131   0.97326808 0.97631514 0.97357172]";97.65$\pm$0.1;"[0.97648547 0.97587744 0.97772034 0.97484063 0.97705578 0.97590061
 0.97666858 0.97588582 0.97847338 0.97586534]";90.58$\pm$0.13;"[0.90317891 0.90748693 0.90559911 0.90455714 0.90607798 0.90699115
 0.90716806 0.90592476 0.90644929 0.90427966]";96.33$\pm$0.15;"[0.96316545 0.96347111 0.96530296 0.96380474 0.96078023 0.96241023
 0.96194605 0.96239521 0.96593924 0.96415226]";96.62$\pm$0.09;"[0.96606172 0.96422009 0.96713496 0.96741758 0.96725163 0.965723
 0.96608421 0.96640643 0.96627556 0.96548069]";97.13$\pm$0.14;"[0.96979612 0.97154905 0.97147567 0.97091713 0.97138633 0.9726386
 0.97246139 0.97099806 0.97373213 0.96827257]";97.41$\pm$0.09;"[0.97251921 0.97504173 0.97490473 0.9744559  0.97390216 0.97519209
 0.97443132 0.9730624  0.97487737 0.97279965]";97.57$\pm$0.14;"[0.97518558 0.97602885 0.97626487 0.97484601 0.97490683 0.97835493
 0.97675704 0.97382103 0.97678812 0.9736058 ]";96.92$\pm$0.08;"[0.96832452 0.96917069 0.97045401 0.96817976 0.9690639  0.9701633
 0.96911631 0.96905912 0.97055059 0.96827141]";97.73$\pm$0.07;"[0.97663785 0.97685091 0.97848096 0.9778925  0.97722547 0.9777657
 0.97723241 0.97689862 0.97828997 0.97598865]";97.08$\pm$0.09;"[0.96999903 0.96970711 0.97212791 0.97031266 0.97164609 0.97058155
 0.97187725 0.9702889  0.97188931 0.9695018 ]";97.55$\pm$0.13;"[0.97435835 0.97490539 0.97727104 0.97569337 0.97567393 0.97465964
 0.97663185 0.97326448 0.97771023 0.97466019]";97.59$\pm$0.07;"[0.97602808 0.97513565 0.97702756 0.97649788 0.97618627 0.9768336
 0.97490711 0.9753381  0.97631342 0.97494475]";96.94$\pm$0.09;"[0.96818464 0.96873184 0.97101908 0.96989179 0.9686906  0.97002544
 0.96930067 0.96846044 0.97057369 0.96875821]";97.28$\pm$0.1;"[0.97195994 0.97288765 0.97399104 0.97268255 0.97159928 0.97213645
 0.97273948 0.97359018 0.97496112 0.97171996]";97.58$\pm$0.09;"[0.97486594 0.97629216 0.9760858  0.97699975 0.97484128 0.9766605
 0.9751852  0.9760242  0.97688095 0.97413904]";97.49$\pm$0.08;"[0.97454279 0.97514384 0.97651349 0.97545343 0.9745096  0.97463135
 0.9736615  0.97448499 0.9760749  0.97423104]";96.13$\pm$0.72;"[0.96762964 0.95415568 0.95416492 0.96766163 0.9515542  0.96766479
 0.96692842 0.95072275 0.96810118 0.96398067]";97.22$\pm$0.07;"[0.97201331 0.97158732 0.97277364 0.97264595 0.97214882 0.97303575
 0.97213796 0.97134735 0.97357371 0.97121797]"
pretrain_time;nan$\pm$nan;[];64.43$\pm$0.81;"[65.88397956 65.80457497 65.25479102 63.8436842  63.84406877 63.82579184
 63.9520061  64.01359272 63.97388959 63.95303988]";102.94$\pm$0.27;"[102.64063048 102.91863918 102.97413898 102.85400057 103.01688528
 102.84305739 102.77259016 102.90463662 102.81819248 103.69745541]";53.01$\pm$0.92;"[52.25741386 52.33799052 52.23334861 52.40160728 52.4125216  52.37881899
 52.9228785  54.39763761 54.48042059 54.28081894]";26.67$\pm$0.04;"[26.58919072 26.63873529 26.64004731 26.63624835 26.68435431 26.68409801
 26.70708418 26.70275617 26.697505   26.68503833]";26.05$\pm$0.02;"[26.02439904 26.03006649 26.02623415 26.04516697 26.03793263 26.06258845
 26.0751462  26.04586911 26.05647135 26.09312057]";nan$\pm$nan;[];384.3$\pm$10.24;"[383.57214308 403.53698039 386.48218417 401.16382551 387.90012407
 375.44342613 374.51245785 378.80243349 372.13333821 379.49635458]";424.04$\pm$12.23;"[417.67200947 408.54077029 422.96139884 413.62289762 431.52791286
 412.83998752 450.26295424 438.3227365  425.97563767 418.72140574]";47.91$\pm$0.5;"[48.68235064 48.63518476 48.64855814 47.84232831 47.55794358 47.5348835
 47.52458906 47.54708934 47.55434632 47.55698872]";144.22$\pm$0.39;"[144.18050289 144.8392818  144.06301808 144.84390116 144.109478
 144.47191834 144.22468519 144.14869118 143.77923298 143.55441809]";132.05$\pm$1.19;"[130.75693154 130.85966682 130.74847913 130.81402278 131.12325692
 132.98565555 133.17941761 133.35872841 133.34425044 133.28989983]";356.28$\pm$0.28;"[355.92319775 356.70556617 356.77540779 356.40448523 356.27597952
 356.04356384 355.97451305 356.35412645 356.06506133 356.23351216]";49.94$\pm$0.21;"[49.82513738 49.78142476 49.81165099 49.76528502 49.80600214 49.90004587
 50.00373721 50.48999357 50.10542226 49.92140317]";12.93$\pm$0.82;"[13.02050734 12.8463161  15.22115254 12.44595432 12.24618673 12.74233603
 12.2883296  12.65880895 12.55497479 13.30826759]";11.23$\pm$0.46;"[10.92915535 10.76124477 11.20216942 11.25019217 10.8366487  11.06138539
 12.35481906 11.12511563 10.97745275 11.78684878]";29.66$\pm$1.68;"[27.95714259 31.48698139 31.59829903 28.16489601 31.64408112 28.25761223
 28.35365868 32.06586003 28.46123147 28.64952111]";58.45$\pm$0.64;"[57.99905276 59.15609193 59.18539476 58.03253579 59.14915085 57.81312203
 58.23080635 59.19820833 57.38064742 58.36448765]";140.41$\pm$1.02;"[139.36440301 141.81728458 141.55387211 139.83927965 141.45737004
 139.51721525 139.64981961 141.73036528 139.87064648 139.32266045]";57.62$\pm$0.6;"[56.80644703 58.36305571 58.28295517 57.24792361 58.28484678 57.22462296
 57.23797822 58.4128828  57.14985132 57.19230294]";29.85$\pm$0.12;"[29.86388946 29.98657942 29.96842909 29.70670199 29.95901179 29.61095834
 29.85820866 29.97928643 29.78269672 29.81993484]";183.3$\pm$2.6;"[185.03694439 186.30075097 180.54982567 181.74376535 180.67034602
 187.56120062 186.20592499 182.21728802 182.6398468  180.03928971]";62.02$\pm$0.6;"[61.87005162 61.93748689 62.76006746 61.86847711 63.30823874 62.21001363
 61.55066752 60.98978472 61.92478132 61.82542896]"
