metrics;baseline,enc:gcn_bgrl,pred:mlp_mean;baseline,enc:gcn_bgrl,pred:mlp;bgrl,enc:gcn_bgrl,pred:mlp,random_mean;bgrl,enc:gcn_bgrl,pred:mlp,random;bgrl,enc:gcn_bgrl,pred:mlp,deg_mean;bgrl,enc:gcn_bgrl,pred:mlp,deg;bgrl,enc:gcn_bgrl,pred:mlp,evc_mean;bgrl,enc:gcn_bgrl,pred:mlp,evc;bgrl,enc:gcn_bgrl,pred:mlp,pr_mean;bgrl,enc:gcn_bgrl,pred:mlp,pr;bgrl,enc:gcn_bgrl,pred:mlp,scom_mean;bgrl,enc:gcn_bgrl,pred:mlp,scom;leiden_prob_pred_mean;leiden_prob_pred;bgrl,enc:gcn_bgrl,pred:mlp,sbm_fast+random_mean;bgrl,enc:gcn_bgrl,pred:mlp,sbm_fast+random;louvain_prob_pred_mean;louvain_prob_pred;bgrl,enc:gcn_bgrl,pred:mlp,sbm_fast_cheat+random_mean;bgrl,enc:gcn_bgrl,pred:mlp,sbm_fast_cheat+random;grace,enc:gcn_bgrl,pred:mlp,random_mean;grace,enc:gcn_bgrl,pred:mlp,random;grace,enc:gcn_bgrl,pred:mlp,deg_mean;grace,enc:gcn_bgrl,pred:mlp,deg;grace,enc:gcn_bgrl,pred:mlp,evc_mean;grace,enc:gcn_bgrl,pred:mlp,evc;grace,enc:gcn_bgrl,pred:mlp,pr_mean;grace,enc:gcn_bgrl,pred:mlp,pr;grace,enc:gcn_bgrl,pred:mlp,scom_mean;grace,enc:gcn_bgrl,pred:mlp,scom;infomap_prob_pred_mean;infomap_prob_pred;grace,enc:gcn_bgrl,pred:mlp,sbm_fast+random_mean;grace,enc:gcn_bgrl,pred:mlp,sbm_fast+random;grace,enc:gcn_bgrl,pred:mlp,sbm_fast_cheat+random_mean;grace,enc:gcn_bgrl,pred:mlp,sbm_fast_cheat+random;lbgrl,enc:gcn_bgrl,pred:mlp,random_mean;lbgrl,enc:gcn_bgrl,pred:mlp,random;lbgrl,enc:gcn_bgrl,pred:mlp,deg_mean;lbgrl,enc:gcn_bgrl,pred:mlp,deg;lbgrl,enc:gcn_bgrl,pred:mlp,evc_mean;lbgrl,enc:gcn_bgrl,pred:mlp,evc;lbgrl,enc:gcn_bgrl,pred:mlp,pr_mean;lbgrl,enc:gcn_bgrl,pred:mlp,pr;lbgrl,enc:gcn_bgrl,pred:mlp,scom_mean;lbgrl,enc:gcn_bgrl,pred:mlp,scom;lbgrl,enc:gcn_bgrl,pred:mlp,sbm_fast+random_mean;lbgrl,enc:gcn_bgrl,pred:mlp,sbm_fast+random;lbgrl,enc:gcn_bgrl,pred:mlp,sbm_fast_cheat+random_mean;lbgrl,enc:gcn_bgrl,pred:mlp,sbm_fast_cheat+random;lgrace,enc:gcn_bgrl,pred:mlp,random_mean;lgrace,enc:gcn_bgrl,pred:mlp,random;lgrace,enc:gcn_bgrl,pred:mlp,deg_mean;lgrace,enc:gcn_bgrl,pred:mlp,deg;lgrace,enc:gcn_bgrl,pred:mlp,evc_mean;lgrace,enc:gcn_bgrl,pred:mlp,evc;lgrace,enc:gcn_bgrl,pred:mlp,pr_mean;lgrace,enc:gcn_bgrl,pred:mlp,pr;lgrace,enc:gcn_bgrl,pred:mlp,scom_mean;lgrace,enc:gcn_bgrl,pred:mlp,scom;lgrace,enc:gcn_bgrl,pred:mlp,sbm_fast+random_mean;lgrace,enc:gcn_bgrl,pred:mlp,sbm_fast+random;lgrace,enc:gcn_bgrl,pred:mlp,sbm_fast_cheat+random_mean;lgrace,enc:gcn_bgrl,pred:mlp,sbm_fast_cheat+random
Hits@20;25.78$\pm$1.26;"[0.26024279 0.23823976 0.24886191 0.25417299 0.26783005 0.2754173
 0.26176024 0.27389985 0.26024279 0.23748103]";20.43$\pm$1.22;"[0.21092564 0.17450683 0.20713202 0.20561457 0.21168437 0.20257967
 0.2185129  0.20864947 0.21320182 0.19044006]";25.45$\pm$3.25;"[0.26631259 0.19499241 0.19044006 0.25341426 0.27465857 0.26707132
 0.284522   0.28603945 0.2723824  0.25493171]";23.76$\pm$0.84;"[0.24203338 0.22989378 0.22913505 0.22685888 0.24430956 0.25341426
 0.22913505 0.23975721 0.24582701 0.23520486]";18.63$\pm$1.11;"[0.19499241 0.18057663 0.18057663 0.19878604 0.19954476 0.17754173
 0.20030349 0.18588771 0.16540212 0.17981791]";26.58$\pm$0.92;"[0.26479514 0.26403642 0.25872534 0.26251897 0.2784522  0.25796662
 0.2723824  0.2784522  0.2723824  0.24810319]";30.49$\pm$1.82;"[0.31487102 0.28679818 0.33687405 0.31031866 0.29514416 0.27465857
 0.30500759 0.3292868  0.30576631 0.28983308]";31.54$\pm$2.59;"[0.32094082 0.31562974 0.34673748 0.31411229 0.31487102 0.30728376
 0.32397572 0.34370258 0.32018209 0.24658574]";30.49$\pm$1.82;"[0.31487102 0.28679818 0.33687405 0.31031866 0.29514416 0.27465857
 0.30500759 0.3292868  0.30576631 0.28983308]";59.97$\pm$9.31;"[0.58345979 0.59939302 0.57890744 0.7814871  0.70333839 0.55842185
 0.65629742 0.4339909  0.60091047 0.50075873]";30.36$\pm$1.45;"[0.29742033 0.29742033 0.31487102 0.27314112 0.31335357 0.31638847
 0.30955994 0.32245827 0.30576631 0.28603945]";28.26$\pm$1.9;"[0.29438543 0.26024279 0.29742033 0.30349014 0.25644917 0.27389985
 0.31487102 0.27693475 0.2875569  0.26100152]";31.31$\pm$1.53;"[0.31638847 0.31031866 0.33459788 0.29059181 0.31031866 0.3353566
 0.31031866 0.323217   0.31411229 0.28603945]";22.25$\pm$1.52;"[0.24355083 0.2245827  0.24430956 0.22306525 0.22989378 0.19878604
 0.2124431  0.22306525 0.22837633 0.19726859]";30.55$\pm$1.75;"[0.31638847 0.2784522  0.31866464 0.29817906 0.31259484 0.31031866
 0.31031866 0.33687405 0.29666161 0.27693475]";30.49$\pm$1.82;"[0.31487102 0.28679818 0.33687405 0.31031866 0.29514416 0.27465857
 0.30500759 0.3292868  0.30576631 0.28983308]";31.12$\pm$1.36;"[0.31714719 0.28907436 0.33156297 0.30728376 0.30273141 0.31107739
 0.32473445 0.32549317 0.31259484 0.29059181]";65.06$\pm$8.37;"[0.68740516 0.62898331 0.77314112 0.66919575 0.7754173  0.55311077
 0.66236722 0.54628225 0.68437026 0.52579666]";21.9$\pm$0.73;"[0.22610015 0.21396055 0.21927162 0.2185129  0.2276176  0.20940819
 0.21927162 0.23216995 0.21396055 0.20940819]";24.1$\pm$3.01;"[0.24582701 0.19726859 0.22382398 0.20789074 0.26707132 0.22989378
 0.27693475 0.2875569  0.26327769 0.21016692]";20.14$\pm$1.24;"[0.20182094 0.19195751 0.21092564 0.20713202 0.19195751 0.17450683
 0.20940819 0.20257967 0.22230653 0.20106222]";18.85$\pm$2.68;"[0.19726859 0.24203338 0.22685888 0.16009105 0.20409712 0.17526555
 0.16995448 0.176783   0.16009105 0.17223065]";26.76$\pm$0.72;"[0.25569044 0.26251897 0.27693475 0.26176024 0.2693475  0.2723824
 0.26631259 0.27769347 0.27389985 0.25948407]";27.48$\pm$5.28;"[0.30652504 0.18285281 0.1616085  0.30880121 0.29666161 0.27921093
 0.31335357 0.31714719 0.29817906 0.28376328]";51.08$\pm$7.6;"[0.65098634 0.48937785 0.50531108 0.59787557 0.57207891 0.45827011
 0.53793627 0.38239757 0.47116844 0.44233687]";22.22$\pm$1.86;"[0.26176024 0.2185129  0.18740516 0.20637329 0.215478   0.23672231
 0.23368741 0.22306525 0.21699545 0.2215478 ]";30.17$\pm$1.67;"[0.31411229 0.2693475  0.29514416 0.29742033 0.30652504 0.30500759
 0.31183612 0.33080425 0.30804249 0.27921093]";29.85$\pm$1.84;"[0.30424886 0.29059181 0.33004552 0.29210926 0.29059181 0.30652504
 0.28831563 0.31866464 0.30500759 0.25872534]";29.26$\pm$2.08;"[0.30652504 0.2814871  0.30804249 0.24658574 0.30576631 0.29969651
 0.31259484 0.31335357 0.28224583 0.27010622]";29.9$\pm$1.3;"[0.31562974 0.31638847 0.29514416 0.28831563 0.28300455 0.284522
 0.31638847 0.30728376 0.29590288 0.2875569 ]";28.57$\pm$2.3;"[0.29362671 0.29438543 0.33763278 0.29210926 0.25037936 0.28300455
 0.27693475 0.29817906 0.27314112 0.25796662]";76.53$\pm$4.13;"[0.82245827 0.79135053 0.82018209 0.77010622 0.74582701 0.72610015
 0.75644917 0.80349014 0.69954476 0.71775417]"
Hits@50;28.38$\pm$1.19;"[0.29135053 0.26707132 0.27769347 0.2814871  0.29666161 0.29969651
 0.284522   0.29590288 0.28072838 0.26251897]";24.34$\pm$1.03;"[0.24430956 0.22685888 0.24962064 0.24203338 0.25872534 0.23141123
 0.25341426 0.24810319 0.25037936 0.22913505]";29.41$\pm$3.12;"[0.31183612 0.23899848 0.22837633 0.31335357 0.31714719 0.31259484
 0.31259484 0.31107739 0.30652504 0.28831563]";26.59$\pm$0.87;"[0.27086495 0.26024279 0.25417299 0.26327769 0.27996965 0.27693475
 0.25569044 0.26555387 0.27465857 0.25796662]";22.37$\pm$1.01;"[0.23141123 0.20940819 0.22913505 0.22382398 0.23216995 0.21775417
 0.23368741 0.23596358 0.20485584 0.21927162]";28.83$\pm$0.98;"[0.28603945 0.28224583 0.27389985 0.29817906 0.29438543 0.28831563
 0.2875569  0.30804249 0.28983308 0.27465857]";33.47$\pm$1.37;"[0.33611533 0.31335357 0.36191199 0.33915023 0.32776935 0.3383915
 0.34370258 0.34294385 0.33004552 0.31411229]";36.49$\pm$1.02;"[0.36570561 0.35811836 0.37936267 0.36039454 0.36115326 0.38239757
 0.36798179 0.36798179 0.36191199 0.34446131]";33.47$\pm$1.37;"[0.33611533 0.31335357 0.36191199 0.33915023 0.32776935 0.3383915
 0.34370258 0.34294385 0.33004552 0.31411229]";94.7$\pm$2.94;"[0.96130501 0.96054628 0.95827011 0.96509863 0.97040971 0.95068285
 0.95978756 0.92564492 0.9522003  0.86570561]";34.8$\pm$1.58;"[0.33915023 0.3262519  0.35735964 0.34825493 0.34977238 0.36115326
 0.36570561 0.37329287 0.3323217  0.3262519 ]";33.13$\pm$1.92;"[0.35356601 0.29210926 0.31942337 0.34901366 0.32473445 0.34446131
 0.35204856 0.33004552 0.33915023 0.30880121]";35.49$\pm$1.16;"[0.35053111 0.34597876 0.37329287 0.35356601 0.34977238 0.37405159
 0.35811836 0.36039454 0.34977238 0.33383915]";28.86$\pm$1.5;"[0.27617602 0.29438543 0.29817906 0.28983308 0.30955994 0.29590288
 0.2784522  0.30955994 0.27010622 0.26403642]";35.49$\pm$1.63;"[0.34749621 0.33990895 0.37784522 0.34825493 0.34977238 0.37253414
 0.35735964 0.37936267 0.35128983 0.32549317]";33.47$\pm$1.37;"[0.33611533 0.31335357 0.36191199 0.33915023 0.32776935 0.3383915
 0.34370258 0.34294385 0.33004552 0.31411229]";35.2$\pm$1.21;"[0.35356601 0.3323217  0.36874052 0.34446131 0.34446131 0.36874052
 0.35963581 0.35735964 0.35584219 0.33459788]";97.26$\pm$0.75;"[0.98103187 0.97647951 0.97040971 0.97799697 0.98027314 0.97420334
 0.96585736 0.95827011 0.97875569 0.96282246]";24.2$\pm$0.68;"[0.24810319 0.23975721 0.25037936 0.23672231 0.24810319 0.2306525
 0.24203338 0.25189681 0.23596358 0.23672231]";31.03$\pm$3.04;"[0.3292868  0.24051593 0.26858877 0.31487102 0.31942337 0.32776935
 0.32245827 0.34066768 0.33687405 0.30273141]";24.69$\pm$0.79;"[0.25113809 0.24886191 0.23748103 0.25644917 0.25037936 0.24582701
 0.25037936 0.23141123 0.25720789 0.23975721]";25.61$\pm$1.4;"[0.25644917 0.2754173  0.27693475 0.26555387 0.25265554 0.25948407
 0.24127466 0.25872534 0.24506829 0.22989378]";28.95$\pm$0.74;"[0.27617602 0.284522   0.29742033 0.29135053 0.29514416 0.29666161
 0.28528073 0.29969651 0.28679818 0.2814871 ]";32.46$\pm$5.5;"[0.34370258 0.21396055 0.2215478  0.34066768 0.34522003 0.37329287
 0.35204856 0.37253414 0.35432473 0.32852807]";85.93$\pm$10.69;"[0.93930197 0.62063733 0.69499241 0.94537178 0.93778452 0.91881639
 0.91805766 0.88239757 0.90440061 0.83156297]";26.22$\pm$3.13;"[0.31638847 0.26024279 0.20713202 0.23520486 0.23748103 0.29135053
 0.29210926 0.24810319 0.25113809 0.28300455]";33.78$\pm$1.9;"[0.34977238 0.30652504 0.3262519  0.33383915 0.34218513 0.35204856
 0.35053111 0.37329287 0.33080425 0.31259484]";33.69$\pm$1.5;"[0.3262519  0.32169954 0.35887709 0.32852807 0.33383915 0.35280728
 0.35053111 0.34901366 0.33763278 0.30955994]";34.19$\pm$1.05;"[0.35204856 0.33004552 0.35887709 0.33308042 0.3414264  0.35508346
 0.34673748 0.3414264  0.33308042 0.32701062]";33.74$\pm$0.94;"[0.35432473 0.33308042 0.33915023 0.34522003 0.33611533 0.33156297
 0.34294385 0.32852807 0.34370258 0.31942337]";34.2$\pm$1.29;"[0.33990895 0.33383915 0.36267071 0.35053111 0.33004552 0.35356601
 0.34446131 0.34218513 0.34825493 0.31411229]";85.11$\pm$1.13;"[0.86418816 0.84901366 0.86494689 0.85584219 0.84673748 0.84522003
 0.86418816 0.84977238 0.84446131 0.8262519 ]"
Hits@100;31.26$\pm$1.34;"[0.31562974 0.29135053 0.29969651 0.31259484 0.32776935 0.32852807
 0.32397572 0.32473445 0.30880121 0.29286798]";28.29$\pm$1.14;"[0.28300455 0.2693475  0.30273141 0.27693475 0.29210926 0.27162367
 0.28679818 0.28528073 0.29514416 0.26555387]";34.64$\pm$4.26;"[0.38467375 0.26783005 0.26024279 0.37708649 0.36267071 0.37253414
 0.34673748 0.35660091 0.37784522 0.35811836]";30.27$\pm$0.9;"[0.30197269 0.29210926 0.29742033 0.29666161 0.32094082 0.30576631
 0.30728376 0.28831563 0.30576631 0.31031866]";26.82$\pm$1.18;"[0.27314112 0.25417299 0.26631259 0.2784522  0.26783005 0.25948407
 0.28907436 0.2814871  0.24962064 0.26251897]";32.44$\pm$1.23;"[0.33156297 0.32245827 0.30955994 0.33383915 0.3292868  0.32397572
 0.32852807 0.34597876 0.31942337 0.29969651]";36.23$\pm$1.24;"[0.35963581 0.34066768 0.38770865 0.36494689 0.35735964 0.36494689
 0.37329287 0.36418816 0.36342944 0.34673748]";40.0$\pm$1.58;"[0.39757208 0.38543247 0.41047041 0.39377845 0.39908953 0.43019727
 0.41122914 0.392261   0.41047041 0.36949924]";36.23$\pm$1.24;"[0.35963581 0.34066768 0.38770865 0.36494689 0.35735964 0.36494689
 0.37329287 0.36418816 0.36342944 0.34673748]";96.98$\pm$0.39;"[0.97572079 0.96585736 0.97192716 0.97420334 0.97268589 0.97268589
 0.96585736 0.96433991 0.96737481 0.96737481]";38.97$\pm$1.65;"[0.38239757 0.37708649 0.39605463 0.41274659 0.38088012 0.40591806
 0.38846737 0.41502276 0.37632777 0.36191199]";37.03$\pm$1.64;"[0.3831563  0.33308042 0.36267071 0.38391502 0.37481032 0.38239757
 0.38239757 0.3801214  0.37253414 0.34825493]";39.27$\pm$1.57;"[0.40364188 0.37405159 0.40971168 0.40667678 0.38391502 0.41502276
 0.39605463 0.39377845 0.37860395 0.36570561]";35.27$\pm$1.35;"[0.35584219 0.35128983 0.37405159 0.34749621 0.35660091 0.36191199
 0.34294385 0.37101669 0.33687405 0.3292868 ]";40.32$\pm$1.75;"[0.38088012 0.40440061 0.4339909  0.38998483 0.3952959  0.42033384
 0.40895296 0.41654021 0.40743551 0.37405159]";36.23$\pm$1.24;"[0.35963581 0.34066768 0.38770865 0.36494689 0.35735964 0.36494689
 0.37329287 0.36418816 0.36342944 0.34673748]";39.2$\pm$1.12;"[0.38088012 0.38163885 0.40895296 0.39681335 0.37936267 0.3983308
 0.40515933 0.3861912  0.40364188 0.37936267]";97.73$\pm$0.59;"[0.98406677 0.97951442 0.97420334 0.98406677 0.98406677 0.97799697
 0.96965099 0.97192716 0.98027314 0.96737481]";26.47$\pm$0.89;"[0.27617602 0.26555387 0.26631259 0.25948407 0.27010622 0.25189681
 0.27693475 0.2723824  0.25341426 0.25493171]";36.54$\pm$3.88;"[0.38998483 0.28376328 0.30121396 0.37177542 0.3831563  0.39984825
 0.36874052 0.39984825 0.3952959  0.36039454]";28.95$\pm$1.0;"[0.29893778 0.28679818 0.28603945 0.29362671 0.27769347 0.30728376
 0.30045524 0.27389985 0.28300455 0.28679818]";32.55$\pm$1.81;"[0.33308042 0.30349014 0.32852807 0.33990895 0.31942337 0.35356601
 0.30652504 0.33915023 0.33763278 0.29362671]";31.29$\pm$0.81;"[0.30121396 0.31183612 0.31487102 0.31562974 0.31487102 0.31942337
 0.30576631 0.33080425 0.31031866 0.30424886]";36.37$\pm$5.31;"[0.3831563  0.24355083 0.28072838 0.37025797 0.38998483 0.41426404
 0.3952959  0.39908953 0.39453718 0.36646434]";91.69$\pm$7.62;"[0.96358118 0.74734446 0.784522   0.96282246 0.95675266 0.95675266
 0.95599393 0.94233687 0.94840668 0.95068285]";30.52$\pm$3.98;"[0.35356601 0.32245827 0.23216995 0.26327769 0.28679818 0.32397572
 0.35432473 0.27314112 0.29362671 0.34825493]";38.82$\pm$2.25;"[0.3952959  0.33915023 0.37025797 0.3892261  0.39984825 0.41350531
 0.41047041 0.41350531 0.37936267 0.37101669]";36.47$\pm$1.71;"[0.34673748 0.35053111 0.38694992 0.36039454 0.36039454 0.39301973
 0.37177542 0.37936267 0.36115326 0.33687405]";38.39$\pm$1.32;"[0.39453718 0.36418816 0.3983308  0.37784522 0.37556904 0.40212443
 0.40212443 0.37405159 0.37253414 0.37784522]";36.97$\pm$1.2;"[0.37784522 0.35887709 0.38239757 0.37860395 0.35356601 0.36874052
 0.37708649 0.37025797 0.3831563  0.34673748]";37.96$\pm$1.4;"[0.37025797 0.35811836 0.40060698 0.38088012 0.37784522 0.39377845
 0.3801214  0.3831563  0.39453718 0.35660091]";87.78$\pm$0.79;"[0.88467375 0.87329287 0.88163885 0.87860395 0.87481032 0.87405159
 0.89301973 0.87329287 0.88239757 0.86191199]"
ROCAUC;59.3$\pm$0.87;"[0.59448721 0.58286513 0.58371567 0.59779785 0.60922421 0.58962112
 0.59464091 0.60099221 0.597383   0.57971365]";57.26$\pm$0.69;"[0.57486397 0.55979826 0.57672567 0.57168918 0.58501351 0.56199183
 0.57317929 0.57345705 0.57200113 0.57695737]";63.42$\pm$3.78;"[0.68443646 0.56633493 0.55970846 0.65842565 0.65761915 0.64367253
 0.64451127 0.63988408 0.64789556 0.63991517]";64.23$\pm$1.42;"[0.66255892 0.63423077 0.64445428 0.65902146 0.65954244 0.62112952
 0.628106   0.62627654 0.64937009 0.63838851]";55.61$\pm$0.89;"[0.55730046 0.54605025 0.55529715 0.56155634 0.55799528 0.54147487
 0.57702904 0.55422353 0.55606156 0.55372501]";66.61$\pm$1.15;"[0.65904219 0.65291136 0.65298246 0.68305602 0.67169931 0.65170247
 0.67767183 0.67615265 0.67690168 0.65841126]";66.08$\pm$0.74;"[0.64741147 0.65063979 0.6658356  0.66810141 0.6600968  0.66402514
 0.65668081 0.67177991 0.66585033 0.65784423]";63.96$\pm$1.41;"[0.6377783  0.6592264  0.64050523 0.63707427 0.63796137 0.66348833
 0.6426916  0.62922451 0.63905903 0.60947117]";66.08$\pm$0.74;"[0.64741147 0.65063979 0.6658356  0.66810141 0.6600968  0.66402514
 0.65668081 0.67177991 0.66585033 0.65784423]";97.6$\pm$0.35;"[0.97718182 0.97722385 0.97663091 0.98041072 0.98140087 0.97544274
 0.9771162  0.97071424 0.9737753  0.97014548]";70.68$\pm$0.76;"[0.70536012 0.70001854 0.71073424 0.7097392  0.69490031 0.70492579
 0.71761198 0.72078965 0.70395338 0.70031328]";69.43$\pm$1.33;"[0.69398327 0.67566391 0.69894147 0.68941653 0.7015711  0.68148417
 0.69128341 0.69563198 0.7273572  0.68776063]";68.32$\pm$0.62;"[0.69292693 0.68158865 0.69420145 0.68511977 0.67713531 0.68098794
 0.68587332 0.68235486 0.67384258 0.67763096]";61.57$\pm$1.16;"[0.59996379 0.61917457 0.61293149 0.61116132 0.62749637 0.62929762
 0.61628675 0.63505599 0.59934636 0.60602582]";67.2$\pm$0.98;"[0.66332513 0.67131535 0.67802701 0.66720539 0.67105543 0.68301457
 0.68260297 0.67034766 0.68318407 0.6503888 ]";66.08$\pm$0.74;"[0.64741147 0.65063979 0.6658356  0.66810141 0.6600968  0.66402514
 0.65668081 0.67177991 0.66585033 0.65784423]";73.08$\pm$0.81;"[0.72853348 0.71664314 0.73695747 0.73182081 0.72414318 0.74295157
 0.74366107 0.72637705 0.72558051 0.73155025]";97.88$\pm$0.45;"[0.9864126  0.98246354 0.97948333 0.98254183 0.9831814  0.97581721
 0.97412159 0.97427069 0.97757872 0.97195479]";51.83$\pm$1.36;"[0.52277903 0.53368441 0.53402118 0.51247694 0.5137791  0.50295373
 0.53549142 0.52780515 0.49707168 0.50340218]";66.76$\pm$3.29;"[0.67708868 0.59417462 0.62341865 0.66906508 0.67452784 0.69531478
 0.67759527 0.69551799 0.70833866 0.66134974]";57.64$\pm$1.11;"[0.57055771 0.57437523 0.57294701 0.57505077 0.56983785 0.60309915
 0.57963623 0.58611417 0.57321383 0.55908099]";67.29$\pm$2.92;"[0.68755023 0.59899178 0.65622892 0.69340473 0.67050021 0.70609064
 0.68503112 0.69620073 0.67941694 0.65511155]";54.03$\pm$2.1;"[0.52542536 0.56424009 0.58899653 0.53213242 0.54106961 0.54091533
 0.53488064 0.5400383  0.50931729 0.52635103]";61.4$\pm$2.03;"[0.58936437 0.63036202 0.64520149 0.59353046 0.60703928 0.63639959
 0.6377052  0.60463674 0.59027103 0.60513585]";96.14$\pm$1.36;"[0.97417686 0.93046265 0.9411867  0.97106712 0.97144591 0.96966423
 0.96679627 0.96175978 0.96622318 0.96159975]";60.47$\pm$4.62;"[0.6736606  0.62264582 0.52162655 0.57291247 0.58890327 0.63446824
 0.66264757 0.56707523 0.56674133 0.63590164]";71.8$\pm$3.77;"[0.72780009 0.64871909 0.63882314 0.74161919 0.74259408 0.73603727
 0.74624034 0.73960494 0.72390117 0.73487788]";65.15$\pm$1.5;"[0.62682572 0.645367   0.66432506 0.6530714  0.64160273 0.67942645
 0.65719661 0.65848984 0.65845665 0.63071548]";69.44$\pm$0.9;"[0.69299083 0.67792973 0.69688232 0.69046769 0.69628651 0.7132093
 0.70126312 0.6943517  0.68427463 0.69609222]";64.05$\pm$1.92;"[0.64246939 0.64875795 0.65805607 0.67104997 0.62321112 0.62185659
 0.63283508 0.6459441  0.65755044 0.60366617]";63.0$\pm$1.47;"[0.62217666 0.60533157 0.63420343 0.62865863 0.62948471 0.64466987
 0.64922481 0.62930626 0.6495772  0.60778448]";93.5$\pm$0.42;"[0.94095758 0.92846222 0.93960765 0.93471681 0.9335816  0.93247402
 0.94127823 0.93468745 0.93480665 0.92932917]"
