metrics;baseline,enc:gcn_bgrl,pred:mlp_mean;baseline,enc:gcn_bgrl,pred:mlp;bgrl,enc:gcn_bgrl,pred:mlp,random_mean;bgrl,enc:gcn_bgrl,pred:mlp,random;bgrl,enc:gcn_bgrl,pred:mlp,deg_mean;bgrl,enc:gcn_bgrl,pred:mlp,deg;bgrl,enc:gcn_bgrl,pred:mlp,evc_mean;bgrl,enc:gcn_bgrl,pred:mlp,evc;bgrl,enc:gcn_bgrl,pred:mlp,pr_mean;bgrl,enc:gcn_bgrl,pred:mlp,pr;bgrl,enc:gcn_bgrl,pred:mlp,scom_mean;bgrl,enc:gcn_bgrl,pred:mlp,scom;louvain_prob_pred_mean;louvain_prob_pred;bgrl,enc:gcn_bgrl,pred:mlp,sbm_fast+random_mean;bgrl,enc:gcn_bgrl,pred:mlp,sbm_fast+random;bgrl,enc:gcn_bgrl,pred:mlp,sbm_fast_cheat+random_mean;bgrl,enc:gcn_bgrl,pred:mlp,sbm_fast_cheat+random;grace,enc:gcn_bgrl,pred:mlp,random_mean;grace,enc:gcn_bgrl,pred:mlp,random;grace,enc:gcn_bgrl,pred:mlp,deg_mean;grace,enc:gcn_bgrl,pred:mlp,deg;grace,enc:gcn_bgrl,pred:mlp,evc_mean;grace,enc:gcn_bgrl,pred:mlp,evc;grace,enc:gcn_bgrl,pred:mlp,pr_mean;grace,enc:gcn_bgrl,pred:mlp,pr;grace,enc:gcn_bgrl,pred:mlp,scom_mean;grace,enc:gcn_bgrl,pred:mlp,scom;grace,enc:gcn_bgrl,pred:mlp,sbm_fast+random_mean;grace,enc:gcn_bgrl,pred:mlp,sbm_fast+random;infomap_prob_pred_mean;infomap_prob_pred;grace,enc:gcn_bgrl,pred:mlp,sbm_fast_cheat+random_mean;grace,enc:gcn_bgrl,pred:mlp,sbm_fast_cheat+random;lbgrl,enc:gcn_bgrl,pred:mlp,random_mean;lbgrl,enc:gcn_bgrl,pred:mlp,random;lbgrl,enc:gcn_bgrl,pred:mlp,deg_mean;lbgrl,enc:gcn_bgrl,pred:mlp,deg;lbgrl,enc:gcn_bgrl,pred:mlp,evc_mean;lbgrl,enc:gcn_bgrl,pred:mlp,evc;lbgrl,enc:gcn_bgrl,pred:mlp,pr_mean;lbgrl,enc:gcn_bgrl,pred:mlp,pr;lbgrl,enc:gcn_bgrl,pred:mlp,scom_mean;lbgrl,enc:gcn_bgrl,pred:mlp,scom;lbgrl,enc:gcn_bgrl,pred:mlp,sbm_fast+random_mean;lbgrl,enc:gcn_bgrl,pred:mlp,sbm_fast+random;leiden_prob_pred_mean;leiden_prob_pred;lbgrl,enc:gcn_bgrl,pred:mlp,sbm_fast_cheat+random_mean;lbgrl,enc:gcn_bgrl,pred:mlp,sbm_fast_cheat+random;lgrace,enc:gcn_bgrl,pred:mlp,random_mean;lgrace,enc:gcn_bgrl,pred:mlp,random;lgrace,enc:gcn_bgrl,pred:mlp,deg_mean;lgrace,enc:gcn_bgrl,pred:mlp,deg;lgrace,enc:gcn_bgrl,pred:mlp,evc_mean;lgrace,enc:gcn_bgrl,pred:mlp,evc;lgrace,enc:gcn_bgrl,pred:mlp,pr_mean;lgrace,enc:gcn_bgrl,pred:mlp,pr;lgrace,enc:gcn_bgrl,pred:mlp,scom_mean;lgrace,enc:gcn_bgrl,pred:mlp,scom;lgrace,enc:gcn_bgrl,pred:mlp,sbm_fast+random_mean;lgrace,enc:gcn_bgrl,pred:mlp,sbm_fast+random;lgrace,enc:gcn_bgrl,pred:mlp,sbm_fast_cheat+random_mean;lgrace,enc:gcn_bgrl,pred:mlp,sbm_fast_cheat+random
Hits@20;79.56$\pm$1.05;"[0.77372263 0.80474453 0.80656934 0.80656934 0.79014599 0.79927007
 0.79014599 0.7919708  0.78649635 0.80656934]";79.73$\pm$1.03;"[0.77372263 0.80291971 0.79744526 0.81021898 0.79014599 0.79562044
 0.79379562 0.79562044 0.80109489 0.8120438 ]";79.54$\pm$2.09;"[0.7810219  0.81934307 0.81021898 0.8120438  0.74452555 0.80109489
 0.79562044 0.77919708 0.80656934 0.80474453]";78.56$\pm$0.74;"[0.77554745 0.78649635 0.78467153 0.78832117 0.78284672 0.7810219
 0.79014599 0.77372263 0.79927007 0.79379562]";78.58$\pm$1.11;"[0.75729927 0.79562044 0.79379562 0.7919708  0.79379562 0.7919708
 0.7810219  0.77919708 0.7810219  0.7919708 ]";79.54$\pm$1.08;"[0.77372263 0.80474453 0.80109489 0.80291971 0.78649635 0.81021898
 0.80656934 0.79014599 0.78832117 0.79014599]";79.36$\pm$1.07;"[0.76824818 0.80474453 0.79927007 0.80109489 0.78467153 0.79562044
 0.79562044 0.78467153 0.80291971 0.79927007]";77.9$\pm$1.2;"[0.76094891 0.78832117 0.78284672 0.78467153 0.7810219  0.78832117
 0.76094891 0.76642336 0.77737226 0.79927007]";93.91$\pm$1.47;"[0.95437956 0.90875912 0.94343066 0.96167883 0.93978102 0.93248175
 0.95437956 0.93248175 0.93613139 0.9270073 ]";77.19$\pm$1.0;"[0.75       0.76824818 0.76824818 0.77189781 0.77189781 0.78467153
 0.78467153 0.77919708 0.76277372 0.77737226]";79.09$\pm$2.38;"[0.7810219  0.80839416 0.81021898 0.8120438  0.73175182 0.78832117
 0.78832117 0.7810219  0.78832117 0.81934307]";68.39$\pm$3.04;"[0.65510949 0.67883212 0.67883212 0.69343066 0.64051095 0.66240876
 0.68248175 0.75912409 0.68978102 0.69890511]";78.83$\pm$1.6;"[0.75364964 0.82116788 0.78832117 0.78284672 0.78649635 0.78467153
 0.78649635 0.79744526 0.78284672 0.79927007]";79.43$\pm$1.48;"[0.76459854 0.80839416 0.79562044 0.81386861 0.78467153 0.79379562
 0.79379562 0.77737226 0.79927007 0.8120438 ]";77.61$\pm$1.48;"[0.75364964 0.78649635 0.79744526 0.77189781 0.78467153 0.77189781
 0.79014599 0.77554745 0.74817518 0.7810219 ]";79.64$\pm$1.14;"[0.77189781 0.81021898 0.79744526 0.80474453 0.78832117 0.79744526
 0.79562044 0.78832117 0.79562044 0.81386861]";75.73$\pm$8.27;"[0.75182482 0.67335766 0.70985401 0.69343066 0.87773723 0.65145985
 0.68430657 0.81751825 0.87226277 0.84124088]";79.09$\pm$1.04;"[0.77007299 0.80291971 0.79379562 0.79744526 0.78467153 0.7919708
 0.7919708  0.78284672 0.78467153 0.80839416]";78.14$\pm$1.28;"[0.76094891 0.79744526 0.80291971 0.78467153 0.76277372 0.78284672
 0.77189781 0.77919708 0.78284672 0.78832117]";55.42$\pm$6.16;"[0.49087591 0.54014599 0.52007299 0.64781022 0.47445255 0.51094891
 0.61861314 0.55656934 0.52554745 0.65693431]";81.92$\pm$1.71;"[0.79927007 0.83576642 0.84489051 0.83211679 0.79014599 0.81386861
 0.80109489 0.82116788 0.83394161 0.81934307]";74.34$\pm$1.28;"[0.72080292 0.75547445 0.72992701 0.75547445 0.75729927 0.75364964
 0.72627737 0.74452555 0.75       0.74087591]";77.55$\pm$1.44;"[0.75182482 0.7810219  0.7919708  0.7919708  0.77372263 0.76094891
 0.79744526 0.77737226 0.76459854 0.76459854]";79.64$\pm$1.14;"[0.77189781 0.81021898 0.79744526 0.80474453 0.78832117 0.79744526
 0.79562044 0.78832117 0.79562044 0.81386861]";87.77$\pm$3.03;"[0.88321168 0.87043796 0.89781022 0.87956204 0.79379562 0.90875912
 0.87773723 0.88138686 0.88138686 0.90328467]";79.98$\pm$1.35;"[0.77007299 0.81386861 0.80474453 0.81386861 0.78832117 0.80109489
 0.80291971 0.78832117 0.79927007 0.81569343]";79.73$\pm$1.36;"[0.76824818 0.80839416 0.80291971 0.81569343 0.80474453 0.79379562
 0.78467153 0.78649635 0.79744526 0.81021898]";78.91$\pm$1.71;"[0.80291971 0.80109489 0.78284672 0.80474453 0.80109489 0.79014599
 0.74270073 0.78649635 0.7919708  0.78649635]";79.98$\pm$1.62;"[0.76642336 0.80839416 0.81021898 0.81751825 0.79562044 0.78467153
 0.81021898 0.7810219  0.81021898 0.81386861]";79.82$\pm$1.42;"[0.77372263 0.80474453 0.79927007 0.81569343 0.79014599 0.79562044
 0.79014599 0.7810219  0.8120438  0.81934307]";80.88$\pm$1.01;"[0.78284672 0.81751825 0.81386861 0.8229927  0.81021898 0.8120438
 0.80474453 0.80839416 0.80839416 0.80656934]";90.66$\pm$1.52;"[0.8850365  0.89781022 0.90145985 0.91788321 0.94343066 0.90875912
 0.89963504 0.90145985 0.8959854  0.91423358]"
Hits@50;80.91$\pm$1.18;"[0.78649635 0.82846715 0.81386861 0.81386861 0.80656934 0.81751825
 0.79927007 0.80656934 0.79744526 0.82116788]";80.49$\pm$1.29;"[0.77737226 0.81569343 0.79744526 0.81934307 0.79379562 0.8120438
 0.80474453 0.79927007 0.80656934 0.8229927 ]";83.47$\pm$2.74;"[0.81751825 0.87956204 0.84124088 0.84671533 0.77372263 0.82846715
 0.84671533 0.8120438  0.85766423 0.84306569]";80.42$\pm$0.81;"[0.7919708  0.80656934 0.80474453 0.80291971 0.79927007 0.80291971
 0.79927007 0.79744526 0.81751825 0.81934307]";80.29$\pm$1.4;"[0.76824818 0.80656934 0.80656934 0.8120438  0.8120438  0.81934307
 0.79927007 0.79014599 0.80109489 0.81386861]";81.3$\pm$0.8;"[0.79744526 0.81569343 0.80839416 0.81751825 0.80474453 0.82116788
 0.81386861 0.80839416 0.82664234 0.81569343]";80.71$\pm$0.99;"[0.78649635 0.82664234 0.80291971 0.8120438  0.80474453 0.8120438
 0.80474453 0.79927007 0.81021898 0.8120438 ]";80.57$\pm$1.42;"[0.7810219  0.81021898 0.8120438  0.80839416 0.80839416 0.80656934
 0.79744526 0.79014599 0.80474453 0.83759124]";95.15$\pm$0.95;"[0.96350365 0.9379562  0.94890511 0.96715328 0.95255474 0.94525547
 0.96350365 0.94708029 0.94708029 0.94160584]";79.84$\pm$0.86;"[0.79014599 0.79927007 0.80656934 0.81386861 0.78467153 0.79744526
 0.80839416 0.7919708  0.7919708  0.79927007]";80.86$\pm$2.18;"[0.79927007 0.8229927  0.81934307 0.83029197 0.75364964 0.80109489
 0.82116788 0.79927007 0.80656934 0.83211679]";74.01$\pm$3.76;"[0.72445255 0.71532847 0.75364964 0.73905109 0.68248175 0.70620438
 0.75       0.79562044 0.72262774 0.8120438 ]";82.24$\pm$1.95;"[0.78284672 0.8540146  0.83394161 0.83759124 0.80839416 0.8120438
 0.82481752 0.84124088 0.80839416 0.82116788]";80.31$\pm$1.34;"[0.7810219  0.81751825 0.80656934 0.8229927  0.79014599 0.80656934
 0.80109489 0.78467153 0.80474453 0.81569343]";80.91$\pm$1.36;"[0.77737226 0.8229927  0.81569343 0.83029197 0.80291971 0.8120438
 0.8120438  0.80109489 0.80474453 0.8120438 ]";81.09$\pm$0.65;"[0.79927007 0.8229927  0.81569343 0.80656934 0.80656934 0.8120438
 0.81021898 0.80839416 0.80839416 0.81934307]";91.88$\pm$1.46;"[0.9379562  0.91240876 0.8959854  0.91605839 0.93978102 0.90693431
 0.89963504 0.92153285 0.93248175 0.92518248]";80.02$\pm$1.24;"[0.77372263 0.80839416 0.80291971 0.8120438  0.79562044 0.80656934
 0.79379562 0.78832117 0.80109489 0.81934307]";81.51$\pm$1.81;"[0.79562044 0.83759124 0.83759124 0.83576642 0.79562044 0.80839416
 0.78649635 0.81569343 0.81021898 0.82846715]";67.96$\pm$4.61;"[0.63138686 0.6770073  0.65510949 0.76277372 0.62043796 0.66058394
 0.70620438 0.64051095 0.68978102 0.75182482]";85.0$\pm$1.88;"[0.83029197 0.86313869 0.87408759 0.84671533 0.80839416 0.85583942
 0.84124088 0.85036496 0.85766423 0.87226277]";76.86$\pm$1.38;"[0.74817518 0.77737226 0.75729927 0.78467153 0.79379562 0.77737226
 0.75547445 0.76459854 0.77007299 0.75729927]";80.6$\pm$1.92;"[0.77919708 0.81934307 0.81751825 0.83394161 0.77919708 0.79744526
 0.83394161 0.81021898 0.79744526 0.7919708 ]";81.09$\pm$0.65;"[0.79927007 0.8229927  0.81569343 0.80656934 0.80656934 0.8120438
 0.81021898 0.80839416 0.80839416 0.81934307]";90.05$\pm$2.3;"[0.8959854  0.90875912 0.90875912 0.91970803 0.83576642 0.91605839
 0.89781022 0.90328467 0.90145985 0.91788321]";80.8$\pm$1.45;"[0.77554745 0.82846715 0.8120438  0.82116788 0.79927007 0.80839416
 0.81751825 0.79927007 0.79927007 0.81934307]";80.27$\pm$1.44;"[0.77554745 0.81751825 0.80839416 0.81934307 0.81386861 0.80109489
 0.78649635 0.79014599 0.79744526 0.81751825]";83.16$\pm$1.43;"[0.81569343 0.84671533 0.8229927  0.85218978 0.82664234 0.83759124
 0.80291971 0.83576642 0.83029197 0.84489051]";83.34$\pm$1.49;"[0.81934307 0.83759124 0.82664234 0.84854015 0.80839416 0.82116788
 0.84854015 0.82481752 0.84124088 0.85766423]";81.13$\pm$1.21;"[0.79379562 0.82481752 0.81386861 0.82481752 0.8120438  0.80474453
 0.79744526 0.79562044 0.81934307 0.82664234]";82.63$\pm$1.26;"[0.79562044 0.83576642 0.82846715 0.84671533 0.83029197 0.83029197
 0.82664234 0.81569343 0.82664234 0.82664234]";91.41$\pm$1.39;"[0.90145985 0.90328467 0.91058394 0.91970803 0.95072993 0.91970803
 0.90510949 0.90875912 0.90328467 0.91788321]"
Hits@100;82.34$\pm$1.08;"[0.79927007 0.83759124 0.81934307 0.82481752 0.8229927  0.82664234
 0.81751825 0.8229927  0.82116788 0.84124088]";82.14$\pm$1.38;"[0.7919708  0.82664234 0.82481752 0.83576642 0.80109489 0.82846715
 0.82116788 0.81751825 0.82846715 0.83759124]";88.23$\pm$3.58;"[0.87408759 0.91788321 0.90145985 0.8850365  0.7919708  0.8850365
 0.91605839 0.85218978 0.91240876 0.88686131]";82.32$\pm$1.03;"[0.80474453 0.82481752 0.82846715 0.82664234 0.82481752 0.82116788
 0.80839416 0.81751825 0.83576642 0.83941606]";81.84$\pm$1.15;"[0.7919708  0.81751825 0.82481752 0.82481752 0.82846715 0.82481752
 0.81386861 0.80474453 0.82116788 0.83211679]";83.7$\pm$1.19;"[0.81751825 0.85218978 0.83576642 0.83394161 0.83759124 0.85218978
 0.82116788 0.82664234 0.84854015 0.84489051]";82.59$\pm$1.22;"[0.79927007 0.84854015 0.8229927  0.83576642 0.8229927  0.82116788
 0.83394161 0.81934307 0.83029197 0.82481752]";83.03$\pm$1.66;"[0.79744526 0.82664234 0.8229927  0.84306569 0.84489051 0.82664234
 0.82481752 0.81751825 0.83759124 0.86131387]";95.8$\pm$0.86;"[0.96532847 0.95620438 0.95620438 0.97080292 0.95620438 0.95072993
 0.97445255 0.94890511 0.95255474 0.94890511]";82.83$\pm$0.82;"[0.81569343 0.82846715 0.82846715 0.84671533 0.81934307 0.83029197
 0.82664234 0.8229927  0.82846715 0.83576642]";82.85$\pm$1.99;"[0.82846715 0.83941606 0.83941606 0.85036496 0.77554745 0.82116788
 0.83941606 0.81934307 0.83029197 0.84124088]";78.85$\pm$3.63;"[0.76094891 0.8120438  0.78649635 0.77737226 0.71532847 0.79744526
 0.77737226 0.83211679 0.77372263 0.85218978]";85.78$\pm$1.65;"[0.83576642 0.88138686 0.87226277 0.87043796 0.84306569 0.84124088
 0.84671533 0.88321168 0.85218978 0.85218978]";81.93$\pm$1.33;"[0.81386861 0.82664234 0.83394161 0.82664234 0.79927007 0.8229927
 0.81569343 0.79379562 0.8229927  0.83759124]";82.74$\pm$1.66;"[0.7919708  0.84306569 0.82846715 0.85583942 0.81386861 0.83029197
 0.8229927  0.82481752 0.82116788 0.84124088]";83.43$\pm$0.96;"[0.81934307 0.84124088 0.84489051 0.82664234 0.83941606 0.83759124
 0.8229927  0.84489051 0.8229927  0.84306569]";94.91$\pm$1.18;"[0.97262774 0.94343066 0.94890511 0.94343066 0.95985401 0.92883212
 0.96167883 0.94160584 0.94708029 0.94343066]";80.91$\pm$1.25;"[0.78467153 0.81934307 0.81386861 0.81751825 0.80109489 0.82481752
 0.79744526 0.80109489 0.80656934 0.82481752]";86.39$\pm$2.74;"[0.85948905 0.87591241 0.89781022 0.8850365  0.8120438  0.86861314
 0.81934307 0.89416058 0.85583942 0.87043796]";77.35$\pm$2.18;"[0.75182482 0.74817518 0.76824818 0.80839416 0.76277372 0.74270073
 0.78467153 0.7919708  0.77372263 0.80291971]";87.3$\pm$1.49;"[0.8540146  0.87408759 0.89781022 0.87226277 0.84671533 0.8850365
 0.87591241 0.8649635  0.86861314 0.89051095]";79.09$\pm$1.98;"[0.78284672 0.7919708  0.77737226 0.80109489 0.83941606 0.79744526
 0.77007299 0.77737226 0.80109489 0.77007299]";84.23$\pm$2.21;"[0.81386861 0.8540146  0.8540146  0.87226277 0.80839416 0.83211679
 0.87773723 0.84671533 0.8229927  0.84124088]";83.43$\pm$0.96;"[0.81934307 0.84124088 0.84489051 0.82664234 0.83941606 0.83759124
 0.8229927  0.84489051 0.8229927  0.84306569]";91.9$\pm$1.44;"[0.91788321 0.92335766 0.91423358 0.93613139 0.88321168 0.93065693
 0.91240876 0.9270073  0.91240876 0.93248175]";82.03$\pm$1.43;"[0.79014599 0.83941606 0.83211679 0.8229927  0.81021898 0.82116788
 0.82481752 0.80656934 0.81751825 0.83759124]";82.08$\pm$1.56;"[0.79744526 0.83394161 0.83576642 0.84306569 0.82664234 0.8120438
 0.79744526 0.80656934 0.8229927  0.83211679]";85.77$\pm$1.59;"[0.8540146  0.87591241 0.85766423 0.87591241 0.84124088 0.85583942
 0.82481752 0.85036496 0.86313869 0.87773723]";87.65$\pm$1.74;"[0.87956204 0.87226277 0.86678832 0.8959854  0.87408759 0.85218978
 0.88868613 0.87226277 0.85218978 0.91058394]";83.08$\pm$1.6;"[0.80474453 0.84306569 0.83941606 0.8540146  0.82664234 0.83759124
 0.80839416 0.81386861 0.83394161 0.84671533]";84.82$\pm$1.28;"[0.8229927  0.87226277 0.84306569 0.85583942 0.8540146  0.85036496
 0.84671533 0.83211679 0.85218978 0.85218978]";91.88$\pm$1.41;"[0.90510949 0.91058394 0.91605839 0.93248175 0.95255474 0.92153285
 0.90875912 0.91058394 0.90510949 0.92518248]"
ROCAUC;87.68$\pm$1.03;"[0.8591727  0.88286536 0.87139698 0.87055117 0.88594225 0.87932562
 0.86337511 0.88850298 0.87536297 0.89182295]";88.35$\pm$1.13;"[0.85360002 0.89070076 0.88661823 0.88792357 0.87840655 0.88618866
 0.88097728 0.88757393 0.88317505 0.89945855]";92.9$\pm$2.21;"[0.93707377 0.94995072 0.93636115 0.93155269 0.86792051 0.9261848
 0.93780303 0.91938169 0.94811591 0.93547538]";88.03$\pm$1.01;"[0.85963557 0.88308181 0.8800349  0.87686145 0.87743087 0.88324831
 0.87229274 0.87911916 0.89798338 0.89371437]";87.14$\pm$0.87;"[0.85738452 0.85882639 0.87429738 0.88162662 0.87369799 0.87486014
 0.86790053 0.86574937 0.87303532 0.88662156]";90.22$\pm$0.77;"[0.89177633 0.91199251 0.90568557 0.900987   0.90879575 0.90037762
 0.88547272 0.90530263 0.90332463 0.90872249]";89.1$\pm$0.68;"[0.87299869 0.89924543 0.89418389 0.89541931 0.89229248 0.88989158
 0.8948732  0.88729754 0.89384091 0.89037109]";89.11$\pm$0.85;"[0.87757406 0.88875273 0.88933214 0.89150994 0.89068744 0.88479341
 0.90539254 0.88125699 0.90063402 0.90068397]";96.47$\pm$0.67;"[0.96829879 0.96047672 0.96504542 0.97645053 0.95972082 0.95859196
 0.97711319 0.95864191 0.96194523 0.96083968]";89.19$\pm$0.58;"[0.88359795 0.89114697 0.88713437 0.89648823 0.88994819 0.9011202
 0.89849952 0.88866948 0.88474013 0.89757379]";89.08$\pm$1.8;"[0.89354454 0.90137661 0.89888247 0.90449012 0.83871011 0.89406735
 0.89665139 0.88570249 0.89545594 0.89899901]";87.42$\pm$1.28;"[0.85692165 0.87964862 0.88821994 0.87342493 0.84739797 0.87544954
 0.87113725 0.88215608 0.8754229  0.8921726 ]";92.05$\pm$0.91;"[0.90935852 0.9333875  0.92478289 0.92809953 0.91041078 0.91526586
 0.91243207 0.93480606 0.92334101 0.91311804]";88.08$\pm$0.92;"[0.87432402 0.88538281 0.88583236 0.88256567 0.86942565 0.89082397
 0.87461705 0.86496683 0.88517635 0.89528944]";88.15$\pm$1.1;"[0.86558954 0.88738412 0.89020792 0.90489637 0.86565614 0.88242914
 0.88314841 0.8757226  0.88024802 0.87942552]";89.5$\pm$0.51;"[0.88753397 0.89760709 0.90333129 0.89442032 0.89883918 0.89134344
 0.88948532 0.89793676 0.88927553 0.90028105]";94.64$\pm$0.78;"[0.9568071  0.93729354 0.93494259 0.94081331 0.95589469 0.9370438
 0.95214183 0.94836899 0.95166232 0.94898503]";88.58$\pm$1.01;"[0.8703647  0.89160651 0.88938209 0.88471682 0.86698812 0.89758711
 0.88527625 0.88374114 0.88657494 0.90132   ]";93.09$\pm$1.92;"[0.93999414 0.94379695 0.94692378 0.94085327 0.87924903 0.93872209
 0.91485295 0.93917164 0.92956471 0.93611807]";85.14$\pm$1.46;"[0.83232325 0.84701502 0.85041158 0.88467353 0.84011202 0.83802414
 0.85052813 0.84817718 0.85402792 0.86886955]";92.66$\pm$1.13;"[0.90509284 0.93620132 0.93899515 0.92623475 0.91041411 0.93051042
 0.92363405 0.92687743 0.92466634 0.94336406]";87.55$\pm$1.57;"[0.87654843 0.87677487 0.86972867 0.88077748 0.91479634 0.87334168
 0.86521325 0.86356825 0.88260896 0.8517136 ]";90.04$\pm$1.4;"[0.88319503 0.91004782 0.89140671 0.90875579 0.8763453  0.89294515
 0.92597501 0.9109902  0.90147983 0.90324138]";89.5$\pm$0.51;"[0.88753397 0.89760709 0.90333129 0.89442032 0.89883918 0.89134344
 0.88948532 0.89793676 0.88927553 0.90028105]";95.12$\pm$0.7;"[0.95173557 0.95255474 0.94717353 0.95796926 0.93495924 0.94857544
 0.94990077 0.95393668 0.95145586 0.96336712]";87.25$\pm$0.91;"[0.85282913 0.88497323 0.87804358 0.86891283 0.86588923 0.87416751
 0.86983523 0.86909265 0.87550615 0.88526626]";89.26$\pm$1.24;"[0.88301854 0.89655815 0.91072713 0.9045767  0.88406748 0.87993167
 0.87991169 0.87697633 0.90550908 0.90485641]";89.85$\pm$0.78;"[0.89658146 0.91032753 0.89512627 0.90584208 0.88850298 0.89277199
 0.88509977 0.9016763  0.9055224  0.90305157]";94.38$\pm$0.68;"[0.94116961 0.94095317 0.94954779 0.95421306 0.94304438 0.93502251
 0.9500939  0.93986427 0.93285471 0.95126272]";89.39$\pm$1.19;"[0.88372449 0.89833302 0.90426701 0.90484309 0.89699438 0.89551588
 0.87981179 0.86919255 0.89750553 0.90904217]";89.51$\pm$0.72;"[0.88183308 0.90695762 0.89734402 0.89087058 0.8974639  0.90420041
 0.89028118 0.88838977 0.89414726 0.89952848]";93.33$\pm$1.02;"[0.92035071 0.92896532 0.935855   0.93967779 0.95817905 0.93359396
 0.92994432 0.92314455 0.92576855 0.93794621]"
