metrics;baseline,enc:gcn_bgrl,pred:mlp_mean;baseline,enc:gcn_bgrl,pred:mlp;bgrl,enc:gcn_bgrl,pred:mlp,random_mean;bgrl,enc:gcn_bgrl,pred:mlp,random;bgrl,enc:gcn_bgrl,pred:mlp,deg_mean;bgrl,enc:gcn_bgrl,pred:mlp,deg;bgrl,enc:gcn_bgrl,pred:mlp,evc_mean;bgrl,enc:gcn_bgrl,pred:mlp,evc;bgrl,enc:gcn_bgrl,pred:mlp,pr_mean;bgrl,enc:gcn_bgrl,pred:mlp,pr;bgrl,enc:gcn_bgrl,pred:mlp,scom_mean;bgrl,enc:gcn_bgrl,pred:mlp,scom;infomap_prob_pred_mean;infomap_prob_pred;bgrl,enc:gcn_bgrl,pred:mlp,sbm_fast+random_mean;bgrl,enc:gcn_bgrl,pred:mlp,sbm_fast+random;leiden_prob_pred_mean;leiden_prob_pred;bgrl,enc:gcn_bgrl,pred:mlp,sbm_fast_cheat+random_mean;bgrl,enc:gcn_bgrl,pred:mlp,sbm_fast_cheat+random;grace,enc:gcn_bgrl,pred:mlp,random_mean;grace,enc:gcn_bgrl,pred:mlp,random;grace,enc:gcn_bgrl,pred:mlp,deg_mean;grace,enc:gcn_bgrl,pred:mlp,deg;grace,enc:gcn_bgrl,pred:mlp,evc_mean;grace,enc:gcn_bgrl,pred:mlp,evc;grace,enc:gcn_bgrl,pred:mlp,pr_mean;grace,enc:gcn_bgrl,pred:mlp,pr;grace,enc:gcn_bgrl,pred:mlp,scom_mean;grace,enc:gcn_bgrl,pred:mlp,scom;grace,enc:gcn_bgrl,pred:mlp,sbm_fast+random_mean;grace,enc:gcn_bgrl,pred:mlp,sbm_fast+random;grace,enc:gcn_bgrl,pred:mlp,sbm_fast_cheat+random_mean;grace,enc:gcn_bgrl,pred:mlp,sbm_fast_cheat+random;lbgrl,enc:gcn_bgrl,pred:mlp,random_mean;lbgrl,enc:gcn_bgrl,pred:mlp,random;lbgrl,enc:gcn_bgrl,pred:mlp,deg_mean;lbgrl,enc:gcn_bgrl,pred:mlp,deg;lbgrl,enc:gcn_bgrl,pred:mlp,evc_mean;lbgrl,enc:gcn_bgrl,pred:mlp,evc;lbgrl,enc:gcn_bgrl,pred:mlp,pr_mean;lbgrl,enc:gcn_bgrl,pred:mlp,pr;lbgrl,enc:gcn_bgrl,pred:mlp,scom_mean;lbgrl,enc:gcn_bgrl,pred:mlp,scom;lbgrl,enc:gcn_bgrl,pred:mlp,sbm_fast+random_mean;lbgrl,enc:gcn_bgrl,pred:mlp,sbm_fast+random;louvain_prob_pred_mean;louvain_prob_pred;lbgrl,enc:gcn_bgrl,pred:mlp,sbm_fast_cheat+random_mean;lbgrl,enc:gcn_bgrl,pred:mlp,sbm_fast_cheat+random;lgrace,enc:gcn_bgrl,pred:mlp,random_mean;lgrace,enc:gcn_bgrl,pred:mlp,random;lgrace,enc:gcn_bgrl,pred:mlp,deg_mean;lgrace,enc:gcn_bgrl,pred:mlp,deg;lgrace,enc:gcn_bgrl,pred:mlp,evc_mean;lgrace,enc:gcn_bgrl,pred:mlp,evc;lgrace,enc:gcn_bgrl,pred:mlp,pr_mean;lgrace,enc:gcn_bgrl,pred:mlp,pr;lgrace,enc:gcn_bgrl,pred:mlp,scom_mean;lgrace,enc:gcn_bgrl,pred:mlp,scom;lgrace,enc:gcn_bgrl,pred:mlp,sbm_fast+random_mean;lgrace,enc:gcn_bgrl,pred:mlp,sbm_fast+random;lgrace,enc:gcn_bgrl,pred:mlp,sbm_fast_cheat+random_mean;lgrace,enc:gcn_bgrl,pred:mlp,sbm_fast_cheat+random
Hits@20;79.22$\pm$2.01;"[0.79555175 0.77844311 0.76903336 0.80410607 0.79469632 0.81479897
 0.74764756 0.80710009 0.79811805 0.81266039]";75.19$\pm$2.59;"[0.74893071 0.73909324 0.70444825 0.73738238 0.77844311 0.79255774
 0.76176219 0.77715997 0.72155689 0.75791275]";74.4$\pm$3.35;"[0.77715997 0.68349016 0.74679213 0.76261762 0.71770744 0.74721985
 0.7112917  0.7219846  0.77245509 0.79897348]";80.2$\pm$1.29;"[0.80410607 0.77502139 0.78485885 0.8100941  0.80496151 0.80581694
 0.80538922 0.80624465 0.79897348 0.82463644]";74.45$\pm$2.74;"[0.71514115 0.71086399 0.72326775 0.73952096 0.72968349 0.78229256
 0.73438837 0.79170231 0.74123182 0.77715997]";79.29$\pm$2.14;"[0.76903336 0.75021386 0.79469632 0.79384089 0.80282293 0.78357571
 0.80367836 0.81094953 0.78828058 0.83190761]";63.34$\pm$3.0;"[0.64157399 0.61633875 0.62189906 0.65012831 0.63002566 0.66082121
 0.63344739 0.64756202 0.55816938 0.67365269]";72.1$\pm$2.28;"[0.70145423 0.70444825 0.70786997 0.73310522 0.71514115 0.73609923
 0.73695466 0.70188195 0.69888794 0.77459367]";63.34$\pm$3.0;"[0.64157399 0.61633875 0.62189906 0.65012831 0.63002566 0.66082121
 0.63344739 0.64756202 0.55816938 0.67365269]";57.75$\pm$2.07;"[0.5774166  0.58126604 0.53250642 0.60222412 0.60222412 0.57784431
 0.56372968 0.58212147 0.55774166 0.59837468]";81.3$\pm$0.86;"[0.81522669 0.79469632 0.80496151 0.81907613 0.81223268 0.81479897
 0.8075278  0.82420873 0.81223268 0.82506416]";76.41$\pm$2.5;"[0.74508127 0.71043627 0.76946108 0.78485885 0.75620188 0.79298546
 0.74465355 0.77159966 0.76689478 0.79897348]";75.14$\pm$1.71;"[0.71984602 0.72968349 0.74978614 0.75919589 0.76304534 0.75620188
 0.74850299 0.77074423 0.73909324 0.7780154 ]";76.34$\pm$1.58;"[0.77887083 0.74893071 0.74508127 0.74807528 0.77844311 0.75235244
 0.75320787 0.78015398 0.75876818 0.79041916]";74.77$\pm$1.91;"[0.74550898 0.7219846  0.72155689 0.73652695 0.75235244 0.77074423
 0.74208725 0.7433704  0.7566296  0.786142  ]";66.88$\pm$1.82;"[0.67236955 0.65141146 0.64627887 0.71171942 0.67536356 0.67750214
 0.65739949 0.66638152 0.65098375 0.67835757]";72.72$\pm$2.35;"[0.72412318 0.70230967 0.70744226 0.74037639 0.786142   0.70145423
 0.72711719 0.71941831 0.73823781 0.72497861]";75.55$\pm$2.48;"[0.70615911 0.73310522 0.73353293 0.77288281 0.77972626 0.73994867
 0.78785287 0.77673225 0.76090676 0.76432849]";75.09$\pm$1.91;"[0.75064157 0.71770744 0.73139435 0.77074423 0.75834046 0.73994867
 0.74764756 0.76133447 0.74251497 0.78828058]";80.04$\pm$1.41;"[0.78742515 0.77887083 0.7994012  0.79384089 0.80496151 0.79341317
 0.79769033 0.81907613 0.79897348 0.83019675]";78.38$\pm$2.38;"[0.75021386 0.75106929 0.75149701 0.78913601 0.80239521 0.7887083
 0.80838323 0.79298546 0.78314799 0.82035928]";78.36$\pm$1.65;"[0.78528657 0.78571429 0.77673225 0.77630453 0.75620188 0.77074423
 0.78186484 0.80667237 0.77929855 0.81736527]";68.8$\pm$1.84;"[0.6899059  0.64841745 0.66680924 0.68135158 0.70017109 0.70359281
 0.71556886 0.68263473 0.69546621 0.69632164]";63.34$\pm$3.0;"[0.64157399 0.61633875 0.62189906 0.65012831 0.63002566 0.66082121
 0.63344739 0.64756202 0.55816938 0.67365269]";65.82$\pm$5.23;"[0.65868263 0.62788708 0.53678358 0.69118905 0.713858   0.70829769
 0.6817793  0.69931565 0.65825492 0.60607357]";78.17$\pm$2.15;"[0.78143713 0.76518392 0.74721985 0.79469632 0.78100941 0.81094953
 0.75235244 0.77202737 0.80153978 0.8100941 ]";74.81$\pm$2.2;"[0.76860565 0.69974337 0.72412318 0.76261762 0.76347305 0.7433704
 0.73182207 0.76261762 0.75320787 0.77159966]";76.81$\pm$2.03;"[0.76860565 0.72925577 0.74465355 0.76817793 0.79341317 0.76304534
 0.76047904 0.77972626 0.77117194 0.80282293]";78.76$\pm$1.9;"[0.77245509 0.78357571 0.74465355 0.79555175 0.78314799 0.79512404
 0.80966638 0.79127459 0.78314799 0.81693755]";52.04$\pm$28.36;"[0.65440547 0.47005988 0.         0.75748503 0.58340462 0.77715997
 0.45252352 0.72155689 0.78699743 0.        ]";73.26$\pm$2.14;"[0.71214713 0.71471343 0.69289991 0.76390077 0.72754491 0.72754491
 0.73182207 0.75577417 0.74294269 0.75705731]";74.84$\pm$2.48;"[0.74165954 0.74508127 0.74208725 0.79341317 0.7754491  0.76646707
 0.73353293 0.69846022 0.73310522 0.75491873]"
Hits@50;84.19$\pm$0.94;"[0.83704021 0.83618477 0.83575706 0.8502994  0.84644996 0.84644996
 0.81993157 0.84858854 0.84473909 0.85372113]";82.72$\pm$1.01;"[0.8314799  0.80581694 0.82121471 0.82591959 0.82720274 0.84858854
 0.83233533 0.82378101 0.82591959 0.83019675]";80.99$\pm$1.49;"[0.82549187 0.78272027 0.80966638 0.82805817 0.79512404 0.81736527
 0.79854577 0.79726262 0.81864842 0.82591959]";84.25$\pm$0.57;"[0.84388366 0.83404619 0.83618477 0.84260051 0.83404619 0.85158255
 0.84773311 0.84559453 0.8421728  0.84730539]";81.65$\pm$1.54;"[0.7968349  0.79255774 0.80496151 0.82335329 0.80239521 0.83917879
 0.82249786 0.83575706 0.82335329 0.82420873]";84.08$\pm$0.74;"[0.83319076 0.83105218 0.83490163 0.84816082 0.83661249 0.85072712
 0.84602224 0.8421728  0.83361848 0.85115483]";71.83$\pm$1.52;"[0.72583405 0.71685201 0.69204448 0.72070145 0.713858   0.73481608
 0.7031651  0.73738238 0.70102652 0.73781009]";81.24$\pm$1.36;"[0.80795552 0.80710009 0.79597947 0.81351583 0.79897348 0.83404619
 0.820787   0.81522669 0.79555175 0.83490163]";71.83$\pm$1.52;"[0.72583405 0.71685201 0.69204448 0.72070145 0.713858   0.73481608
 0.7031651  0.73738238 0.70102652 0.73781009]";72.53$\pm$3.05;"[0.68562874 0.72925577 0.6899059  0.73909324 0.77844311 0.7433704
 0.68691189 0.7245509  0.71214713 0.76390077]";84.23$\pm$0.52;"[0.84088965 0.82976903 0.8396065  0.84644996 0.8421728  0.84901625
 0.84131737 0.84388366 0.84088965 0.84858854]";83.14$\pm$1.26;"[0.83276305 0.80153978 0.82720274 0.83704021 0.82164243 0.84473909
 0.84003422 0.83233533 0.82848589 0.84858854]";82.72$\pm$0.9;"[0.82378101 0.81308811 0.81779299 0.83361848 0.82035928 0.84388366
 0.82591959 0.83105218 0.82463644 0.83789564]";82.48$\pm$0.72;"[0.82378101 0.81650984 0.81608212 0.82292558 0.82335329 0.83490163
 0.82292558 0.82591959 0.820787   0.84046193]";81.88$\pm$1.23;"[0.81394354 0.80367836 0.80453379 0.83019675 0.82249786 0.83062447
 0.81308811 0.81950385 0.80667237 0.84302823]";74.75$\pm$1.52;"[0.73353293 0.73952096 0.71727973 0.75534645 0.73866553 0.76133447
 0.7673225  0.75705731 0.74080411 0.76390077]";86.63$\pm$1.62;"[0.87040205 0.83789564 0.85158255 0.8502994  0.86826347 0.87810094
 0.86783576 0.86227545 0.87895637 0.89777588]";81.52$\pm$1.16;"[0.79597947 0.80325064 0.80325064 0.83661249 0.81522669 0.820787
 0.82805817 0.81266039 0.81779299 0.81864842]";81.92$\pm$1.04;"[0.80453379 0.80282293 0.81180496 0.83575706 0.81479897 0.82934132
 0.81950385 0.82335329 0.81907613 0.83062447]";84.22$\pm$0.73;"[0.84003422 0.83019675 0.83490163 0.84602224 0.83319076 0.8502994
 0.84773311 0.85072712 0.83917879 0.84944397]";83.52$\pm$1.12;"[0.82335329 0.82805817 0.81137725 0.84046193 0.83575706 0.84644996
 0.85072712 0.83661249 0.83361848 0.84516681]";83.14$\pm$0.55;"[0.83276305 0.82506416 0.82164243 0.83789564 0.82848589 0.83105218
 0.83233533 0.8314799  0.8314799  0.8421728 ]";74.37$\pm$1.41;"[0.73823781 0.71599658 0.74679213 0.74636441 0.7433704  0.77031651
 0.76261762 0.73567151 0.73952096 0.73781009]";71.83$\pm$1.52;"[0.72583405 0.71685201 0.69204448 0.72070145 0.713858   0.73481608
 0.7031651  0.73738238 0.70102652 0.73781009]";76.78$\pm$2.27;"[0.77373824 0.74123182 0.71899059 0.78357571 0.77929855 0.80581694
 0.77031651 0.78015398 0.76133447 0.76304534]";84.33$\pm$1.09;"[0.82805817 0.83233533 0.83361848 0.85243798 0.83276305 0.85799829
 0.84345595 0.84302823 0.84944397 0.86013687]";82.03$\pm$1.59;"[0.81907613 0.7887083  0.80453379 0.84003422 0.80795552 0.8289136
 0.81266039 0.82720274 0.83575706 0.83789564]";83.75$\pm$1.05;"[0.83319076 0.82164243 0.820787   0.83875107 0.83746792 0.84473909
 0.8502994  0.84302823 0.8314799  0.85372113]";84.38$\pm$0.68;"[0.83917879 0.83875107 0.82976903 0.84003422 0.84431138 0.85158255
 0.84644996 0.84858854 0.84559453 0.85414885]";79.85$\pm$7.51;"[0.83019675 0.84088965 0.61291702 0.80282293 0.84088965 0.85928144
 0.80325064 0.84602224 0.84602224 0.70273738]";80.1$\pm$1.08;"[0.79341317 0.78443114 0.79341317 0.81693755 0.78956373 0.80923867
 0.7994012  0.80410607 0.80111206 0.81864842]";84.62$\pm$1.7;"[0.85115483 0.82934132 0.84730539 0.87681779 0.83704021 0.85329341
 0.83190761 0.81565441 0.86313088 0.85585971]"
Hits@100;86.24$\pm$0.7;"[0.85585971 0.8609923  0.85885372 0.86398631 0.86013687 0.87810094
 0.8502994  0.86398631 0.86398631 0.86783576]";85.53$\pm$0.6;"[0.85628743 0.84687767 0.8528657  0.85500428 0.84816082 0.86698033
 0.86398631 0.85158255 0.85543199 0.85628743]";84.0$\pm$0.65;"[0.84088965 0.82976903 0.83532934 0.84901625 0.83319076 0.8502994
 0.83789564 0.83575706 0.84602224 0.8421728 ]";85.89$\pm$0.51;"[0.85842601 0.85201027 0.85671514 0.8635586  0.84987169 0.86698033
 0.86484175 0.85842601 0.86013687 0.85799829]";84.99$\pm$0.91;"[0.84730539 0.84644996 0.83319076 0.85928144 0.83490163 0.86184773
 0.85585971 0.85201027 0.85372113 0.85414885]";85.74$\pm$0.62;"[0.84987169 0.85072712 0.84987169 0.86612489 0.85372113 0.86313088
 0.86740804 0.85885372 0.85585971 0.85799829]";78.43$\pm$1.49;"[0.78443114 0.77502139 0.76561163 0.76817793 0.78571429 0.80453379
 0.77331052 0.79512404 0.7780154  0.81308811]";84.57$\pm$0.8;"[0.84730539 0.84046193 0.83789564 0.84773311 0.83704021 0.85714286
 0.85243798 0.84602224 0.83361848 0.85757057]";78.43$\pm$1.49;"[0.78443114 0.77502139 0.76561163 0.76817793 0.78571429 0.80453379
 0.77331052 0.79512404 0.7780154  0.81308811]";81.95$\pm$1.0;"[0.80966638 0.81266039 0.81864842 0.82848589 0.82805817 0.83019675
 0.80068435 0.81137725 0.82335329 0.83190761]";85.77$\pm$0.59;"[0.85414885 0.85072712 0.84816082 0.86569718 0.85500428 0.86270317
 0.86698033 0.85543199 0.86056459 0.85757057]";85.62$\pm$0.82;"[0.85457656 0.8421728  0.85158255 0.86313088 0.84302823 0.86655261
 0.85970915 0.85671514 0.85757057 0.86655261]";85.56$\pm$0.61;"[0.85201027 0.84687767 0.85372113 0.85714286 0.84858854 0.86997434
 0.85714286 0.85885372 0.85372113 0.85757057]";85.13$\pm$0.71;"[0.84944397 0.84302823 0.84088965 0.85115483 0.84431138 0.86184773
 0.86056459 0.85457656 0.84816082 0.85885372]";85.11$\pm$0.67;"[0.84602224 0.84987169 0.84131737 0.85158255 0.84388366 0.86484175
 0.85201027 0.84858854 0.8528657  0.85970915]";78.88$\pm$1.61;"[0.76903336 0.77758768 0.76005133 0.78999145 0.7780154  0.80966638
 0.80538922 0.80025663 0.79255774 0.80538922]";91.63$\pm$0.88;"[0.91531223 0.89606501 0.91274594 0.91787853 0.91103507 0.92557742
 0.91573995 0.91958939 0.91745081 0.93113772]";84.17$\pm$0.77;"[0.82591959 0.83704021 0.84046193 0.85329341 0.83875107 0.85072712
 0.84345595 0.83917879 0.83832335 0.8502994 ]";84.83$\pm$0.56;"[0.84901625 0.84345595 0.84473909 0.84901625 0.83746792 0.85671514
 0.85457656 0.85329341 0.84431138 0.8502994 ]";86.02$\pm$0.65;"[0.85543199 0.85500428 0.85500428 0.8635586  0.84816082 0.87040205
 0.86569718 0.86398631 0.85885372 0.86612489]";85.79$\pm$0.6;"[0.84730539 0.85543199 0.8502994  0.86227545 0.85329341 0.86612489
 0.86569718 0.85970915 0.85799829 0.8609923 ]";85.16$\pm$0.43;"[0.8502994  0.84773311 0.84773311 0.85628743 0.84260051 0.85500428
 0.85628743 0.8528657  0.85243798 0.85500428]";78.0$\pm$0.94;"[0.78058169 0.76304534 0.77887083 0.78143713 0.77331052 0.80068435
 0.78913601 0.77373824 0.78058169 0.77887083]";78.43$\pm$1.49;"[0.78443114 0.77502139 0.76561163 0.76817793 0.78571429 0.80453379
 0.77331052 0.79512404 0.7780154  0.81308811]";82.48$\pm$1.28;"[0.82677502 0.79982891 0.8182207  0.82249786 0.81308811 0.84687767
 0.82335329 0.83190761 0.84174508 0.82378101]";86.66$\pm$0.69;"[0.85842601 0.86013687 0.85757057 0.87125749 0.85842601 0.87810094
 0.86783576 0.87082977 0.87125749 0.87211292]";85.0$\pm$0.94;"[0.85072712 0.84174508 0.84174508 0.8609923  0.83276305 0.85543199
 0.8421728  0.85372113 0.86227545 0.85842601]";85.73$\pm$0.52;"[0.85500428 0.84944397 0.85329341 0.86013687 0.85072712 0.86184773
 0.86441403 0.85628743 0.85671514 0.86526946]";86.24$\pm$0.53;"[0.85799829 0.85885372 0.85372113 0.86313088 0.8609923  0.86698033
 0.87211292 0.8609923  0.85970915 0.86911891]";85.65$\pm$1.76;"[0.85970915 0.86313088 0.82035928 0.82549187 0.85928144 0.86997434
 0.87296835 0.86954662 0.86869119 0.85585971]";82.65$\pm$0.87;"[0.82591959 0.81479897 0.82634731 0.83875107 0.80795552 0.83319076
 0.82720274 0.82506416 0.83233533 0.83319076]";88.38$\pm$1.11;"[0.89777588 0.87254063 0.87724551 0.9011976  0.87467921 0.88879384
 0.87254063 0.86997434 0.88879384 0.89435415]"
ROCAUC;93.01$\pm$0.39;"[0.93287804 0.92976713 0.92648574 0.92558318 0.92697801 0.93793563
 0.9258253  0.92949016 0.93212387 0.93442225]";91.23$\pm$0.35;"[0.91280631 0.91256464 0.91087896 0.91143763 0.90423296 0.91722762
 0.91756808 0.91229224 0.91315536 0.91094726]";91.29$\pm$0.47;"[0.91796296 0.90590486 0.91323204 0.92001711 0.90369685 0.91384468
 0.91336885 0.91297974 0.91603741 0.9117822 ]";91.66$\pm$0.33;"[0.91829271 0.91577983 0.91466617 0.91585429 0.91027678 0.92314293
 0.91963138 0.91808543 0.91508722 0.91520283]";91.34$\pm$0.42;"[0.90954465 0.90850601 0.91009966 0.91618248 0.90803868 0.91865475
 0.91798903 0.91943938 0.9129554  0.91242058]";91.53$\pm$0.29;"[0.91422941 0.91009649 0.91652538 0.91450748 0.91128342 0.91829938
 0.91989838 0.9181105  0.91464816 0.91572806]";90.85$\pm$0.28;"[0.90974424 0.90954703 0.90414989 0.9098959  0.90406941 0.91342904
 0.9062905  0.9098959  0.90724691 0.91045442]";91.34$\pm$0.44;"[0.91268154 0.91198911 0.91177886 0.9145276  0.90482898 0.92142036
 0.91556762 0.91464669 0.90847737 0.91804674]";90.85$\pm$0.28;"[0.90974424 0.90954703 0.90414989 0.9098959  0.90406941 0.91342904
 0.9062905  0.9098959  0.90724691 0.91045442]";94.58$\pm$0.34;"[0.94319171 0.94444247 0.93879177 0.94979533 0.94482244 0.95169608
 0.94488601 0.94819331 0.9460315  0.94583465]";92.35$\pm$0.27;"[0.92209321 0.91938047 0.92130666 0.92671504 0.91976401 0.92696146
 0.9265814  0.92282617 0.92505951 0.92460783]";91.58$\pm$0.45;"[0.91904203 0.90745144 0.91631481 0.92055715 0.90740424 0.91667935
 0.91780956 0.91445095 0.91980087 0.91810409]";91.51$\pm$0.27;"[0.91215421 0.91298504 0.91435486 0.9128868  0.91250921 0.92113826
 0.91808397 0.91520256 0.9154102  0.91613437]";92.1$\pm$0.35;"[0.92169358 0.91896328 0.91775554 0.92265759 0.91309654 0.92567547
 0.92199241 0.92004144 0.92326422 0.92437531]";91.53$\pm$0.29;"[0.91618651 0.91489824 0.91273075 0.9129243  0.91086174 0.92044354
 0.91936218 0.91662227 0.91276935 0.91652166]";90.18$\pm$0.55;"[0.8963225  0.89523684 0.89949928 0.90695585 0.89504823 0.91157484
 0.90556633 0.90097497 0.89937817 0.90737168]";97.01$\pm$0.28;"[0.96914225 0.96723445 0.96649155 0.97153292 0.97020331 0.96781922
 0.97243061 0.96794499 0.97158442 0.97630055]";92.74$\pm$0.61;"[0.91473322 0.92777051 0.9266166  0.92335194 0.92763495 0.93638319
 0.93558612 0.93228733 0.92221222 0.92785942]";91.99$\pm$0.25;"[0.91935029 0.92225759 0.92124974 0.91945694 0.91404939 0.92283056
 0.91943865 0.9175582  0.92259713 0.920369  ]";91.92$\pm$0.37;"[0.91621779 0.92100133 0.91565832 0.91836332 0.91134004 0.92359379
 0.92266637 0.91839607 0.92333456 0.9210306 ]";92.42$\pm$0.29;"[0.92456612 0.92297014 0.92176732 0.92460417 0.92063984 0.93122517
 0.92427799 0.92254682 0.92659731 0.92238528]";91.16$\pm$0.47;"[0.91646147 0.90638636 0.91407209 0.91529888 0.90227668 0.90691231
 0.91167994 0.91160585 0.91360475 0.91767153]";89.43$\pm$0.46;"[0.8940758  0.89479961 0.89230067 0.89181475 0.88539919 0.90235343
 0.89865729 0.89868345 0.89045623 0.89451989]";90.85$\pm$0.28;"[0.90974424 0.90954703 0.90414989 0.9098959  0.90406941 0.91342904
 0.9062905  0.9098959  0.90724691 0.91045442]";93.24$\pm$0.87;"[0.93841466 0.91945283 0.93930606 0.93550251 0.91723366 0.93308193
 0.92589555 0.93301744 0.94694273 0.93498589]";94.02$\pm$0.81;"[0.92966779 0.94753966 0.93024972 0.93229903 0.94663722 0.94865725
 0.95091145 0.94690559 0.93531957 0.93393215]";91.83$\pm$0.39;"[0.92227808 0.91350679 0.92066491 0.91982228 0.90903333 0.91867972
 0.91962818 0.91897078 0.92248544 0.91829252]";91.92$\pm$0.34;"[0.91346325 0.919111   0.91797699 0.91662721 0.9155292  0.92021761
 0.92354915 0.919378   0.92043202 0.92522434]";92.53$\pm$0.4;"[0.92093209 0.92629381 0.92294908 0.92104304 0.92248974 0.93024278
 0.93401447 0.92265969 0.9251175  0.92739219]";92.48$\pm$0.59;"[0.92411261 0.92330245 0.91543312 0.91847775 0.92043842 0.93374097
 0.92870562 0.9273213  0.93433242 0.92216941]";90.16$\pm$0.59;"[0.90088532 0.89201351 0.90278521 0.90826242 0.88996942 0.90657955
 0.90722917 0.90423644 0.90420625 0.89975749]";95.15$\pm$0.54;"[0.95657859 0.9455189  0.9538463  0.95977521 0.94396335 0.95035092
 0.94823008 0.94472274 0.95520526 0.95698792]"
