metrics;louvain_prob_pred_mean;louvain_prob_pred;bgrl,enc:gcn_bgrl,pred:mlp,sbm_fast_cheat_mean;bgrl,enc:gcn_bgrl,pred:mlp,sbm_fast_cheat;bgrl,enc:gcn_bgrl,pred:mlp,sbm_fast2_cheat_mean;bgrl,enc:gcn_bgrl,pred:mlp,sbm_fast2_cheat;leiden_prob_pred_mean;leiden_prob_pred;grace,enc:gcn_bgrl,pred:mlp,sbm_fast_cheat_mean;grace,enc:gcn_bgrl,pred:mlp,sbm_fast_cheat;grace,enc:gcn_bgrl,pred:mlp,sbm_fast2_cheat_mean;grace,enc:gcn_bgrl,pred:mlp,sbm_fast2_cheat;lbgrl,enc:gcn_bgrl,pred:mlp,sbm_fast_cheat_mean;lbgrl,enc:gcn_bgrl,pred:mlp,sbm_fast_cheat;infomap_prob_pred_mean;infomap_prob_pred;lbgrl,enc:gcn_bgrl,pred:mlp,sbm_fast2_cheat_mean;lbgrl,enc:gcn_bgrl,pred:mlp,sbm_fast2_cheat;lgrace,enc:gcn_bgrl,pred:mlp,sbm_fast_cheat_mean;lgrace,enc:gcn_bgrl,pred:mlp,sbm_fast_cheat;lgrace,enc:gcn_bgrl,pred:mlp,sbm_fast2_cheat_mean;lgrace,enc:gcn_bgrl,pred:mlp,sbm_fast2_cheat
Hits@20;29.94$\pm$3.12;"[0.32018209 0.28224583 0.33308042 0.27162367 0.28831563 0.30880121
 0.32549317 0.33687405 0.29742033 0.22989378]";57.52$\pm$6.7;"[0.58042489 0.56752656 0.49468892 0.70106222 0.59863429 0.5660091
 0.63581184 0.62974203 0.50227618 0.47572079]";57.37$\pm$4.89;"[0.59028832 0.56069803 0.6168437  0.57435508 0.5        0.52276176
 0.64871017 0.62443096 0.59484067 0.50379363]";29.7$\pm$2.98;"[0.32549317 0.28376328 0.32094082 0.27086495 0.28224583 0.31031866
 0.32549317 0.32701062 0.29362671 0.22989378]";75.37$\pm$4.38;"[0.84522003 0.72078907 0.79590288 0.74962064 0.72230653 0.72382398
 0.73520486 0.79514416 0.75872534 0.69044006]";67.09$\pm$9.74;"[0.80424886 0.74810319 0.59332322 0.54097117 0.66540212 0.72382398
 0.75644917 0.65022762 0.73748103 0.48861912]";52.34$\pm$7.06;"[0.57966616 0.52579666 0.57283763 0.49544765 0.5        0.5030349
 0.51441578 0.59939302 0.59711684 0.34673748]";29.7$\pm$2.98;"[0.32549317 0.28376328 0.32094082 0.27086495 0.28224583 0.31031866
 0.32549317 0.32701062 0.29362671 0.22989378]";78.08$\pm$6.49;"[0.85508346 0.82397572 0.7754173  0.88846737 0.84522003 0.75644917
 0.7245827  0.74279211 0.70561457 0.69044006]";74.49$\pm$7.33;"[0.83004552 0.78679818 0.78831563 0.79362671 0.77693475 0.76631259
 0.73975721 0.69423369 0.71699545 0.55614568]";81.82$\pm$6.6;"[0.84977238 0.86949924 0.78831563 0.87253414 0.80652504 0.72534143
 0.84370258 0.79969651 0.92792109 0.69878604]"
Hits@50;33.59$\pm$1.44;"[0.33687405 0.32018209 0.34522003 0.3292868  0.32776935 0.35356601
 0.34522003 0.35963581 0.33080425 0.31031866]";91.21$\pm$4.83;"[0.95675266 0.80500759 0.94764795 0.95827011 0.93550835 0.86342944
 0.95902883 0.89908953 0.91805766 0.87860395]";87.96$\pm$3.84;"[0.87632777 0.85735964 0.93323217 0.86874052 0.85735964 0.89074355
 0.9430956  0.90895296 0.85053111 0.80955994]";33.41$\pm$1.38;"[0.3414264  0.31638847 0.35053111 0.33459788 0.32169954 0.34749621
 0.34825493 0.34294385 0.32776935 0.30955994]";98.14$\pm$0.9;"[0.99165402 0.96889226 0.98786039 0.98482549 0.96965099 0.97420334
 0.98558422 0.99013657 0.9908953  0.97040971]";94.67$\pm$1.97;"[0.97799697 0.95675266 0.94233687 0.91502276 0.93095599 0.92564492
 0.97116844 0.95295903 0.96206373 0.93247344]";84.02$\pm$2.54;"[0.81411229 0.82852807 0.84597876 0.86798179 0.79514416 0.8262519
 0.8414264  0.88467375 0.86418816 0.83383915]";33.41$\pm$1.38;"[0.3414264  0.31638847 0.35053111 0.33459788 0.32169954 0.34749621
 0.34825493 0.34294385 0.32776935 0.30955994]";97.87$\pm$1.18;"[0.98786039 0.97192716 0.98558422 0.98482549 0.98027314 0.97116844
 0.98634294 0.98710167 0.98406677 0.94764795]";97.24$\pm$1.64;"[0.98482549 0.96965099 0.99241275 0.96585736 0.97420334 0.93171472
 0.98027314 0.97116844 0.98937785 0.96433991]";98.55$\pm$0.83;"[0.9939302  0.97572079 0.99544765 0.98634294 0.98634294 0.96813354
 0.98710167 0.98861912 0.9939302  0.97951442]"
Hits@100;36.24$\pm$1.15;"[0.35735964 0.35432473 0.37405159 0.35811836 0.35811836 0.38391502
 0.36267071 0.37632777 0.35584219 0.34370258]";99.54$\pm$0.24;"[0.99468892 0.98937785 0.9969651  0.99772382 0.99468892 0.9939302
 0.99544765 0.9969651  0.99848255 0.99620637]";99.17$\pm$0.35;"[0.98937785 0.9939302  0.99620637 0.99544765 0.99013657 0.98786039
 0.99165402 0.99620637 0.9908953  0.98558422]";36.15$\pm$1.18;"[0.36798179 0.34294385 0.37784522 0.36039454 0.35053111 0.37025797
 0.37632777 0.36418816 0.36039454 0.34370258]";99.89$\pm$0.11;"[0.99848255 1.         1.         0.99848255 0.9969651  0.9969651
 0.99848255 0.99924127 1.         1.        ]";99.61$\pm$0.13;"[0.99620637 0.99772382 0.99772382 0.9969651  0.99620637 0.99468892
 0.99468892 0.9939302  0.99544765 0.9969651 ]";98.54$\pm$0.45;"[0.97875569 0.98634294 0.98558422 0.9939302  0.97723824 0.98482549
 0.98937785 0.98634294 0.98634294 0.98558422]";36.15$\pm$1.18;"[0.36798179 0.34294385 0.37784522 0.36039454 0.35053111 0.37025797
 0.37632777 0.36418816 0.36039454 0.34370258]";99.83$\pm$0.11;"[0.99924127 0.99848255 0.99848255 0.99848255 0.99848255 0.99620637
 0.99620637 0.99924127 0.99924127 0.99848255]";99.81$\pm$0.11;"[0.99772382 0.99848255 0.99848255 0.99848255 0.99620637 0.99772382
 0.99620637 0.99848255 1.         0.99924127]";99.91$\pm$0.12;"[0.99924127 1.         1.         1.         0.99848255 0.99620637
 0.99848255 0.99848255 1.         1.        ]"
ROCAUC;65.24$\pm$0.86;"[0.64280961 0.66467448 0.65830591 0.64909298 0.64522625 0.65999434
 0.66005017 0.6563452  0.6508187  0.63632533]";98.46$\pm$0.2;"[0.98601712 0.98148549 0.98357803 0.98829675 0.9859371  0.98299315
 0.98667683 0.9849648  0.98313924 0.98252687]";98.29$\pm$0.22;"[0.98339267 0.98244858 0.98549384 0.98096509 0.98078203 0.98295516
 0.98652313 0.98496077 0.9826438  0.97912354]";66.08$\pm$0.68;"[0.65103873 0.65103527 0.6620886  0.66512178 0.65953035 0.66595016
 0.65830476 0.67386324 0.66512156 0.65576493]";99.01$\pm$0.16;"[0.99365273 0.98865308 0.99087515 0.99061149 0.98927595 0.98858861
 0.99030006 0.99110599 0.99026274 0.98748852]";98.73$\pm$0.21;"[0.99074793 0.98917521 0.98559516 0.98396574 0.98733309 0.98678621
 0.98898611 0.98720874 0.9887764  0.98441159]";98.06$\pm$0.18;"[0.98033128 0.9817336  0.98226782 0.98166798 0.97820017 0.9797608
 0.97992371 0.98321306 0.98201815 0.97706669]";66.08$\pm$0.68;"[0.65103873 0.65103527 0.6620886  0.66512178 0.65953035 0.66595016
 0.65830476 0.67386324 0.66512156 0.65576493]";99.04$\pm$0.18;"[0.99275527 0.99193092 0.98997308 0.99289458 0.99239317 0.98885169
 0.98960696 0.98891213 0.98957199 0.98726228]";98.96$\pm$0.16;"[0.9923264  0.99043707 0.98972209 0.99067223 0.99091861 0.98809411
 0.98926674 0.98774181 0.98993724 0.98659796]";99.16$\pm$0.16;"[0.99295445 0.99268705 0.99216636 0.99367518 0.99060689 0.98976296
 0.99162869 0.99073756 0.9931323  0.98853507]"
AP;72.23$\pm$0.91;"[0.71801431 0.72608169 0.72980279 0.7133088  0.71567454 0.73255477
 0.72736642 0.73494344 0.7204911  0.70437021]";97.58$\pm$0.31;"[0.97565705 0.97415828 0.97075612 0.98103839 0.9783382  0.97552566
 0.97825948 0.9777814  0.97545808 0.97095563]";97.47$\pm$0.35;"[0.97644322 0.97515636 0.97679928 0.970826   0.97357598 0.97577314
 0.97964404 0.97821954 0.97379567 0.96709741]";72.68$\pm$0.74;"[0.7265074  0.71732154 0.73305074 0.72103103 0.72313549 0.73350631
 0.7296824  0.73980877 0.72928848 0.7151084 ]";98.47$\pm$0.29;"[0.99072828 0.98181249 0.98492424 0.98672135 0.98513119 0.98139733
 0.98514819 0.98669675 0.98488198 0.97999842]";98.1$\pm$0.4;"[0.98642422 0.98457203 0.97516121 0.97501003 0.98345157 0.98141752
 0.98387945 0.98117977 0.98323097 0.97531701]";97.12$\pm$0.45;"[0.97319208 0.97511428 0.97494425 0.97303047 0.96631244 0.96883761
 0.96986406 0.97567664 0.97410255 0.96075889]";72.68$\pm$0.74;"[0.7265074  0.71732154 0.73305074 0.72103103 0.72313549 0.73350631
 0.7296824  0.73980877 0.72928848 0.7151084 ]";98.52$\pm$0.34;"[0.99021689 0.9894064  0.98319585 0.98880142 0.98854905 0.9832692
 0.98380973 0.98070914 0.98324783 0.98095319]";98.43$\pm$0.3;"[0.98864457 0.9865044  0.98362055 0.98739169 0.98752776 0.98219293
 0.98427292 0.97945643 0.98351486 0.97984568]";98.76$\pm$0.24;"[0.98983331 0.98868245 0.98688416 0.99150798 0.9874627  0.98581689
 0.98720422 0.98679029 0.98915435 0.98233699]"
pretrain_time;nan$\pm$nan;[];46.86$\pm$0.11;"[46.68504977 47.05293465 46.84545994 46.89468312 46.83886385 46.77320313
 46.83681202 46.73648143 46.96483994 46.95072508]";57.6$\pm$0.19;"[57.56849146 57.53089094 57.95545483 57.83958769 57.74668574 57.44186854
 57.67998695 57.34912634 57.35719872 57.48414683]";nan$\pm$nan;[];16.13$\pm$0.01;"[16.13519979 16.12905073 16.13502383 16.12125587 16.11129355 16.1541965
 16.12016821 16.12219238 16.14014339 16.11323643]";40.28$\pm$0.05;"[40.26461864 40.25051665 40.25991893 40.32035112 40.36143279 40.35878992
 40.26254725 40.22235441 40.26080275 40.2557354 ]";39.43$\pm$0.16;"[39.32341909 39.76941895 39.43670082 39.38691425 39.39843369 39.34696293
 39.33804917 39.35961938 39.24232721 39.67008185]";nan$\pm$nan;[];2.44$\pm$0.1;"[2.42586994 2.40604281 2.39915609 2.39866138 2.393821   2.7338109
 2.38356066 2.4098134  2.46463633 2.41424084]";2.55$\pm$0.15;"[2.73398471 2.70572352 2.69713306 2.52247548 2.41602015 2.76776552
 2.4228704  2.400841   2.40293741 2.41095638]";44.37$\pm$0.26;"[44.27505946 44.19683671 44.2276299  44.62192559 44.93485641 43.9349618
 44.55432105 44.28291202 44.35905957 44.27882242]"
