metrics;louvain_prob_pred_mean;louvain_prob_pred;bgrl,enc:gcn_bgrl,pred:mlp,sbm_fast_mean;bgrl,enc:gcn_bgrl,pred:mlp,sbm_fast;leiden_prob_pred_mean;leiden_prob_pred;bgrl,enc:gcn_bgrl,pred:mlp,sbm_fast+deg_mean;bgrl,enc:gcn_bgrl,pred:mlp,sbm_fast+deg;infomap_prob_pred_mean;infomap_prob_pred;bgrl,enc:gcn_bgrl,pred:mlp,sbm_fast+evc_mean;bgrl,enc:gcn_bgrl,pred:mlp,sbm_fast+evc;bgrl,enc:gcn_bgrl,pred:mlp,sbm_fast+pr_mean;bgrl,enc:gcn_bgrl,pred:mlp,sbm_fast+pr;bgrl,enc:gcn_bgrl,pred:mlp,sbm_fast+scom_mean;bgrl,enc:gcn_bgrl,pred:mlp,sbm_fast+scom;bgrl,enc:gcn_bgrl,pred:mlp,sbm_fast2_mean;bgrl,enc:gcn_bgrl,pred:mlp,sbm_fast2;grace,enc:gcn_bgrl,pred:mlp,sbm_fast_mean;grace,enc:gcn_bgrl,pred:mlp,sbm_fast;grace,enc:gcn_bgrl,pred:mlp,sbm_fast+deg_mean;grace,enc:gcn_bgrl,pred:mlp,sbm_fast+deg;grace,enc:gcn_bgrl,pred:mlp,sbm_fast+evc_mean;grace,enc:gcn_bgrl,pred:mlp,sbm_fast+evc;grace,enc:gcn_bgrl,pred:mlp,sbm_fast+pr_mean;grace,enc:gcn_bgrl,pred:mlp,sbm_fast+pr;grace,enc:gcn_bgrl,pred:mlp,sbm_fast+scom_mean;grace,enc:gcn_bgrl,pred:mlp,sbm_fast+scom;grace,enc:gcn_bgrl,pred:mlp,sbm_fast2_mean;grace,enc:gcn_bgrl,pred:mlp,sbm_fast2;lbgrl,enc:gcn_bgrl,pred:mlp,sbm_fast_mean;lbgrl,enc:gcn_bgrl,pred:mlp,sbm_fast;lbgrl,enc:gcn_bgrl,pred:mlp,sbm_fast+deg_mean;lbgrl,enc:gcn_bgrl,pred:mlp,sbm_fast+deg;lbgrl,enc:gcn_bgrl,pred:mlp,sbm_fast+evc_mean;lbgrl,enc:gcn_bgrl,pred:mlp,sbm_fast+evc;lbgrl,enc:gcn_bgrl,pred:mlp,sbm_fast+pr_mean;lbgrl,enc:gcn_bgrl,pred:mlp,sbm_fast+pr;lbgrl,enc:gcn_bgrl,pred:mlp,sbm_fast+scom_mean;lbgrl,enc:gcn_bgrl,pred:mlp,sbm_fast+scom;lbgrl,enc:gcn_bgrl,pred:mlp,sbm_fast2_mean;lbgrl,enc:gcn_bgrl,pred:mlp,sbm_fast2;lgrace,enc:gcn_bgrl,pred:mlp,sbm_fast_mean;lgrace,enc:gcn_bgrl,pred:mlp,sbm_fast;lgrace,enc:gcn_bgrl,pred:mlp,sbm_fast+deg_mean;lgrace,enc:gcn_bgrl,pred:mlp,sbm_fast+deg;lgrace,enc:gcn_bgrl,pred:mlp,sbm_fast+evc_mean;lgrace,enc:gcn_bgrl,pred:mlp,sbm_fast+evc;lgrace,enc:gcn_bgrl,pred:mlp,sbm_fast+pr_mean;lgrace,enc:gcn_bgrl,pred:mlp,sbm_fast+pr;lgrace,enc:gcn_bgrl,pred:mlp,sbm_fast+scom_mean;lgrace,enc:gcn_bgrl,pred:mlp,sbm_fast+scom;lgrace,enc:gcn_bgrl,pred:mlp,sbm_fast2_mean;lgrace,enc:gcn_bgrl,pred:mlp,sbm_fast2
Hits@20;30.19$\pm$5.18;"[0.29176471 0.32941176 0.31058824 0.24705882 0.28705882 0.28470588
 0.29882353 0.43764706 0.29176471 0.24      ]";81.11$\pm$2.96;"[0.82117647 0.82352941 0.77647059 0.83294118 0.78117647 0.77882353
 0.8        0.88       0.80470588 0.81176471]";29.29$\pm$3.75;"[0.29176471 0.32941176 0.26352941 0.26117647 0.26823529 0.28235294
 0.30352941 0.38588235 0.28705882 0.25647059]";82.14$\pm$2.63;"[0.84235294 0.83294118 0.8        0.80941176 0.81411765 0.80235294
 0.81411765 0.88941176 0.81176471 0.79764706]";29.29$\pm$3.75;"[0.29176471 0.32941176 0.26352941 0.26117647 0.26823529 0.28235294
 0.30352941 0.38588235 0.28705882 0.25647059]";74.87$\pm$3.68;"[0.74823529 0.74352941 0.72941176 0.67294118 0.72941176 0.78823529
 0.79764706 0.76470588 0.72       0.79294118]";73.15$\pm$5.04;"[0.62823529 0.77882353 0.73647059 0.75058824 0.70117647 0.75764706
 0.67764706 0.76       0.71294118 0.81176471]";80.75$\pm$2.81;"[0.80470588 0.84470588 0.79058824 0.82117647 0.76       0.80470588
 0.77176471 0.85411765 0.8        0.82352941]";70.0$\pm$4.06;"[0.74117647 0.76235294 0.67529412 0.70117647 0.66588235 0.67058824
 0.71058824 0.74823529 0.62352941 0.70117647]";76.73$\pm$1.76;"[0.77176471 0.79058824 0.77647059 0.75058824 0.78823529 0.75058824
 0.77411765 0.78352941 0.74352941 0.74352941]";81.01$\pm$2.73;"[0.82588235 0.81647059 0.76470588 0.77411765 0.82352941 0.82352941
 0.81647059 0.85882353 0.77882353 0.81882353]";78.49$\pm$3.1;"[0.82352941 0.79529412 0.72235294 0.76       0.78823529 0.80705882
 0.80235294 0.82117647 0.74823529 0.78117647]";79.25$\pm$4.38;"[0.82117647 0.80470588 0.79058824 0.76941176 0.79058824 0.76941176
 0.74588235 0.90117647 0.73647059 0.79529412]";79.93$\pm$3.7;"[0.82823529 0.84705882 0.75764706 0.83764706 0.76705882 0.76235294
 0.77411765 0.85882353 0.77411765 0.78588235]";76.14$\pm$3.7;"[0.77882353 0.79764706 0.77647059 0.73411765 0.66823529 0.75764706
 0.78117647 0.79058824 0.74117647 0.78823529]";65.91$\pm$4.25;"[0.60941176 0.69882353 0.67764706 0.72705882 0.64       0.60705882
 0.66823529 0.67529412 0.59294118 0.69411765]";77.36$\pm$4.43;"[0.76235294 0.83294118 0.67764706 0.81176471 0.76       0.74117647
 0.75764706 0.82588235 0.76235294 0.80470588]";76.61$\pm$3.65;"[0.77176471 0.78352941 0.78117647 0.75058824 0.71294118 0.75529412
 0.74823529 0.85882353 0.74352941 0.75529412]";76.75$\pm$5.01;"[0.70117647 0.80470588 0.73647059 0.8        0.71058824 0.78352941
 0.73647059 0.85882353 0.72470588 0.81882353]";78.45$\pm$4.71;"[0.80235294 0.78352941 0.72       0.79294118 0.77411765 0.81176471
 0.80941176 0.84235294 0.68       0.82823529]";78.26$\pm$3.86;"[0.82352941 0.82117647 0.77176471 0.79529412 0.74352941 0.72941176
 0.79058824 0.82117647 0.71529412 0.81411765]";82.54$\pm$3.99;"[0.84235294 0.84941176 0.79764706 0.84941176 0.76705882 0.81647059
 0.77882353 0.89882353 0.79058824 0.86352941]";83.22$\pm$2.55;"[0.83764706 0.84       0.79529412 0.83529412 0.79058824 0.81647059
 0.83058824 0.88235294 0.85411765 0.84      ]";78.09$\pm$4.19;"[0.76       0.80235294 0.73882353 0.81882353 0.72941176 0.76470588
 0.78588235 0.87058824 0.73647059 0.80235294]";84.89$\pm$2.99;"[0.86588235 0.88235294 0.82588235 0.86352941 0.81647059 0.83058824
 0.84705882 0.90352941 0.8        0.85411765]";78.47$\pm$4.02;"[0.79764706 0.84705882 0.79058824 0.78352941 0.73411765 0.76470588
 0.75529412 0.84235294 0.72       0.81176471]";79.79$\pm$3.95;"[0.77647059 0.81882353 0.74823529 0.82352941 0.78352941 0.80235294
 0.77176471 0.89411765 0.76       0.8       ]"
Hits@50;46.94$\pm$3.99;"[0.44       0.48941176 0.48705882 0.41647059 0.43764706 0.42823529
 0.49647059 0.53411765 0.52470588 0.44      ]";88.82$\pm$2.35;"[0.90117647 0.91529412 0.89176471 0.89411765 0.86117647 0.84235294
 0.87764706 0.92470588 0.87529412 0.89882353]";46.78$\pm$3.83;"[0.43529412 0.48470588 0.49176471 0.41411765 0.44941176 0.41882353
 0.50352941 0.52235294 0.51529412 0.44235294]";89.32$\pm$1.91;"[0.91294118 0.90117647 0.88470588 0.91058824 0.89647059 0.86117647
 0.87764706 0.92705882 0.87529412 0.88470588]";46.78$\pm$3.83;"[0.43529412 0.48470588 0.49176471 0.41411765 0.44941176 0.41882353
 0.50352941 0.52235294 0.51529412 0.44235294]";84.45$\pm$1.88;"[0.84941176 0.85176471 0.83529412 0.80941176 0.84       0.86823529
 0.87058824 0.85176471 0.81647059 0.85176471]";85.41$\pm$3.25;"[0.82352941 0.89411765 0.84470588 0.89647059 0.84470588 0.85411765
 0.79529412 0.87764706 0.82352941 0.88705882]";88.56$\pm$1.6;"[0.89411765 0.89647059 0.86823529 0.89176471 0.87529412 0.86352941
 0.87058824 0.91294118 0.87764706 0.90588235]";80.59$\pm$3.58;"[0.81411765 0.84941176 0.75529412 0.80705882 0.76941176 0.79529412
 0.83764706 0.84       0.74823529 0.84235294]";87.01$\pm$2.03;"[0.87764706 0.90117647 0.86352941 0.84       0.86117647 0.86117647
 0.88       0.89647059 0.83764706 0.88235294]";88.64$\pm$1.98;"[0.90588235 0.89882353 0.86588235 0.87764706 0.88235294 0.86352941
 0.89647059 0.91764706 0.85411765 0.90117647]";87.6$\pm$2.65;"[0.89647059 0.88470588 0.84705882 0.82823529 0.90117647 0.89176471
 0.89647059 0.90823529 0.85176471 0.85411765]";88.45$\pm$2.1;"[0.89647059 0.91294118 0.87294118 0.87058824 0.86588235 0.87294118
 0.86117647 0.92470588 0.86823529 0.89882353]";88.47$\pm$2.32;"[0.89176471 0.89882353 0.85882353 0.90117647 0.85647059 0.86117647
 0.88235294 0.92470588 0.86117647 0.91058824]";86.21$\pm$3.63;"[0.86823529 0.88235294 0.84705882 0.86588235 0.77176471 0.85176471
 0.87529412 0.89411765 0.84941176 0.91529412]";79.06$\pm$2.75;"[0.82823529 0.8        0.75764706 0.81647059 0.74823529 0.79058824
 0.82117647 0.77411765 0.76       0.80941176]";87.18$\pm$3.27;"[0.86588235 0.92       0.8        0.87764706 0.85647059 0.85647059
 0.87294118 0.88705882 0.86117647 0.92      ]";87.53$\pm$2.53;"[0.89882353 0.89176471 0.87058824 0.87058824 0.83058824 0.86117647
 0.85647059 0.92705882 0.86117647 0.88470588]";88.19$\pm$2.76;"[0.88       0.89882353 0.87058824 0.90352941 0.85411765 0.87294118
 0.85411765 0.93647059 0.84235294 0.90588235]";87.88$\pm$2.32;"[0.89176471 0.88       0.84235294 0.89176471 0.86823529 0.87529412
 0.89176471 0.90117647 0.83529412 0.91058824]";87.95$\pm$2.58;"[0.90352941 0.88705882 0.86352941 0.87529412 0.85882353 0.87058824
 0.86117647 0.91294118 0.83764706 0.92470588]";90.38$\pm$2.54;"[0.92705882 0.91294118 0.89647059 0.91294118 0.86588235 0.88470588
 0.90588235 0.92941176 0.86117647 0.94117647]";90.12$\pm$1.99;"[0.90823529 0.91294118 0.87764706 0.90823529 0.88470588 0.86823529
 0.89882353 0.92941176 0.89176471 0.93176471]";88.4$\pm$2.83;"[0.88941176 0.91058824 0.84235294 0.91058824 0.84       0.86588235
 0.88941176 0.92941176 0.86588235 0.89647059]";91.79$\pm$1.63;"[0.92941176 0.92       0.90352941 0.93411765 0.90352941 0.89647059
 0.92235294 0.93411765 0.89411765 0.94117647]";85.53$\pm$2.62;"[0.87529412 0.87294118 0.83529412 0.84235294 0.81647059 0.85647059
 0.83529412 0.88       0.83294118 0.90588235]";88.33$\pm$2.57;"[0.91294118 0.90352941 0.84470588 0.90117647 0.86823529 0.87529412
 0.87529412 0.91764706 0.84       0.89411765]"
Hits@100;63.98$\pm$3.23;"[0.61882353 0.64470588 0.63058824 0.62352941 0.63529412 0.61176471
 0.67764706 0.71294118 0.64705882 0.59529412]";93.06$\pm$1.54;"[0.94823529 0.94823529 0.92470588 0.93411765 0.90823529 0.91058824
 0.92705882 0.94588235 0.91294118 0.94588235]";63.29$\pm$2.94;"[0.60705882 0.65176471 0.62117647 0.62117647 0.63529412 0.6
 0.66588235 0.69176471 0.64235294 0.59294118]";92.66$\pm$1.68;"[0.95529412 0.94352941 0.93176471 0.93176471 0.91294118 0.91058824
 0.91058824 0.93882353 0.89882353 0.93176471]";63.29$\pm$2.94;"[0.60705882 0.65176471 0.62117647 0.62117647 0.63529412 0.6
 0.66588235 0.69176471 0.64235294 0.59294118]";91.08$\pm$1.61;"[0.92470588 0.91764706 0.88470588 0.90352941 0.90823529 0.92235294
 0.91294118 0.93882353 0.88470588 0.91058824]";92.12$\pm$2.26;"[0.92941176 0.93647059 0.91058824 0.94588235 0.91529412 0.89411765
 0.89882353 0.93411765 0.88705882 0.96      ]";92.73$\pm$1.35;"[0.93647059 0.94823529 0.92       0.91764706 0.91294118 0.91529412
 0.92470588 0.94352941 0.91058824 0.94352941]";87.6$\pm$2.34;"[0.90823529 0.91058824 0.83764706 0.88470588 0.85647059 0.86352941
 0.87529412 0.88470588 0.84705882 0.89176471]";92.4$\pm$1.65;"[0.94117647 0.95294118 0.91058824 0.90823529 0.91529412 0.92470588
 0.92       0.94117647 0.89647059 0.92941176]";92.8$\pm$1.68;"[0.94823529 0.95294118 0.92235294 0.92       0.91529412 0.91294118
 0.93176471 0.94352941 0.89647059 0.93647059]";91.53$\pm$1.9;"[0.93882353 0.94117647 0.91764706 0.87764706 0.92       0.91294118
 0.92705882 0.92235294 0.88941176 0.90588235]";92.78$\pm$1.34;"[0.94352941 0.94117647 0.92470588 0.91294118 0.92705882 0.91294118
 0.92235294 0.94823529 0.90823529 0.93647059]";92.71$\pm$1.65;"[0.94588235 0.94352941 0.91529412 0.94117647 0.91529412 0.89647059
 0.91764706 0.94352941 0.91294118 0.93882353]";91.79$\pm$2.08;"[0.92       0.94588235 0.92235294 0.90823529 0.88       0.90823529
 0.91529412 0.93411765 0.89411765 0.95058824]";86.96$\pm$2.48;"[0.90117647 0.88       0.84235294 0.87764706 0.83529412 0.87764706
 0.89647059 0.83764706 0.84941176 0.89882353]";93.41$\pm$1.85;"[0.91058824 0.96705882 0.91529412 0.93882353 0.92470588 0.91294118
 0.95764706 0.93647059 0.92705882 0.95058824]";92.73$\pm$1.58;"[0.93176471 0.92705882 0.93411765 0.92705882 0.92       0.92235294
 0.90588235 0.95529412 0.90117647 0.94823529]";93.32$\pm$1.65;"[0.94117647 0.94588235 0.93647059 0.94352941 0.91764706 0.91529412
 0.92235294 0.94823529 0.90352941 0.95764706]";92.45$\pm$1.41;"[0.93882353 0.94117647 0.91764706 0.92941176 0.91294118 0.91294118
 0.92       0.94117647 0.89647059 0.93411765]";92.14$\pm$1.64;"[0.94588235 0.93411765 0.91764706 0.92235294 0.89647059 0.90588235
 0.91529412 0.93176471 0.90117647 0.94352941]";93.39$\pm$1.57;"[0.95294118 0.93411765 0.92470588 0.94823529 0.93176471 0.91294118
 0.93176471 0.93882353 0.90588235 0.95764706]";94.07$\pm$1.35;"[0.96       0.95294118 0.92       0.95529412 0.93647059 0.93411765
 0.93647059 0.93411765 0.92235294 0.95529412]";93.15$\pm$1.61;"[0.93176471 0.95294118 0.91529412 0.94823529 0.91764706 0.91529412
 0.92235294 0.94352941 0.91294118 0.95529412]";94.71$\pm$1.45;"[0.96705882 0.95764706 0.94823529 0.95529412 0.92941176 0.93882353
 0.95058824 0.95058824 0.91529412 0.95764706]";89.46$\pm$1.86;"[0.90588235 0.88705882 0.89411765 0.88941176 0.85647059 0.89411765
 0.90823529 0.89882353 0.88       0.93176471]";92.02$\pm$2.04;"[0.94117647 0.92470588 0.89647059 0.93647059 0.92       0.90823529
 0.90352941 0.95058824 0.88470588 0.93647059]"
ROCAUC;78.38$\pm$1.54;"[0.78656886 0.80111834 0.77953385 0.76814095 0.7781909  0.76452318
 0.79897891 0.80905744 0.79010657 0.76164146]";93.09$\pm$1.16;"[0.94298131 0.9499737  0.92284684 0.9308657  0.92293008 0.91430311
 0.92575472 0.94084983 0.91675017 0.94132213]";78.33$\pm$1.53;"[0.78337439 0.80209827 0.77581021 0.76672586 0.77890122 0.76775087
 0.7999778  0.80845398 0.7884955  0.76178151]";93.17$\pm$1.09;"[0.94550865 0.94583253 0.9272364  0.93559378 0.933202   0.91705744
 0.92456715 0.93958201 0.91152941 0.93718207]";78.33$\pm$1.53;"[0.78337439 0.80209827 0.77581021 0.76672586 0.77890122 0.76775087
 0.7999778  0.80845398 0.7884955  0.76178151]";92.5$\pm$1.04;"[0.93024775 0.93452734 0.91586016 0.91360155 0.92349612 0.93299377
 0.93054384 0.93342561 0.90225052 0.93342297]";92.69$\pm$1.45;"[0.92482768 0.94409965 0.92704218 0.93963374 0.92097114 0.91672249
 0.90307991 0.93279446 0.90883322 0.9507563 ]";92.67$\pm$1.22;"[0.93716263 0.94531765 0.91508879 0.92569367 0.91656493 0.91504498
 0.91973363 0.93981453 0.91128028 0.94082913]";89.8$\pm$1.86;"[0.92353218 0.92694256 0.87718091 0.89892897 0.87916204 0.87884291
 0.90558824 0.90743806 0.87429204 0.90819608]";92.7$\pm$1.02;"[0.93432803 0.9442436  0.91986127 0.91813541 0.92708102 0.92157232
 0.92629856 0.93709619 0.9073827  0.93359104]";93.05$\pm$1.37;"[0.94427128 0.94721107 0.92134295 0.92554939 0.93086016 0.91699377
 0.93057714 0.94830727 0.90273218 0.93681793]";92.5$\pm$1.31;"[0.94278201 0.94426574 0.91142619 0.90785239 0.92971143 0.92584083
 0.92882908 0.93246228 0.90377855 0.9227507 ]";93.16$\pm$1.03;"[0.94092734 0.9463391  0.92650388 0.92463929 0.93201998 0.91534394
 0.93023307 0.94648581 0.91779654 0.93531092]";92.73$\pm$1.22;"[0.93659239 0.94316955 0.91461154 0.93616537 0.92124861 0.91243183
 0.92249723 0.94014118 0.90830727 0.93770868]";92.23$\pm$1.48;"[0.92871972 0.94396125 0.9193535  0.9204162  0.89962264 0.91364429
 0.92217536 0.93102837 0.89972042 0.94459944]";90.3$\pm$1.59;"[0.92266298 0.91592526 0.89990566 0.90663707 0.88192564 0.90357924
 0.91568257 0.87386021 0.88922353 0.92014566]";94.31$\pm$1.25;"[0.93416194 0.96272388 0.91870699 0.9499667  0.93375694 0.94192941
 0.95152608 0.9431917  0.93599446 0.95878431]";93.2$\pm$1.13;"[0.94278754 0.93746713 0.93153163 0.9295172  0.91574362 0.92507128
 0.92283574 0.95495087 0.92052595 0.93971989]";93.71$\pm$1.36;"[0.94168581 0.952609   0.92900666 0.94913984 0.91976138 0.92462284
 0.9227081  0.95383806 0.92457301 0.95337255]";92.66$\pm$1.23;"[0.93822007 0.9406173  0.91567703 0.92894007 0.92214206 0.92204844
 0.92604329 0.93747266 0.89844152 0.93680112]";92.59$\pm$1.48;"[0.94450381 0.9399474  0.92341287 0.92427858 0.91403441 0.91244291
 0.91715871 0.93146574 0.90123183 0.95058263]";93.55$\pm$1.25;"[0.94882768 0.94688997 0.92705882 0.93805216 0.92754717 0.91911419
 0.93476693 0.94442076 0.91437509 0.95363025]";94.04$\pm$1.0;"[0.95079308 0.95382145 0.92858491 0.94445061 0.94009989 0.92532042
 0.94260821 0.9397481  0.92636125 0.95182633]";94.03$\pm$1.01;"[0.94608166 0.95249827 0.9349667  0.94644839 0.93277469 0.92787266
 0.93720866 0.95574256 0.92367612 0.94542297]";95.23$\pm$1.04;"[0.96009412 0.96704775 0.94963374 0.95799112 0.94789678 0.94264913
 0.95066593 0.96119031 0.92874187 0.95687395]";92.04$\pm$1.16;"[0.92807197 0.9223917  0.91727525 0.91620422 0.89984462 0.91539931
 0.92372919 0.92969412 0.90727197 0.94363025]";92.93$\pm$1.35;"[0.9400526  0.94153633 0.91526082 0.93564373 0.92572697 0.92302284
 0.92190899 0.94908789 0.9023391  0.93884034]"
AP;77.14$\pm$1.7;"[0.76905168 0.77344156 0.77013279 0.75285041 0.77258538 0.75687388
 0.79479003 0.80504899 0.77272292 0.74615563]";94.98$\pm$0.8;"[0.95677189 0.96317539 0.94423242 0.95203178 0.940643   0.9376368
 0.9447329  0.95776223 0.9451608  0.95557063]";77.45$\pm$1.6;"[0.76351427 0.78253739 0.76288123 0.76040092 0.78313695 0.76063647
 0.79845036 0.8008523  0.7796802  0.75263033]";95.26$\pm$0.63;"[0.96139432 0.95799808 0.95020924 0.95528443 0.95414252 0.94269782
 0.94866186 0.960147   0.94247199 0.95335745]";77.45$\pm$1.6;"[0.76351427 0.78253739 0.76288123 0.76040092 0.78313695 0.76063647
 0.79845036 0.8008523  0.7796802  0.75263033]";94.03$\pm$0.81;"[0.94233755 0.94259746 0.93302056 0.93129516 0.93927427 0.94825611
 0.94858151 0.94587189 0.92320354 0.94819985]";93.78$\pm$1.2;"[0.92619747 0.95068672 0.94022866 0.95027365 0.927995   0.93672394
 0.91936241 0.9433485  0.92598814 0.95680444]";94.8$\pm$0.78;"[0.95356941 0.95935958 0.94109402 0.94919998 0.93817948 0.94167832
 0.94070399 0.95836664 0.94196227 0.9560503 ]";92.31$\pm$1.35;"[0.93855492 0.94312273 0.90731453 0.92705993 0.91114671 0.91083698
 0.92840388 0.93199913 0.90196331 0.93097393]";94.38$\pm$0.66;"[0.94770618 0.95221717 0.94025204 0.93565441 0.94324829 0.94021369
 0.94622157 0.95219693 0.93135446 0.94941784]";95.0$\pm$0.74;"[0.95737236 0.95782843 0.94398119 0.94639729 0.95130401 0.94494266
 0.94865389 0.96130197 0.935104   0.9527555 ]";94.43$\pm$0.97;"[0.95625262 0.95562101 0.93017101 0.92918299 0.9436802  0.94970487
 0.95001813 0.95165069 0.93340396 0.9436202 ]";94.77$\pm$0.85;"[0.9500359  0.95861234 0.94862002 0.94429532 0.94853195 0.93445404
 0.94484162 0.96334966 0.93545868 0.94851671]";94.89$\pm$0.8;"[0.95381576 0.95850934 0.93994903 0.95635601 0.9431826  0.93842743
 0.94540152 0.95881784 0.9391874  0.95493605]";94.1$\pm$1.08;"[0.94344806 0.95592169 0.93823114 0.93973361 0.91916405 0.93788316
 0.93999741 0.94592933 0.93114624 0.95885974]";91.9$\pm$1.11;"[0.92765953 0.92517159 0.91640797 0.92794795 0.89969784 0.91736652
 0.92973374 0.90873202 0.90394197 0.93328041]";95.14$\pm$1.07;"[0.94684301 0.96895476 0.93097881 0.95889181 0.9416665  0.9508326
 0.9542622  0.9518537  0.94475703 0.96536759]";94.5$\pm$0.83;"[0.95148252 0.94901352 0.9422195  0.94492451 0.93015929 0.94101058
 0.93854804 0.96203297 0.94036369 0.95021922]";94.85$\pm$0.94;"[0.9460362  0.95467941 0.94568751 0.96002519 0.93320734 0.94427872
 0.93977475 0.9603194  0.94005554 0.96119042]";94.53$\pm$0.94;"[0.95111353 0.95288665 0.93704458 0.94633039 0.94220336 0.94756291
 0.94384586 0.95323022 0.92233741 0.95649581]";94.62$\pm$0.94;"[0.95713775 0.95563792 0.94471183 0.94600486 0.93403715 0.93983296
 0.9434243  0.94925437 0.93096962 0.96148797]";95.36$\pm$0.87;"[0.95979369 0.96100293 0.94867006 0.95372126 0.94754358 0.94421578
 0.95329623 0.961296   0.93807143 0.9679621 ]";95.69$\pm$0.57;"[0.96272017 0.96231309 0.94968516 0.96010966 0.9552104  0.9478221
 0.95676279 0.96023294 0.94994934 0.96463114]";95.04$\pm$0.83;"[0.95010518 0.95983373 0.94481768 0.95889235 0.94156446 0.94429885
 0.94773128 0.96261051 0.93694468 0.95681195]";96.31$\pm$0.7;"[0.96855134 0.97295779 0.95908336 0.96691651 0.95926698 0.95526797
 0.9624197  0.96954001 0.94919802 0.96820752]";94.05$\pm$0.88;"[0.94351714 0.945891   0.93899433 0.93988528 0.92610481 0.93462756
 0.94009117 0.9494585  0.9292046  0.957325  ]";94.82$\pm$0.91;"[0.95543644 0.95611908 0.93915739 0.95221863 0.94570379 0.94280819
 0.9421914  0.96342599 0.93155603 0.95366079]"
pretrain_time;nan$\pm$nan;[];6.21$\pm$0.09;"[6.15694046 6.15007949 6.14208031 6.14536309 6.16114593 6.2359457
 6.23529196 6.4643383  6.19716406 6.20060349]";nan$\pm$nan;[];13.11$\pm$0.08;"[13.16102958 12.97431183 13.00816226 13.0996294  13.06702423 13.06836057
 13.08299136 13.25011468 13.18210101 13.21088338]";nan$\pm$nan;[];55.69$\pm$0.9;"[56.11814475 56.42420101 56.23272729 55.60615468 57.14255285 55.72116041
 56.26123905 54.52756619 54.34788299 54.47417045]";10.34$\pm$0.05;"[10.28118062 10.26616287 10.40964794 10.36603451 10.34629083 10.42978048
 10.31927967 10.35260749 10.32175112 10.30684495]";73.57$\pm$0.37;"[73.60486293 73.5258913  73.50655985 73.32335544 73.5392375  73.35288358
 73.07565999 74.51415825 73.83035326 73.40980744]";56.89$\pm$0.33;"[56.71670437 56.61498761 57.26699519 56.57249355 56.60502434 56.74873781
 56.53889036 56.97975874 57.39572692 57.41440296]";21.05$\pm$0.1;"[21.00969362 20.95864439 21.03774905 20.90826082 20.99773383 21.04167676
 20.92712569 21.19468045 21.19661832 21.18313551]";2.11$\pm$0.04;"[2.09304547 2.10297203 2.09740138 2.22305465 2.099931   2.10899615
 2.09824324 2.09126258 2.09246969 2.09243178]";10.43$\pm$0.05;"[10.45863914 10.56388187 10.43476057 10.39391732 10.39902234 10.4557333
 10.39980412 10.35774493 10.41234159 10.39752054]";7.81$\pm$0.07;"[7.78342414 7.79739428 7.75368667 7.84275293 7.73215389 7.97136474
 7.83161831 7.78627157 7.82147431 7.74095821]";2.48$\pm$0.01;"[2.48296833 2.47286892 2.4803493  2.50036073 2.48159909 2.4816215
 2.4910605  2.46322727 2.46118379 2.45303679]";1.46$\pm$0.01;"[1.44514132 1.44215679 1.46160388 1.46214437 1.46047854 1.46278477
 1.46172166 1.46252704 1.46508479 1.46422887]";52.46$\pm$0.4;"[53.18807793 52.78674459 52.99589467 52.74728227 52.0657177  52.16395831
 52.1789062  52.12786508 52.18086386 52.16542006]";71.58$\pm$0.43;"[71.37470603 71.11050105 71.43972087 71.71799707 71.50417876 71.31271672
 71.49415183 71.50234222 71.60928011 72.77979136]";27.59$\pm$0.15;"[27.69704127 27.45285225 27.54804873 27.62484193 27.53090835 27.51771855
 27.57022572 27.59931421 27.97252798 27.412287  ]";10.99$\pm$0.05;"[10.96649361 11.00417662 10.98344874 10.96142316 11.01101089 10.9917779
 11.0485189  11.01949215 11.00832653 10.85677767]";2.29$\pm$0.01;"[2.31397629 2.29461932 2.28166413 2.2747817  2.29647422 2.29571295
 2.27545977 2.27168179 2.28476548 2.26946306]";30.01$\pm$0.25;"[30.28588724 30.25945282 30.40835881 30.29136968 29.84711838 29.82926726
 29.70853233 29.75886369 29.83927727 29.87611008]";8.41$\pm$0.05;"[8.39199138 8.37506533 8.45846248 8.54155207 8.33147788 8.41062927
 8.41727448 8.40393519 8.39592338 8.379673  ]";44.5$\pm$0.19;"[44.31308866 44.49387908 44.2843852  44.62734199 44.49472165 44.69940233
 44.90380192 44.44275999 44.50507212 44.25499773]";12.98$\pm$0.06;"[13.11243153 13.00527191 12.94423413 12.90179133 12.91114068 12.91937876
 12.93111801 12.977175   13.00306654 13.04744887]";40.21$\pm$0.54;"[39.9913559  39.82107925 41.28381038 39.85948014 40.00160527 40.29880357
 39.69111013 39.99003315 41.20948529 39.92809987]";81.05$\pm$0.47;"[80.56321359 81.66779613 81.73534083 81.21432924 81.18457007 81.33889413
 81.12617874 80.94709301 80.52670598 80.23927164]";1.76$\pm$0.01;"[1.75228453 1.74993134 1.74798918 1.75409532 1.75990534 1.75483894
 1.75541973 1.77486205 1.75711131 1.75383282]"
