metrics;louvain_prob_pred_mean;louvain_prob_pred;bgrl,enc:gcn_bgrl,pred:mlp,sbm_fast_mean;bgrl,enc:gcn_bgrl,pred:mlp,sbm_fast;leiden_prob_pred_mean;leiden_prob_pred;bgrl,enc:gcn_bgrl,pred:mlp,sbm_fast+deg_mean;bgrl,enc:gcn_bgrl,pred:mlp,sbm_fast+deg;bgrl,enc:gcn_bgrl,pred:mlp,sbm_fast+evc_mean;bgrl,enc:gcn_bgrl,pred:mlp,sbm_fast+evc;bgrl,enc:gcn_bgrl,pred:mlp,sbm_fast+pr_mean;bgrl,enc:gcn_bgrl,pred:mlp,sbm_fast+pr;bgrl,enc:gcn_bgrl,pred:mlp,sbm_fast+scom_mean;bgrl,enc:gcn_bgrl,pred:mlp,sbm_fast+scom;bgrl,enc:gcn_bgrl,pred:mlp,sbm_fast2_mean;bgrl,enc:gcn_bgrl,pred:mlp,sbm_fast2;grace,enc:gcn_bgrl,pred:mlp,sbm_fast_mean;grace,enc:gcn_bgrl,pred:mlp,sbm_fast;grace,enc:gcn_bgrl,pred:mlp,sbm_fast+deg_mean;grace,enc:gcn_bgrl,pred:mlp,sbm_fast+deg;grace,enc:gcn_bgrl,pred:mlp,sbm_fast+evc_mean;grace,enc:gcn_bgrl,pred:mlp,sbm_fast+evc;infomap_prob_pred_mean;infomap_prob_pred;grace,enc:gcn_bgrl,pred:mlp,sbm_fast+pr_mean;grace,enc:gcn_bgrl,pred:mlp,sbm_fast+pr;grace,enc:gcn_bgrl,pred:mlp,sbm_fast+scom_mean;grace,enc:gcn_bgrl,pred:mlp,sbm_fast+scom;grace,enc:gcn_bgrl,pred:mlp,sbm_fast2_mean;grace,enc:gcn_bgrl,pred:mlp,sbm_fast2;lbgrl,enc:gcn_bgrl,pred:mlp,sbm_fast_mean;lbgrl,enc:gcn_bgrl,pred:mlp,sbm_fast;lbgrl,enc:gcn_bgrl,pred:mlp,sbm_fast+deg_mean;lbgrl,enc:gcn_bgrl,pred:mlp,sbm_fast+deg;lbgrl,enc:gcn_bgrl,pred:mlp,sbm_fast+evc_mean;lbgrl,enc:gcn_bgrl,pred:mlp,sbm_fast+evc;lbgrl,enc:gcn_bgrl,pred:mlp,sbm_fast+pr_mean;lbgrl,enc:gcn_bgrl,pred:mlp,sbm_fast+pr;lbgrl,enc:gcn_bgrl,pred:mlp,sbm_fast+scom_mean;lbgrl,enc:gcn_bgrl,pred:mlp,sbm_fast+scom;lbgrl,enc:gcn_bgrl,pred:mlp,sbm_fast2_mean;lbgrl,enc:gcn_bgrl,pred:mlp,sbm_fast2;lgrace,enc:gcn_bgrl,pred:mlp,sbm_fast_mean;lgrace,enc:gcn_bgrl,pred:mlp,sbm_fast;lgrace,enc:gcn_bgrl,pred:mlp,sbm_fast+deg_mean;lgrace,enc:gcn_bgrl,pred:mlp,sbm_fast+deg;lgrace,enc:gcn_bgrl,pred:mlp,sbm_fast+evc_mean;lgrace,enc:gcn_bgrl,pred:mlp,sbm_fast+evc;lgrace,enc:gcn_bgrl,pred:mlp,sbm_fast+pr_mean;lgrace,enc:gcn_bgrl,pred:mlp,sbm_fast+pr;lgrace,enc:gcn_bgrl,pred:mlp,sbm_fast+scom_mean;lgrace,enc:gcn_bgrl,pred:mlp,sbm_fast+scom;lgrace,enc:gcn_bgrl,pred:mlp,sbm_fast2_mean;lgrace,enc:gcn_bgrl,pred:mlp,sbm_fast2
Hits@20;79.36$\pm$1.07;"[0.76824818 0.80474453 0.79927007 0.80109489 0.78467153 0.79562044
 0.79562044 0.78467153 0.80291971 0.79927007]";75.33$\pm$1.7;"[0.72992701 0.74635036 0.76824818 0.74452555 0.77919708 0.75
 0.75182482 0.75547445 0.72810219 0.77919708]";79.64$\pm$1.14;"[0.77189781 0.81021898 0.79744526 0.80474453 0.78832117 0.79744526
 0.79562044 0.78832117 0.79562044 0.81386861]";79.29$\pm$1.15;"[0.76824818 0.80656934 0.80839416 0.80474453 0.7919708  0.78832117
 0.7919708  0.78649635 0.78467153 0.79744526]";80.11$\pm$1.17;"[0.77554745 0.8120438  0.81021898 0.8120438  0.80291971 0.79562044
 0.78832117 0.80474453 0.79562044 0.81386861]";79.96$\pm$1.17;"[0.7810219  0.8120438  0.81386861 0.80109489 0.80656934 0.7810219
 0.79744526 0.79379562 0.79562044 0.81386861]";78.92$\pm$1.13;"[0.77737226 0.80291971 0.80474453 0.80291971 0.78649635 0.78284672
 0.77554745 0.77737226 0.78284672 0.79927007]";79.03$\pm$1.51;"[0.76642336 0.79379562 0.79927007 0.80839416 0.78467153 0.7810219
 0.7810219  0.77919708 0.78832117 0.82116788]";61.75$\pm$3.12;"[0.5729927  0.57116788 0.60583942 0.58759124 0.61131387 0.6350365
 0.65875912 0.66058394 0.63868613 0.63321168]";80.31$\pm$0.96;"[0.79379562 0.80656934 0.80474453 0.81569343 0.78832117 0.79927007
 0.80109489 0.79927007 0.79927007 0.8229927 ]";79.98$\pm$1.17;"[0.77189781 0.8120438  0.80291971 0.80839416 0.7919708  0.80474453
 0.80109489 0.7919708  0.79927007 0.81386861]";79.64$\pm$1.14;"[0.77189781 0.81021898 0.79744526 0.80474453 0.78832117 0.79744526
 0.79562044 0.78832117 0.79562044 0.81386861]";80.2$\pm$1.02;"[0.7810219  0.8120438  0.79927007 0.80656934 0.79562044 0.79927007
 0.80474453 0.79562044 0.80474453 0.82116788]";80.36$\pm$1.04;"[0.78467153 0.81021898 0.80474453 0.81751825 0.79562044 0.80839416
 0.7919708  0.80291971 0.80109489 0.81934307]";79.27$\pm$1.16;"[0.76824818 0.79927007 0.79927007 0.80291971 0.78284672 0.79562044
 0.79927007 0.77737226 0.79744526 0.80474453]";80.68$\pm$1.98;"[0.77554745 0.79014599 0.83211679 0.8120438  0.82116788 0.78832117
 0.78284672 0.81021898 0.82481752 0.83029197]";79.14$\pm$1.23;"[0.76094891 0.80474453 0.79562044 0.80291971 0.78649635 0.7919708
 0.78649635 0.78649635 0.79379562 0.80474453]";79.43$\pm$1.3;"[0.76642336 0.80839416 0.80109489 0.81021898 0.78467153 0.7919708
 0.79014599 0.78832117 0.7919708  0.81021898]";58.32$\pm$3.51;"[0.54744526 0.56751825 0.60583942 0.60766423 0.58759124 0.61313869
 0.5419708  0.64781022 0.52919708 0.58394161]";78.58$\pm$1.73;"[0.75364964 0.77372263 0.77919708 0.79379562 0.81569343 0.77372263
 0.77737226 0.79379562 0.78832117 0.80839416]";80.88$\pm$1.54;"[0.77737226 0.81934307 0.83211679 0.81934307 0.79744526 0.81934307
 0.80839416 0.7919708  0.81751825 0.80474453]";40.35$\pm$13.41;"[0.20437956 0.3959854  0.49635036 0.40510949 0.4580292  0.45437956
 0.51094891 0.59124088 0.12226277 0.3959854 ]";79.69$\pm$0.87;"[0.78832117 0.79562044 0.79744526 0.8120438  0.79379562 0.79744526
 0.79927007 0.7810219  0.79379562 0.81021898]";79.98$\pm$1.15;"[0.77919708 0.80656934 0.79927007 0.8229927  0.78467153 0.79744526
 0.80109489 0.79744526 0.80109489 0.80839416]";69.0$\pm$6.07;"[0.69890511 0.5419708  0.66423358 0.70985401 0.65145985 0.72262774
 0.68430657 0.74270073 0.70255474 0.7810219 ]";79.62$\pm$1.38;"[0.76824818 0.80291971 0.81934307 0.79927007 0.79744526 0.7810219
 0.80109489 0.79379562 0.78832117 0.81021898]";75.24$\pm$3.75;"[0.75912409 0.68430657 0.77919708 0.7810219  0.72992701 0.6879562
 0.77554745 0.7919708  0.75       0.78467153]"
Hits@50;80.71$\pm$0.99;"[0.78649635 0.82664234 0.80291971 0.8120438  0.80474453 0.8120438
 0.80474453 0.79927007 0.81021898 0.8120438 ]";79.18$\pm$1.49;"[0.75729927 0.7919708  0.80839416 0.80474453 0.80291971 0.7919708
 0.78284672 0.78649635 0.78284672 0.80839416]";81.09$\pm$0.65;"[0.79927007 0.8229927  0.81569343 0.80656934 0.80656934 0.8120438
 0.81021898 0.80839416 0.80839416 0.81934307]";82.81$\pm$1.85;"[0.79014599 0.84306569 0.84306569 0.81751825 0.81751825 0.81021898
 0.8229927  0.84124088 0.85036496 0.84489051]";81.55$\pm$1.15;"[0.79014599 0.82116788 0.8229927  0.82664234 0.82664234 0.80291971
 0.80839416 0.8120438  0.81751825 0.82664234]";82.34$\pm$1.17;"[0.79927007 0.83211679 0.84124088 0.82664234 0.82116788 0.81021898
 0.81751825 0.82481752 0.82481752 0.83576642]";80.55$\pm$1.03;"[0.78832117 0.81751825 0.81386861 0.81021898 0.80656934 0.80839416
 0.80474453 0.79014599 0.79562044 0.81934307]";80.46$\pm$1.36;"[0.77919708 0.81021898 0.8120438  0.81021898 0.79744526 0.80656934
 0.80474453 0.78832117 0.80474453 0.83211679]";73.72$\pm$4.33;"[0.68978102 0.67335766 0.69708029 0.72080292 0.78284672 0.69890511
 0.77919708 0.78467153 0.75729927 0.78832117]";82.5$\pm$1.16;"[0.80839416 0.83029197 0.83576642 0.84489051 0.80474453 0.81751825
 0.82664234 0.82481752 0.82481752 0.83211679]";81.06$\pm$1.22;"[0.78284672 0.82481752 0.80656934 0.81751825 0.81021898 0.8120438
 0.81386861 0.79927007 0.81021898 0.82846715]";81.09$\pm$0.65;"[0.79927007 0.8229927  0.81569343 0.80656934 0.80656934 0.8120438
 0.81021898 0.80839416 0.80839416 0.81934307]";81.88$\pm$0.89;"[0.80656934 0.83211679 0.81934307 0.82664234 0.80474453 0.81386861
 0.82116788 0.8120438  0.82116788 0.83029197]";81.73$\pm$1.21;"[0.80839416 0.81386861 0.81021898 0.83211679 0.80291971 0.83211679
 0.80474453 0.81751825 0.8120438  0.83941606]";80.89$\pm$1.41;"[0.78284672 0.81934307 0.81569343 0.82664234 0.79379562 0.81021898
 0.8229927  0.79014599 0.81386861 0.81386861]";84.31$\pm$1.97;"[0.8120438  0.84489051 0.86678832 0.8540146  0.84671533 0.81751825
 0.81569343 0.85218978 0.85218978 0.86861314]";79.73$\pm$1.15;"[0.76824818 0.80839416 0.79744526 0.8120438  0.79562044 0.79744526
 0.79744526 0.79014599 0.79927007 0.80656934]";80.24$\pm$1.62;"[0.77554745 0.81569343 0.81751825 0.82664234 0.78832117 0.79927007
 0.7919708  0.7919708  0.79379562 0.8229927 ]";68.43$\pm$2.0;"[0.64781022 0.66970803 0.69525547 0.68248175 0.66788321 0.68613139
 0.67335766 0.72262774 0.69343066 0.70437956]";82.76$\pm$1.17;"[0.8120438  0.82664234 0.83759124 0.84306569 0.82846715 0.8120438
 0.81934307 0.82481752 0.84854015 0.8229927 ]";82.97$\pm$1.67;"[0.79927007 0.84671533 0.85036496 0.83029197 0.81934307 0.84671533
 0.83394161 0.80839416 0.84306569 0.81934307]";53.41$\pm$17.6;"[0.29379562 0.54744526 0.70255474 0.52554745 0.58029197 0.62956204
 0.71350365 0.7080292  0.14963504 0.49087591]";82.24$\pm$1.48;"[0.8120438  0.84489051 0.82846715 0.84124088 0.80109489 0.8120438
 0.83211679 0.80109489 0.82116788 0.83029197]";81.55$\pm$1.22;"[0.79379562 0.82664234 0.8120438  0.83941606 0.80109489 0.81934307
 0.81569343 0.80839416 0.81934307 0.81934307]";81.37$\pm$1.9;"[0.79379562 0.79562044 0.81934307 0.83941606 0.78284672 0.83394161
 0.79744526 0.83029197 0.81386861 0.83029197]";81.79$\pm$1.06;"[0.7919708  0.81751825 0.83029197 0.82846715 0.82116788 0.81386861
 0.81569343 0.81934307 0.8120438  0.82846715]";80.58$\pm$1.14;"[0.79014599 0.81386861 0.81386861 0.8229927  0.78832117 0.79562044
 0.80839416 0.80109489 0.80474453 0.81934307]"
Hits@100;82.59$\pm$1.22;"[0.79927007 0.84854015 0.8229927  0.83576642 0.8229927  0.82116788
 0.83394161 0.81934307 0.83029197 0.82481752]";82.08$\pm$1.52;"[0.78649635 0.83394161 0.83759124 0.84306569 0.8229927  0.8120438
 0.81386861 0.81386861 0.8229927  0.82116788]";83.43$\pm$0.96;"[0.81934307 0.84124088 0.84489051 0.82664234 0.83941606 0.83759124
 0.8229927  0.84489051 0.8229927  0.84306569]";87.17$\pm$1.67;"[0.83759124 0.89051095 0.89233577 0.87043796 0.85036496 0.86131387
 0.87956204 0.87043796 0.88321168 0.88138686]";83.41$\pm$1.5;"[0.80109489 0.84306569 0.84854015 0.84124088 0.83941606 0.81934307
 0.82481752 0.82664234 0.84489051 0.85218978]";85.27$\pm$1.44;"[0.82481752 0.88138686 0.85766423 0.84671533 0.85218978 0.84489051
 0.85218978 0.84671533 0.87043796 0.85036496]";82.68$\pm$1.35;"[0.8120438  0.83211679 0.83576642 0.84306569 0.81751825 0.8229927
 0.82481752 0.80291971 0.82664234 0.85036496]";83.32$\pm$1.28;"[0.8120438  0.83394161 0.84671533 0.83941606 0.81569343 0.83029197
 0.83759124 0.8229927  0.83759124 0.85583942]";82.08$\pm$1.5;"[0.81569343 0.80839416 0.81751825 0.83211679 0.83029197 0.79014599
 0.81751825 0.82116788 0.82481752 0.85036496]";86.11$\pm$1.49;"[0.85036496 0.87956204 0.87591241 0.87043796 0.82664234 0.85218978
 0.87226277 0.86131387 0.86678832 0.85583942]";82.66$\pm$1.34;"[0.79927007 0.84124088 0.81934307 0.84854015 0.81934307 0.82481752
 0.8229927  0.81934307 0.83576642 0.83576642]";83.43$\pm$0.96;"[0.81934307 0.84124088 0.84489051 0.82664234 0.83941606 0.83759124
 0.8229927  0.84489051 0.8229927  0.84306569]";83.52$\pm$0.98;"[0.82846715 0.8540146  0.83211679 0.83576642 0.82116788 0.83759124
 0.83941606 0.82116788 0.83576642 0.84671533]";83.47$\pm$1.57;"[0.81934307 0.83394161 0.82664234 0.85766423 0.81934307 0.85766423
 0.81569343 0.83394161 0.82664234 0.85583942]";83.74$\pm$1.24;"[0.82664234 0.84854015 0.83576642 0.85766423 0.81751825 0.83759124
 0.85583942 0.82664234 0.83211679 0.83576642]";87.04$\pm$1.8;"[0.83759124 0.88138686 0.88686131 0.86861314 0.87773723 0.85218978
 0.85036496 0.87591241 0.87226277 0.90145985]";81.42$\pm$1.45;"[0.77919708 0.81386861 0.80656934 0.82481752 0.83576642 0.81751825
 0.8120438  0.80656934 0.8229927  0.8229927 ]";82.39$\pm$1.31;"[0.81386861 0.83759124 0.83394161 0.83576642 0.81569343 0.82481752
 0.82116788 0.80291971 0.80839416 0.84489051]";76.41$\pm$1.25;"[0.75       0.75       0.78284672 0.76459854 0.75912409 0.75
 0.77007299 0.76824818 0.75912409 0.78649635]";86.84$\pm$1.14;"[0.85766423 0.85766423 0.89051095 0.87956204 0.86131387 0.85036496
 0.87043796 0.87226277 0.87591241 0.86861314]";84.49$\pm$1.5;"[0.81021898 0.86131387 0.86313869 0.84854015 0.83211679 0.85583942
 0.84489051 0.83394161 0.84854015 0.85036496]";60.99$\pm$20.34;"[0.34124088 0.57664234 0.80291971 0.60218978 0.63138686 0.78649635
 0.80474453 0.79562044 0.16423358 0.59306569]";85.66$\pm$2.09;"[0.86313869 0.88868613 0.85036496 0.86678832 0.81569343 0.83759124
 0.88868613 0.85218978 0.84854015 0.8540146 ]";83.7$\pm$1.24;"[0.81934307 0.84854015 0.82846715 0.84854015 0.81934307 0.85218978
 0.8229927  0.84306569 0.84671533 0.84124088]";86.42$\pm$1.4;"[0.83759124 0.86313869 0.85036496 0.87226277 0.85218978 0.87773723
 0.86131387 0.86861314 0.87043796 0.88868613]";83.89$\pm$0.98;"[0.82116788 0.84306569 0.84124088 0.86131387 0.83759124 0.83394161
 0.83211679 0.83759124 0.83576642 0.84489051]";83.56$\pm$1.41;"[0.80839416 0.83576642 0.85036496 0.86131387 0.83211679 0.83029197
 0.82481752 0.83394161 0.83029197 0.84854015]"
ROCAUC;89.1$\pm$0.68;"[0.87299869 0.89924543 0.89418389 0.89541931 0.89229248 0.88989158
 0.8948732  0.88729754 0.89384091 0.89037109]";89.1$\pm$0.98;"[0.86896278 0.89394081 0.90765691 0.89653817 0.89887914 0.88865616
 0.8926954  0.88153671 0.88968179 0.89176634]";89.5$\pm$0.51;"[0.88753397 0.89760709 0.90333129 0.89442032 0.89883918 0.89134344
 0.88948532 0.89793676 0.88927553 0.90028105]";92.07$\pm$0.92;"[0.89970164 0.93125633 0.930264   0.91778997 0.92020919 0.91607837
 0.92797299 0.91362752 0.92933161 0.9206271 ]";89.0$\pm$0.94;"[0.86795714 0.88660491 0.90222907 0.89635836 0.89440034 0.88895586
 0.88721429 0.88262228 0.89926541 0.89458349]";91.69$\pm$0.72;"[0.90587205 0.92574857 0.91893215 0.9121024  0.91727383 0.90317145
 0.92174929 0.9197047  0.92505927 0.91916192]";88.73$\pm$0.95;"[0.88043449 0.88963517 0.89392083 0.89726078 0.87569596 0.88580572
 0.89163315 0.87763733 0.87596236 0.90537589]";91.84$\pm$0.71;"[0.91191926 0.91996777 0.92750679 0.9161483  0.90928193 0.91267849
 0.92415186 0.90920534 0.92658772 0.92680084]";87.6$\pm$1.04;"[0.85433427 0.86830345 0.87165672 0.87653844 0.87823339 0.87887607
 0.88633851 0.86972202 0.88226597 0.89411396]";91.66$\pm$1.27;"[0.9045767  0.93004089 0.92547885 0.92243527 0.88790359 0.91411703
 0.92791971 0.90756367 0.92794302 0.91814628]";88.85$\pm$1.0;"[0.86349832 0.90233563 0.89280196 0.89097714 0.88540612 0.88819996
 0.88377444 0.88582903 0.89723747 0.89471669]";89.5$\pm$0.51;"[0.88753397 0.89760709 0.90333129 0.89442032 0.89883918 0.89134344
 0.88948532 0.89793676 0.88927553 0.90028105]";89.24$\pm$0.99;"[0.87826336 0.89885916 0.90086379 0.89738731 0.87360475 0.88475345
 0.906911   0.8913834  0.89539267 0.89620185]";89.71$\pm$1.02;"[0.89482658 0.89230413 0.89144334 0.90723067 0.88190633 0.90803985
 0.88695622 0.90011788 0.89146998 0.9169375 ]";90.73$\pm$0.81;"[0.90010456 0.91156628 0.91524255 0.91784658 0.89869932 0.89915386
 0.91795647 0.89505967 0.90861261 0.90833622]";92.81$\pm$1.22;"[0.9070675  0.93441646 0.93730686 0.92983443 0.9255954  0.90923531
 0.92415685 0.94033713 0.92533566 0.94787615]";86.34$\pm$1.13;"[0.83283606 0.86318864 0.86045141 0.86476704 0.86489024 0.86258591
 0.8712205  0.87275561 0.8771012  0.86436078]";89.61$\pm$1.01;"[0.88694123 0.9060169  0.8979967  0.90186278 0.89183627 0.89308501
 0.89474832 0.8797019  0.8906608  0.9178932 ]";85.06$\pm$0.64;"[0.84472734 0.84935599 0.85494366 0.84935599 0.85786736 0.83734815
 0.84488718 0.8548038  0.85877977 0.85360168]";92.62$\pm$0.72;"[0.91080039 0.92567199 0.93304451 0.93412009 0.92323113 0.91682761
 0.9337871  0.93032727 0.92682748 0.92780982]";88.85$\pm$1.35;"[0.85328534 0.89625846 0.9051328  0.89263546 0.877957   0.89472335
 0.89082397 0.88516303 0.89596209 0.89276533]";72.09$\pm$15.8;"[0.55102163 0.70503556 0.8708542  0.7494772  0.72185519 0.83992887
 0.85951902 0.86888953 0.3446674  0.69764306]";91.73$\pm$1.84;"[0.92201902 0.94316759 0.91881893 0.92221549 0.86913261 0.91020433
 0.93251838 0.91347435 0.91828947 0.92340095]";90.43$\pm$0.75;"[0.89308501 0.90773683 0.89545594 0.91569543 0.8991089  0.90793662
 0.89641497 0.91345437 0.90989797 0.90467659]";89.14$\pm$1.14;"[0.88142016 0.87538961 0.88020806 0.89518288 0.88187637 0.9107238
 0.88645506 0.8981299  0.89780689 0.90653804]";89.34$\pm$0.71;"[0.88174816 0.89385423 0.8929951  0.90904883 0.89396745 0.88815667
 0.89007472 0.88814335 0.90007792 0.8956291 ]";88.65$\pm$1.14;"[0.86462052 0.87724772 0.88671813 0.90340788 0.88041784 0.87600898
 0.89218259 0.89205272 0.89184959 0.90081384]"
AP;92.85$\pm$0.4;"[0.91818946 0.93330603 0.93009316 0.93178246 0.92787496 0.92716992
 0.93104235 0.92661053 0.92942507 0.92938908]";92.29$\pm$0.69;"[0.90771676 0.91816454 0.93520808 0.92762661 0.92710971 0.9222544
 0.9252952  0.92045899 0.91976974 0.92535065]";93.11$\pm$0.35;"[0.92586767 0.93251753 0.936927   0.93053575 0.93157774 0.92897517
 0.92862839 0.93376178 0.92667772 0.93538401]";94.43$\pm$0.63;"[0.92957646 0.94758296 0.9527018  0.94250812 0.94081441 0.94035768
 0.94975626 0.9431197  0.95046676 0.94590703]";92.91$\pm$0.6;"[0.91411153 0.92693538 0.93693491 0.93255354 0.93170512 0.92770809
 0.92815524 0.92662531 0.93268592 0.93399967]";94.1$\pm$0.45;"[0.93221463 0.94356196 0.94544048 0.93842766 0.93965386 0.93430773
 0.94485824 0.94332596 0.94452866 0.94416768]";92.51$\pm$0.58;"[0.91965848 0.92429592 0.93214863 0.93033868 0.91820871 0.92296882
 0.92738094 0.92112462 0.91908134 0.93620673]";93.96$\pm$0.49;"[0.93456831 0.93882909 0.94690486 0.93966247 0.93247884 0.93717639
 0.93891352 0.93590834 0.94430001 0.94775677]";90.21$\pm$0.96;"[0.88335777 0.88983779 0.89880149 0.89899885 0.90808859 0.90034399
 0.90959427 0.90812469 0.90654946 0.91767424]";94.33$\pm$0.71;"[0.93708806 0.94793075 0.94920195 0.94775532 0.92611135 0.94145395
 0.95023588 0.94032303 0.94831576 0.94472615]";92.59$\pm$0.68;"[0.90900122 0.92981324 0.93039203 0.92726622 0.91794649 0.92711612
 0.92676466 0.92649976 0.93172206 0.93209088]";93.11$\pm$0.35;"[0.92586767 0.93251753 0.936927   0.93053575 0.93157774 0.92897517
 0.92862839 0.93376178 0.92667772 0.93538401]";92.9$\pm$0.7;"[0.92338303 0.93074289 0.93562125 0.93074907 0.91162817 0.92599093
 0.93733861 0.930019   0.9312181  0.93374232]";93.13$\pm$0.62;"[0.92658541 0.92642585 0.92831948 0.93848359 0.92287805 0.93487152
 0.92677513 0.93473493 0.92979034 0.94375028]";93.2$\pm$0.65;"[0.9260572  0.93047164 0.94066659 0.94232294 0.92690129 0.92655748
 0.94233041 0.92955944 0.92846096 0.92695472]";94.95$\pm$0.73;"[0.93644936 0.95201435 0.95597871 0.95064485 0.94899068 0.93911123
 0.94548917 0.95526994 0.94900741 0.96189053]";91.55$\pm$0.8;"[0.89277503 0.91357662 0.91641699 0.91773934 0.9169809  0.91644907
 0.91940351 0.92091759 0.92305479 0.91813203]";93.04$\pm$0.59;"[0.92411783 0.93498863 0.93351456 0.93529088 0.92850327 0.92686005
 0.929097   0.92201028 0.92689622 0.94283912]";88.63$\pm$0.57;"[0.87628189 0.87984932 0.89204955 0.88965169 0.88586573 0.88271399
 0.88241084 0.89508035 0.88693671 0.89208909]";94.41$\pm$0.56;"[0.93329453 0.94027408 0.95084206 0.94554242 0.94036772 0.93736566
 0.94951547 0.94913927 0.94728989 0.94720813]";93.06$\pm$0.76;"[0.91153199 0.93617685 0.94032792 0.93126505 0.92475895 0.93534377
 0.93182638 0.927778   0.93381863 0.93299599]";77.92$\pm$11.97;"[0.63549699 0.77505203 0.8859506  0.79929679 0.80053374 0.85919724
 0.87949817 0.89165861 0.49416516 0.77144826]";94.29$\pm$0.96;"[0.94518115 0.95773473 0.94402909 0.94427671 0.91920926 0.9373399
 0.95170766 0.94020059 0.94313295 0.94632707]";93.59$\pm$0.45;"[0.92817614 0.93926268 0.93232154 0.94208595 0.93150613 0.93813534
 0.93129608 0.94027733 0.93936838 0.93673139]";91.27$\pm$1.1;"[0.90885706 0.89471383 0.90424766 0.92509478 0.90257855 0.92527625
 0.90102292 0.92042124 0.92138426 0.9229105 ]";93.15$\pm$0.44;"[0.92321424 0.93313133 0.93413564 0.94056959 0.93034417 0.92774194
 0.92970058 0.92903818 0.93362261 0.93350969]";91.32$\pm$1.3;"[0.89901335 0.89816378 0.91804907 0.92852327 0.90208618 0.89391266
 0.91716979 0.92795461 0.91861078 0.92856552]"
pretrain_time;nan$\pm$nan;[];39.0$\pm$0.28;"[38.90922594 38.80845618 39.55144691 39.18001771 39.36903834 39.12599802
 38.7106514  38.60457468 38.97758079 38.80776167]";nan$\pm$nan;[];88.45$\pm$1.32;"[90.24354506 88.18452239 86.76372051 90.76134539 88.9549613  89.11817408
 87.92239475 86.35567236 87.76379156 88.46940708]";3.06$\pm$0.08;"[3.12165022 3.11422014 2.96511889 3.09692883 3.11940813 3.04273868
 2.94153094 2.92019463 3.11817956 3.11743522]";100.72$\pm$1.54;"[101.83479905  98.52975917  98.25608516  99.25646973 102.63881445
 102.58703542 102.13294911 100.45486069 101.1177218  100.41462302]";45.52$\pm$0.9;"[45.30502939 45.8765161  44.34660268 44.84604597 44.84659338 44.61726809
 46.91103292 45.20013332 46.13933063 47.06755924]";59.94$\pm$4.0;"[61.80686641 66.52070498 67.4967494  61.74961805 56.88295627 56.87600303
 56.89068747 57.06689477 57.07100487 56.98999763]";7.03$\pm$0.01;"[7.04154372 7.02727318 7.02886009 7.02139831 7.03380895 7.04866457
 7.04013157 7.03285885 7.03079247 7.03916192]";45.36$\pm$0.95;"[46.11373568 45.51261902 43.90296721 45.39923334 45.79399705 44.67724991
 47.52692246 44.83185983 45.29493594 44.53956246]";2.94$\pm$0.1;"[3.17327785 3.11175919 2.85512376 2.86804676 2.8837595  2.87430167
 2.93739533 2.87186527 2.91396713 2.91130137]";nan$\pm$nan;[];73.56$\pm$1.31;"[73.49586344 72.59474874 72.31761265 72.17572236 73.23271775 72.79899883
 72.78995442 74.42811465 75.68368506 76.05049753]";12.41$\pm$0.43;"[11.99468398 11.79381967 12.91277552 12.98349237 13.13761353 12.24794412
 12.48667264 12.16401052 12.19999099 12.22290683]";24.42$\pm$1.27;"[23.52259994 23.49955463 26.05658269 26.50678992 26.50715899 23.7673893
 23.62631655 23.54627657 23.59090948 23.60319352]";28.2$\pm$0.2;"[28.18854761 27.94174528 28.33535194 28.49728251 28.28466535 27.9027524
 28.38733697 28.16012239 27.93440461 28.31921005]";36.84$\pm$0.48;"[36.60709834 36.38620567 36.32473969 37.31340337 37.44954348 37.47628212
 36.61511302 36.33229613 36.45402169 37.40838814]";12.28$\pm$0.15;"[12.11896062 12.19795227 12.33135557 12.29182649 12.08075881 12.13482451
 12.31747103 12.25299215 12.60218573 12.43805099]";12.27$\pm$0.2;"[12.36527681 12.54139876 12.16308546 12.56809688 12.24190187 12.44523597
 12.01710773 12.11058354 12.28218746 11.98240542]";85.03$\pm$1.44;"[84.68707418 84.04311013 82.13824344 84.86296129 85.90274787 85.5180912
 85.1774025  85.20652699 88.1724546  84.57871962]";35.76$\pm$1.78;"[37.15988445 33.33526301 32.91053605 32.91313314 36.51853871 36.68665528
 37.05696678 36.94420052 37.00192189 37.07063675]";9.1$\pm$0.02;"[9.16606331 9.08946753 9.07895136 9.09419847 9.1041882  9.08929396
 9.09806871 9.08335423 9.10374331 9.08818698]";49.8$\pm$1.2;"[49.90196681 48.84952903 49.02584958 49.15428185 48.98999143 48.72745991
 50.24523449 49.49269247 50.71211267 52.88406754]";17.17$\pm$0.47;"[17.21055102 16.73969841 16.92296815 17.04929376 16.96704674 16.97121477
 17.01228452 16.74485826 18.26406717 17.84445977]";43.64$\pm$0.52;"[43.81188822 43.2252543  43.8648839  43.15634394 43.66948867 43.8979311
 43.28125119 43.19920993 44.94980192 43.32460475]";89.08$\pm$1.04;"[89.58187938 88.65451527 87.58813262 87.906533   89.54654026 89.37418771
 89.74449611 87.67045617 89.82015967 90.93113613]";54.05$\pm$3.18;"[57.56778049 57.21713543 57.26554656 57.29197955 56.77760696 50.88880444
 50.89951587 50.84713817 50.8479569  50.85498548]"
