metrics;infomap_prob_pred_mean;infomap_prob_pred;bgrl,enc:gcn_bgrl,pred:mlp,sbm_fast_cheat_mean;bgrl,enc:gcn_bgrl,pred:mlp,sbm_fast_cheat;bgrl,enc:gcn_bgrl,pred:mlp,sbm_fast2_cheat_mean;bgrl,enc:gcn_bgrl,pred:mlp,sbm_fast2_cheat;grace,enc:gcn_bgrl,pred:mlp,sbm_fast_cheat_mean;grace,enc:gcn_bgrl,pred:mlp,sbm_fast_cheat;grace,enc:gcn_bgrl,pred:mlp,sbm_fast2_cheat_mean;grace,enc:gcn_bgrl,pred:mlp,sbm_fast2_cheat;louvain_prob_pred_mean;louvain_prob_pred;lbgrl,enc:gcn_bgrl,pred:mlp,sbm_fast_cheat_mean;lbgrl,enc:gcn_bgrl,pred:mlp,sbm_fast_cheat;lbgrl,enc:gcn_bgrl,pred:mlp,sbm_fast2_cheat_mean;lbgrl,enc:gcn_bgrl,pred:mlp,sbm_fast2_cheat;leiden_prob_pred_mean;leiden_prob_pred;lgrace,enc:gcn_bgrl,pred:mlp,sbm_fast_cheat_mean;lgrace,enc:gcn_bgrl,pred:mlp,sbm_fast_cheat;lgrace,enc:gcn_bgrl,pred:mlp,sbm_fast2_cheat_mean;lgrace,enc:gcn_bgrl,pred:mlp,sbm_fast2_cheat
Hits@20;38.58$\pm$1.61;"[0.39358799 0.37858117 0.35845839 0.37244202 0.38199181 0.38847203
 0.39972715 0.37858117 0.38472033 0.42155525]";73.62$\pm$2.08;"[0.7148704  0.71623465 0.7452251  0.70566166 0.74215553 0.72100955
 0.75136426 0.73431105 0.776603   0.75443383]";73.68$\pm$1.2;"[0.72612551 0.75068213 0.73499318 0.72271487 0.74283765 0.7271487
 0.72305593 0.73362892 0.75818554 0.74897681]";70.22$\pm$3.22;"[0.69406548 0.66234652 0.6872442  0.65279673 0.69611187 0.67667121
 0.7281719  0.7452251  0.74249659 0.7366985 ]";72.51$\pm$2.4;"[0.72032742 0.73158254 0.69884038 0.67598909 0.72680764 0.71180082
 0.74693042 0.73396999 0.76603001 0.73874488]";38.58$\pm$1.61;"[0.39358799 0.37858117 0.35845839 0.37244202 0.38199181 0.38847203
 0.39972715 0.37858117 0.38472033 0.42155525]";70.28$\pm$1.79;"[0.71316508 0.69645293 0.68178718 0.68792633 0.71964529 0.73533424
 0.70429741 0.67155525 0.70702592 0.71111869]";70.3$\pm$3.04;"[0.70839018 0.67905866 0.66439291 0.65484311 0.76057299 0.72680764
 0.696794   0.69542974 0.71316508 0.73055935]";38.58$\pm$1.61;"[0.39358799 0.37858117 0.35845839 0.37244202 0.38199181 0.38847203
 0.39972715 0.37858117 0.38472033 0.42155525]";75.58$\pm$1.46;"[0.74215553 0.74761255 0.7404502  0.7366985  0.74727149 0.77012278
 0.77967258 0.75613915 0.77489768 0.76296044]";75.34$\pm$2.07;"[0.7100955  0.76944065 0.7366985  0.7404502  0.78035471 0.78171896
 0.76193724 0.74693042 0.7585266  0.74829468]"
Hits@50;42.75$\pm$1.39;"[0.42633015 0.44167804 0.39495225 0.42598909 0.42291951 0.42701228
 0.44611187 0.41746248 0.43042292 0.44167804]";81.65$\pm$0.69;"[0.82844475 0.80081855 0.81957708 0.81412005 0.8175307  0.82025921
 0.8127558  0.8212824  0.81821282 0.81241473]";82.25$\pm$0.75;"[0.82162347 0.82094134 0.81139154 0.82264666 0.83117326 0.83799454
 0.82025921 0.81241473 0.82503411 0.82196453]";81.86$\pm$1.51;"[0.81343793 0.80388813 0.80354707 0.79638472 0.80457026 0.82708049
 0.82810368 0.83390177 0.83594816 0.83901774]";81.25$\pm$1.35;"[0.8212824  0.80354707 0.80252387 0.77864939 0.82673943 0.81991814
 0.81855389 0.81582538 0.82366985 0.81412005]";42.75$\pm$1.39;"[0.42633015 0.44167804 0.39495225 0.42598909 0.42291951 0.42701228
 0.44611187 0.41746248 0.43042292 0.44167804]";78.15$\pm$1.03;"[0.78785812 0.79740791 0.76671214 0.77592087 0.77319236 0.79638472
 0.76944065 0.77728513 0.78240109 0.78888131]";81.71$\pm$1.3;"[0.82742156 0.81173261 0.81616644 0.79672578 0.83697135 0.8260573
 0.79331514 0.82708049 0.81855389 0.81718963]";42.75$\pm$1.39;"[0.42633015 0.44167804 0.39495225 0.42598909 0.42291951 0.42701228
 0.44611187 0.41746248 0.43042292 0.44167804]";81.57$\pm$0.54;"[0.80218281 0.81718963 0.81616644 0.81105048 0.81957708 0.8175307
 0.82298772 0.81480218 0.81582538 0.81923602]";83.36$\pm$0.93;"[0.83185539 0.83390177 0.82264666 0.81207367 0.84004093 0.84447476
 0.83526603 0.83867667 0.84276944 0.83390177]"
Hits@100;48.09$\pm$1.52;"[0.48874488 0.49283765 0.45463847 0.47646658 0.46316508 0.48840382
 0.50818554 0.46657572 0.48021828 0.48942701]";85.92$\pm$0.44;"[0.86800819 0.8526603  0.86152797 0.85436562 0.85948158 0.86289222
 0.85982265 0.8611869  0.85436562 0.85811733]";86.5$\pm$0.58;"[0.86971351 0.86357435 0.86152797 0.86186903 0.86869031 0.8755116
 0.86766712 0.85368349 0.86766712 0.85982265]";87.46$\pm$0.7;"[0.86800819 0.8744884  0.86869031 0.86425648 0.87312415 0.87721692
 0.8707367  0.87653479 0.88608458 0.88676671]";85.28$\pm$0.88;"[0.85607094 0.85095498 0.84447476 0.83253752 0.86425648 0.85470668
 0.85709413 0.85027285 0.86391542 0.85368349]";48.09$\pm$1.52;"[0.48874488 0.49283765 0.45463847 0.47646658 0.46316508 0.48840382
 0.50818554 0.46657572 0.48021828 0.48942701]";82.48$\pm$0.93;"[0.83117326 0.83799454 0.81514325 0.83185539 0.81343793 0.83833561
 0.81616644 0.81548431 0.81991814 0.82810368]";86.88$\pm$0.93;"[0.87210095 0.86562074 0.8622101  0.84447476 0.87107776 0.87005457
 0.87414734 0.87482947 0.87346521 0.87960437]";48.09$\pm$1.52;"[0.48874488 0.49283765 0.45463847 0.47646658 0.46316508 0.48840382
 0.50818554 0.46657572 0.48021828 0.48942701]";84.62$\pm$0.49;"[0.83833561 0.84140518 0.84447476 0.84515689 0.85095498 0.84686221
 0.84822647 0.85470668 0.85095498 0.84106412]";87.52$\pm$0.46;"[0.86903138 0.87517053 0.86698499 0.87005457 0.8755116  0.88165075
 0.87789905 0.8792633  0.87824011 0.87824011]"
ROCAUC;86.27$\pm$0.53;"[0.85894091 0.8633526  0.86128919 0.86247157 0.86528363 0.86028105
 0.8757292  0.85721317 0.86601056 0.85642073]";96.04$\pm$0.12;"[0.96298303 0.96048353 0.96022187 0.96161685 0.95902202 0.95868258
 0.9610683  0.960077   0.9606964  0.95954829]";96.68$\pm$0.16;"[0.96812475 0.96474311 0.96370338 0.96717994 0.96685276 0.96799602
 0.96766983 0.96770887 0.96888404 0.96548049]";96.93$\pm$0.17;"[0.97048748 0.96747529 0.97156007 0.96830338 0.9686235  0.9655488
 0.96897544 0.97019994 0.97042191 0.97101188]";95.71$\pm$0.2;"[0.95616564 0.95447847 0.95606813 0.95399381 0.95968564 0.95760788
 0.95919484 0.95662987 0.96007927 0.9573301 ]";86.27$\pm$0.53;"[0.85894091 0.8633526  0.86128919 0.86247157 0.86528363 0.86028105
 0.8757292  0.85721317 0.86601056 0.85642073]";94.42$\pm$0.36;"[0.9467926  0.94843844 0.94627914 0.94473126 0.94001066 0.94357996
 0.94214058 0.94334868 0.93716577 0.94957563]";97.17$\pm$0.23;"[0.97225219 0.9713328  0.96953428 0.96659561 0.97279403 0.97148902
 0.97604359 0.97114325 0.97214788 0.97346542]";86.27$\pm$0.53;"[0.85894091 0.8633526  0.86128919 0.86247157 0.86528363 0.86028105
 0.8757292  0.85721317 0.86601056 0.85642073]";94.89$\pm$0.27;"[0.94609233 0.94848186 0.94970264 0.95029971 0.95120339 0.94323244
 0.95300332 0.9466422  0.94870261 0.95123039]";96.94$\pm$0.12;"[0.96850927 0.96873658 0.96841276 0.96801858 0.97083145 0.9689265
 0.97225837 0.96893233 0.96945859 0.96981577]"
AP;87.94$\pm$0.46;"[0.8763055  0.8746771  0.87657301 0.87889511 0.88066466 0.88025001
 0.89152293 0.87546812 0.88158743 0.87836494]";96.89$\pm$0.19;"[0.97202648 0.96754079 0.96894162 0.96505676 0.96776533 0.96815959
 0.96986047 0.96899581 0.9707967  0.970256  ]";97.2$\pm$0.19;"[0.97215055 0.96898182 0.97089271 0.96875166 0.97287136 0.97367942
 0.9728221  0.97166316 0.9747677  0.97387577]";97.36$\pm$0.29;"[0.97577793 0.96735696 0.97625689 0.97070424 0.97406117 0.97069953
 0.97292348 0.97570649 0.97517296 0.97697753]";96.62$\pm$0.24;"[0.96511972 0.96473608 0.96647937 0.96137606 0.96988272 0.96741701
 0.96646051 0.96360518 0.96866421 0.96788881]";87.94$\pm$0.46;"[0.8763055  0.8746771  0.87657301 0.87889511 0.88066466 0.88025001
 0.89152293 0.87546812 0.88158743 0.87836494]";95.76$\pm$0.26;"[0.95860944 0.96159606 0.95491402 0.95981975 0.95765975 0.95969395
 0.95427081 0.95502069 0.95464469 0.96005481]";97.41$\pm$0.31;"[0.97682152 0.9711001  0.97064032 0.96871543 0.977193   0.97644988
 0.97223601 0.97326389 0.97592304 0.97818641]";87.94$\pm$0.46;"[0.8763055  0.8746771  0.87657301 0.87889511 0.88066466 0.88025001
 0.89152293 0.87546812 0.88158743 0.87836494]";96.28$\pm$0.17;"[0.96140181 0.96206827 0.96252155 0.96425877 0.96349374 0.95902066
 0.96496428 0.96199258 0.96375929 0.9647513 ]";97.55$\pm$0.1;"[0.97460064 0.97558959 0.97510974 0.97302761 0.97680855 0.97526454
 0.9759049  0.97613695 0.97596851 0.97665816]"
pretrain_time;nan$\pm$nan;[];11.88$\pm$0.76;"[11.18366885 11.93480492 12.87048244 12.84778404 12.86720562 11.1834898
 11.18605399 11.11206174 12.43440938 11.15185165]";69.47$\pm$0.31;"[69.96764803 69.83457661 69.20342422 69.00713181 69.52473855 69.5648303
 69.52506566 69.75459075 69.26693511 69.05860138]";6.41$\pm$0.25;"[6.85162711 6.23414016 6.23103619 6.24892306 6.29242373 6.81138515
 6.72058845 6.28519917 6.21949387 6.20421314]";62.44$\pm$2.1;"[60.61322165 60.55170226 60.29966474 64.83465552 62.3047061  61.34469867
 62.38700366 65.92765212 65.58906674 60.56513882]";nan$\pm$nan;[];30.98$\pm$0.06;"[31.01082397 30.99200201 31.00965428 30.98610139 30.85314751 30.89508915
 31.04226947 30.98476791 31.02291656 31.02228785]";74.25$\pm$0.57;"[74.81643581 74.74023652 73.85994768 72.93520284 73.99398208 74.45659518
 74.32203841 75.05015826 74.15229797 74.19579291]";nan$\pm$nan;[];69.01$\pm$2.1;"[65.61915088 69.6654098  70.58841157 70.51875043 70.56776595 70.57542467
 70.49234009 70.10508084 66.52837324 65.42594409]";96.38$\pm$3.64;"[ 95.43039227  94.83695602  92.8827877   92.62067652  94.46582413
  94.33262324  96.09271431  96.63566446 102.73090267 103.75622582]"
