metrics;baseline,enc:gcn_bgrl,pred:mlp_mean;baseline,enc:gcn_bgrl,pred:mlp;bgrl,enc:gcn_bgrl,pred:mlp,random_mean;bgrl,enc:gcn_bgrl,pred:mlp,random;bgrl,enc:gcn_bgrl,pred:mlp,deg_mean;bgrl,enc:gcn_bgrl,pred:mlp,deg;bgrl,enc:gcn_bgrl,pred:mlp,evc_mean;bgrl,enc:gcn_bgrl,pred:mlp,evc;bgrl,enc:gcn_bgrl,pred:mlp,pr_mean;bgrl,enc:gcn_bgrl,pred:mlp,pr;bgrl,enc:gcn_bgrl,pred:mlp,scom_mean;bgrl,enc:gcn_bgrl,pred:mlp,scom;infomap_prob_pred_mean;infomap_prob_pred;bgrl,enc:gcn_bgrl,pred:mlp,sbm_fast+random_mean;bgrl,enc:gcn_bgrl,pred:mlp,sbm_fast+random;louvain_prob_pred_mean;louvain_prob_pred;bgrl,enc:gcn_bgrl,pred:mlp,sbm_fast_cheat+random_mean;bgrl,enc:gcn_bgrl,pred:mlp,sbm_fast_cheat+random;grace,enc:gcn_bgrl,pred:mlp,random_mean;grace,enc:gcn_bgrl,pred:mlp,random;grace,enc:gcn_bgrl,pred:mlp,deg_mean;grace,enc:gcn_bgrl,pred:mlp,deg;grace,enc:gcn_bgrl,pred:mlp,evc_mean;grace,enc:gcn_bgrl,pred:mlp,evc;grace,enc:gcn_bgrl,pred:mlp,pr_mean;grace,enc:gcn_bgrl,pred:mlp,pr;grace,enc:gcn_bgrl,pred:mlp,scom_mean;grace,enc:gcn_bgrl,pred:mlp,scom;grace,enc:gcn_bgrl,pred:mlp,sbm_fast+random_mean;grace,enc:gcn_bgrl,pred:mlp,sbm_fast+random;grace,enc:gcn_bgrl,pred:mlp,sbm_fast_cheat+random_mean;grace,enc:gcn_bgrl,pred:mlp,sbm_fast_cheat+random;lbgrl,enc:gcn_bgrl,pred:mlp,random_mean;lbgrl,enc:gcn_bgrl,pred:mlp,random;lbgrl,enc:gcn_bgrl,pred:mlp,deg_mean;lbgrl,enc:gcn_bgrl,pred:mlp,deg;lbgrl,enc:gcn_bgrl,pred:mlp,evc_mean;lbgrl,enc:gcn_bgrl,pred:mlp,evc;lbgrl,enc:gcn_bgrl,pred:mlp,pr_mean;lbgrl,enc:gcn_bgrl,pred:mlp,pr;lbgrl,enc:gcn_bgrl,pred:mlp,scom_mean;lbgrl,enc:gcn_bgrl,pred:mlp,scom;lbgrl,enc:gcn_bgrl,pred:mlp,sbm_fast+random_mean;lbgrl,enc:gcn_bgrl,pred:mlp,sbm_fast+random;leiden_prob_pred_mean;leiden_prob_pred;lbgrl,enc:gcn_bgrl,pred:mlp,sbm_fast_cheat+random_mean;lbgrl,enc:gcn_bgrl,pred:mlp,sbm_fast_cheat+random;lgrace,enc:gcn_bgrl,pred:mlp,random_mean;lgrace,enc:gcn_bgrl,pred:mlp,random;lgrace,enc:gcn_bgrl,pred:mlp,deg_mean;lgrace,enc:gcn_bgrl,pred:mlp,deg;lgrace,enc:gcn_bgrl,pred:mlp,evc_mean;lgrace,enc:gcn_bgrl,pred:mlp,evc;lgrace,enc:gcn_bgrl,pred:mlp,pr_mean;lgrace,enc:gcn_bgrl,pred:mlp,pr;lgrace,enc:gcn_bgrl,pred:mlp,scom_mean;lgrace,enc:gcn_bgrl,pred:mlp,scom;lgrace,enc:gcn_bgrl,pred:mlp,sbm_fast+random_mean;lgrace,enc:gcn_bgrl,pred:mlp,sbm_fast+random;lgrace,enc:gcn_bgrl,pred:mlp,sbm_fast_cheat+random_mean;lgrace,enc:gcn_bgrl,pred:mlp,sbm_fast_cheat+random
Hits@20;23.36$\pm$1.38;"[0.23181455 0.23341327 0.23900879 0.22861711 0.22302158 0.26139089
 0.22382094 0.254996   0.2166267  0.22302158]";22.41$\pm$1.31;"[0.20063949 0.22142286 0.23181455 0.20623501 0.22382094 0.24060751
 0.23581135 0.22941647 0.2126299  0.23820943]";30.74$\pm$3.43;"[0.35491607 0.31654676 0.34532374 0.29496403 0.26538769 0.31334932
 0.26778577 0.35971223 0.27817746 0.2773781 ]";33.96$\pm$3.51;"[0.35891287 0.35731415 0.33413269 0.34372502 0.40447642 0.29736211
 0.3197442  0.35891287 0.35091926 0.27098321]";32.96$\pm$4.35;"[0.3117506  0.27018385 0.36370903 0.36450839 0.3685052  0.33253397
 0.30455635 0.39088729 0.34132694 0.24780176]";36.49$\pm$3.18;"[0.37170264 0.37010392 0.35811351 0.39008793 0.36530775 0.37889688
 0.32693845 0.38449241 0.4108713  0.29256595]";21.05$\pm$1.11;"[0.19504396 0.2126299  0.20223821 0.2126299  0.23501199 0.21183054
 0.20623501 0.21023181 0.22142286 0.19744205]";18.18$\pm$1.17;"[0.1902478  0.18065548 0.17905675 0.17585931 0.17266187 0.20143885
 0.16227018 0.17106315 0.19824141 0.186251  ]";21.05$\pm$1.11;"[0.19504396 0.2126299  0.20223821 0.2126299  0.23501199 0.21183054
 0.20623501 0.21023181 0.22142286 0.19744205]";81.65$\pm$2.49;"[0.84652278 0.82813749 0.7833733  0.81055156 0.84892086 0.77777778
 0.82733813 0.84332534 0.79456435 0.80415667]";21.8$\pm$1.71;"[0.22142286 0.22621902 0.18385292 0.19104716 0.23341327 0.2206235
 0.21582734 0.23181455 0.21502798 0.24060751]";12.16$\pm$8.97;"[0.26618705 0.04716227 0.07354117 0.25579536 0.05515588 0.07753797
 0.07274181 0.2509992  0.04796163 0.068745  ]";14.28$\pm$4.6;"[0.24380496 0.20223821 0.15427658 0.13749001 0.15107914 0.0871303
 0.11590727 0.09752198 0.10871303 0.13029576]";39.53$\pm$2.74;"[0.43085532 0.41007194 0.38529177 0.39008793 0.37170264 0.43165468
 0.41646683 0.37889688 0.39968026 0.3381295 ]";27.74$\pm$2.4;"[0.28617106 0.30535572 0.28856914 0.23900879 0.26458833 0.2853717
 0.27018385 0.27897682 0.31654676 0.23900879]";15.94$\pm$2.0;"[0.17026379 0.12390088 0.17665867 0.16946443 0.16946443 0.1942446
 0.15267786 0.14868106 0.15667466 0.13189448]";83.11$\pm$3.01;"[0.86011191 0.81454836 0.82014388 0.78976819 0.81854516 0.81055156
 0.90407674 0.82174261 0.84092726 0.83053557]";27.03$\pm$6.97;"[0.33413269 0.16786571 0.35091926 0.29176659 0.34532374 0.27498002
 0.15507594 0.30375699 0.29016787 0.18864908]";33.71$\pm$2.53;"[0.35411671 0.31654676 0.35491607 0.30615508 0.38768985 0.33093525
 0.31494804 0.3461231  0.35331735 0.30615508]";23.76$\pm$2.58;"[0.29176659 0.25819345 0.22701839 0.25339728 0.23661071 0.23661071
 0.20303757 0.22382094 0.24620304 0.19904077]";29.69$\pm$2.12;"[0.33013589 0.29016787 0.27178257 0.31814548 0.27098321 0.30615508
 0.28057554 0.32853717 0.28377298 0.28856914]";28.28$\pm$1.73;"[0.27817746 0.29496403 0.29256595 0.30375699 0.30615508 0.28697042
 0.25659472 0.26458833 0.28776978 0.25659472]";32.39$\pm$3.04;"[0.34692246 0.30455635 0.3117506  0.31654676 0.30935252 0.36370903
 0.32374101 0.34452438 0.36131095 0.25659472]";21.05$\pm$1.11;"[0.19504396 0.2126299  0.20223821 0.2126299  0.23501199 0.21183054
 0.20623501 0.21023181 0.22142286 0.19744205]";83.45$\pm$2.34;"[0.82733813 0.8057554  0.79776179 0.81854516 0.84892086 0.83533173
 0.8441247  0.84092726 0.88569145 0.84092726]";27.95$\pm$4.68;"[0.38129496 0.25339728 0.25179856 0.33333333 0.25339728 0.26778577
 0.22302158 0.32134293 0.24540368 0.26378897]";22.63$\pm$2.05;"[0.22541966 0.23741007 0.22302158 0.18065548 0.23980815 0.23501199
 0.21742606 0.26538769 0.21742606 0.22142286]";20.21$\pm$4.79;"[0.29736211 0.27897682 0.18065548 0.19104716 0.18944844 0.18305356
 0.13109512 0.16866507 0.18145484 0.21902478]";28.25$\pm$1.67;"[0.26698641 0.27178257 0.27897682 0.29816147 0.30695444 0.30615508
 0.26219025 0.29496403 0.26219025 0.27657874]";27.08$\pm$1.66;"[0.28776978 0.26378897 0.27817746 0.28457234 0.30215827 0.26858513
 0.24620304 0.26778577 0.25019984 0.25899281]";27.73$\pm$2.97;"[0.30455635 0.25979217 0.26858513 0.32533973 0.254996   0.27498002
 0.254996   0.33013589 0.24460432 0.254996  ]";86.24$\pm$4.03;"[0.82733813 0.89928058 0.88089528 0.78097522 0.89368505 0.88649081
 0.87130296 0.80335731 0.88808953 0.89288569]"
Hits@50;26.36$\pm$1.52;"[0.25579536 0.26378897 0.26059153 0.26698641 0.26059153 0.27897682
 0.25179856 0.29176659 0.23261391 0.27338129]";30.95$\pm$1.16;"[0.31015188 0.31334932 0.32933653 0.31095124 0.3157474  0.31414868
 0.2853717  0.30535572 0.29416467 0.31654676]";41.41$\pm$6.38;"[0.53956835 0.37809752 0.39808153 0.49000799 0.37330136 0.37410072
 0.38129496 0.49480416 0.36131095 0.35091926]";47.79$\pm$6.0;"[0.61310951 0.49000799 0.44444444 0.47402078 0.52038369 0.39968026
 0.43884892 0.52677858 0.45963229 0.41247002]";48.2$\pm$2.92;"[0.54436451 0.46123102 0.48281375 0.49960032 0.49080735 0.48840927
 0.45563549 0.50279776 0.45803357 0.43645084]";54.25$\pm$3.26;"[0.61231015 0.5283773  0.52597922 0.54436451 0.55315747 0.54836131
 0.52517986 0.55795364 0.55395683 0.4756195 ]";22.81$\pm$1.1;"[0.21342926 0.23421263 0.22621902 0.22701839 0.2509992  0.2246203
 0.22621902 0.22621902 0.23980815 0.21183054]";24.29$\pm$1.17;"[0.2470024  0.23181455 0.23101519 0.2509992  0.22701839 0.26618705
 0.23421263 0.25019984 0.25179856 0.23900879]";22.81$\pm$1.1;"[0.21342926 0.23421263 0.22621902 0.22701839 0.2509992  0.2246203
 0.22621902 0.22621902 0.23980815 0.21183054]";91.22$\pm$1.72;"[0.93764988 0.94164668 0.9008793  0.89768185 0.91366906 0.9128697
 0.89608313 0.92965627 0.90007994 0.89208633]";29.91$\pm$2.21;"[0.32054357 0.32054357 0.2509992  0.27897682 0.30535572 0.32454037
 0.28377298 0.30455635 0.28856914 0.31334932]";17.79$\pm$10.89;"[0.36770584 0.0951239  0.10391687 0.3421263  0.10231815 0.12470024
 0.12070344 0.31814548 0.09272582 0.11111111]";21.46$\pm$4.59;"[0.32214229 0.26458833 0.2206235  0.22781775 0.20943245 0.16067146
 0.17745803 0.19904077 0.17346123 0.19104716]";53.76$\pm$2.91;"[0.60591527 0.51478817 0.52118305 0.51798561 0.52917666 0.54116707
 0.54036771 0.56115108 0.54996003 0.49480416]";42.33$\pm$1.6;"[0.40447642 0.43085532 0.43645084 0.41486811 0.39648281 0.45083933
 0.42446043 0.441247   0.41886491 0.41406875]";27.58$\pm$2.46;"[0.31654676 0.23581135 0.29976019 0.26139089 0.27098321 0.3117506
 0.27098321 0.25339728 0.26298961 0.27418066]";94.99$\pm$0.86;"[0.95923261 0.95443645 0.95443645 0.9392486  0.94164668 0.9392486
 0.96642686 0.94404476 0.95123901 0.94884093]";39.72$\pm$8.46;"[0.49880096 0.24620304 0.44204636 0.48201439 0.46282974 0.39488409
 0.28297362 0.44684253 0.41406875 0.30135891]";49.9$\pm$3.3;"[0.56914468 0.47242206 0.48281375 0.49960032 0.5283773  0.50039968
 0.45083933 0.51958433 0.50439648 0.46203038]";34.83$\pm$4.65;"[0.43485212 0.43085532 0.30295763 0.34532374 0.32613909 0.32454037
 0.30695444 0.34932054 0.36131095 0.30055955]";45.02$\pm$6.75;"[0.60351719 0.45723421 0.38289369 0.47002398 0.39728217 0.41406875
 0.49560352 0.50279776 0.37090328 0.40767386]";33.96$\pm$1.24;"[0.33892886 0.3381295  0.32454037 0.35811351 0.36450839 0.32933653
 0.34372502 0.32613909 0.33972822 0.33333333]";47.15$\pm$4.13;"[0.56914468 0.45883293 0.47082334 0.4068745  0.4636291  0.5019984
 0.46842526 0.47961631 0.47002398 0.42525979]";22.81$\pm$1.1;"[0.21342926 0.23421263 0.22621902 0.22701839 0.2509992  0.2246203
 0.22621902 0.22621902 0.23980815 0.21183054]";94.17$\pm$1.44;"[0.93365308 0.92645883 0.95843325 0.92086331 0.94884093 0.96243006
 0.93285372 0.92725819 0.95603517 0.95043965]";34.67$\pm$10.92;"[0.58273381 0.26219025 0.28377298 0.45963229 0.29096723 0.29656275
 0.254996   0.47402078 0.26139089 0.30055955]";29.34$\pm$6.84;"[0.42286171 0.25179856 0.25019984 0.37809752 0.25659472 0.25819345
 0.2430056  0.38768985 0.24540368 0.23980815]";26.09$\pm$5.79;"[0.37889688 0.35091926 0.24940048 0.22382094 0.23900879 0.23581135
 0.18864908 0.20863309 0.24620304 0.28776978]";33.12$\pm$1.88;"[0.3157474  0.33413269 0.32533973 0.3381295  0.36051159 0.35171863
 0.29576339 0.34932054 0.31254996 0.32853717]";31.41$\pm$1.33;"[0.32294165 0.32054357 0.30455635 0.33253397 0.33573141 0.31254996
 0.29976019 0.3157474  0.29336531 0.30375699]";30.74$\pm$4.53;"[0.36290967 0.27817746 0.2853717  0.3804956  0.27498002 0.28856914
 0.26938449 0.38369305 0.27657874 0.27338129]";89.05$\pm$2.76;"[0.85371703 0.92326139 0.89928058 0.83772982 0.91127098 0.90647482
 0.89848122 0.85931255 0.9088729  0.90647482]"
Hits@100;28.54$\pm$1.9;"[0.26938449 0.27498002 0.29256595 0.29896083 0.27577938 0.30055955
 0.27018385 0.31814548 0.25179856 0.30135891]";37.23$\pm$1.71;"[0.36690647 0.36690647 0.39568345 0.38529177 0.39568345 0.372502
 0.34532374 0.36770584 0.34452438 0.38209432]";47.95$\pm$8.83;"[0.63709033 0.4332534  0.44764189 0.58193445 0.42366107 0.41486811
 0.43485212 0.61550759 0.4068745  0.39968026]";59.84$\pm$5.56;"[0.70983213 0.62030376 0.57633893 0.59472422 0.60751399 0.48361311
 0.60031974 0.64908074 0.56035172 0.58193445]";60.42$\pm$2.12;"[0.6498801  0.62190248 0.60431655 0.59072742 0.58992806 0.62270184
 0.5931255  0.60831335 0.57234213 0.5891287 ]";65.29$\pm$2.5;"[0.71302958 0.6314948  0.63069544 0.6314948  0.67545963 0.64668265
 0.64188649 0.67146283 0.63868905 0.64828137]";26.23$\pm$1.42;"[0.24380496 0.25819345 0.25419664 0.26298961 0.29496403 0.25339728
 0.26378897 0.25819345 0.28057554 0.25259792]";29.03$\pm$1.07;"[0.29656275 0.29816147 0.29096723 0.29256595 0.27498002 0.31334932
 0.2773781  0.29016787 0.28936851 0.27977618]";26.23$\pm$1.42;"[0.24380496 0.25819345 0.25419664 0.26298961 0.29496403 0.25339728
 0.26378897 0.25819345 0.28057554 0.25259792]";95.98$\pm$0.95;"[0.97841727 0.9736211  0.95683453 0.94644285 0.95523581 0.95923261
 0.95043965 0.9656275  0.95763389 0.95443645]";35.8$\pm$2.4;"[0.36290967 0.39168665 0.30055955 0.34452438 0.36370903 0.37809752
 0.35571543 0.35491607 0.3461231  0.38129496]";24.49$\pm$11.31;"[0.45003997 0.1598721  0.18944844 0.41886491 0.16546763 0.17186251
 0.18145484 0.3764988  0.15507594 0.18065548]";28.76$\pm$4.66;"[0.39408473 0.31494804 0.30055955 0.33253397 0.25979217 0.23181455
 0.24780176 0.27897682 0.26618705 0.24940048]";64.48$\pm$1.88;"[0.6922462  0.64348521 0.63389289 0.63389289 0.64828137 0.64828137
 0.6235012  0.65867306 0.63868905 0.62669864]";52.79$\pm$2.25;"[0.48441247 0.54436451 0.5059952  0.51558753 0.51958433 0.54436451
 0.54836131 0.56594724 0.52118305 0.52917666]";37.83$\pm$1.47;"[0.3764988  0.34052758 0.38928857 0.38609113 0.38529177 0.39808153
 0.37490008 0.38129496 0.36930456 0.38209432]";97.8$\pm$0.28;"[0.97921663 0.97841727 0.97681855 0.97841727 0.97282174 0.98161471
 0.98161471 0.9736211  0.98001599 0.97761791]";50.08$\pm$9.11;"[0.60191847 0.34772182 0.55955236 0.56994404 0.57314149 0.49240608
 0.38129496 0.56035172 0.54676259 0.37490008]";61.67$\pm$2.25;"[0.66346922 0.62190248 0.60751399 0.58593125 0.63069544 0.63709033
 0.61151079 0.61790568 0.60751399 0.58353317]";42.68$\pm$5.44;"[0.54276579 0.51478817 0.38129496 0.42446043 0.37729816 0.39008793
 0.39088729 0.42286171 0.43165468 0.39168665]";57.61$\pm$5.81;"[0.67705835 0.59792166 0.52597922 0.60271783 0.53477218 0.56754596
 0.61151079 0.62989608 0.46043165 0.55315747]";38.85$\pm$1.81;"[0.37889688 0.38289369 0.37410072 0.39648281 0.42845723 0.37170264
 0.40207834 0.36211031 0.38848921 0.39968026]";57.62$\pm$4.54;"[0.66027178 0.57553957 0.58433253 0.46282974 0.57074341 0.58832934
 0.56754596 0.57633893 0.58113509 0.59472422]";26.23$\pm$1.42;"[0.24380496 0.25819345 0.25419664 0.26298961 0.29496403 0.25339728
 0.26378897 0.25819345 0.28057554 0.25259792]";96.84$\pm$0.92;"[0.95683453 0.96882494 0.97202238 0.95123901 0.97601918 0.97921663
 0.9656275  0.96003197 0.97841727 0.97601918]";40.26$\pm$14.42;"[0.65307754 0.27657874 0.32693845 0.56754596 0.32853717 0.32454037
 0.2853717  0.63469225 0.2853717  0.34372502]";34.03$\pm$11.5;"[0.51718625 0.26219025 0.25899281 0.5283773  0.27178257 0.28297362
 0.25899281 0.50039968 0.26378897 0.25819345]";32.23$\pm$7.5;"[0.49480416 0.41566747 0.28457234 0.28617106 0.31494804 0.27498002
 0.23261391 0.27577938 0.28617106 0.35731415]";37.97$\pm$2.19;"[0.35411671 0.36770584 0.36770584 0.38369305 0.41406875 0.41806555
 0.35491607 0.38848921 0.35971223 0.38848921]";35.08$\pm$1.4;"[0.36131095 0.35491607 0.33333333 0.3764988  0.36770584 0.3381295
 0.34292566 0.35651479 0.33972822 0.33653078]";33.87$\pm$6.18;"[0.42685851 0.29016787 0.30135891 0.41886491 0.29096723 0.31095124
 0.29576339 0.45003997 0.30615508 0.29576339]";90.29$\pm$2.13;"[0.87529976 0.92805755 0.90567546 0.86810552 0.91926459 0.91606715
 0.90647482 0.87210232 0.91686651 0.92086331]"
ROCAUC;58.77$\pm$3.39;"[0.57590027 0.61371654 0.65252386 0.60703667 0.57419899 0.56140986
 0.55707121 0.6057207  0.52675398 0.60289802]";58.62$\pm$2.0;"[0.5645728  0.59669003 0.60595105 0.61445136 0.60090505 0.5605383
 0.55913511 0.57474596 0.57833637 0.60675936]";70.12$\pm$7.12;"[0.82360618 0.66043408 0.66165197 0.79376211 0.66185517 0.64447627
 0.65634207 0.81036178 0.64931588 0.65049032]";81.88$\pm$4.67;"[0.87597037 0.83901704 0.79609917 0.82845826 0.8484461  0.70326728
 0.82691097 0.86910935 0.7988538  0.80199342]";82.55$\pm$0.41;"[0.83028445 0.81898606 0.82692663 0.81989213 0.830818   0.830395
 0.82358861 0.82545123 0.82213047 0.82661481]";87.48$\pm$0.72;"[0.88366908 0.87066206 0.8764365  0.85801543 0.88251126 0.87409337
 0.87245567 0.88342851 0.87265056 0.87454673]";60.06$\pm$1.19;"[0.57659644 0.59459579 0.59421176 0.61469034 0.61159194 0.59306288
 0.59078684 0.60722517 0.61312549 0.60986351]";51.19$\pm$1.32;"[0.49587317 0.53306228 0.50728274 0.51303865 0.4925147  0.52615621
 0.49810959 0.5158591  0.52693768 0.51007188]";60.06$\pm$1.19;"[0.57659644 0.59459579 0.59421176 0.61469034 0.61159194 0.59306288
 0.59078684 0.60722517 0.61312549 0.60986351]";98.22$\pm$0.27;"[0.98818084 0.98240576 0.9785866  0.97973612 0.9851195  0.98262813
 0.97941854 0.98229011 0.98254123 0.98129011]";62.77$\pm$1.82;"[0.63282196 0.64382323 0.58756959 0.61974721 0.63741812 0.65170278
 0.60966223 0.61723986 0.63793633 0.63956573]";53.23$\pm$11.34;"[0.71886727 0.48085976 0.47392206 0.71041808 0.44179972 0.4227713
 0.45670897 0.68084941 0.46568501 0.47136136]";64.09$\pm$4.1;"[0.70640019 0.58530793 0.67488966 0.69261425 0.59300505 0.59875106
 0.66590788 0.64482067 0.63603985 0.61170951]";80.68$\pm$1.23;"[0.82366337 0.80143016 0.79089342 0.79603016 0.82931704 0.8055768
 0.79165477 0.81417648 0.80306211 0.81187009]";75.37$\pm$2.46;"[0.70183597 0.76660718 0.72754299 0.74613051 0.73801486 0.7776896
 0.76599312 0.78948895 0.75538067 0.76829855]";67.78$\pm$1.69;"[0.69512767 0.65921236 0.69554908 0.67269925 0.6810002  0.68782608
 0.65605134 0.68760787 0.64759959 0.69492064]";98.47$\pm$0.19;"[0.98616423 0.9837687  0.98070544 0.98495848 0.98180576 0.98621087
 0.98690352 0.98600384 0.98568755 0.98520193]";74.77$\pm$8.09;"[0.82300203 0.62693858 0.79903431 0.81909373 0.80460747 0.74114713
 0.6490507  0.82245379 0.77808992 0.61386478]";84.26$\pm$0.86;"[0.85626463 0.83824036 0.83583589 0.82415986 0.85107549 0.84880904
 0.84505313 0.83972726 0.84052087 0.84585058]";67.51$\pm$6.79;"[0.76969184 0.80195955 0.58381432 0.70300083 0.59753572 0.63670087
 0.61635232 0.70361489 0.6783804  0.66022003]";79.01$\pm$5.34;"[0.8555937  0.81635124 0.73422253 0.80873622 0.77061932 0.77978481
 0.85843204 0.83224292 0.67763215 0.7670535 ]";63.74$\pm$2.33;"[0.65913696 0.62708331 0.63175071 0.63519959 0.68006602 0.61034913
 0.66704047 0.60184658 0.63622004 0.62579672]";80.59$\pm$3.73;"[0.85404866 0.79847745 0.81745475 0.70507687 0.81524868 0.81960714
 0.81932919 0.83149915 0.80043911 0.79761994]";60.06$\pm$1.19;"[0.57659644 0.59459579 0.59421176 0.61469034 0.61159194 0.59306288
 0.59078684 0.60722517 0.61312549 0.60986351]";98.12$\pm$0.3;"[0.97951375 0.97799394 0.98177765 0.97563388 0.98455209 0.98620704
 0.97965752 0.98102621 0.98277445 0.98303292]";65.6$\pm$12.11;"[0.84768828 0.5239805  0.60592996 0.82737583 0.59227183 0.58111784
 0.57226353 0.83825953 0.56554085 0.60518428]";52.77$\pm$13.25;"[0.70655801 0.43030388 0.43311921 0.74172924 0.444447   0.46011919
 0.44244764 0.73912413 0.45126489 0.42816043]";58.51$\pm$7.34;"[0.75242316 0.66265229 0.5081214  0.5430316  0.57581944 0.52684503
 0.51297092 0.56930315 0.56278974 0.63708234]";63.99$\pm$1.81;"[0.61860791 0.62405455 0.64128202 0.65264335 0.66983216 0.64841428
 0.6112667  0.65704175 0.62561685 0.65008489]";58.06$\pm$1.61;"[0.60236671 0.57639069 0.56353063 0.60390952 0.59943412 0.55324629
 0.58334851 0.57890187 0.57022775 0.57436896]";56.57$\pm$7.09;"[0.65625964 0.52284407 0.51338178 0.67693247 0.49322429 0.53481308
 0.52975429 0.68367432 0.52729998 0.51885462]";93.65$\pm$1.55;"[0.91415788 0.95657702 0.93877384 0.90921348 0.94928502 0.94698662
 0.939524   0.91927865 0.94565307 0.94545083]"
