metrics;bgrl2_random;bgrl2_scom;bgrl2_sbm;bgrl_random;bgrl_scom;bgrl_sbm
Hits@10;36.36$\pm$4.68;34.27$\pm$4.08;37.07$\pm$4.87;47.47$\pm$9.35;46.14$\pm$11.04;37.77$\pm$10.71
Hits@20;43.51$\pm$4.09;43.04$\pm$4.29;45.45$\pm$2.84;60.32$\pm$6.76;58.04$\pm$11.15;50.25$\pm$12.5
Hits@50;54.9$\pm$3.33;54.45$\pm$2.25;56.75$\pm$3.17;72.79$\pm$3.74;71.43$\pm$7.98;65.05$\pm$11.68
Hits@100;63.84$\pm$3.16;63.34$\pm$2.62;66.1$\pm$2.62;81.14$\pm$2.1;79.77$\pm$4.62;74.92$\pm$9.24
ROCAUC;83.9$\pm$1.52;83.94$\pm$1.59;82.85$\pm$1.43;91.87$\pm$1.08;92.0$\pm$0.91;89.76$\pm$2.91
AP;86.88$\pm$1.26;86.84$\pm$1.31;86.83$\pm$1.16;93.04$\pm$0.74;92.98$\pm$1.36;90.86$\pm$3.3
pretrain_time;17.21$\pm$5.5;25.22$\pm$7.97;1117.55$\pm$39.84;20.9$\pm$0.25;23.37$\pm$0.68;981.47$\pm$39.56
