metrics;baseline_mean;baseline;bgrl_random_mean;bgrl_random;bgrl_sbm2_mean;bgrl_sbm2;lbgrl_random_mean;lbgrl_random;lbgrl_sbm2_mean;lbgrl_sbm2
Hits@10;24.42$\pm$6.05;[0.20568648 0.32953381 0.19723361];13.65$\pm$2.82;[0.11705943 0.17635758 0.11603484];6.66$\pm$1.98;[0.03867828 0.07978996 0.08145492];9.21$\pm$0.15;[0.09413422 0.09054816 0.09170082];4.78$\pm$1.07;[0.03381148 0.0498207  0.05981045]
Hits@20;35.41$\pm$2.76;[0.31518955 0.37589652 0.37128586];17.73$\pm$2.94;[0.16380635 0.21810963 0.14997439];11.71$\pm$3.54;[0.06749488 0.13614242 0.14754098];13.83$\pm$1.0;[0.12768955 0.13537398 0.15176742];11.23$\pm$2.88;[0.07184939 0.12884221 0.13627049]
Hits@50;46.15$\pm$0.58;[0.46465164 0.45338115 0.46644467];28.0$\pm$2.51;[0.28099385 0.31019467 0.24871926];18.89$\pm$2.5;[0.15522541 0.19608094 0.21529201];24.04$\pm$1.76;[0.22143955 0.23578381 0.26383197];17.29$\pm$2.91;[0.14280225 0.1635502  0.21221824]
Hits@100;54.29$\pm$0.79;[0.53983094 0.53509221 0.55379098];35.81$\pm$1.52;[0.35463627 0.37820184 0.34144467];28.67$\pm$1.94;[0.26434426 0.28406762 0.31160348];32.74$\pm$1.25;[0.31890369 0.31826332 0.34515881];26.67$\pm$2.48;[0.2373207  0.26498463 0.29789959]
ROCAUC;87.61$\pm$0.71;[0.86934791 0.8731088  0.88586249];81.1$\pm$1.22;[0.79482673 0.81382769 0.82426157];84.41$\pm$0.81;[0.83535864 0.84220382 0.85480995];84.71$\pm$0.97;[0.83346001 0.85310098 0.8547602 ];86.55$\pm$0.3;[0.86122699 0.86717711 0.86801265]
AP;90.67$\pm$0.5;[0.90116438 0.90578469 0.91322029];85.09$\pm$0.7;[0.84110368 0.85563472 0.85609289];85.94$\pm$0.7;[0.85078534 0.859449   0.86796139];86.71$\pm$0.56;[0.85951961 0.86916818 0.87270883];86.88$\pm$0.47;[0.86246702 0.87057462 0.8734815 ]
pretrain_time;nan$\pm$nan;[];0.48$\pm$0.0;[0.4787395  0.48176193 0.47884846];153.86$\pm$1.97;[151.0744307  155.28237939 155.23577166];0.79$\pm$0.16;[1.02533245 0.67861533 0.67909431];153.04$\pm$2.13;[150.03766608 154.78218079 154.30260921]
