metrics;baseline_mean;baseline;grace_random_mean;grace_random;grace_deg_mean;grace_deg;grace_pr_mean;grace_pr;grace_evc_mean;grace_evc;grace_scom_mean;grace_scom;grace_random+scom_mean;grace_random+scom;grace_random+deg_mean;grace_random+deg;grace_deg+scom_mean;grace_deg+scom;bgrl_random_mean;bgrl_random;bgrl_deg_mean;bgrl_deg;bgrl_pr_mean;bgrl_pr;bgrl_evc_mean;bgrl_evc;bgrl_scom_mean;bgrl_scom;bgrl_random+scom_mean;bgrl_random+scom;bgrl_random+deg_mean;bgrl_random+deg;bgrl_deg+scom_mean;bgrl_deg+scom
Hits@10;28.48$\pm$3.01;"[0.26884025 0.25406137 0.30144404 0.29320848 0.31306408 0.21671931
 0.27707581 0.32017148 0.29196751 0.31193592]";33.46$\pm$2.54;"[0.33799639 0.34972924 0.35401625 0.29072653 0.34578069 0.28993682
 0.32355596 0.33337094 0.34679603 0.37364621]";28.16$\pm$5.28;"[0.3053926  0.26714801 0.35142148 0.26737365 0.33043773 0.26037906
 0.17057762 0.34668321 0.23059567 0.28643953]";31.3$\pm$2.08;"[0.32062274 0.31588448 0.34250903 0.32716606 0.33528881 0.27549639
 0.31216155 0.32299188 0.29287004 0.28474729]";24.33$\pm$5.09;"[0.20250451 0.22833935 0.33258123 0.22630866 0.34070397 0.21130415
 0.18998195 0.25868682 0.245713   0.19663809]";29.3$\pm$2.85;"[0.31092058 0.2976083  0.33844765 0.26556859 0.26940433 0.24052347
 0.32547383 0.28373195 0.28486011 0.31374097]";33.33$\pm$2.3;"[0.34363718 0.3601083  0.35175993 0.34544224 0.29241877 0.29557762
 0.316787   0.35638538 0.32998646 0.34126805]";28.61$\pm$4.3;"[0.29794675 0.3053926  0.3607852  0.29896209 0.29185469 0.27797834
 0.26669675 0.32378159 0.19370487 0.24368231]";27.58$\pm$5.17;"[0.29963899 0.31114621 0.32976083 0.26805054 0.15681408 0.29253159
 0.24142599 0.32603791 0.30866426 0.22348827]";26.55$\pm$3.74;"[0.27109657 0.30065433 0.29659296 0.19799188 0.25812274 0.29794675
 0.285537   0.26737365 0.28677798 0.19314079]";31.1$\pm$4.02;"[0.28328069 0.33066336 0.27978339 0.32592509 0.33088899 0.28079874
 0.36687726 0.22766245 0.35773917 0.3267148 ]";24.51$\pm$2.62;"[0.26771209 0.25394856 0.25631769 0.19347924 0.19787906 0.27290162
 0.26308664 0.25575361 0.24977437 0.2400722 ]";30.06$\pm$4.02;"[0.36067238 0.28170126 0.31723827 0.31915614 0.31622292 0.24345668
 0.31926895 0.33619134 0.2208935  0.2911778 ]";23.05$\pm$4.01;"[0.27989621 0.23273917 0.26240975 0.19201264 0.25620487 0.26771209
 0.24627708 0.21683213 0.2109657  0.13955325]";25.64$\pm$3.05;"[0.24830776 0.27921931 0.28440884 0.2215704  0.26173285 0.29162906
 0.26805054 0.24029783 0.27967058 0.18907942]";28.56$\pm$4.97;"[0.25078971 0.28091155 0.30629513 0.34499097 0.36597473 0.23973375
 0.27087094 0.2407491  0.21231949 0.34386282]";29.0$\pm$3.93;"[0.24300542 0.30843863 0.26116877 0.31351534 0.35875451 0.26545578
 0.3295352  0.24176444 0.25518953 0.32276625]"
Hits@20;36.66$\pm$2.23;"[0.35063177 0.39666065 0.375      0.37105144 0.40015794 0.32084838
 0.34837545 0.3778204  0.36383123 0.36112365]";40.06$\pm$2.28;"[0.41730596 0.37883574 0.41437274 0.3743231  0.41008574 0.37082581
 0.42407491 0.37409747 0.40534747 0.43671029]";37.13$\pm$3.79;"[0.39113267 0.35142148 0.41200361 0.32536101 0.42734657 0.33777076
 0.34972924 0.40895758 0.31543321 0.39395307]";39.45$\pm$2.37;"[0.38379964 0.41064982 0.39902978 0.39925542 0.40038357 0.34250903
 0.4303926  0.40263989 0.36552347 0.41087545]";33.6$\pm$4.52;"[0.29219314 0.34115523 0.39248646 0.3430731  0.43783845 0.28959838
 0.29670578 0.32265343 0.339463   0.30482852]";38.57$\pm$2.97;"[0.41313177 0.3984657  0.42362365 0.38255866 0.37939982 0.32648917
 0.38436372 0.33912455 0.40354242 0.40613718]";39.31$\pm$2.21;"[0.3991426  0.41888538 0.42181859 0.38752256 0.39237365 0.33551444
 0.39248646 0.39192238 0.39338899 0.39801444]";38.2$\pm$2.52;"[0.37578971 0.37838448 0.41516245 0.39282491 0.41347022 0.35390343
 0.40873195 0.38898917 0.3487139  0.34420126]";36.65$\pm$4.95;"[0.41741877 0.38684567 0.41324458 0.38244585 0.25857401 0.34781137
 0.3821074  0.38684567 0.39733755 0.29275722]";32.71$\pm$1.7;"[0.34228339 0.33698105 0.33675542 0.29648014 0.34792419 0.33325812
 0.33393502 0.316787   0.32930957 0.29704422]";37.52$\pm$4.66;"[0.33009928 0.40286552 0.32603791 0.39948105 0.40726534 0.31825361
 0.43310018 0.30426444 0.41583935 0.41504964]";29.67$\pm$1.78;"[0.33122744 0.28666516 0.29512635 0.26590704 0.28384477 0.31689982
 0.28463448 0.31080776 0.2961417  0.2954648 ]";39.33$\pm$2.14;"[0.4211417  0.39406588 0.39293773 0.40263989 0.38199458 0.36281588
 0.42779783 0.38052798 0.36055957 0.40850632]";30.14$\pm$2.23;"[0.31498195 0.31847924 0.32254061 0.25112816 0.30719765 0.32750451
 0.30460289 0.30302347 0.28847022 0.27594765]";33.28$\pm$1.69;"[0.3465704  0.34036552 0.33844765 0.29004964 0.35345217 0.33788357
 0.34205776 0.33100181 0.3288583  0.31938177]";36.82$\pm$3.68;"[0.31768953 0.35909296 0.34544224 0.38628159 0.43118231 0.33495036
 0.41110108 0.33370939 0.35288809 0.40940884]";36.49$\pm$3.67;"[0.34002708 0.38616877 0.34465253 0.37172834 0.42452617 0.32536101
 0.41380866 0.30020307 0.36157491 0.38075361]"
Hits@50;47.63$\pm$1.23;"[0.46457581 0.48319043 0.48037004 0.46705776 0.4907491  0.45374549
 0.4900722  0.47935469 0.48950812 0.46435018]";48.92$\pm$1.85;"[0.49909747 0.4978565  0.49921029 0.4801444  0.49921029 0.44336643
 0.50236913 0.46920126 0.50530235 0.49638989]";48.63$\pm$2.47;"[0.50191787 0.44731498 0.50022563 0.47698556 0.53113718 0.44325361
 0.49875903 0.48612365 0.4907491  0.48668773]";47.72$\pm$1.95;"[0.47123195 0.48849278 0.49458484 0.47484206 0.49684116 0.42779783
 0.49435921 0.46728339 0.48555957 0.47055505]";46.36$\pm$3.62;"[0.40027076 0.46976534 0.47901625 0.46119134 0.52357852 0.41629061
 0.42678249 0.49120036 0.48070848 0.48759025]";48.05$\pm$2.12;"[0.49887184 0.48319043 0.49086191 0.46649368 0.50157942 0.43016697
 0.49706679 0.4609657  0.49537455 0.48070848]";48.61$\pm$1.51;"[0.49684116 0.49661552 0.49616426 0.4780009  0.49684116 0.44596119
 0.49605144 0.48623646 0.48883123 0.47946751]";49.1$\pm$1.87;"[0.49165162 0.50654332 0.49266697 0.48431859 0.52053249 0.46694495
 0.51974278 0.4886056  0.47010379 0.46852437]";46.51$\pm$3.8;"[0.49650271 0.48476986 0.4836417  0.4836417  0.37477437 0.42892599
 0.49029783 0.4694269  0.50270758 0.43659747]";38.29$\pm$0.88;"[0.38222022 0.38391245 0.38515343 0.38605596 0.39338899 0.38763538
 0.39711191 0.3721796  0.37274368 0.36845668]";44.51$\pm$6.33;"[0.37466155 0.49638989 0.36326715 0.48680054 0.48849278 0.37060018
 0.51083032 0.36383123 0.49819495 0.49819495]";35.37$\pm$1.12;"[0.36913357 0.34465253 0.3607852  0.33754513 0.35243682 0.36642599
 0.33765794 0.36710289 0.35164711 0.34984206]";48.28$\pm$1.45;"[0.49097473 0.49616426 0.49469765 0.48307762 0.46728339 0.45329422
 0.4978565  0.49165162 0.46581679 0.48702617]";36.65$\pm$1.17;"[0.35119585 0.38560469 0.35446751 0.3636056  0.37545126 0.37488718
 0.37556408 0.35570848 0.37545126 0.35277527]";39.46$\pm$0.8;"[0.39113267 0.40760379 0.39327617 0.39316336 0.40139892 0.3799639
 0.39959386 0.38583032 0.4034296  0.39056859]";43.75$\pm$4.08;"[0.38537906 0.45295578 0.39756318 0.46717058 0.495713   0.38571751
 0.48826715 0.39451715 0.44415614 0.46367329]";43.69$\pm$4.71;"[0.39192238 0.48657491 0.39237365 0.46897563 0.47484206 0.37590253
 0.48048285 0.36281588 0.47969314 0.45509928]"
Hits@100;54.95$\pm$0.77;"[0.558213   0.55099278 0.54907491 0.54083935 0.55922834 0.53519856
 0.55798736 0.55076715 0.55065433 0.54185469]";54.73$\pm$1.2;"[0.55934116 0.56013087 0.55403881 0.53982401 0.55234657 0.51771209
 0.54749549 0.53869585 0.55505415 0.5482852 ]";55.22$\pm$1.9;"[0.54648014 0.54648014 0.54884928 0.5532491  0.58427347 0.51015343
 0.5674639  0.53813177 0.56791516 0.55945397]";53.9$\pm$1.0;"[0.55336191 0.53993682 0.55212094 0.53113718 0.54490072 0.51748646
 0.53925993 0.54083935 0.53203971 0.53858303]";54.17$\pm$2.57;"[0.49695397 0.54106498 0.55020307 0.5291065  0.57468412 0.49774368
 0.54083935 0.56915614 0.5532491  0.56374097]";54.16$\pm$1.15;"[0.55133123 0.55426444 0.54580325 0.53226534 0.54535199 0.51387635
 0.5504287  0.53429603 0.54817238 0.53982401]";54.1$\pm$0.75;"[0.54061372 0.54636733 0.54365975 0.54433664 0.53779332 0.52143502
 0.54941336 0.53610108 0.54490072 0.54535199]";55.28$\pm$1.76;"[0.54749549 0.57208935 0.55065433 0.55652076 0.57423285 0.52233755
 0.58043773 0.54975181 0.53440884 0.53959838]";53.14$\pm$2.65;"[0.54715704 0.55268502 0.54726986 0.54659296 0.46536552 0.51060469
 0.54851083 0.53226534 0.55099278 0.51218412]";41.92$\pm$0.59;"[0.41888538 0.42305957 0.4211417  0.42926444 0.42452617 0.41222924
 0.42102888 0.41956227 0.40884477 0.41324458]";48.4$\pm$6.81;"[0.40478339 0.53722924 0.39981949 0.53046029 0.54287004 0.40083484
 0.54444946 0.39733755 0.54253159 0.53925993]";38.52$\pm$0.97;"[0.40027076 0.37691787 0.39158394 0.37624097 0.38357401 0.38842509
 0.37082581 0.40151173 0.38018953 0.38267148]";53.48$\pm$0.91;"[0.53576264 0.54444946 0.53079874 0.53587545 0.54230596 0.51049188
 0.53779332 0.53869585 0.53147563 0.54016245]";40.81$\pm$0.99;"[0.39767599 0.4226083  0.39259928 0.41234206 0.41696751 0.41425993
 0.40805505 0.39474278 0.41787004 0.40421931]";43.03$\pm$0.97;"[0.41753159 0.4396435  0.42847473 0.43377708 0.44426895 0.41189079
 0.43772563 0.42858755 0.43671029 0.42430054]";48.42$\pm$4.89;"[0.42136733 0.51071751 0.43355144 0.51906588 0.5390343  0.41854693
 0.535537   0.42779783 0.51376354 0.52256318]";47.99$\pm$5.33;"[0.41922383 0.53023466 0.4211417  0.51816336 0.53858303 0.40895758
 0.52391697 0.41268051 0.52278881 0.50349729]"
ROCAUC;91.18$\pm$0.55;"[0.91867428 0.91600452 0.90928501 0.90582163 0.91321396 0.91712481
 0.8997085  0.91213262 0.91552351 0.9107531 ]";72.9$\pm$0.55;"[0.73418076 0.73256889 0.73202699 0.7269064  0.73355545 0.71634986
 0.72589274 0.72421153 0.7351888  0.72958607]";74.47$\pm$1.15;"[0.74025085 0.75593036 0.73737739 0.75014943 0.75089686 0.72350623
 0.74803773 0.7285056  0.76188818 0.75011574]";72.56$\pm$0.89;"[0.73770989 0.72607677 0.74242744 0.71662022 0.72681383 0.72415015
 0.7151415  0.73183845 0.71875962 0.71614979]";76.31$\pm$0.92;"[0.74774524 0.77222282 0.75588378 0.77362458 0.7644472  0.76197661
 0.77609739 0.75365555 0.769563   0.7556867 ]";74.65$\pm$2.21;"[0.72237093 0.77015733 0.72250878 0.76173238 0.7638327  0.7158377
 0.75612768 0.71872537 0.76703347 0.7666828 ]";72.86$\pm$0.27;"[0.72524881 0.72902684 0.73244417 0.7277693  0.73159148 0.7254738
 0.72516316 0.72701411 0.73100792 0.73113138]";73.61$\pm$0.73;"[0.73101444 0.73734305 0.73324585 0.74420813 0.7423516  0.72292151
 0.73112059 0.72957394 0.74249922 0.74670838]";73.78$\pm$0.88;"[0.73311509 0.74973524 0.73325796 0.74146818 0.7333979  0.72168608
 0.74741339 0.72806458 0.74400197 0.74591214]";68.99$\pm$0.48;"[0.68717287 0.68401852 0.69271434 0.69512574 0.69741181 0.68908344
 0.68842145 0.69529328 0.68206848 0.68727206]";70.07$\pm$1.8;"[0.6805457  0.71622391 0.67669889 0.71751631 0.71913279 0.67507287
 0.70722335 0.68413078 0.71860935 0.7114297 ]";68.43$\pm$0.82;"[0.67955808 0.69177347 0.67372508 0.68804767 0.70013232 0.6744625
 0.68167457 0.67627752 0.69157804 0.6856582 ]";73.25$\pm$0.49;"[0.73062419 0.74071055 0.73407918 0.7341929  0.73999585 0.73070151
 0.72483989 0.72665327 0.73343184 0.72956472]";69.85$\pm$0.77;"[0.6886883  0.70805832 0.68844472 0.70556534 0.7061815  0.69091895
 0.70185953 0.69086533 0.7069685  0.69715079]";69.32$\pm$0.34;"[0.69069871 0.69285288 0.69339674 0.69524986 0.70113066 0.6899638
 0.69333432 0.69399284 0.69358217 0.68741566]";70.66$\pm$1.39;"[0.68822353 0.7334973  0.69456116 0.70482369 0.71392396 0.68844149
 0.71839009 0.69710702 0.71713541 0.70985752]";70.17$\pm$1.5;"[0.68310615 0.72123117 0.68728594 0.70996686 0.71756671 0.68212013
 0.70492424 0.68393162 0.7152133  0.71156672]"
AP;92.59$\pm$0.34;"[0.92963593 0.92944207 0.92384291 0.92025073 0.92768883 0.92851318
 0.91987522 0.9261432  0.92788652 0.92528358]";83.3$\pm$0.36;"[0.83544451 0.83556149 0.83508212 0.83121972 0.8358688  0.82481742
 0.83193396 0.82935533 0.83720567 0.83339939]";84.13$\pm$0.73;"[0.8378704  0.84682397 0.83788007 0.84480897 0.84856961 0.82730713
 0.84419159 0.83042895 0.84986962 0.84490705]";82.94$\pm$0.55;"[0.83607075 0.83120518 0.83953216 0.82388033 0.83188486 0.82648913
 0.82286164 0.83319972 0.82344665 0.82513827]";84.9$\pm$0.45;"[0.83930048 0.85199005 0.84732713 0.85317261 0.85266063 0.84549138
 0.85409795 0.84662857 0.8527299  0.84635247]";83.87$\pm$1.03;"[0.8278263  0.85060082 0.82968241 0.84465299 0.84676227 0.82235933
 0.84319518 0.82577866 0.84909321 0.84682907]";83.23$\pm$0.14;"[0.83115198 0.83372959 0.83426856 0.83208246 0.83300391 0.82982058
 0.83047919 0.83231287 0.83389659 0.83265456]";83.85$\pm$0.45;"[0.835465   0.84232972 0.83604947 0.84244903 0.84445134 0.82960243
 0.83898462 0.83384263 0.83911148 0.84254331]";83.54$\pm$0.55;"[0.83290506 0.84252166 0.83467503 0.83873723 0.82909096 0.82510479
 0.8400941  0.8307372  0.84100592 0.83869759]";78.76$\pm$0.33;"[0.78562774 0.78523207 0.78965561 0.78998857 0.79302603 0.78578184
 0.7883816  0.7913829  0.78184935 0.78487007]";80.59$\pm$2.31;"[0.77933746 0.82491266 0.77617517 0.82622906 0.82720067 0.77500138
 0.82140262 0.78047993 0.82551168 0.82282238]";78.01$\pm$0.51;"[0.77776738 0.78426391 0.77311711 0.7818718  0.78995529 0.77264706
 0.77998434 0.77654258 0.7850692  0.78026688]";83.17$\pm$0.28;"[0.83133996 0.83585689 0.83261615 0.83315691 0.83593802 0.82858682
 0.82800604 0.8277077  0.83243223 0.83097343]";78.86$\pm$0.32;"[0.78660996 0.7943189  0.78368633 0.78869928 0.79088274 0.7907824
 0.78842016 0.78466615 0.7918981  0.78592287]";79.07$\pm$0.28;"[0.78823389 0.79323327 0.79100959 0.79120114 0.79587037 0.78672887
 0.79255052 0.79042543 0.79110004 0.78635757]";80.95$\pm$1.72;"[0.78657377 0.83144921 0.79123917 0.8156161  0.82283225 0.78577556
 0.82448474 0.79318933 0.82551319 0.81870723]";80.55$\pm$1.89;"[0.782935   0.82566358 0.78546236 0.81807206 0.82335473 0.78002345
 0.81609116 0.78189298 0.82221751 0.81915181]"
pretrain_time;nan$\pm$nan;[];223.16$\pm$11.17;"[232.52192116 227.49300885 202.22979426 226.40185332 219.78688598
 242.27909732 222.64474082 230.19855738 221.08068657 206.98771906]";353.39$\pm$109.92;"[225.49999666 443.79522896 208.51300526 443.06573582 442.79559302
 225.94902921 443.06097841 215.60639143 442.69298148 442.95430946]";253.85$\pm$57.17;"[215.54094815 217.1308074  203.75437379 237.97328019 242.41204977
 230.57237601 362.79169297 205.28125429 364.24876928 258.77784562]";425.25$\pm$55.42;"[258.99303174 443.67154455 444.14857268 443.4934659  443.67668724
 444.16622353 443.72547698 443.9449389  443.38812423 443.33627081]";248.06$\pm$41.51;"[299.14349627 224.80072355 226.41784692 208.10351658 224.81826973
 343.42700315 221.69219017 268.86585307 250.5754056  212.71303177]";234.08$\pm$11.42;"[227.21593237 238.23205304 249.23549056 228.67169404 222.35564113
 222.46365762 241.3113482  241.34665251 252.31936216 217.62296724]";325.97$\pm$104.32;"[236.7106657  462.22705913 205.59581566 340.67504001 462.20852637
 255.21798253 445.38547206 218.24240088 411.57415962 221.90222955]";314.08$\pm$91.03;"[225.46802449 333.77057099 209.94379401 407.58245254 309.94309282
 245.99109006 437.73457479 220.82282901 277.24427009 472.29500461]";148.94$\pm$12.46;"[116.21121883 155.35252595 153.76101875 148.93635798 146.4921186
 156.90649033 160.10647368 138.64875245 157.68699193 155.27796221]";182.25$\pm$50.92;"[128.39696932 193.85612106 134.82692075 235.60289383 230.74388933
 112.39015388 235.49256039 114.81485796 235.49054813 200.90643001]";102.8$\pm$25.09;"[138.67363524  84.37946296 155.54032946  84.39598846  86.0369339
 114.89988112  84.39879513 111.60967207  83.60601068  84.47844291]";223.51$\pm$14.09;"[206.2552824  235.61281562 236.00161219 200.99687099 229.25623417
 236.0273149  211.27392054 236.01773095 208.08908725 235.58001232]";140.15$\pm$48.11;"[ 87.96661854 186.08526039  88.02234626 130.07351851 158.90831971
 115.88615537 159.75707269  88.00453186 247.1483624  139.68265843]";143.39$\pm$13.34;"[133.794101   128.52470756 163.07740021 132.91080022 130.26613164
 136.58008099 155.01255226 139.1339345  147.12333226 167.52534199]";155.58$\pm$22.89;"[149.02475595 112.99772668 160.9679141  130.85208845 183.48801327
 143.77056551 178.40904951 166.06179333 187.61785412 142.63852048]";139.67$\pm$16.07;"[128.51533127 146.22231007 158.63846159 126.87112188 143.64085937
 164.87552905 124.27759147 158.64534307 127.76346874 117.24142885]"
