metrics;baseline_enc:gcn_grace_pred:mlp_mean;baseline_enc:gcn_grace_pred:mlp
Hits@10;64.27$\pm$3.27;[0.6364414  0.64841745 0.60350727 0.62403764 0.70102652]
Hits@20;72.91$\pm$2.58;[0.70444825 0.73652695 0.69674936 0.73994867 0.76775021]
Hits@50;82.28$\pm$1.2;[0.81266039 0.80538922 0.8314799  0.82634731 0.83789564]
Hits@100;86.04$\pm$0.49;[0.85885372 0.85671514 0.85585971 0.86954662 0.8609923 ]
ROCAUC;93.34$\pm$0.38;[0.92917495 0.92955803 0.93799399 0.93759042 0.93268156]
AP;95.47$\pm$0.23;[0.952347   0.95179598 0.95699379 0.95750967 0.95505593]
pretrain_time;nan$\pm$nan;[]
