metrics;baseline_random+mlp
Hits@10;11.98$\pm$0.0
Hits@20;15.28$\pm$0.0
Hits@50;25.19$\pm$0.0
Hits@100;36.72$\pm$0.0
ROCAUC;97.48$\pm$0.0
pretrain_time;nan$\pm$nan
