metrics;baseline_mean;baseline
Hits@10;21.79$\pm$0.0;[0.21789805]
Hits@20;27.26$\pm$0.0;[0.27264478]
Hits@50;42.95$\pm$0.0;[0.42948459]
Hits@100;58.37$\pm$0.0;[0.58372318]
ROCAUC;98.83$\pm$0.0;[0.98827898]
AP;98.92$\pm$0.0;[0.98918661]
pretrain_time;nan$\pm$nan;[]
