metrics;grace_random_mean;grace_random;grace_deg_mean;grace_deg;grace_raa_mean;grace_raa;grace_sbm+random_mean;grace_sbm+random;grace_sbm+deg_mean;grace_sbm+deg;grace_sbm+raa_mean;grace_sbm+raa;bgrl_random_mean;bgrl_random;bgrl_deg_mean;bgrl_deg;bgrl_raa_mean;bgrl_raa;bgrl_sbm+random_mean;bgrl_sbm+random;bgrl_sbm+deg_mean;bgrl_sbm+deg;bgrl_sbm+raa_mean;bgrl_sbm+raa;lgrace_random_mean;lgrace_random;lgrace_deg_mean;lgrace_deg;lgrace_raa_mean;lgrace_raa;lgrace_sbm+random_mean;lgrace_sbm+random;lgrace_sbm+deg_mean;lgrace_sbm+deg;lgrace_sbm+raa_mean;lgrace_sbm+raa;lbgrl_random_mean;lbgrl_random;lbgrl_deg_mean;lbgrl_deg;lbgrl_raa_mean;lbgrl_raa;lbgrl_sbm+random_mean;lbgrl_sbm+random;lbgrl_sbm+deg_mean;lbgrl_sbm+deg;lbgrl_sbm+raa_mean;lbgrl_sbm+raa
Hits@10;10.6$\pm$4.61;[0.16254417 0.09540636 0.0459364  0.07067138 0.15547703];11.66$\pm$1.95;[0.12720848 0.07773852 0.12367491 0.12720848 0.12720848];9.61$\pm$5.46;[0.03886926 0.16961131 0.10954064 0.13427562 0.02826855];1.77$\pm$2.17;[0.         0.04240283 0.         0.0459364  0.        ];1.06$\pm$1.79;[0.         0.0459364  0.         0.         0.00706714];3.11$\pm$0.98;[0.04240283 0.01766784 0.02120141 0.03886926 0.03533569];12.16$\pm$1.74;[0.12720848 0.09540636 0.12367491 0.1130742  0.14840989];11.52$\pm$2.9;[0.08480565 0.09540636 0.12720848 0.1024735  0.16607774];20.0$\pm$3.41;[0.1590106  0.17314488 0.204947   0.204947   0.25795053];6.93$\pm$2.07;[0.07067138 0.09187279 0.04946996 0.04240283 0.09187279];0.0$\pm$0.0;[0. 0. 0. 0. 0.];4.38$\pm$1.2;[0.05300353 0.0565371  0.04946996 0.03533569 0.02473498];16.4$\pm$2.2;[0.20141343 0.15547703 0.16961131 0.13427562 0.1590106 ];18.45$\pm$2.77;[0.19434629 0.13427562 0.21908127 0.18727915 0.18727915];10.25$\pm$8.54;[0.         0.12720848 0.22261484 0.15194346 0.01060071];1.91$\pm$1.11;[0.03180212 0.         0.01766784 0.02826855 0.01766784];1.84$\pm$2.07;[0.         0.         0.0565371  0.01766784 0.01766784];9.75$\pm$3.45;[0.06360424 0.11660777 0.04946996 0.12014134 0.13780919];9.68$\pm$6.39;[0.10954064 0.04946996 0.         0.16254417 0.16254417];13.99$\pm$2.37;[0.12014134 0.10600707 0.16961131 0.14487633 0.1590106 ];14.06$\pm$3.36;[0.10600707 0.13074205 0.18374558 0.10600707 0.17667845];2.69$\pm$3.05;[0.0459364  0.         0.01060071 0.         0.07773852];1.55$\pm$1.96;[0.         0.03180212 0.         0.         0.0459364 ];3.89$\pm$1.48;[0.03533569 0.03533569 0.01766784 0.04240283 0.06360424]
Hits@20;15.69$\pm$6.77;[0.22968198 0.13780919 0.0459364  0.14487633 0.22614841];18.16$\pm$1.9;[0.18374558 0.1590106  0.2155477  0.16961131 0.18021201];13.14$\pm$8.01;[0.03886926 0.20141343 0.19081272 0.19787986 0.02826855];3.18$\pm$3.91;[0.         0.08480565 0.         0.07420495 0.        ];1.41$\pm$2.49;[0.         0.06360424 0.         0.         0.00706714];7.49$\pm$2.34;[0.06713781 0.05300353 0.06360424 0.12014134 0.07067138];18.66$\pm$2.1;[0.19787986 0.1590106  0.19434629 0.16607774 0.2155477 ];16.89$\pm$2.29;[0.14134276 0.1590106  0.15194346 0.19787986 0.19434629];25.3$\pm$5.87;[0.21201413 0.17314488 0.28621908 0.25088339 0.34275618];13.22$\pm$2.63;[0.10600707 0.15547703 0.1590106  0.09540636 0.14487633];0.0$\pm$0.0;[0. 0. 0. 0. 0.];7.07$\pm$0.84;[0.08127208 0.07420495 0.07420495 0.06713781 0.0565371 ];22.47$\pm$2.25;[0.24381625 0.19787986 0.2155477  0.20848057 0.25795053];24.52$\pm$1.82;[0.22968198 0.21908127 0.25088339 0.26855124 0.25795053];11.94$\pm$9.73;[0.         0.19434629 0.24028269 0.15194346 0.01060071];5.65$\pm$3.18;[0.08833922 0.         0.0459364  0.06713781 0.08127208];4.1$\pm$3.57;[0.         0.         0.08833922 0.04946996 0.06713781];14.35$\pm$3.3;[0.08833922 0.17314488 0.12367491 0.1590106  0.17314488];15.19$\pm$5.25;[0.16607774 0.13074205 0.06360424 0.18021201 0.21908127];20.0$\pm$2.49;[0.2155477  0.18727915 0.24028269 0.16961131 0.18727915];19.58$\pm$2.88;[0.18021201 0.17314488 0.21908127 0.16607774 0.24028269];4.24$\pm$5.53;[0.0565371  0.         0.01060071 0.         0.14487633];2.47$\pm$3.13;[0.         0.04946996 0.         0.         0.07420495];7.49$\pm$2.27;[0.07067138 0.07773852 0.0565371  0.05300353 0.11660777]
Hits@50;21.84$\pm$12.28;[0.33568905 0.18727915 0.0459364  0.14487633 0.37809187];29.19$\pm$5.8;[0.27208481 0.32862191 0.37102473 0.28975265 0.19787986];23.53$\pm$16.66;[0.03886926 0.40636042 0.32862191 0.3745583  0.02826855];6.57$\pm$8.05;[0.         0.16254417 0.         0.16607774 0.        ];4.52$\pm$8.7;[0.         0.21908127 0.         0.         0.00706714];17.81$\pm$2.06;[0.15547703 0.15547703 0.19081272 0.20848057 0.18021201];31.02$\pm$2.88;[0.30388693 0.26855124 0.35335689 0.29681979 0.32862191];30.25$\pm$3.01;[0.2614841  0.27208481 0.32862191 0.33568905 0.31448763];41.13$\pm$4.61;[0.40636042 0.41696113 0.48056537 0.33568905 0.41696113];25.44$\pm$4.2;[0.24028269 0.28268551 0.32155477 0.2155477  0.21201413];0.0$\pm$0.0;[0. 0. 0. 0. 0.];15.83$\pm$2.55;[0.19787986 0.14840989 0.17667845 0.14134276 0.12720848];32.58$\pm$4.67;[0.37102473 0.32862191 0.33922261 0.23674912 0.35335689];36.82$\pm$1.69;[0.36749117 0.33922261 0.37102473 0.39222615 0.37102473];12.37$\pm$10.09;[0.         0.2155477  0.24028269 0.15194346 0.01060071];15.48$\pm$8.35;[0.20848057 0.         0.15547703 0.16607774 0.24381625];13.64$\pm$7.71;[0.11660777 0.         0.19787986 0.14840989 0.21908127];22.4$\pm$6.26;[0.10600707 0.28268551 0.24028269 0.26855124 0.22261484];26.5$\pm$8.18;[0.33215548 0.17314488 0.1590106  0.31095406 0.34982332];34.13$\pm$5.38;[0.39575972 0.25441696 0.35689046 0.30742049 0.39222615];33.22$\pm$3.25;[0.33922261 0.28975265 0.32508834 0.3180212  0.38869258];8.62$\pm$10.64;[0.1590106  0.         0.01060071 0.         0.2614841 ];8.41$\pm$10.32;[0.         0.20141343 0.         0.         0.21908127];14.84$\pm$3.97;[0.12720848 0.13074205 0.11660777 0.14134276 0.22614841]
Hits@100;43.32$\pm$20.55;[0.40989399 0.51943463 0.0459364  0.5795053  0.61130742];58.23$\pm$2.84;[0.6254417  0.56537102 0.59363958 0.54063604 0.58657244];58.66$\pm$4.64;[0.5229682  0.59363958 0.66431095 0.59010601 0.56183746];14.63$\pm$18.34;[0.         0.30388693 0.         0.42756184 0.        ];7.99$\pm$15.62;[0.         0.39222615 0.         0.         0.00706714];33.14$\pm$2.87;[0.32508834 0.29328622 0.31095406 0.37102473 0.35689046];47.56$\pm$5.91;[0.51943463 0.39575972 0.54770318 0.41696113 0.49823322];52.16$\pm$1.82;[0.55123675 0.49469965 0.52650177 0.51943463 0.51590106];51.02$\pm$8.04;[0.65017668 0.46289753 0.48056537 0.41696113 0.54063604];44.45$\pm$5.08;[0.45229682 0.44169611 0.5335689  0.38162544 0.41342756];0.0$\pm$0.0;[0. 0. 0. 0. 0.];29.19$\pm$3.3;[0.3180212  0.25441696 0.33568905 0.29681979 0.25441696];49.26$\pm$5.03;[0.56183746 0.48763251 0.4664311  0.41696113 0.53003534];53.92$\pm$1.44;[0.54770318 0.51236749 0.54063604 0.55477032 0.54063604];45.87$\pm$23.16;[0.         0.53710247 0.63250883 0.57243816 0.55123675];30.6$\pm$15.55;[0.43109541 0.         0.34982332 0.3639576  0.38515901];27.28$\pm$14.96;[0.24028269 0.         0.40636042 0.31448763 0.40282686];37.31$\pm$14.04;[0.10600707 0.44522968 0.49823322 0.3639576  0.45229682];53.22$\pm$0.76;[0.53710247 0.5229682  0.5229682  0.53710247 0.54063604];53.85$\pm$6.77;[0.55830389 0.40989399 0.61130742 0.55477032 0.55830389];56.61$\pm$6.53;[0.60424028 0.48409894 0.59717314 0.49469965 0.65017668];12.65$\pm$15.07;[0.30388693 0.         0.01060071 0.         0.3180212 ];16.68$\pm$20.46;[0.         0.43462898 0.         0.         0.39929329];28.27$\pm$4.49;[0.24028269 0.25088339 0.2614841  0.29681979 0.3639576 ]
ROCAUC;62.16$\pm$4.98;[0.63962592 0.60380327 0.53687772 0.64138646 0.68616789];64.47$\pm$1.33;[0.66033413 0.64266004 0.65907303 0.63457528 0.62676522];64.95$\pm$2.35;[0.61550275 0.65587034 0.6674637  0.67885727 0.63001161];49.61$\pm$1.54;[0.5        0.46713032 0.5        0.51360362 0.5       ];49.51$\pm$1.34;[0.5        0.5081347  0.49823322 0.5        0.46927793];46.17$\pm$2.3;[0.44365643 0.42827979 0.46728015 0.49251458 0.47693191];59.41$\pm$3.17;[0.6138421  0.54644833 0.6332143  0.56897951 0.60794241];61.92$\pm$0.67;[0.62670279 0.60849805 0.62420557 0.61468491 0.62197056];64.24$\pm$3.14;[0.67959395 0.63162232 0.66869358 0.59010601 0.64181723];56.32$\pm$2.97;[0.56956636 0.57000337 0.61019616 0.52083307 0.54555557];50.0$\pm$0.0;[0.5 0.5 0.5 0.5 0.5];45.36$\pm$1.25;[0.47333591 0.44250771 0.44993695 0.46230444 0.44012286];60.77$\pm$4.2;[0.64925271 0.62617838 0.58568592 0.53615353 0.64147386];64.62$\pm$1.41;[0.64872205 0.62215785 0.65972855 0.66020302 0.64020652];64.46$\pm$2.03;[0.65827392 0.62569142 0.67427487 0.64521969 0.61929229];50.92$\pm$1.69;[0.53225162 0.5        0.48220105 0.51392201 0.51743685];49.0$\pm$2.99;[0.46905942 0.49291413 0.52430421 0.44501742 0.51857933];59.34$\pm$0.99;[0.58784602 0.58411267 0.58901972 0.61233128 0.59346477];62.07$\pm$1.51;[0.63675411 0.6046773  0.60058185 0.62740202 0.63410706];63.35$\pm$4.47;[0.65239921 0.54943875 0.6715529  0.62780157 0.66629625];63.82$\pm$3.24;[0.64353407 0.59919589 0.64751089 0.60947821 0.69113736];49.61$\pm$3.44;[0.43807514 0.49646643 0.49984392 0.5        0.54622982];50.78$\pm$0.97;[0.5        0.51699984 0.5        0.5        0.52209417];43.74$\pm$2.29;[0.4182035  0.4262508  0.41533794 0.45174119 0.47524629]
AP;62.0$\pm$5.31;[0.65634263 0.61103517 0.52556725 0.62606518 0.68120116];63.39$\pm$1.27;[0.64360808 0.61732627 0.64907274 0.63910437 0.62058823];63.4$\pm$3.71;[0.58650534 0.6750117  0.64668739 0.66805393 0.59368035];50.08$\pm$0.61;[0.5        0.49258585 0.5        0.5115889  0.5       ];50.14$\pm$1.13;[0.5        0.52154342 0.49911817 0.5        0.4865279 ];49.46$\pm$1.99;[0.48416185 0.4664737  0.49465386 0.52664238 0.50118521];61.89$\pm$2.16;[0.62564607 0.58697386 0.65067581 0.60494726 0.6263239 ];62.49$\pm$1.08;[0.61959518 0.60612016 0.63280969 0.63464241 0.63153406];65.73$\pm$1.84;[0.67109593 0.62999455 0.66276982 0.64272554 0.68006365];57.3$\pm$2.66;[0.5685991  0.58961773 0.61292314 0.53492179 0.55872477];50.0$\pm$0.0;[0.5 0.5 0.5 0.5 0.5];48.53$\pm$1.6;[0.50803974 0.47916597 0.49653631 0.48189428 0.46098238];64.16$\pm$2.94;[0.67115677 0.64974034 0.63355032 0.58879255 0.6648099 ];67.06$\pm$1.4;[0.67016755 0.65220221 0.68838525 0.6836619  0.65843762];63.41$\pm$3.67;[0.60734409 0.63788643 0.69512257 0.64290363 0.58712232];50.74$\pm$1.8;[0.53347442 0.5        0.47962792 0.50580214 0.51820093];49.75$\pm$2.56;[0.4709759  0.49646345 0.53466814 0.4687321  0.51644096];59.73$\pm$1.99;[0.57089406 0.61611772 0.57758812 0.62018883 0.60161045];61.0$\pm$3.47;[0.62101282 0.5844759  0.55618472 0.64232101 0.64617044];65.04$\pm$3.59;[0.66157239 0.58724851 0.6903177  0.63812977 0.67459141];64.46$\pm$2.91;[0.64055584 0.61542675 0.67036189 0.61177504 0.68501179];50.52$\pm$2.29;[0.47806317 0.5        0.49998588 0.5        0.54773587];50.88$\pm$1.18;[0.5        0.51421043 0.5        0.5        0.52966312];47.83$\pm$2.5;[0.46160694 0.46491997 0.45662272 0.48341806 0.525024  ]
pretrain_time;19.2$\pm$5.08;[22.65484262 26.1901598  11.78546119 15.62005091 19.76430535];17.23$\pm$6.03;[18.22994184 11.48770666 10.69547153 18.30532169 27.42584515];22.7$\pm$7.84;[13.86682105 22.8718822  26.18813848 15.19724441 35.37580514];174.35$\pm$97.26;[129.44358826 138.28441548 368.26434016 118.73035598 117.01973629];151.13$\pm$33.4;[200.26748729 124.39260292 111.93360424 179.15445423 139.88927293];180.94$\pm$81.89;[124.2464776  173.77307034 148.60577083 339.93101287 118.16171217];21.22$\pm$2.77;[24.76991105 21.36628318 17.82891822 18.40378356 23.73903704];23.4$\pm$4.34;[26.76368427 18.33243513 29.15895629 24.20053411 18.56461048];25.23$\pm$1.21;[27.32943583 23.803864   25.68922067 24.65558982 24.69477081];231.43$\pm$109.27;[122.40403223 382.49865031 140.16761422 168.1465981  343.92130375];129.99$\pm$7.92;[143.50686765 131.40228224 130.53186083 124.40693545 120.09888411];136.46$\pm$30.51;[123.34629917 131.27204156 196.30581117 117.99135065 113.37673163];29.02$\pm$12.81;[40.07012486 21.71344709 17.51202798 48.4490242  17.3716588 ];22.0$\pm$1.87;[20.82802773 24.51697254 23.69318271 21.5601933  19.39530158];29.73$\pm$14.11;[28.65004373 18.68789101 21.59109569 57.19692588 22.51435471];316.93$\pm$106.2;[378.36210608 294.13936758 235.09551597 487.65008903 189.40873122];280.97$\pm$99.89;[188.55738926 133.15402675 358.49687696 373.7346046  350.88982248];337.31$\pm$90.06;[232.28121734 391.29326582 481.10334802 262.39432192 319.47456861];29.63$\pm$6.52;[32.5489006  22.19847631 21.44467139 36.64310598 35.32451677];16.41$\pm$6.76;[13.61130118 16.11124229 29.42743468 10.46512794 12.41463709];34.53$\pm$10.22;[29.1287055  54.75318599 27.23629069 31.82087684 29.70424938];115.73$\pm$4.49;[115.62166929 123.59793854 112.92037177 116.34444523 110.17808366];165.53$\pm$5.36;[170.07733321 172.69132805 161.87453151 165.11608005 157.90708995];183.32$\pm$40.92;[163.96443987 218.71835566 120.51652527 235.90327978 177.47429204]
