metrics;louvain_prob_pred;baseline;bgrl_random;bgrl_sbm;lbgrl_random;lbgrl_sbm
Hits@10;12.75$\pm$0.0;39.84$\pm$0.0;23.51$\pm$0.0;16.33$\pm$0.0;27.49$\pm$0.0;47.41$\pm$0.0
Hits@20;13.94$\pm$0.0;43.03$\pm$0.0;31.87$\pm$0.0;25.5$\pm$0.0;37.05$\pm$0.0;55.38$\pm$0.0
Hits@50;15.94$\pm$0.0;48.21$\pm$0.0;46.22$\pm$0.0;41.04$\pm$0.0;51.79$\pm$0.0;78.09$\pm$0.0
Hits@100;20.32$\pm$0.0;54.58$\pm$0.0;60.96$\pm$0.0;54.58$\pm$0.0;68.92$\pm$0.0;90.84$\pm$0.0
ROCAUC;53.08$\pm$0.0;62.61$\pm$0.0;62.74$\pm$0.0;59.03$\pm$0.0;72.01$\pm$0.0;86.45$\pm$0.0
AP;59.87$\pm$0.0;73.4$\pm$0.0;68.35$\pm$0.0;64.27$\pm$0.0;75.7$\pm$0.0;86.89$\pm$0.0
pretrain_time;nan$\pm$nan;nan$\pm$nan;2.25$\pm$0.0;22.3$\pm$0.0;2.47$\pm$0.0;25.13$\pm$0.0
