metrics;grace_enc:gcn_grace_pred:mlp_random_mean;grace_enc:gcn_grace_pred:mlp_random;grace_enc:gcn_bgrl_pred:mlp_random_mean;grace_enc:gcn_bgrl_pred:mlp_random;grace_enc:gcn_ncn_pred:mlp_random_mean;grace_enc:gcn_ncn_pred:mlp_random;bgrl_enc:gcn_grace_pred:mlp_random_mean;bgrl_enc:gcn_grace_pred:mlp_random;bgrl_enc:gcn_bgrl_pred:mlp_random_mean;bgrl_enc:gcn_bgrl_pred:mlp_random;bgrl_enc:gcn_ncn_pred:mlp_random_mean;bgrl_enc:gcn_ncn_pred:mlp_random;lbgrl_enc:gcn_grace_pred:mlp_random_mean;lbgrl_enc:gcn_grace_pred:mlp_random;lbgrl_enc:gcn_bgrl_pred:mlp_random_mean;lbgrl_enc:gcn_bgrl_pred:mlp_random;lbgrl_enc:gcn_ncn_pred:mlp_random_mean;lbgrl_enc:gcn_ncn_pred:mlp_random
Hits@10;0.0$\pm$0.0;[0. 0. 0. 0. 0.];9.65$\pm$1.53;[0.11305008 0.10318665 0.10015175 0.06752656 0.09863429];17.71$\pm$2.06;[0.20409712 0.17905918 0.14036419 0.17905918 0.18285281];19.2$\pm$9.68;[0.         0.24279211 0.22003035 0.25872534 0.23823976];29.83$\pm$3.21;[0.32473445 0.30121396 0.23596358 0.31714719 0.31259484];10.2$\pm$10.15;[0.24051593 0.         0.0660091  0.         0.20333839];20.74$\pm$2.29;[0.22989378 0.21471927 0.17526555 0.23141123 0.18588771];10.67$\pm$7.95;[0.2306525  0.14567527 0.107739   0.04931715 0.        ];20.32$\pm$1.24;[0.21320182 0.2124431  0.17981791 0.20864947 0.20182094]
Hits@20;0.0$\pm$0.0;[0. 0. 0. 0. 0.];15.05$\pm$4.62;[0.24203338 0.13201821 0.13353566 0.11608498 0.12898331];21.14$\pm$1.72;[0.22078907 0.22685888 0.17905918 0.2215478  0.20864947];21.49$\pm$10.85;[0.         0.26403642 0.26327769 0.29590288 0.25113809];33.82$\pm$1.41;[0.36115326 0.31942337 0.32852807 0.3414264  0.34066768];15.86$\pm$10.05;[0.26024279 0.         0.08421851 0.20333839 0.24506829];23.54$\pm$1.41;[0.25796662 0.23596358 0.21775417 0.24127466 0.22382398];13.14$\pm$9.1;[0.26631259 0.18209408 0.13505311 0.07359636 0.        ];22.72$\pm$0.87;[0.23823976 0.23368741 0.21320182 0.22306525 0.2276176 ]
Hits@50;0.0$\pm$0.0;[0. 0. 0. 0. 0.];25.04$\pm$5.04;[0.32701062 0.28528073 0.23672231 0.21927162 0.18361153];25.3$\pm$1.41;[0.25872534 0.27465857 0.23823976 0.25644917 0.23672231];25.37$\pm$12.75;[0.         0.33080425 0.31259484 0.33004552 0.29514416];40.59$\pm$2.65;[0.40895296 0.38391502 0.37632777 0.4522003  0.40819423];20.18$\pm$12.04;[0.29590288 0.         0.12594841 0.2814871  0.30576631];26.43$\pm$1.4;[0.28907436 0.26251897 0.24810319 0.26707132 0.25493171];17.74$\pm$10.32;[0.30652504 0.24127466 0.19044006 0.14871017 0.        ];26.6$\pm$1.09;[0.2723824  0.27769347 0.26024279 0.24734446 0.2723824 ]
Hits@100;4.13$\pm$8.25;[0.         0.         0.20637329 0.         0.        ];31.73$\pm$2.54;[0.35963581 0.32776935 0.29059181 0.31562974 0.29286798];29.56$\pm$1.8;[0.30652504 0.32473445 0.28831563 0.284522   0.27389985];29.3$\pm$14.72;[0.         0.38163885 0.36039454 0.37936267 0.34370258];46.07$\pm$3.17;[0.46206373 0.46813354 0.41654021 0.51289833 0.44385432];25.07$\pm$14.26;[0.36798179 0.         0.18285281 0.34066768 0.36191199];31.85$\pm$1.29;[0.3353566  0.29666161 0.31790592 0.3262519  0.31638847];22.66$\pm$12.53;[0.3801214  0.284522   0.24355083 0.2245827  0.        ];31.53$\pm$0.8;[0.3262519  0.323217   0.31259484 0.30728376 0.30728376]
ROCAUC;59.64$\pm$2.8;[0.62928841 0.56053742 0.61804252 0.60849772 0.56566457];68.18$\pm$3.1;[0.67729016 0.67702075 0.62945593 0.72065494 0.70434408];59.53$\pm$1.92;[0.6151524  0.62101784 0.58584189 0.57197644 0.58262306];63.89$\pm$7.21;[0.5        0.66512034 0.65179889 0.70931666 0.66846178];78.02$\pm$2.13;[0.79737198 0.78597987 0.75335353 0.80690095 0.75760222];64.79$\pm$5.43;[0.68948878 0.56322865 0.60340482 0.69362694 0.68970004];71.58$\pm$1.89;[0.73586169 0.68528902 0.71040582 0.73598949 0.71162076];61.88$\pm$8.52;[0.76544392 0.61587083 0.59296343 0.61979686 0.5       ];68.98$\pm$1.42;[0.66419265 0.69063982 0.70408042 0.70202876 0.68817079]
AP;57.14$\pm$2.87;[0.60172566 0.53884588 0.6015248  0.57804514 0.53685109];71.11$\pm$1.69;[0.72496143 0.71236908 0.67865197 0.72374617 0.71599501];67.32$\pm$1.54;[0.68618254 0.69670203 0.6641548  0.65859604 0.66025245];66.74$\pm$9.06;[0.5        0.67737859 0.66704263 0.76223876 0.73026089];81.28$\pm$1.82;[0.82451354 0.81749249 0.78622395 0.83700008 0.7987851 ];66.98$\pm$7.66;[0.74271046 0.54345142 0.61884971 0.7226521  0.72123931];74.91$\pm$1.32;[0.76450018 0.73049889 0.74474579 0.76383808 0.74203232];64.39$\pm$9.22;[0.79124132 0.63848636 0.6481674  0.64176691 0.5       ];73.2$\pm$0.91;[0.71574452 0.73824323 0.73943067 0.73827648 0.72816615]
pretrain_time;12.56$\pm$0.01;[12.56869602 12.55515337 12.57124352 12.55960989 12.55504942];136.75$\pm$67.64;[ 40.31194973  89.46980786 137.60331583 184.38662624 231.98046613];25.73$\pm$0.02;[25.7542572  25.74274445 25.7198     25.70247293 25.71387982];52.69$\pm$0.1;[52.67072868 52.66647649 52.87759089 52.61025357 52.61747003];934.42$\pm$464.28;[ 282.2966156   601.06626081  932.75662398 1263.45843077 1592.54303193];30.16$\pm$0.02;[30.19759417 30.17871189 30.14732814 30.1487577  30.1484437 ];36.82$\pm$0.02;[36.82516813 36.84416819 36.84667063 36.7874918  36.81213212];551.94$\pm$274.12;[165.82865524 356.81725645 549.98948169 747.34794021 939.70729351];30.64$\pm$0.23;[30.54252529 30.51769114 31.10959697 30.52207613 30.52079844]
