metrics;lbgrl_random_mean;lbgrl_random;lbgrl_deg_mean;lbgrl_deg;lbgrl_pr_mean;lbgrl_pr;lbgrl_evc_mean;lbgrl_evc;lbgrl_scom_mean;lbgrl_scom;lbgrl_random+scom_mean;lbgrl_random+scom;lbgrl_random+deg_mean;lbgrl_random+deg;lbgrl_deg+scom_mean;lbgrl_deg+scom
Hits@10;25.74$\pm$3.18;"[0.30787455 0.30009025 0.25203069 0.23206227 0.2713222  0.23003159
 0.22563177 0.29501354 0.23950812 0.22021661]";27.29$\pm$3.54;"[0.21818592 0.31340253 0.27256318 0.30189531 0.24672834 0.26793773
 0.31295126 0.27470668 0.21333484 0.3075361 ]";26.35$\pm$2.95;"[0.25609206 0.32017148 0.2613944  0.24627708 0.31013087 0.25620487
 0.26951715 0.25913809 0.24232852 0.21423736]";24.83$\pm$6.46;"[0.20464801 0.30155686 0.28632671 0.26658394 0.31080776 0.12939982
 0.26218412 0.17949007 0.19562274 0.3458935 ]";21.78$\pm$3.72;"[0.23634928 0.26128159 0.25124097 0.21604242 0.23307762 0.22145758
 0.13650722 0.17768502 0.25383574 0.19043321]";25.62$\pm$2.87;"[0.20825812 0.29659296 0.26398917 0.2428926  0.30708484 0.24311823
 0.22314982 0.26590704 0.24706679 0.26432762]";23.91$\pm$3.05;"[0.25473827 0.29602888 0.20509928 0.26286101 0.23194946 0.22123195
 0.23883123 0.21547834 0.19291516 0.27143502]";21.93$\pm$3.81;"[0.27572202 0.22111913 0.23555957 0.2194269  0.18118231 0.17091606
 0.20938628 0.26308664 0.15816787 0.25846119]"
Hits@20;33.54$\pm$2.45;"[0.36631318 0.37308213 0.3273917  0.31735108 0.31667419 0.29253159
 0.31791516 0.34262184 0.33788357 0.36180054]";37.03$\pm$3.1;"[0.32479693 0.40241426 0.34893953 0.37251805 0.37861011 0.33574007
 0.379287   0.33675542 0.4055731  0.41865975]";33.39$\pm$3.32;"[0.3238944  0.39282491 0.33675542 0.31001805 0.37251805 0.30178249
 0.35537004 0.3344991  0.339463   0.27154783]";33.55$\pm$4.98;"[0.28801895 0.38718412 0.34736011 0.33427347 0.38041516 0.22123195
 0.36597473 0.3238944  0.31453069 0.3920352 ]";29.57$\pm$2.87;"[0.2905009  0.3387861  0.32524819 0.27933213 0.30065433 0.26951715
 0.26353791 0.24864621 0.31689982 0.32355596]";31.64$\pm$2.38;"[0.27335289 0.34826264 0.31926895 0.30573105 0.34544224 0.32197653
 0.32005866 0.29930054 0.34273466 0.28813177]";31.38$\pm$3.46;"[0.32513538 0.35266245 0.29523917 0.36879513 0.32964801 0.30505415
 0.31407942 0.28350632 0.23916968 0.32468412]";29.56$\pm$3.1;"[0.34465253 0.29467509 0.3288583  0.28576264 0.27177347 0.24300542
 0.3025722  0.31396661 0.25349729 0.31757671]"
Hits@50;42.69$\pm$1.96;"[0.45092509 0.45791968 0.40579874 0.41787004 0.41843412 0.39023014
 0.43862816 0.41922383 0.4303926  0.43919224]";44.8$\pm$2.68;"[0.41572653 0.47427798 0.44054603 0.46559116 0.45024819 0.40297834
 0.473037   0.41313177 0.47630866 0.46818592]";42.63$\pm$1.5;"[0.42317238 0.44359206 0.43422834 0.43716155 0.43919224 0.40670126
 0.44133574 0.42463899 0.41674188 0.3963222 ]";43.83$\pm$3.95;"[0.37725632 0.47687274 0.4495713  0.42858755 0.45893502 0.35559567
 0.47687274 0.43806408 0.44618682 0.47529332]";38.96$\pm$2.27;"[0.38763538 0.39970668 0.44787906 0.37962545 0.38898917 0.36146209
 0.36586191 0.3778204  0.39767599 0.38898917]";41.11$\pm$1.79;"[0.38537906 0.4368231  0.39824007 0.4012861  0.42430054 0.40399368
 0.42463899 0.39293773 0.43975632 0.40388087]";41.45$\pm$2.39;"[0.39733755 0.44189982 0.42317238 0.45306859 0.42870036 0.42080325
 0.41504964 0.37578971 0.37748195 0.41211643]";38.23$\pm$3.22;"[0.41301895 0.37703069 0.4211417  0.38977888 0.36766697 0.32897112
 0.39564531 0.40286552 0.3217509  0.40512184]"
Hits@100;48.55$\pm$1.4;"[0.50485108 0.50293321 0.46288357 0.48883123 0.47912906 0.47010379
 0.49751805 0.47123195 0.48104693 0.49672834]";50.85$\pm$2.01;"[0.48330325 0.51816336 0.49842058 0.52560921 0.51365072 0.4758574
 0.52718863 0.48409296 0.52865523 0.53034747]";49.17$\pm$1.05;"[0.49560018 0.50157942 0.49548736 0.49921029 0.4907491  0.47111913
 0.50270758 0.50090253 0.4829648  0.47687274]";50.67$\pm$2.78;"[0.44077166 0.53113718 0.52064531 0.51286101 0.52245036 0.46762184
 0.52639892 0.51410199 0.52436823 0.50676895]";45.97$\pm$1.6;"[0.46344765 0.48409296 0.48883123 0.46006318 0.4659296  0.44314079
 0.45013538 0.44686372 0.45701715 0.43704874]";47.77$\pm$1.93;"[0.44043321 0.50135379 0.47450361 0.47055505 0.49560018 0.47416516
 0.48973375 0.46547834 0.50530235 0.45995036]";48.43$\pm$1.76;"[0.47010379 0.5148917  0.4786778  0.50541516 0.49379513 0.48623646
 0.48533394 0.44979693 0.47100632 0.48725181]";45.39$\pm$2.5;"[0.47348827 0.46796029 0.48172383 0.45115072 0.44257671 0.42125451
 0.44697653 0.47597022 0.40218863 0.4758574 ]"
ROCAUC;77.53$\pm$3.15;"[0.74174868 0.79819898 0.73435218 0.8059848  0.78831609 0.74663362
 0.8145875  0.72889462 0.79765987 0.796707  ]";81.1$\pm$2.44;"[0.77833209 0.8405247  0.79147309 0.84330082 0.80789276 0.77599047
 0.83171032 0.78890519 0.8271112  0.82446899]";80.84$\pm$3.33;"[0.76588378 0.83751923 0.78240404 0.84322089 0.84612718 0.75975952
 0.83731372 0.77449748 0.83500648 0.80252393]";79.51$\pm$3.55;"[0.78188288 0.82354958 0.73892552 0.81441153 0.82416292 0.75934635
 0.81720313 0.7368976  0.8246508  0.82994496]";77.9$\pm$1.83;"[0.75753602 0.79646347 0.78058503 0.79467262 0.7856646  0.78994088
 0.78356504 0.73321779 0.78616568 0.78224134]";77.45$\pm$3.19;"[0.73475128 0.8094334  0.74267946 0.7765897  0.79646394 0.73973962
 0.79947847 0.73385518 0.81983022 0.79261536]";73.58$\pm$1.98;"[0.76785131 0.72557777 0.77094001 0.73017674 0.71957059 0.74833141
 0.7113655  0.74266443 0.72323879 0.71877512]";72.03$\pm$2.55;"[0.75778939 0.70767663 0.75805415 0.6938098  0.70567498 0.73499236
 0.68978964 0.7493499  0.70301918 0.70273088]"
AP;84.1$\pm$1.2;"[0.83144006 0.8514063  0.82486001 0.85173884 0.84327493 0.82987752
 0.85754852 0.82246363 0.84940042 0.8484444 ]";86.16$\pm$1.0;"[0.84704577 0.876149   0.85673074 0.87632391 0.85934512 0.84713705
 0.86804079 0.85454717 0.86479    0.86549658]";86.03$\pm$1.44;"[0.84205457 0.87366016 0.85251268 0.87487751 0.87992761 0.83910114
 0.87175518 0.84770467 0.86980013 0.85130152]";85.38$\pm$1.27;"[0.84956143 0.86540778 0.83387315 0.8592831  0.8653092  0.84003597
 0.86077833 0.83346766 0.8640807  0.86596232]";84.08$\pm$0.82;"[0.83377691 0.84876368 0.84880996 0.84590576 0.8437478  0.84794373
 0.83819816 0.82082328 0.8409799  0.83857448]";84.0$\pm$1.24;"[0.8250801  0.85481539 0.82973141 0.83674488 0.84941943 0.82877212
 0.84839572 0.82299369 0.86001492 0.8438308 ]";82.91$\pm$0.83;"[0.84205289 0.82875973 0.84462145 0.82872196 0.8235537  0.8325074
 0.81711867 0.82797903 0.82172122 0.82354716]";81.86$\pm$1.31;"[0.83916928 0.81437539 0.83972124 0.80606991 0.81119191 0.82050569
 0.80265968 0.83231874 0.8071533  0.81257485]"
pretrain_time;378.32$\pm$78.35;"[472.2608583  316.81333971 473.73314381 317.76637912 317.65695572
 475.63345361 303.62212181 475.01316643 317.46498513 313.26013207]";242.52$\pm$80.22;"[171.52262664 298.57139087 140.79338336 255.90481448 324.35014224
 139.69391012 307.14479589 138.52897716 324.27025962 324.40271497]";136.32$\pm$18.06;"[170.68564248 142.03098679 139.39940548 113.6110208  114.67161274
 139.47447252 134.5024693  159.53336525 135.34548378 113.92419171]";334.91$\pm$38.71;"[267.8967948  326.41632271 342.77143931 303.30880594 325.56093836
 402.50902534 327.27080369 401.85170507 325.89349604 325.64729309]";130.29$\pm$17.74;"[142.89887524 116.8217144  143.27354908 118.21421313 116.91619658
 141.75118876 115.7506125  171.16877031 118.03366685 118.08329344]";312.34$\pm$79.58;"[157.77265167 348.39751625 158.13849783 347.53241897 312.15065098
 388.97127676 348.02433658 375.6296432  338.74966526 347.98559642]";258.69$\pm$90.59;"[153.57666063 280.64783192 153.29989862 265.67524028 336.54118967
 417.93107224 319.50637317 154.06534004 171.4555037  334.1867075 ]";223.15$\pm$81.55;"[148.80905557 324.83943224 150.58268881 352.87015867 205.97925496
 148.77940416 230.63899875 148.82405162 175.23976421 344.97125387]"
