metrics;baseline;grace_random;grace_scom;grace_sbm;agrace_random;agrace_scom;agrace_sbm;âorgrace_random;âorgrace_scom;âorgrace_sbm;csgcl_random;csgcl_scom;csgcl_sbm;bgrl_random;bgrl_scom;bgrl_sbm;abgrl_random;abgrl_scom;abgrl_sbm;âorbgrl_random;âorbgrl_scom;âorbgrl_sbm
Hits@10;11.02$\pm$1.83;12.68$\pm$1.61;12.47$\pm$1.95;22.68$\pm$2.65;12.92$\pm$1.44;13.32$\pm$2.04;23.59$\pm$3.05;12.41$\pm$1.08;12.98$\pm$1.76;22.47$\pm$1.92;12.54$\pm$1.75;12.92$\pm$2.39;22.54$\pm$2.27;11.49$\pm$1.78;11.25$\pm$1.24;14.27$\pm$1.95;14.07$\pm$1.37;14.07$\pm$2.4;15.73$\pm$2.99;14.58$\pm$2.48;13.46$\pm$1.64;15.63$\pm$1.87
Hits@20;14.14$\pm$2.29;15.9$\pm$1.28;16.34$\pm$2.56;28.95$\pm$3.12;16.44$\pm$1.58;15.93$\pm$2.18;27.86$\pm$2.56;15.49$\pm$1.02;16.14$\pm$2.46;28.03$\pm$2.24;15.32$\pm$1.81;16.64$\pm$2.42;26.61$\pm$2.85;15.08$\pm$1.39;14.44$\pm$1.2;17.22$\pm$1.66;18.71$\pm$1.87;18.92$\pm$2.11;18.75$\pm$2.13;18.75$\pm$2.49;17.36$\pm$2.0;19.76$\pm$2.23
Hits@50;21.42$\pm$3.45;23.19$\pm$1.99;23.73$\pm$4.54;38.81$\pm$3.64;21.22$\pm$2.51;24.03$\pm$4.09;36.0$\pm$3.2;21.83$\pm$1.24;24.47$\pm$3.7;35.97$\pm$3.25;22.07$\pm$2.48;24.64$\pm$4.48;36.64$\pm$2.99;22.95$\pm$2.44;21.8$\pm$2.99;22.98$\pm$1.98;28.0$\pm$3.65;28.54$\pm$3.12;27.12$\pm$3.46;28.81$\pm$1.95;27.46$\pm$2.52;28.2$\pm$3.46
Hits@100;36.17$\pm$3.89;32.03$\pm$2.4;35.53$\pm$7.95;49.46$\pm$4.66;30.78$\pm$2.91;36.51$\pm$6.68;45.66$\pm$3.83;29.93$\pm$2.58;36.51$\pm$6.25;45.97$\pm$3.77;33.42$\pm$2.18;36.03$\pm$7.34;48.1$\pm$3.94;34.92$\pm$3.72;33.29$\pm$3.93;33.49$\pm$2.74;40.81$\pm$4.1;42.0$\pm$3.31;36.85$\pm$3.34;40.95$\pm$2.61;39.97$\pm$2.41;40.31$\pm$3.6
ROCAUC;50.36$\pm$2.62;45.97$\pm$1.74;49.9$\pm$7.16;59.61$\pm$2.97;43.88$\pm$2.32;50.72$\pm$6.4;56.5$\pm$2.71;43.82$\pm$1.9;50.63$\pm$6.58;56.43$\pm$3.23;46.26$\pm$1.51;50.92$\pm$7.58;58.26$\pm$3.2;48.37$\pm$3.08;47.7$\pm$3.85;47.61$\pm$2.24;53.24$\pm$2.29;52.83$\pm$1.77;49.5$\pm$2.7;53.28$\pm$2.5;52.07$\pm$2.37;53.61$\pm$2.4
AP;56.33$\pm$2.0;55.55$\pm$1.46;57.35$\pm$4.4;67.3$\pm$2.39;54.57$\pm$1.76;57.68$\pm$3.87;65.81$\pm$2.28;54.4$\pm$1.27;57.82$\pm$3.93;65.65$\pm$2.36;55.56$\pm$1.24;58.04$\pm$4.59;66.24$\pm$2.45;56.04$\pm$1.8;55.25$\pm$2.25;56.53$\pm$1.56;60.24$\pm$2.08;60.1$\pm$1.54;58.64$\pm$2.75;60.48$\pm$2.03;59.16$\pm$1.7;60.85$\pm$1.95
pretrain_time;nan$\pm$nan;4.37$\pm$0.1;4.87$\pm$0.11;106.23$\pm$1.56;6.09$\pm$0.23;6.52$\pm$0.16;107.44$\pm$2.36;6.21$\pm$0.07;6.83$\pm$0.1;108.23$\pm$1.52;4.67$\pm$0.1;5.1$\pm$0.22;106.88$\pm$1.87;4.31$\pm$0.12;4.89$\pm$0.14;106.06$\pm$1.68;5.98$\pm$0.17;6.47$\pm$0.06;108.31$\pm$1.99;5.34$\pm$0.11;5.72$\pm$0.2;106.19$\pm$2.81
