metrics;baseline_enc:gcn_grace_pred:mlp_mean;baseline_enc:gcn_grace_pred:mlp
Hits@10;10.55$\pm$3.2;[0.15174507 0.12822458 0.05918058 0.08801214 0.10015175]
Hits@20;16.12$\pm$2.97;[0.19195751 0.17298938 0.10849772 0.15022762 0.18209408]
Hits@50;23.4$\pm$1.83;[0.25037936 0.23748103 0.19954476 0.23444613 0.24810319]
Hits@100;29.74$\pm$1.51;[0.31259484 0.31031866 0.2723824  0.28831563 0.30349014]
ROCAUC;63.59$\pm$1.21;[0.64334325 0.64788236 0.6173808  0.64520955 0.62565079]
AP;68.33$\pm$1.39;[0.69792522 0.69430213 0.65844466 0.68458483 0.68110705]
pretrain_time;nan$\pm$nan;[]
