metrics;grace_rjc_mean;grace_rjc;grace_raa_mean;grace_raa;grace_rra_mean;grace_rra;grace_raa+scom_mean;grace_raa+scom;grace_raa+deg_mean;grace_raa+deg;grace_sbm+raa_mean;grace_sbm+raa;bgrl_rjc_mean;bgrl_rjc;bgrl_raa_mean;bgrl_raa;bgrl_rra_mean;bgrl_rra;bgrl_raa+scom_mean;bgrl_raa+scom;bgrl_raa+deg_mean;bgrl_raa+deg;bgrl_sbm+raa_mean;bgrl_sbm+raa
Hits@10;82.68$\pm$1.82;"[0.83211679 0.84489051 0.84124088 0.7810219  0.83576642 0.83759124
 0.80656934 0.83211679 0.83029197 0.82664234]";82.54$\pm$1.53;"[0.82664234 0.83211679 0.83759124 0.78649635 0.83394161 0.83941606
 0.80839416 0.83029197 0.83211679 0.82664234]";82.7$\pm$1.44;"[0.83029197 0.84306569 0.83576642 0.79562044 0.82481752 0.83941606
 0.80474453 0.83394161 0.83029197 0.83211679]";82.72$\pm$1.51;"[0.83029197 0.83941606 0.83394161 0.79562044 0.83759124 0.84124088
 0.80109489 0.83576642 0.83029197 0.82664234]";82.19$\pm$2.53;"[0.83941606 0.83211679 0.84306569 0.76277372 0.84306569 0.82481752
 0.80291971 0.83394161 0.79562044 0.84124088]";89.71$\pm$1.03;"[0.89963504 0.91605839 0.89781022 0.87591241 0.8959854  0.90510949
 0.89963504 0.89416058 0.90145985 0.8850365 ]";83.28$\pm$1.68;"[0.83394161 0.84854015 0.84306569 0.80109489 0.84306569 0.8540146
 0.80291971 0.83394161 0.83029197 0.83759124]";82.65$\pm$2.02;"[0.83211679 0.84124088 0.84489051 0.78284672 0.83394161 0.84854015
 0.79562044 0.8229927  0.82664234 0.83576642]";82.72$\pm$1.84;"[0.8229927  0.84489051 0.84489051 0.7919708  0.83211679 0.84671533
 0.79744526 0.82116788 0.83029197 0.83941606]";82.65$\pm$2.0;"[0.82116788 0.84124088 0.84306569 0.77737226 0.83211679 0.84306569
 0.80474453 0.82664234 0.83394161 0.84124088]";83.67$\pm$2.01;"[0.84306569 0.85948905 0.83941606 0.79927007 0.84489051 0.86313869
 0.80109489 0.84306569 0.83576642 0.83759124]";87.21$\pm$1.48;"[0.8850365  0.89233577 0.8649635  0.84671533 0.87591241 0.88686131
 0.84854015 0.8649635  0.87956204 0.87591241]"
Hits@20;83.08$\pm$1.72;"[0.83211679 0.84854015 0.84306569 0.78832117 0.84124088 0.84306569
 0.8120438  0.83394161 0.83759124 0.82846715]";82.96$\pm$1.41;"[0.82664234 0.84124088 0.83759124 0.79744526 0.84124088 0.84671533
 0.8120438  0.83211679 0.83211679 0.82846715]";82.94$\pm$1.53;"[0.83211679 0.84671533 0.83759124 0.79744526 0.82664234 0.84489051
 0.80474453 0.83576642 0.83211679 0.83576642]";83.05$\pm$1.57;"[0.83029197 0.84671533 0.83759124 0.79562044 0.84124088 0.84671533
 0.80839416 0.83759124 0.83394161 0.82664234]";84.11$\pm$1.72;"[0.84671533 0.85766423 0.84489051 0.80656934 0.85583942 0.84671533
 0.80839416 0.84854015 0.84671533 0.84854015]";90.84$\pm$0.98;"[0.90693431 0.91970803 0.89781022 0.89416058 0.91970803 0.91788321
 0.91240876 0.89781022 0.91788321 0.89963504]";83.74$\pm$1.55;"[0.83941606 0.85036496 0.84671533 0.80474453 0.84489051 0.85583942
 0.8120438  0.84124088 0.83759124 0.84124088]";83.08$\pm$1.94;"[0.83211679 0.84671533 0.84489051 0.78467153 0.84306569 0.85036496
 0.80656934 0.82846715 0.83394161 0.83759124]";83.5$\pm$1.73;"[0.83941606 0.84854015 0.84854015 0.79562044 0.84306569 0.84854015
 0.81021898 0.83029197 0.83941606 0.84671533]";83.25$\pm$1.96;"[0.83576642 0.84489051 0.84671533 0.78284672 0.83576642 0.85036496
 0.81021898 0.83576642 0.83941606 0.84306569]";84.05$\pm$2.08;"[0.84671533 0.87043796 0.84306569 0.80474453 0.85036496 0.86313869
 0.80291971 0.84854015 0.83759124 0.83759124]";87.9$\pm$1.46;"[0.8850365  0.8959854  0.8649635  0.85583942 0.88321168 0.90328467
 0.85948905 0.87408759 0.8850365  0.88321168]"
Hits@50;83.5$\pm$1.63;"[0.83394161 0.85583942 0.84671533 0.79562044 0.84489051 0.84489051
 0.81751825 0.83576642 0.84124088 0.83394161]";83.83$\pm$1.23;"[0.83576642 0.84671533 0.83759124 0.8120438  0.8540146  0.85036496
 0.82116788 0.84124088 0.84489051 0.83941606]";83.8$\pm$1.62;"[0.83394161 0.85948905 0.84124088 0.80656934 0.83394161 0.85766423
 0.81386861 0.84124088 0.84854015 0.84306569]";83.81$\pm$1.63;"[0.83759124 0.85583942 0.83941606 0.80291971 0.84671533 0.85583942
 0.81386861 0.84124088 0.84854015 0.83941606]";86.48$\pm$2.27;"[0.87226277 0.88868613 0.84671533 0.84124088 0.88138686 0.87956204
 0.81386861 0.87956204 0.86131387 0.88321168]";92.14$\pm$1.04;"[0.91970803 0.93430657 0.90693431 0.91605839 0.93430657 0.93065693
 0.92335766 0.90693431 0.93065693 0.91058394]";84.31$\pm$1.38;"[0.84671533 0.85583942 0.84854015 0.81021898 0.85036496 0.85948905
 0.82664234 0.84124088 0.84671533 0.84489051]";84.18$\pm$1.39;"[0.83941606 0.85766423 0.84854015 0.8120438  0.85218978 0.85948905
 0.82481752 0.83576642 0.84306569 0.84489051]";84.38$\pm$1.58;"[0.85218978 0.86131387 0.85218978 0.81021898 0.85036496 0.8540146
 0.81751825 0.84124088 0.84854015 0.85036496]";84.23$\pm$1.63;"[0.84124088 0.8649635  0.85766423 0.80474453 0.84306569 0.85583942
 0.82481752 0.84124088 0.84306569 0.84671533]";85.02$\pm$2.23;"[0.85766423 0.89051095 0.8540146  0.81386861 0.85766423 0.87043796
 0.8120438  0.8540146  0.84489051 0.84671533]";88.74$\pm$1.22;"[0.88686131 0.90145985 0.87956204 0.86861314 0.88868613 0.90875912
 0.87043796 0.88138686 0.89416058 0.89416058]"
Hits@100;84.47$\pm$1.36;"[0.84854015 0.85948905 0.84854015 0.8120438  0.84671533 0.8540146
 0.82846715 0.84671533 0.85766423 0.84489051]";84.76$\pm$1.47;"[0.84671533 0.8540146  0.84124088 0.81751825 0.87043796 0.85948905
 0.83029197 0.8540146  0.85948905 0.84306569]";84.84$\pm$1.48;"[0.83941606 0.87226277 0.8540146  0.82846715 0.84854015 0.86861314
 0.8229927  0.84489051 0.85583942 0.84854015]";84.65$\pm$1.43;"[0.84489051 0.8649635  0.84854015 0.81751825 0.85948905 0.85583942
 0.82481752 0.84306569 0.85766423 0.84854015]";89.23$\pm$2.88;"[0.89781022 0.92883212 0.86313869 0.8850365  0.90693431 0.91058394
 0.8229927  0.90145985 0.89051095 0.91605839]";92.99$\pm$0.92;"[0.93978102 0.93978102 0.91423358 0.92883212 0.94160584 0.93613139
 0.9270073  0.91970803 0.93248175 0.91970803]";85.11$\pm$1.37;"[0.8540146  0.86313869 0.86131387 0.81751825 0.85766423 0.8649635
 0.83576642 0.84854015 0.8540146  0.8540146 ]";85.18$\pm$1.2;"[0.85218978 0.8649635  0.85766423 0.82846715 0.85583942 0.86861314
 0.83394161 0.84489051 0.85583942 0.85583942]";85.29$\pm$1.55;"[0.87408759 0.86861314 0.8540146  0.82116788 0.85766423 0.8649635
 0.83029197 0.85583942 0.85218978 0.85036496]";84.93$\pm$1.6;"[0.84489051 0.87226277 0.86131387 0.8120438  0.85036496 0.86313869
 0.83759124 0.84306569 0.84854015 0.85948905]";86.11$\pm$2.38;"[0.86313869 0.90145985 0.87773723 0.82116788 0.86678832 0.88321168
 0.82116788 0.86131387 0.85766423 0.85766423]";89.69$\pm$1.14;"[0.89963504 0.90510949 0.89051095 0.88321168 0.89416058 0.91605839
 0.87956204 0.88686131 0.91058394 0.90328467]"
ROCAUC;89.47$\pm$0.94;"[0.89906561 0.90173957 0.89994139 0.87043463 0.89774695 0.89797172
 0.8862153  0.89245897 0.90466993 0.89668469]";89.75$\pm$0.84;"[0.89577561 0.89088057 0.89866269 0.88232258 0.91313802 0.90415213
 0.88975838 0.90021778 0.90554238 0.89484656]";89.62$\pm$0.91;"[0.882569   0.90764026 0.90193604 0.88801015 0.89523616 0.91122163
 0.88642176 0.89028118 0.90321474 0.89500639]";89.78$\pm$0.82;"[0.9056223  0.90325803 0.89811325 0.88331491 0.90854934 0.90494133
 0.8889825  0.88681136 0.90033766 0.89784685]";93.46$\pm$1.54;"[0.94519221 0.951644   0.92813949 0.92470297 0.94412329 0.93765484
 0.89480993 0.93761488 0.93510576 0.94667737]";95.31$\pm$0.65;"[0.95946774 0.96451596 0.94875526 0.94912489 0.96126592 0.95501891
 0.94982751 0.94707696 0.9523716  0.94344731]";88.77$\pm$1.15;"[0.89336472 0.8862153  0.90228568 0.86282234 0.89922878 0.89686285
 0.8726657  0.88773043 0.88916565 0.88689461]";88.87$\pm$0.95;"[0.8875706  0.89627178 0.89078401 0.88135356 0.90314814 0.89612026
 0.86630881 0.8844704  0.88928552 0.89144001]";88.93$\pm$0.8;"[0.895063   0.8913501  0.89111367 0.87752411 0.90076722 0.89889745
 0.87440727 0.88883431 0.88988825 0.88550602]";89.1$\pm$0.92;"[0.89532274 0.8955958  0.90188276 0.8661856  0.89497975 0.89143501
 0.89696774 0.88672146 0.88916898 0.89169974]";91.27$\pm$1.77;"[0.9131247  0.93141616 0.92597834 0.8826356  0.92678086 0.92904024
 0.87741755 0.91488292 0.9114797  0.91421027]";93.07$\pm$0.8;"[0.92996097 0.93087005 0.92797632 0.92028078 0.93524562 0.93904677
 0.91905869 0.92288814 0.94471935 0.93713703]"
AP;93.36$\pm$0.63;"[0.93693791 0.9405108  0.93833485 0.91921907 0.93637641 0.9353526
 0.92837461 0.92720381 0.93885999 0.93513503]";93.55$\pm$0.53;"[0.93530928 0.93460039 0.93670243 0.92521757 0.94466857 0.94042339
 0.92966956 0.93267438 0.94036163 0.93503075]";93.45$\pm$0.62;"[0.92952066 0.94337012 0.93906421 0.92824513 0.93569937 0.94372341
 0.92791296 0.92550176 0.93648511 0.93543607]";93.48$\pm$0.62;"[0.93895937 0.9409934  0.93747674 0.9254892  0.9417748  0.93846152
 0.92916149 0.92325929 0.93770724 0.93505002]";95.2$\pm$0.9;"[0.95981289 0.95588248 0.95164649 0.94667036 0.96179672 0.94471196
 0.93071741 0.95494106 0.95176136 0.96191108]";96.86$\pm$0.48;"[0.97232378 0.97729471 0.96671344 0.96818143 0.97491424 0.96702269
 0.96449533 0.9621162  0.97075121 0.96259792]";93.27$\pm$0.63;"[0.93618045 0.93519925 0.94097086 0.91857585 0.93918154 0.93225547
 0.92447662 0.93236269 0.93411121 0.93331285]";93.29$\pm$0.64;"[0.93372216 0.93929453 0.93611033 0.92535519 0.94068908 0.93752101
 0.92164705 0.9239974  0.93472999 0.93553849]";93.36$\pm$0.55;"[0.93830874 0.93788618 0.93596364 0.92412327 0.93945402 0.93897122
 0.92487736 0.92891247 0.93529426 0.93265964]";93.31$\pm$0.67;"[0.93611093 0.93999128 0.94150196 0.91821074 0.93651735 0.9310455
 0.93410778 0.92447997 0.93332496 0.93577807]";94.37$\pm$1.05;"[0.94478757 0.95785752 0.95158952 0.92668605 0.95122815 0.95366998
 0.92461931 0.93939605 0.94288771 0.94462971]";95.7$\pm$0.49;"[0.95724003 0.95926738 0.95562308 0.95031188 0.95914346 0.96267605
 0.94996988 0.95105144 0.96412355 0.96033998]"
pretrain_time;16.75$\pm$6.25;"[12.05206418 14.68287492 10.4177742  25.18099594 14.32799673 17.13588738
 11.46140051 29.72384262 21.25283599 11.23611379]";16.61$\pm$6.31;"[13.52816844 29.86983991 27.14205813 11.23453283 10.75582385 14.63145852
 12.25176692 14.45567107 13.76727176 18.46203256]";18.14$\pm$5.67;"[17.73366857 25.16579866 11.489007   11.75569034 23.57732177 13.62147737
 17.09953141 27.35827494 11.91729403 21.67053747]";16.59$\pm$2.56;"[15.17181969 20.26734352 14.64792562 13.837677   15.48196602 14.80338693
 18.05752611 17.03336716 14.73057961 21.91027999]";14.16$\pm$2.23;"[13.25937009 19.39520025 12.75025868 12.48872018 13.07459879 12.55522609
 17.20828629 14.81498528 12.50535369 13.52348471]";732.09$\pm$294.07;"[ 367.34100366  651.61921334  382.71144366  533.96774602  946.98237586
 1068.5579834  1108.83376265 1058.75836706  354.51577592  847.58367801]";11.35$\pm$1.03;"[10.97955728 13.49475193 10.52785277 13.24484777 10.96557403 11.28094053
 10.86422825 10.52073479 10.7898078  10.80915761]";13.23$\pm$3.9;"[20.45455551 10.65658522 12.91395259 10.55652976 11.40539813 13.77375531
 10.52842116 10.56760621 21.00041485 10.39685488]";11.58$\pm$1.6;"[10.64739728 14.44647717 10.30014038 14.05431581 11.04397106 13.43463278
 10.59161544 10.56761241 10.24090052 10.4512589 ]";16.65$\pm$3.76;"[13.62735367 13.24271655 15.19741869 23.82640886 20.00164127 20.70673585
 13.54496694 13.42795229 19.56306243 13.41173792]";15.23$\pm$3.5;"[13.8994751  12.89601159 13.47859073 22.90153003 13.34155822 20.13191581
 13.59617257 17.55370688 12.24318624 12.28385019]";554.87$\pm$91.79;"[540.71460009 691.58931565 505.22616911 619.51411104 545.04258871
 526.74449706 720.67238331 499.07028437 501.33121204 398.81228995]"
