metrics;baseline_enc:gcn_grace_pred:mlp_mean;baseline_enc:gcn_grace_pred:mlp
Hits@10;74.45$\pm$2.73;[0.76705882 0.76470588 0.72705882 0.76470588 0.69882353]
Hits@20;82.68$\pm$1.89;[0.84705882 0.85176471 0.80941176 0.81882353 0.80705882]
Hits@50;89.6$\pm$1.41;[0.90117647 0.92       0.88941176 0.89176471 0.87764706]
Hits@100;94.07$\pm$1.22;[0.96235294 0.94588235 0.93411765 0.92941176 0.93176471]
ROCAUC;94.31$\pm$1.04;[0.95101453 0.9591917  0.93187847 0.9349889  0.93832408]
AP;95.69$\pm$0.52;[0.9592963  0.96607722 0.95327767 0.95269125 0.95311552]
pretrain_time;nan$\pm$nan;[]
