metrics;lbgrl_random_mean;lbgrl_random;lbgrl_deg_mean;lbgrl_deg;lbgrl_pr_mean;lbgrl_pr;lbgrl_evc_mean;lbgrl_evc;lbgrl_scom_mean;lbgrl_scom;lbgrl_random+scom_mean;lbgrl_random+scom;lbgrl_random+deg_mean;lbgrl_random+deg;lbgrl_deg+scom_mean;lbgrl_deg+scom
Hits@10;24.97$\pm$4.47;"[0.3180486  0.2822689  0.25326658 0.25070216 0.25906704 0.28452803
 0.17700574 0.17028941 0.22548541 0.27652949]";24.67$\pm$7.26;"[0.31102699 0.16625962 0.32757357 0.10538527 0.24844303 0.28007083
 0.23855172 0.26187569 0.34637929 0.18146294]";24.16$\pm$6.37;"[0.27140066 0.21205275 0.28184149 0.27280498 0.17895958 0.23934546
 0.1052021  0.26999634 0.35437782 0.23030895]";27.8$\pm$5.3;"[0.34082306 0.2493589  0.3708023  0.19056051 0.27231652 0.24825986
 0.31499573 0.2453291  0.31652216 0.2306753 ]";23.15$\pm$2.92;"[0.25631945 0.18848455 0.25564782 0.24972524 0.21956283 0.25290023
 0.1799365  0.21107583 0.23091953 0.26993528]";25.29$\pm$5.02;"[0.19849799 0.17767737 0.32427647 0.29319819 0.2343998  0.27329344
 0.28342899 0.19239223 0.23470509 0.3171938 ]";20.31$\pm$8.88;"[0.22939309 0.19648309 0.32916107 0.2704848  0.31108804 0.14031017
 0.01813408 0.11539871 0.20582489 0.21449505]";24.08$\pm$8.32;"[0.22365368 0.2311027  0.3801441  0.052021   0.2822689  0.20686286
 0.21498351 0.20863353 0.27921602 0.32916107]"
Hits@20;33.66$\pm$2.9;"[0.36842105 0.37281719 0.3347173  0.32891684 0.3204909  0.37196239
 0.27878862 0.31969715 0.31444621 0.35596532]";33.69$\pm$8.63;"[0.39620222 0.29673953 0.39748443 0.13652461 0.32561973 0.3809989
 0.36353645 0.36463549 0.45707657 0.25027476]";35.71$\pm$7.43;"[0.31749908 0.32891684 0.44852851 0.38698254 0.33679326 0.39223348
 0.17065576 0.39742337 0.43198193 0.35968983]";36.44$\pm$6.05;"[0.44065209 0.32336061 0.44413237 0.27317133 0.36445231 0.39583588
 0.41964831 0.28202467 0.39052387 0.31053853]";33.25$\pm$3.75;"[0.34534131 0.27634632 0.38936378 0.36347539 0.30504335 0.3265356
 0.28892417 0.31249237 0.32629137 0.39113445]";36.35$\pm$3.55;"[0.33972402 0.32580291 0.40896324 0.36860423 0.35651484 0.36304799
 0.40584931 0.2924655  0.37074124 0.40297961]";27.94$\pm$10.51;"[0.2989376  0.30681402 0.4557333  0.34479179 0.34753938 0.23879595
 0.04188546 0.17523507 0.2989376  0.28574918]";31.82$\pm$10.49;"[0.27256075 0.332275   0.4784467  0.07241421 0.37928929 0.24966418
 0.28690927 0.31975821 0.38081573 0.40957382]"
Hits@50;48.57$\pm$2.79;"[0.53321529 0.49334473 0.46116742 0.44846746 0.49676395 0.52228599
 0.4971303  0.4573208  0.45402369 0.4931005 ]";48.02$\pm$9.76;"[0.54304555 0.47142508 0.53468067 0.22719502 0.48119429 0.53993162
 0.48497985 0.56527048 0.55910368 0.3956527 ]";49.14$\pm$6.35;"[0.47276835 0.42740261 0.57442911 0.52662108 0.48070582 0.52637685
 0.33868604 0.51215045 0.52521675 0.52997924]";52.38$\pm$3.44;"[0.53571865 0.51215045 0.55904262 0.46696788 0.50079375 0.54035902
 0.57143729 0.51502015 0.5625229  0.4744169 ]";46.31$\pm$2.58;"[0.49059714 0.43320308 0.486201   0.46415924 0.45194773 0.50867017
 0.4374771  0.43088289 0.44675785 0.48125534]";52.24$\pm$2.74;"[0.50409085 0.51630236 0.54518256 0.53987056 0.44981072 0.52234705
 0.54463304 0.53993162 0.52430089 0.53791672]";40.85$\pm$12.46;"[0.42740261 0.4906582  0.55922579 0.47899621 0.49774087 0.37306142
 0.08181707 0.34167786 0.41696178 0.41714495]";44.34$\pm$12.31;"[0.38002198 0.4837587  0.61381121 0.13225058 0.52277445 0.36903163
 0.45036024 0.47545488 0.49938942 0.50738796]"
Hits@100;59.07$\pm$3.13;"[0.63988277 0.59720357 0.53565759 0.56520943 0.59640982 0.63591403
 0.61466602 0.5629503  0.57851997 0.58035169]";58.97$\pm$10.04;"[0.65026255 0.60733911 0.63090731 0.321651   0.59176945 0.63774576
 0.59060935 0.66485529 0.68744657 0.51398217]";61.11$\pm$6.14;"[0.60587373 0.57009403 0.6657101  0.63487605 0.63188423 0.63542557
 0.44205642 0.63750153 0.64843082 0.63939431]";63.73$\pm$2.64;"[0.6588106  0.62864819 0.66925143 0.59927952 0.60581268 0.63560874
 0.65771156 0.64372939 0.67242643 0.60153865]";57.37$\pm$2.5;"[0.60111125 0.53700085 0.59079253 0.56710221 0.53718403 0.62022225
 0.5613628  0.56520943 0.58328245 0.57412382]";62.3$\pm$2.23;"[0.61545976 0.61826841 0.64403468 0.62480156 0.56264501 0.621016
 0.64147026 0.6417145  0.6287703  0.63188423]";52.48$\pm$14.12;"[0.52057638 0.60782757 0.659238   0.57650507 0.62498474 0.49474905
 0.12681646 0.51935523 0.56624741 0.55128831]";54.45$\pm$12.92;"[0.50097692 0.60129442 0.68329466 0.19159849 0.62486262 0.48992551
 0.56307241 0.59903529 0.58975455 0.60105019]"
ROCAUC;93.98$\pm$0.79;"[0.94750776 0.93377203 0.9228113  0.9437724  0.93589344 0.94743453
 0.94525146 0.93171288 0.94568324 0.944458  ]";94.02$\pm$1.51;"[0.94898473 0.94120258 0.94375163 0.89781626 0.94408487 0.95033328
 0.9456908  0.94756631 0.95146077 0.93136073]";94.59$\pm$0.72;"[0.94817372 0.936527   0.94179188 0.95129905 0.9452726  0.95636388
 0.93237097 0.94305596 0.95102404 0.95317983]";94.79$\pm$0.53;"[0.9525028  0.94099836 0.94441944 0.94813695 0.93941713 0.9532848
 0.95302827 0.94228197 0.95296989 0.95202482]";93.67$\pm$0.61;"[0.94446301 0.92606998 0.93565506 0.93990839 0.93057273 0.94553634
 0.93795036 0.92881379 0.93865686 0.93949579]";94.1$\pm$0.45;"[0.94224585 0.93722109 0.93604769 0.94301442 0.93300108 0.94626778
 0.94693502 0.93789265 0.941966   0.94536158]";91.45$\pm$4.5;"[0.92131443 0.93899007 0.93771958 0.91917883 0.94034989 0.92250903
 0.78152687 0.93470271 0.9233955  0.92521009]";91.99$\pm$2.66;"[0.91513626 0.93969355 0.93934619 0.84523421 0.93899641 0.91429552
 0.92586166 0.93636971 0.92051113 0.92340672]"
AP;95.41$\pm$0.49;"[0.95955861 0.95229661 0.94326394 0.95549019 0.95316288 0.95924531
 0.95670822 0.94803687 0.95682917 0.95643734]";95.32$\pm$1.44;"[0.96017986 0.9563563  0.9590494  0.91210459 0.95781669 0.96057914
 0.95586703 0.96132426 0.96277345 0.94630357]";95.81$\pm$0.62;"[0.95879457 0.95226771 0.95847175 0.96142116 0.95949695 0.96488108
 0.94229249 0.9585746  0.96206589 0.96272847]";96.0$\pm$0.29;"[0.96288433 0.95609955 0.96028179 0.95792756 0.95522423 0.96260658
 0.96290751 0.95782156 0.96346431 0.96086764]";95.15$\pm$0.38;"[0.95673424 0.94523018 0.95317038 0.9522322  0.94692049 0.95763558
 0.95112084 0.94774079 0.95191841 0.95277874]";95.57$\pm$0.24;"[0.95556993 0.9538002  0.95438429 0.95649881 0.95033126 0.9584808
 0.95906214 0.95488303 0.95611547 0.95792731]";93.28$\pm$4.6;"[0.9419277  0.95455525 0.95642591 0.94289836 0.95661382 0.9411132
 0.79582813 0.94837293 0.94475189 0.94557125]";93.91$\pm$2.75;"[0.93821561 0.95488854 0.95762578 0.85941762 0.95549722 0.93594479
 0.94580189 0.95320118 0.94435147 0.94590722]"
pretrain_time;587.69$\pm$142.51;"[405.75532365 761.44560742 760.26313758 510.33642626 758.22192669
 420.48831272 509.15390086 747.77027798 487.23469734 516.26586103]";563.88$\pm$117.18;"[546.79287362 663.83413959 661.94018674 253.08470488 662.35377073
 546.97646379 547.34612894 663.63894391 546.57612324 546.30359006]";556.82$\pm$135.64;"[551.27292299 662.90449548 664.89604878 547.89368939 662.57248926
 528.02276802 185.80342364 662.68691897 550.73988414 551.45017266]";598.3$\pm$55.78;"[554.1029799  666.31389236 666.65015864 552.01333594 665.04916334
 552.33236408 553.52796984 668.40695357 552.68183184 551.91869402]";336.92$\pm$172.92;"[541.61167884 308.72365022 671.3772316  196.81156468 232.56337261
 563.40816712 194.79552102 237.92318082 232.69777536 189.32939553]";584.52$\pm$84.33;"[556.67585039 719.10970187 720.53462768 495.49530935 647.9339776
 558.37921977 452.73321462 603.73677301 557.34696889 533.28807974]";574.26$\pm$151.81;"[547.50888824 711.96210766 714.00530052 546.76506209 713.34354115
 547.43854809 190.00658703 710.19577408 546.66395664 514.74059343]";536.24$\pm$133.65;"[571.63972878 661.08884072 597.99253964 205.64508677 683.82313991
 386.73505592 571.3728385  581.29390907 571.7335341  531.04491138]"
