metrics;bgrl_random+mlp
Hits@10;32.32$\pm$0.0
Hits@20;37.25$\pm$0.0
Hits@50;55.92$\pm$0.0
Hits@100;72.23$\pm$0.0
ROCAUC;91.61$\pm$0.0
AP;91.53$\pm$0.0
pretrain_time;2.6$\pm$0.0
