metrics;baseline_mean;baseline;bgrl_random_mean;bgrl_random
Hits@10;79.19$\pm$5.37;"[0.80352645 0.73803526 0.85894207 0.77833753 0.85642317 0.85138539
 0.7279597  0.81360202 0.697733   0.79345088]";51.41$\pm$10.26;"[0.53904282 0.46599496 0.68261965 0.60453401 0.41561713 0.4861461
 0.47607053 0.66246851 0.34256927 0.46599496]"
Hits@20;89.75$\pm$2.88;"[0.90176322 0.89672544 0.9093199  0.84382872 0.91939547 0.92695214
 0.91435768 0.92443325 0.84382872 0.89420655]";73.12$\pm$6.73;"[0.77581864 0.68261965 0.84130982 0.70780856 0.58438287 0.7884131
 0.74559194 0.7581864  0.74559194 0.68261965]"
Hits@50;94.86$\pm$1.22;"[0.95717884 0.95465995 0.92947103 0.92695214 0.95465995 0.95717884
 0.95717884 0.95465995 0.95969773 0.93450882]";90.93$\pm$1.87;"[0.9093199  0.89924433 0.9395466  0.88413098 0.88916877 0.91687657
 0.90176322 0.94458438 0.9093199  0.89924433]"
Hits@100;96.2$\pm$0.82;"[0.9697733  0.96221662 0.94710327 0.94962217 0.96221662 0.95969773
 0.97481108 0.96473552 0.9697733  0.95969773]";95.52$\pm$0.74;"[0.94962217 0.94962217 0.96725441 0.94962217 0.95214106 0.95717884
 0.94710327 0.96221662 0.96725441 0.94962217]"
ROCAUC;96.04$\pm$0.7;"[0.96981771 0.96170269 0.95168423 0.94712872 0.96376476 0.96377745
 0.97014859 0.96123069 0.95816727 0.95619042]";93.96$\pm$0.69;"[0.94197666 0.93559378 0.95441885 0.92940742 0.92962331 0.93796674
 0.94148029 0.94366842 0.94309218 0.93840513]"
AP;96.75$\pm$0.57;"[0.97437493 0.9698183  0.96555677 0.96049941 0.97426932 0.9692728
 0.97350402 0.96814669 0.95666103 0.9627793 ]";93.29$\pm$1.04;"[0.94111596 0.93632108 0.94874747 0.92866236 0.90801759 0.92345817
 0.93638952 0.93507027 0.93388807 0.93704549]"
pretrain_time;nan$\pm$nan;[];0.0$\pm$0.0;"[0.0001688  0.00015259 0.00015235 0.00028944 0.00017023 0.0001533
 0.00014496 0.00015044 0.00014448 0.00016952]"
