metrics;lbgrl_random_mean;lbgrl_random;lbgrl_deg_mean;lbgrl_deg;lbgrl_pr_mean;lbgrl_pr;lbgrl_evc_mean;lbgrl_evc;lbgrl_scom_mean;lbgrl_scom;lbgrl_random+scom_mean;lbgrl_random+scom;lbgrl_random+deg_mean;lbgrl_random+deg;lbgrl_deg+scom_mean;lbgrl_deg+scom
Hits@10;24.73$\pm$4.58;"[0.24319209 0.14293565 0.30235682 0.31053853 0.22933203 0.22347051
 0.24252045 0.23104164 0.28849676 0.2595555 ]";27.32$\pm$3.62;"[0.2355599  0.19513982 0.32146782 0.29313714 0.27341556 0.27390402
 0.27616315 0.29423617 0.3176212  0.25137379]";28.55$\pm$5.04;"[0.22383685 0.21388448 0.33080962 0.3863109  0.31774331 0.30260105
 0.27201123 0.23568201 0.29698376 0.27512517]";25.43$\pm$4.85;"[0.21321285 0.16589327 0.32323849 0.30131884 0.25937233 0.28306265
 0.24172671 0.26810355 0.29637318 0.19074368]";28.72$\pm$3.08;"[0.30223471 0.24789352 0.31407986 0.35101966 0.29765539 0.27561363
 0.30449383 0.25253389 0.25882281 0.26737086]";27.88$\pm$3.99;"[0.26028819 0.26413481 0.35798022 0.24313103 0.34045671 0.2964953
 0.26743192 0.24429112 0.28330688 0.23024789]";27.65$\pm$4.33;"[0.24294786 0.21846379 0.33612163 0.30351691 0.33068751 0.26218097
 0.30797411 0.22530223 0.307852   0.22957626]";28.54$\pm$3.92;"[0.23024789 0.21821956 0.27555257 0.31756014 0.32891684 0.32391012
 0.30040298 0.24209305 0.3151789  0.30235682]"
Hits@20;34.8$\pm$4.92;"[0.36958115 0.23922335 0.42593723 0.40493345 0.30614239 0.3440591
 0.33636586 0.3334351  0.36994749 0.35040909]";37.39$\pm$2.37;"[0.35388936 0.34717304 0.41134449 0.392783   0.40957382 0.3643302
 0.36927586 0.36567346 0.38496764 0.33954085]";37.88$\pm$4.43;"[0.36848211 0.31127122 0.45780926 0.44449872 0.38350226 0.38173159
 0.39485896 0.3204909  0.37202345 0.3529735 ]";35.86$\pm$5.3;"[0.27097326 0.2875809  0.41116131 0.42837953 0.3367322  0.39833924
 0.36127732 0.37947246 0.40713152 0.30479912]";38.13$\pm$4.14;"[0.38905849 0.30681402 0.41598486 0.43479057 0.35327879 0.33801441
 0.40853584 0.36170473 0.43955306 0.36487972]";39.03$\pm$3.33;"[0.38307486 0.33911344 0.44462083 0.42868482 0.40743681 0.38582244
 0.40505556 0.33196972 0.39455367 0.38222005]";37.42$\pm$3.13;"[0.35468311 0.31188179 0.40755892 0.37336671 0.4021248  0.36982538
 0.39253877 0.3452192  0.42215167 0.36219319]";37.65$\pm$5.11;"[0.3347173  0.28104775 0.36872634 0.41561851 0.4232507  0.41451948
 0.41250458 0.29686164 0.42001465 0.39785078]"
Hits@50;52.48$\pm$2.9;"[0.50726584 0.46269386 0.55598974 0.52735377 0.51025766 0.52082061
 0.54451093 0.54811332 0.56630846 0.50494566]";54.43$\pm$1.4;"[0.55122726 0.52564416 0.55171572 0.56374405 0.53620711 0.54420564
 0.54560996 0.54188546 0.56398828 0.51837831]";54.02$\pm$2.38;"[0.53321529 0.52668213 0.58157284 0.56014165 0.52949078 0.57705459
 0.53010136 0.51166199 0.54255709 0.5097692 ]";52.87$\pm$4.17;"[0.47289046 0.47716449 0.54457199 0.58145073 0.54200757 0.52808646
 0.51440957 0.57455123 0.58108438 0.47075345]";56.06$\pm$2.43;"[0.55586763 0.5426792  0.58303822 0.5942728  0.56844548 0.52057638
 0.57729882 0.5731469  0.57094883 0.51935523]";55.51$\pm$2.33;"[0.55324215 0.53706191 0.57998535 0.54896813 0.53663451 0.56661375
 0.60330932 0.52411772 0.56856759 0.53217731]";53.59$\pm$2.72;"[0.52680425 0.4715472  0.53932104 0.54799121 0.53016241 0.54493833
 0.55482965 0.57058249 0.56203444 0.51068507]";55.89$\pm$2.29;"[0.55733301 0.54066431 0.55537917 0.58108438 0.54890707 0.58261082
 0.56099646 0.53663451 0.60294297 0.52259128]"
Hits@100;65.47$\pm$2.17;"[0.64037123 0.612529   0.65197216 0.65667359 0.64769813 0.63512028
 0.66912932 0.68079131 0.69153743 0.66149713]";66.89$\pm$1.01;"[0.66955672 0.6559409  0.67138845 0.66503847 0.67053364 0.67419709
 0.67670045 0.66516058 0.68921724 0.65111735]";67.11$\pm$1.09;"[0.6759067  0.65038466 0.67676151 0.67895958 0.65667359 0.67828795
 0.6705947  0.68775186 0.67438027 0.6612529 ]";65.89$\pm$2.2;"[0.61924533 0.6396996  0.6652827  0.68201246 0.67682257 0.67206008
 0.64916351 0.68634754 0.66851874 0.62938088]";67.66$\pm$1.3;"[0.66503847 0.67511296 0.69794847 0.67615093 0.66296251 0.65520821
 0.68317255 0.69062157 0.6705947  0.68958359]";68.34$\pm$1.61;"[0.67712785 0.67212114 0.69623886 0.67633411 0.65942117 0.70808402
 0.70899988 0.67865429 0.69068262 0.66662596]";66.6$\pm$2.28;"[0.66851874 0.61729149 0.66601539 0.6799365  0.64806448 0.68720234
 0.69422396 0.66955672 0.68732446 0.64208084]";68.02$\pm$2.05;"[0.65911589 0.6710221  0.67657834 0.68372207 0.65050678 0.68842349
 0.70344364 0.69251435 0.71907437 0.65771156]"
ROCAUC;97.93$\pm$0.11;"[0.97894651 0.97770184 0.97936577 0.97943522 0.97803832 0.97935026
 0.98000924 0.97848826 0.98190776 0.97985291]";97.97$\pm$0.06;"[0.97975039 0.9794126  0.98025632 0.97973902 0.97863632 0.97940089
 0.98012553 0.97970483 0.98089753 0.9791324 ]";97.98$\pm$0.08;"[0.97948607 0.97914303 0.9803859  0.98006538 0.97853278 0.98057144
 0.98001104 0.97978478 0.98101065 0.97864633]";97.95$\pm$0.1;"[0.97776252 0.97918096 0.97997764 0.98035312 0.97905934 0.979373
 0.97989021 0.98008314 0.98108892 0.9778458 ]";97.84$\pm$0.07;"[0.97750036 0.97796684 0.97821252 0.97834118 0.97725602 0.97892173
 0.9789522  0.97889958 0.97979349 0.9781433 ]";97.91$\pm$0.11;"[0.97968926 0.97853191 0.98022503 0.97893662 0.9778327  0.97929316
 0.97923366 0.9775242  0.98134524 0.97886728]";97.99$\pm$0.07;"[0.97976512 0.97908439 0.98044752 0.97960537 0.97957991 0.9802282
 0.98022665 0.9796036  0.9815509  0.97897104]";97.89$\pm$0.08;"[0.97883818 0.9790452  0.97865873 0.97866189 0.97880781 0.97881895
 0.97952316 0.9791734  0.98052346 0.9773259 ]"
AP;98.07$\pm$0.11;"[0.98023962 0.97855233 0.98140693 0.98121323 0.97958448 0.98032891
 0.98088697 0.98042121 0.98295151 0.98095861]";98.11$\pm$0.06;"[0.98107756 0.98076679 0.98165871 0.98130748 0.98049318 0.98099787
 0.98145213 0.98120584 0.98224098 0.9799407 ]";98.12$\pm$0.08;"[0.98097339 0.98014617 0.98234855 0.98199986 0.98030516 0.98199551
 0.98103592 0.98104779 0.98214686 0.97996513]";98.07$\pm$0.12;"[0.97862312 0.97977001 0.98159466 0.98202632 0.98058529 0.98085567
 0.98076242 0.98171647 0.98226096 0.9787591 ]";98.06$\pm$0.06;"[0.97999309 0.97987058 0.98097677 0.98078907 0.97976391 0.98043259
 0.98086245 0.98098445 0.98172851 0.98029306]";98.11$\pm$0.1;"[0.98129362 0.98040191 0.98254848 0.98108096 0.97988999 0.98142414
 0.98119143 0.97971797 0.98270102 0.98034013]";98.13$\pm$0.07;"[0.98113512 0.98015003 0.98194118 0.98149013 0.98125112 0.9816856
 0.98158629 0.98112995 0.98282192 0.98021428]";98.1$\pm$0.07;"[0.98047719 0.98084796 0.98108339 0.98110741 0.9808208  0.9810339
 0.9812403  0.9810751  0.98244687 0.97965848]"
pretrain_time;453.23$\pm$141.06;"[335.67848325 644.11353254 554.95410895 364.774019   640.96866107
 323.04312348 300.33178902 643.95848131 330.19766879 394.2482245 ]";439.94$\pm$71.87;"[398.06066608 544.85965943 522.18023515 401.29940534 497.26373887
 322.30982852 432.80638194 518.20411897 396.01527596 366.40445805]";448.46$\pm$69.92;"[422.68847084 498.5824995  544.16837502 424.59312201 503.36640096
 342.2892189  431.98076272 544.55640221 339.11212873 433.31045437]";443.17$\pm$67.95;"[313.31811976 548.16117358 481.54948616 437.67764902 550.55721354
 384.6654644  438.41641545 401.30898881 439.06606078 436.98618698]";440.62$\pm$70.28;"[439.49065018 549.97239518 320.9729805  413.74187756 548.48902535
 384.58390403 440.47818089 494.22371244 371.76237965 442.50408959]";427.54$\pm$99.68;"[287.41218948 501.97204041 371.39801764 423.21599436 585.83392596
 423.46668077 377.02397704 587.33803296 293.96969128 423.77134585]";430.74$\pm$100.87;"[281.34277892 585.85864854 436.29189086 400.75556803 584.87202334
 350.70132422 419.12700629 540.6614933  343.013062   364.72899795]";432.33$\pm$69.52;"[301.79497194 462.01415968 461.64823079 440.85669374 512.00451922
 441.24436808 407.92781615 551.77306914 393.2519753  350.75640249]"
