metrics;baseline_random+mlp
Hits@10;33.33$\pm$0.0
Hits@20;48.41$\pm$0.0
Hits@50;64.69$\pm$0.0
Hits@100;75.83$\pm$0.0
ROCAUC;98.28$\pm$0.0
pretrain_time;nan$\pm$nan
