metrics;louvain_prob_pred_mean;louvain_prob_pred;grace_sbm_mean;grace_sbm;grace_sbm+random_mean;grace_sbm+random;grace_sbm+deg_mean;grace_sbm+deg;grace_sbm+scom_mean;grace_sbm+scom;bgrl_sbm_mean;bgrl_sbm;bgrl_sbm+random_mean;bgrl_sbm+random;bgrl_sbm+deg_mean;bgrl_sbm+deg;bgrl_sbm+scom_mean;bgrl_sbm+scom
Hits@10;39.56$\pm$4.57;"[0.44065934 0.33296703 0.44395604 0.35494505 0.42197802 0.32967033
 0.41868132 0.45164835 0.35054945 0.41098901]";53.77$\pm$5.24;"[0.59230769 0.46813187 0.58901099 0.59120879 0.5032967  0.52857143
 0.44835165 0.55054945 0.5989011  0.50659341]";56.69$\pm$3.65;"[0.60549451 0.51538462 0.57032967 0.60659341 0.57472527 0.6021978
 0.52747253 0.5978022  0.56373626 0.50549451]";58.4$\pm$3.63;"[0.58131868 0.52197802 0.6010989  0.64395604 0.53956044 0.55934066
 0.6021978  0.60879121 0.62087912 0.56043956]";57.55$\pm$4.11;"[0.58681319 0.49450549 0.60989011 0.57692308 0.56923077 0.6043956
 0.51538462 0.62417582 0.61758242 0.55604396]";65.55$\pm$2.37;"[0.7032967  0.63736264 0.66923077 0.68021978 0.65934066 0.62747253
 0.61978022 0.65934066 0.65494505 0.64395604]";66.41$\pm$3.46;"[0.71208791 0.59010989 0.68241758 0.6967033  0.63406593 0.65494505
 0.63516484 0.69120879 0.66373626 0.68021978]";69.77$\pm$2.75;"[0.75934066 0.65824176 0.68021978 0.7032967  0.71868132 0.71868132
 0.68021978 0.6956044  0.69010989 0.67252747]";66.45$\pm$1.87;"[0.66593407 0.64065934 0.66923077 0.68571429 0.68021978 0.66923077
 0.62087912 0.68131868 0.66593407 0.66593407]"
Hits@20;46.1$\pm$1.77;"[0.46813187 0.43076923 0.45604396 0.49120879 0.47142857 0.44725275
 0.45054945 0.48681319 0.45934066 0.44835165]";59.74$\pm$3.69;"[0.62197802 0.56043956 0.62747253 0.64615385 0.57142857 0.58681319
 0.53516484 0.61538462 0.64505495 0.56373626]";61.49$\pm$2.85;"[0.65934066 0.59450549 0.61318681 0.64175824 0.61538462 0.61758242
 0.57912088 0.62967033 0.63846154 0.56043956]";65.18$\pm$5.46;"[0.71538462 0.56703297 0.63186813 0.66703297 0.57802198 0.74175824
 0.7043956  0.65384615 0.64725275 0.61098901]";62.22$\pm$2.45;"[0.63736264 0.58131868 0.66703297 0.62747253 0.61208791 0.62087912
 0.5956044  0.64835165 0.63186813 0.6       ]";69.02$\pm$2.49;"[0.71868132 0.67692308 0.71428571 0.72197802 0.68791209 0.65714286
 0.64835165 0.71098901 0.69340659 0.67252747]";70.25$\pm$2.71;"[0.74285714 0.64505495 0.70549451 0.74175824 0.67802198 0.6989011
 0.69230769 0.70989011 0.6989011  0.71208791]";73.32$\pm$2.84;"[0.78461538 0.71098901 0.7        0.72307692 0.72967033 0.77692308
 0.75054945 0.73516484 0.72527473 0.6956044 ]";70.73$\pm$1.4;"[0.70879121 0.71538462 0.6967033  0.72527473 0.72197802 0.7
 0.6956044  0.72857143 0.68681319 0.69340659]"
Hits@50;50.24$\pm$1.59;"[0.52857143 0.47142857 0.48901099 0.51868132 0.51208791 0.5
 0.49230769 0.51538462 0.5021978  0.49450549]";65.65$\pm$3.18;"[0.68131868 0.62197802 0.68241758 0.7043956  0.62197802 0.64065934
 0.63626374 0.66483516 0.6967033  0.61428571]";67.64$\pm$1.87;"[0.70659341 0.67142857 0.66593407 0.68021978 0.65494505 0.68351648
 0.65164835 0.70879121 0.68021978 0.66043956]";73.64$\pm$7.46;"[0.86263736 0.67142857 0.68571429 0.72747253 0.65494505 0.83846154
 0.83516484 0.71868132 0.6989011  0.67032967]";69.08$\pm$1.83;"[0.70879121 0.68131868 0.71648352 0.69120879 0.68131868 0.68241758
 0.67252747 0.72417582 0.68351648 0.66593407]";73.53$\pm$1.85;"[0.75934066 0.72747253 0.74835165 0.76703297 0.72197802 0.71208791
 0.72417582 0.75054945 0.72857143 0.71318681]";75.25$\pm$2.42;"[0.79230769 0.71318681 0.75714286 0.78901099 0.71978022 0.75164835
 0.73736264 0.75604396 0.74835165 0.76043956]";78.55$\pm$3.62;"[0.84945055 0.75054945 0.75164835 0.77692308 0.77802198 0.85164835
 0.80879121 0.76703297 0.76263736 0.75824176]";74.91$\pm$1.62;"[0.75274725 0.73956044 0.76703297 0.77362637 0.76263736 0.73626374
 0.72967033 0.76593407 0.73406593 0.72967033]"
Hits@100;53.34$\pm$1.3;"[0.55164835 0.52197802 0.51538462 0.55494505 0.53626374 0.52637363
 0.53076923 0.54615385 0.53186813 0.51868132]";70.84$\pm$2.51;"[0.73956044 0.67252747 0.71318681 0.74175824 0.67692308 0.7
 0.69120879 0.71538462 0.74285714 0.69010989]";72.86$\pm$2.03;"[0.74395604 0.71098901 0.70769231 0.71098901 0.71428571 0.73956044
 0.71758242 0.77692308 0.72747253 0.73626374]";78.6$\pm$7.77;"[0.9021978  0.71758242 0.73846154 0.77252747 0.69340659 0.90659341
 0.89120879 0.76703297 0.74395604 0.72747253]";74.44$\pm$1.4;"[0.74725275 0.75494505 0.75164835 0.73626374 0.74615385 0.73516484
 0.73186813 0.77802198 0.73076923 0.73186813]";77.26$\pm$1.63;"[0.79010989 0.76483516 0.79120879 0.7967033  0.76043956 0.76263736
 0.76263736 0.78351648 0.77142857 0.74285714]";79.52$\pm$1.99;"[0.83186813 0.76483516 0.79230769 0.82197802 0.77252747 0.78131868
 0.78901099 0.8010989  0.78901099 0.80769231]";82.37$\pm$3.46;"[0.88021978 0.79230769 0.79230769 0.82527473 0.81208791 0.87582418
 0.86703297 0.7967033  0.8        0.7956044 ]";78.9$\pm$1.78;"[0.78571429 0.77692308 0.79450549 0.82307692 0.8043956  0.77472527
 0.77912088 0.81208791 0.77252747 0.76703297]"
ROCAUC;73.81$\pm$1.21;"[0.75175583 0.71960995 0.72973078 0.74741939 0.74894699 0.73484
 0.73469509 0.75677092 0.73517934 0.72164956]";86.03$\pm$1.18;"[0.87644548 0.84784144 0.87051463 0.87389808 0.8403502  0.85306243
 0.86126434 0.85842229 0.87129438 0.84976814]";87.75$\pm$0.86;"[0.88470656 0.86816447 0.8668202  0.87787707 0.87109649 0.89099867
 0.87235358 0.89196715 0.87299593 0.87810349]";89.75$\pm$3.13;"[0.94454655 0.86753894 0.87796274 0.89036046 0.85329248 0.94328946
 0.93761261 0.89909854 0.88139363 0.88001449]";88.4$\pm$0.57;"[0.88312885 0.8796812  0.8879133  0.88293503 0.88051745 0.88565511
 0.88447289 0.89651793 0.88567439 0.87350682]";89.13$\pm$0.95;"[0.90181138 0.88512257 0.89886362 0.9044113  0.88836372 0.88289337
 0.89471441 0.89929839 0.88388762 0.87364268]";90.05$\pm$1.17;"[0.91397416 0.88456587 0.90511128 0.91484966 0.88658495 0.89562492
 0.90309745 0.91419756 0.8836543  0.9037109 ]";91.44$\pm$2.06;"[0.9471972  0.89270619 0.89975338 0.91492694 0.90972648 0.94555972
 0.93871573 0.9086632  0.89585101 0.89120819]";90.11$\pm$0.78;"[0.90066659 0.89852916 0.90233078 0.91274484 0.90644125 0.89261925
 0.90443666 0.91243932 0.89156482 0.88972648]"
AP;80.33$\pm$0.84;"[0.814864   0.78948089 0.79882995 0.80967933 0.8104621  0.7981596
 0.80104486 0.81459092 0.80277634 0.7930642 ]";89.37$\pm$1.11;"[0.90834912 0.88236606 0.90286942 0.90860463 0.87957829 0.8885188
 0.88301231 0.89431362 0.90559122 0.88414287]";90.63$\pm$0.69;"[0.91392619 0.89879524 0.90035656 0.90807253 0.90066915 0.91520233
 0.90009399 0.91870503 0.90524947 0.9019591 ]";91.86$\pm$1.86;"[0.94481136 0.89780469 0.90881384 0.91993635 0.88898643 0.94508126
 0.94016671 0.92214056 0.9110477  0.90672928]";91.16$\pm$0.49;"[0.91342543 0.90604914 0.91627208 0.9121903  0.908621   0.91208056
 0.90945753 0.92185934 0.9127659  0.90348558]";92.08$\pm$0.75;"[0.93023313 0.91694331 0.9279594  0.93076874 0.91581918 0.91566032
 0.91997819 0.92700067 0.91717435 0.9067028 ]";92.72$\pm$0.89;"[0.93948594 0.91453866 0.93132236 0.93883003 0.91431938 0.92379176
 0.92684572 0.93608922 0.91887033 0.92819991]";93.74$\pm$1.35;"[0.95849542 0.92285534 0.92772129 0.93850556 0.93329251 0.95873402
 0.95220364 0.93343652 0.92724054 0.92132745]";92.74$\pm$0.58;"[0.92814483 0.92510559 0.93003683 0.9370477  0.93052155 0.92225561
 0.92663694 0.93523492 0.92110153 0.91778363]"
pretrain_time;nan$\pm$nan;[];734.95$\pm$66.8;"[687.23788333 755.40273142 787.0081048  613.4454844  728.98470426
 739.46397853 736.7852881  850.73237705 651.74419928 798.71438909]";778.29$\pm$103.07;"[692.96794844 817.44290233 934.42436552 943.76886272 737.90123749
 675.10442495 858.32915592 622.33536649 773.66316533 726.92428565]";868.18$\pm$199.95;"[1208.52614689  743.77813888  875.73824239  656.38436007  768.60307097
 1042.42757154 1199.74681067  628.41532969  782.14184403  776.04516172]";744.73$\pm$72.99;"[675.69201493 743.94005823 833.46024013 710.29921246 719.43761802
 743.18480587 730.18664265 627.0609436  763.06797075 900.9638741 ]";660.38$\pm$53.66;"[719.82051587 703.65292692 621.88839531 613.75101137 660.54758263
 639.44560814 640.0613215  573.70961332 663.99295282 766.96737337]";660.27$\pm$61.88;"[752.51281834 755.93422055 623.03418255 615.40997386 739.95473504
 630.24233913 657.9420023  571.54269099 624.44832206 631.66034102]";737.31$\pm$105.72;"[862.76903677 732.10814548 624.82002044 618.03062963 674.26692271
 889.8451767  845.0549705  601.697932   689.33592367 835.15478802]";679.98$\pm$50.48;"[708.25618744 735.57635832 680.90794539 628.20918655 775.02908945
 636.50975561 638.08089852 605.8142035  706.66776586 684.76844835]"
