metrics;louvain_prob_pred_mean;louvain_prob_pred;grace_sbm_mean;grace_sbm;grace_sbm+random_mean;grace_sbm+random;grace_sbm+deg_mean;grace_sbm+deg;grace_sbm+scom_mean;grace_sbm+scom;grace_sbm2_mean;grace_sbm2;bgrl_sbm_mean;bgrl_sbm;bgrl_sbm+random_mean;bgrl_sbm+random;bgrl_sbm+deg_mean;bgrl_sbm+deg;bgrl_sbm+scom_mean;bgrl_sbm+scom;bgrl_sbm2_mean;bgrl_sbm2
Hits@10;11.53$\pm$1.47;"[0.12542373 0.13220339 0.10508475 0.13220339 0.09830508 0.11525424
 0.11186441 0.1220339  0.08474576 0.12542373]";18.88$\pm$2.91;"[0.18983051 0.18644068 0.18644068 0.26101695 0.19322034 0.16949153
 0.21355932 0.17288136 0.16271186 0.15254237]";22.68$\pm$3.49;"[0.26440678 0.18305085 0.21694915 0.30169492 0.22033898 0.18644068
 0.24067797 0.2440678  0.2        0.21016949]";18.98$\pm$4.03;"[0.24745763 0.11525424 0.21355932 0.2        0.16949153 0.16271186
 0.17966102 0.25084746 0.20677966 0.15254237]";22.17$\pm$3.76;"[0.28813559 0.19322034 0.26101695 0.26101695 0.18983051 0.18983051
 0.25423729 0.2        0.2        0.17966102]";18.2$\pm$5.57;"[0.23728814 0.16610169 0.25762712 0.13559322 0.16271186 0.10508475
 0.15254237 0.26101695 0.22711864 0.11525424]";17.02$\pm$2.9;"[0.18983051 0.13559322 0.17966102 0.22033898 0.20338983 0.12542373
 0.18305085 0.16271186 0.15932203 0.14237288]";18.14$\pm$1.92;"[0.19661017 0.16949153 0.17627119 0.21355932 0.16949153 0.16949153
 0.2        0.18644068 0.18983051 0.14237288]";14.85$\pm$3.24;"[0.20338983 0.10847458 0.16271186 0.13220339 0.14237288 0.11186441
 0.13220339 0.18983051 0.18305085 0.11864407]";19.39$\pm$2.28;"[0.21016949 0.16949153 0.2        0.23728814 0.17627119 0.16610169
 0.20338983 0.22033898 0.17288136 0.18305085]";20.2$\pm$3.26;"[0.23389831 0.14576271 0.16949153 0.17627119 0.24745763 0.17627119
 0.22711864 0.19661017 0.23728814 0.21016949]"
Hits@20;14.47$\pm$2.09;"[0.15254237 0.16610169 0.11525424 0.15254237 0.11186441 0.17627119
 0.1559322  0.14915254 0.11864407 0.14915254]";23.12$\pm$3.72;"[0.26440678 0.22033898 0.24067797 0.30508475 0.26101695 0.19322034
 0.24067797 0.21694915 0.19322034 0.17627119]";25.59$\pm$3.97;"[0.30508475 0.21694915 0.22372881 0.33898305 0.23728814 0.22711864
 0.27457627 0.28135593 0.22372881 0.23050847]";23.42$\pm$3.99;"[0.30169492 0.15932203 0.27118644 0.2440678  0.21694915 0.20677966
 0.2        0.27118644 0.25423729 0.21694915]";26.37$\pm$3.94;"[0.33220339 0.22711864 0.28813559 0.28474576 0.27457627 0.23728814
 0.30847458 0.25762712 0.23050847 0.19661017]";25.97$\pm$4.39;"[0.2779661  0.19661017 0.3220339  0.23389831 0.26101695 0.19661017
 0.25084746 0.3220339  0.30169492 0.23389831]";20.27$\pm$2.86;"[0.23728814 0.16949153 0.22711864 0.23728814 0.23389831 0.17627119
 0.21355932 0.19322034 0.16949153 0.16949153]";21.05$\pm$2.18;"[0.22711864 0.19661017 0.21016949 0.24067797 0.2        0.18305085
 0.21694915 0.23050847 0.23050847 0.16949153]";17.05$\pm$3.33;"[0.22711864 0.1220339  0.16949153 0.18983051 0.1559322  0.14237288
 0.1559322  0.22033898 0.18644068 0.13559322]";22.0$\pm$2.42;"[0.23050847 0.18305085 0.23389831 0.26440678 0.2        0.21355932
 0.22711864 0.2440678  0.21694915 0.18644068]";27.86$\pm$3.85;"[0.3220339  0.23389831 0.25084746 0.26101695 0.33559322 0.22033898
 0.32542373 0.26779661 0.30508475 0.26440678]"
Hits@50;23.36$\pm$2.73;"[0.23050847 0.26101695 0.18305085 0.23050847 0.21016949 0.28474576
 0.25423729 0.23389831 0.21016949 0.23728814]";31.53$\pm$4.0;"[0.3220339  0.27457627 0.33559322 0.38644068 0.35254237 0.31864407
 0.3220339  0.30508475 0.30508475 0.23050847]";33.69$\pm$4.59;"[0.39661017 0.28474576 0.31525424 0.4        0.33220339 0.2779661
 0.38305085 0.37966102 0.29152542 0.30847458]";32.37$\pm$3.48;"[0.36949153 0.25762712 0.36949153 0.34237288 0.33898305 0.30847458
 0.29491525 0.34915254 0.31864407 0.28813559]";36.07$\pm$4.89;"[0.44745763 0.3220339  0.43728814 0.38305085 0.34237288 0.31186441
 0.37627119 0.36610169 0.32542373 0.29491525]";38.2$\pm$4.14;"[0.37627119 0.37627119 0.4        0.38305085 0.37966102 0.2779661
 0.36949153 0.43728814 0.43389831 0.38644068]";26.92$\pm$2.38;"[0.30847458 0.24745763 0.2779661  0.28813559 0.28474576 0.21694915
 0.26779661 0.27457627 0.25423729 0.27118644]";26.64$\pm$3.0;"[0.30169492 0.24745763 0.25423729 0.28474576 0.27457627 0.25762712
 0.30847458 0.28474576 0.25084746 0.2       ]";22.37$\pm$4.35;"[0.31186441 0.17966102 0.21694915 0.24745763 0.20338983 0.20677966
 0.18983051 0.27457627 0.2440678  0.16271186]";27.42$\pm$3.11;"[0.29830508 0.22711864 0.27457627 0.33898305 0.26440678 0.25762712
 0.28813559 0.29830508 0.25423729 0.24067797]";40.64$\pm$3.76;"[0.44745763 0.37627119 0.37627119 0.40338983 0.42711864 0.35254237
 0.48135593 0.39322034 0.43050847 0.37627119]"
Hits@100;40.27$\pm$4.03;"[0.38305085 0.41694915 0.32542373 0.37627119 0.38983051 0.49491525
 0.41694915 0.40338983 0.41355932 0.40677966]";43.49$\pm$5.18;"[0.45423729 0.4        0.43050847 0.5220339  0.43389831 0.45423729
 0.49491525 0.4440678  0.38644068 0.32881356]";46.34$\pm$5.11;"[0.53559322 0.37966102 0.4440678  0.53898305 0.46440678 0.43389831
 0.48813559 0.51186441 0.41694915 0.42033898]";44.27$\pm$2.89;"[0.46440678 0.36949153 0.46440678 0.4440678  0.4440678  0.44067797
 0.43050847 0.48135593 0.45762712 0.43050847]";47.93$\pm$3.54;"[0.54915254 0.45762712 0.51525424 0.44067797 0.4440678  0.47457627
 0.51525424 0.49152542 0.46440678 0.44067797]";49.73$\pm$4.25;"[0.47118644 0.51525424 0.51186441 0.52881356 0.49491525 0.42033898
 0.46779661 0.58983051 0.49830508 0.47457627]";35.42$\pm$3.24;"[0.39322034 0.31864407 0.33898305 0.41016949 0.39322034 0.30847458
 0.35254237 0.35254237 0.32881356 0.34576271]";36.37$\pm$3.08;"[0.40677966 0.34576271 0.32881356 0.36271186 0.36949153 0.41016949
 0.37627119 0.38305085 0.34576271 0.30847458]";29.83$\pm$4.67;"[0.39661017 0.24745763 0.30169492 0.31525424 0.2779661  0.27118644
 0.28474576 0.32542373 0.33898305 0.22372881]";35.39$\pm$4.73;"[0.40677966 0.28135593 0.31525424 0.43728814 0.35932203 0.33559322
 0.39661017 0.37627119 0.32542373 0.30508475]";56.31$\pm$3.71;"[0.61694915 0.52542373 0.50847458 0.5559322  0.54915254 0.55254237
 0.63728814 0.54576271 0.57966102 0.55932203]"
ROCAUC;54.67$\pm$2.41;"[0.53694915 0.56235564 0.50041942 0.55346165 0.53899454 0.60122953
 0.55120942 0.53201953 0.54178684 0.54830221]";56.42$\pm$3.4;"[0.55951738 0.53426027 0.57036484 0.62338409 0.56431485 0.58074117
 0.60814708 0.57052571 0.52296467 0.50821028]";58.34$\pm$2.95;"[0.6259006  0.53607584 0.55927607 0.61960356 0.57489227 0.58108589
 0.61896007 0.59970124 0.56045964 0.55794312]";57.01$\pm$3.2;"[0.62384372 0.50648664 0.5967021  0.56144786 0.55264005 0.554605
 0.56233841 0.60081586 0.59343867 0.54899741]";59.27$\pm$2.69;"[0.65237575 0.56187302 0.60948003 0.55891985 0.58098248 0.59043953
 0.61082448 0.59359954 0.60273485 0.56614766]";58.11$\pm$2.63;"[0.56143637 0.57801781 0.59655271 0.59863258 0.57848894 0.53161735
 0.56379201 0.63086469 0.60402183 0.56717035]";47.5$\pm$2.69;"[0.51115197 0.43789716 0.46021258 0.50709566 0.50131571 0.44501005
 0.49945418 0.47790865 0.44316001 0.46681988]";49.19$\pm$2.16;"[0.51447285 0.46639471 0.46613042 0.50855501 0.50229244 0.51202528
 0.50240735 0.50917552 0.48537777 0.45192761]";44.03$\pm$3.49;"[0.51659868 0.39199081 0.45212295 0.43874749 0.42677392 0.42160299
 0.42459063 0.46536053 0.46715312 0.39801207]";48.31$\pm$3.62;"[0.514289   0.41755817 0.45908647 0.54926745 0.48534329 0.478736
 0.52213732 0.48910083 0.46206263 0.45342143]";62.92$\pm$2.8;"[0.6652686  0.61644355 0.58339558 0.63401321 0.63540362 0.61496122
 0.68699799 0.61429474 0.63271474 0.60891698]"
AP;58.5$\pm$2.08;"[0.58297259 0.60326318 0.54069441 0.5928015  0.57195378 0.62328481
 0.59453544 0.57997246 0.57118668 0.58900899]";63.61$\pm$2.93;"[0.64059737 0.62191052 0.64215764 0.69570617 0.63547165 0.63333368
 0.66517302 0.63873086 0.60671576 0.58077972]";65.74$\pm$2.72;"[0.69066591 0.61920318 0.64239917 0.70470784 0.65725579 0.63420655
 0.6826303  0.67125789 0.63166742 0.63952376]";63.87$\pm$3.39;"[0.6838103  0.5658323  0.66976343 0.645772   0.6314288  0.61757744
 0.63074189 0.67551715 0.65784    0.60914774]";66.58$\pm$2.57;"[0.71578545 0.64439475 0.69548559 0.66059554 0.65739888 0.64331891
 0.69352053 0.66254248 0.65436956 0.63056408]";65.46$\pm$3.01;"[0.65380633 0.64375585 0.6872086  0.65487269 0.64093128 0.59908806
 0.64559588 0.71124011 0.68027799 0.6293919 ]";58.45$\pm$2.51;"[0.6146229  0.55413921 0.58783203 0.61988672 0.60492923 0.54058999
 0.60091374 0.58607849 0.56380012 0.57197915]";59.33$\pm$1.82;"[0.61290462 0.57991349 0.58571411 0.61416739 0.59235676 0.58917316
 0.61240548 0.60277987 0.59276672 0.55114172]";55.06$\pm$3.62;"[0.62062197 0.50819349 0.56260748 0.55719476 0.53370318 0.51782821
 0.53634023 0.58779067 0.57994423 0.50141438]";59.36$\pm$2.7;"[0.61604824 0.54962215 0.58989713 0.6461719  0.58417908 0.57340456
 0.61970853 0.60537803 0.58281984 0.56843316]";68.58$\pm$2.4;"[0.7155217  0.66105312 0.65566917 0.68061143 0.70100069 0.66254816
 0.7331586  0.67755384 0.69616579 0.67442713]"
pretrain_time;nan$\pm$nan;[];383.72$\pm$156.15;"[245.72109866 252.99420381 367.06603909 348.6988852  627.29723954
 609.60779548 266.94360399 280.23565269 233.67959309 605.00447893]";462.98$\pm$159.59;"[255.2738893  633.5790143  661.04080534 261.35314584 394.95080662
 424.79412246 611.50310135 483.76793909 643.77897286 259.72615123]";476.79$\pm$165.76;"[645.03089499 227.76426625 663.45129657 623.5917449  264.82495427
 358.26727223 302.74169183 459.59414458 645.07960796 577.56439543]";458.36$\pm$140.93;"[394.58604908 634.71125054 491.84896731 456.27949166 251.87167311
 595.98506784 328.95377803 243.64399505 563.42671061 622.26682305]";696.93$\pm$243.89;"[1236.86111522  630.17377734  579.89361501  402.24660158  835.44212103
  805.60904408  885.52891326  469.24001765  414.5814364   709.70146942]";237.56$\pm$57.4;"[214.78467989 403.01044106 223.32153463 208.07365775 212.96486831
 208.73793983 204.86171579 216.85805178 218.92300463 264.05821061]";319.06$\pm$134.4;"[219.77583241 475.90981984 240.3032074  211.57501221 612.81801748
 359.47223163 209.25041723 221.31706524 222.92133832 417.25220537]";235.89$\pm$46.15;"[218.99765062 228.21794415 373.49329948 218.51127267 228.29831147
 214.85616899 217.68737483 223.83094835 223.05424356 211.9353931 ]";326.92$\pm$145.72;"[220.57045197 354.36036158 228.89129877 213.6137042  219.03190136
 624.33662558 550.52912736 224.7185111  224.22403264 408.9702394 ]";644.39$\pm$189.99;"[ 755.28974986  785.39325452  436.28413796  410.38694429  646.44133377
 1009.75175858  637.68469644  510.75184488  427.67024565  824.21371746]"
