metrics;baseline_random+mlp
Hits@10;8.83$\pm$0.0
Hits@20;11.67$\pm$0.0
Hits@50;24.45$\pm$0.0
Hits@100;33.02$\pm$0.0
ROCAUC;97.3$\pm$0.0
pretrain_time;nan$\pm$nan
