metrics;baseline_enc:gcn_grace_pred:mlp_mean;baseline_enc:gcn_grace_pred:mlp
Hits@10;15.81$\pm$2.82;[0.12390088 0.1598721  0.19184652 0.186251   0.12869704]
Hits@20;21.81$\pm$1.38;[0.20143885 0.21822542 0.23501199 0.23181455 0.20383693]
Hits@50;32.28$\pm$2.97;[0.37010392 0.28217426 0.30295763 0.32454037 0.33413269]
Hits@100;41.95$\pm$2.44;[0.45163869 0.38848921 0.41726619 0.44204636 0.39808153]
ROCAUC;66.06$\pm$5.43;[0.6454571  0.67445708 0.74274266 0.66666794 0.57388813]
AP;73.7$\pm$3.05;[0.73186736 0.73597318 0.78355635 0.74555402 0.68828373]
pretrain_time;nan$\pm$nan;[]
