metrics;lgrace_random_mean;lgrace_random;lgrace_deg_mean;lgrace_deg;lgrace_raa_mean;lgrace_raa;lgrace_sbm+random_mean;lgrace_sbm+random;lgrace_sbm+deg_mean;lgrace_sbm+deg;lgrace_sbm+raa_mean;lgrace_sbm+raa;lbgrl_random_mean;lbgrl_random;lbgrl_deg_mean;lbgrl_deg;lbgrl_raa_mean;lbgrl_raa;lbgrl_sbm+random_mean;lbgrl_sbm+random;lbgrl_sbm+deg_mean;lbgrl_sbm+deg;lbgrl_sbm+raa_mean;lbgrl_sbm+raa
Hits@10;82.19$\pm$1.59;"[0.81934307 0.83576642 0.83211679 0.78284672 0.83394161 0.83211679
 0.81021898 0.83759124 0.81386861 0.82116788]";80.55$\pm$2.19;"[0.80474453 0.81934307 0.82116788 0.75364964 0.77554745 0.81934307
 0.80839416 0.81934307 0.80839416 0.82481752]";82.45$\pm$1.37;"[0.81934307 0.83759124 0.83759124 0.79562044 0.84306569 0.82481752
 0.8120438  0.83576642 0.82116788 0.81751825]";74.0$\pm$3.87;"[0.75364964 0.65875912 0.77372263 0.67153285 0.74087591 0.75182482
 0.76824818 0.76642336 0.74817518 0.76642336]";70.73$\pm$5.71;"[0.75182482 0.72992701 0.62226277 0.6149635  0.73357664 0.71532847
 0.77919708 0.75729927 0.6350365  0.73357664]";78.83$\pm$1.64;"[0.79562044 0.81751825 0.79562044 0.77737226 0.7810219  0.76277372
 0.79744526 0.7919708  0.76277372 0.80109489]";83.05$\pm$1.55;"[0.82846715 0.85218978 0.83211679 0.79927007 0.84489051 0.84671533
 0.81021898 0.8229927  0.83394161 0.83394161]";65.04$\pm$9.7;"[0.73540146 0.75912409 0.66970803 0.6459854  0.69343066 0.60218978
 0.80656934 0.49087591 0.56569343 0.53467153]";82.66$\pm$1.97;"[0.82664234 0.84671533 0.82846715 0.78284672 0.84671533 0.84489051
 0.79927007 0.82846715 0.83394161 0.82846715]";78.36$\pm$2.77;"[0.74452555 0.79562044 0.83576642 0.74635036 0.75       0.79744526
 0.78649635 0.78284672 0.79014599 0.80656934]";73.07$\pm$4.89;"[0.72080292 0.69708029 0.78649635 0.64416058 0.65145985 0.75364964
 0.77007299 0.77372263 0.77372263 0.73540146]";80.88$\pm$2.68;"[0.80839416 0.82846715 0.84854015 0.75729927 0.79014599 0.83029197
 0.77189781 0.80656934 0.82116788 0.82481752]"
Hits@20;83.23$\pm$1.72;"[0.83394161 0.8540146  0.83211679 0.79014599 0.83759124 0.84671533
 0.81386861 0.83941606 0.83394161 0.84124088]";82.77$\pm$1.99;"[0.83576642 0.83576642 0.83394161 0.77189781 0.83211679 0.84124088
 0.81751825 0.83576642 0.82846715 0.84489051]";83.74$\pm$1.22;"[0.84124088 0.84306569 0.84306569 0.8120438  0.85218978 0.84854015
 0.81751825 0.83759124 0.83576642 0.84306569]";79.01$\pm$1.54;"[0.79744526 0.79014599 0.79379562 0.75       0.77737226 0.79562044
 0.79744526 0.79744526 0.7919708  0.81021898]";77.17$\pm$3.79;"[0.78832117 0.78649635 0.80474453 0.68065693 0.7810219  0.78832117
 0.80474453 0.78467153 0.7189781  0.77919708]";81.42$\pm$1.3;"[0.81751825 0.83759124 0.81751825 0.79927007 0.80291971 0.83211679
 0.80109489 0.82116788 0.79927007 0.81386861]";83.5$\pm$1.57;"[0.83394161 0.8540146  0.83759124 0.80109489 0.84854015 0.8540146
 0.81569343 0.83029197 0.83941606 0.83576642]";72.46$\pm$8.64;"[0.79014599 0.80291971 0.75547445 0.72810219 0.78467153 0.70985401
 0.80839416 0.51642336 0.72080292 0.62956204]";83.01$\pm$1.95;"[0.82846715 0.85218978 0.83029197 0.79014599 0.84671533 0.85036496
 0.79927007 0.83576642 0.83394161 0.83394161]";83.12$\pm$3.13;"[0.79014599 0.85036496 0.88686131 0.8229927  0.79014599 0.85583942
 0.84124088 0.80109489 0.8120438  0.86131387]";78.89$\pm$4.06;"[0.74452555 0.73357664 0.85766423 0.73905109 0.76277372 0.79379562
 0.82481752 0.79014599 0.8120438  0.83029197]";85.55$\pm$1.94;"[0.85583942 0.87773723 0.86678832 0.82481752 0.83576642 0.88686131
 0.84854015 0.83211679 0.85583942 0.87043796]"
Hits@50;84.71$\pm$1.61;"[0.85218978 0.86678832 0.84306569 0.81751825 0.86313869 0.86131387
 0.81934307 0.84671533 0.8540146  0.84671533]";85.04$\pm$1.61;"[0.86131387 0.8649635  0.84854015 0.81569343 0.8649635  0.85948905
 0.83029197 0.8540146  0.83941606 0.8649635 ]";85.09$\pm$1.19;"[0.85218978 0.85036496 0.85036496 0.84489051 0.86861314 0.86861314
 0.82664234 0.83941606 0.85583942 0.85218978]";82.99$\pm$2.2;"[0.80656934 0.8649635  0.82846715 0.7810219  0.84306569 0.84306569
 0.8229927  0.83576642 0.82846715 0.84489051]";82.52$\pm$2.6;"[0.82481752 0.84671533 0.85766423 0.7810219  0.83576642 0.84671533
 0.82481752 0.82664234 0.77372263 0.83394161]";83.47$\pm$1.26;"[0.84306569 0.84671533 0.84124088 0.81386861 0.82664234 0.84854015
 0.81569343 0.82846715 0.85036496 0.83211679]";84.25$\pm$1.72;"[0.84306569 0.85766423 0.84124088 0.80474453 0.8540146  0.86861314
 0.8229927  0.83759124 0.85036496 0.84489051]";82.1$\pm$4.49;"[0.87226277 0.84854015 0.81569343 0.82664234 0.85036496 0.88321168
 0.81934307 0.75547445 0.80291971 0.73540146]";84.14$\pm$1.94;"[0.84671533 0.86678832 0.84124088 0.80291971 0.85218978 0.8540146
 0.80656934 0.84854015 0.84671533 0.84854015]";88.56$\pm$1.85;"[0.86861314 0.90693431 0.90510949 0.85036496 0.89233577 0.91058394
 0.87591241 0.87043796 0.88321168 0.89233577]";87.5$\pm$1.54;"[0.85218978 0.88686131 0.8850365  0.86313869 0.88686131 0.89416058
 0.8540146  0.8649635  0.89416058 0.86861314]";88.54$\pm$1.89;"[0.88686131 0.8959854  0.87956204 0.86313869 0.87408759 0.92518248
 0.86131387 0.87226277 0.90693431 0.88868613]"
Hits@100;86.37$\pm$1.57;"[0.87043796 0.8850365  0.85218978 0.84306569 0.88321168 0.87591241
 0.83576642 0.87043796 0.86313869 0.85766423]";87.15$\pm$1.6;"[0.88321168 0.87591241 0.8540146  0.85218978 0.89051095 0.88686131
 0.84306569 0.87226277 0.86861314 0.88868613]";87.46$\pm$1.16;"[0.89051095 0.88138686 0.87226277 0.86861314 0.87226277 0.8959854
 0.86131387 0.85766423 0.86678832 0.87956204]";85.05$\pm$2.03;"[0.84671533 0.88321168 0.84124088 0.80839416 0.86861314 0.86678832
 0.82846715 0.85036496 0.85036496 0.86131387]";85.66$\pm$1.94;"[0.85583942 0.87591241 0.88321168 0.8229927  0.86861314 0.87773723
 0.83394161 0.85766423 0.83576642 0.8540146 ]";85.07$\pm$1.77;"[0.86313869 0.8649635  0.8540146  0.81751825 0.84306569 0.87226277
 0.82481752 0.84124088 0.86861314 0.85766423]";86.31$\pm$1.72;"[0.8649635  0.87408759 0.87591241 0.83211679 0.8649635  0.89233577
 0.83394161 0.86313869 0.86678832 0.86313869]";87.34$\pm$3.47;"[0.89051095 0.90875912 0.87226277 0.88868613 0.89963504 0.92153285
 0.82846715 0.87773723 0.83029197 0.81569343]";85.86$\pm$1.91;"[0.8540146  0.87773723 0.86131387 0.82481752 0.86313869 0.8649635
 0.82116788 0.87773723 0.87226277 0.86861314]";90.27$\pm$1.52;"[0.89963504 0.92335766 0.91058394 0.87408759 0.91240876 0.92153285
 0.8850365  0.89051095 0.89963504 0.91058394]";89.62$\pm$1.47;"[0.88868613 0.91240876 0.89781022 0.89781022 0.91240876 0.91240876
 0.87408759 0.87043796 0.90693431 0.88868613]";90.42$\pm$2.07;"[0.91970803 0.90328467 0.88868613 0.87956204 0.91605839 0.93978102
 0.87226277 0.88868613 0.9270073  0.90693431]"
ROCAUC;91.77$\pm$0.76;"[0.91378403 0.92586179 0.91666112 0.91097688 0.92101337 0.92803792
 0.90208589 0.92639126 0.91698412 0.9151926 ]";92.28$\pm$1.04;"[0.92813949 0.93032227 0.9254289  0.90609349 0.93640444 0.92666931
 0.9027652  0.91619992 0.92622975 0.92952641]";92.8$\pm$0.82;"[0.93252837 0.93504249 0.92676088 0.92738025 0.92991435 0.9435855
 0.92250852 0.91183934 0.92067372 0.92988105]";89.36$\pm$1.27;"[0.89535937 0.91130987 0.88907574 0.87058447 0.90659798 0.89922046
 0.87829    0.88851963 0.90942179 0.88803013]";90.28$\pm$1.32;"[0.90198266 0.9107571  0.91787322 0.88431889 0.91149635 0.92151287
 0.89126352 0.91047738 0.8816466  0.89659978]";89.52$\pm$1.14;"[0.90635489 0.90484975 0.90077388 0.8818464  0.89393248 0.90850105
 0.87402765 0.8816466  0.90255208 0.89760376]";94.21$\pm$1.97;"[0.94989744 0.95662395 0.94609462 0.93838244 0.94559513 0.96326556
 0.88669815 0.94427314 0.94875859 0.94173571]";92.67$\pm$2.58;"[0.94217859 0.95340888 0.93390697 0.94053359 0.94844891 0.95483077
 0.87946547 0.91229221 0.91535744 0.88637847]";93.62$\pm$2.27;"[0.94204206 0.95439954 0.94168576 0.92517249 0.94782287 0.9466424
 0.87137367 0.94625113 0.94479261 0.94174237]";93.45$\pm$1.01;"[0.92882546 0.94382692 0.94146265 0.91314468 0.94152592 0.94386189
 0.92561205 0.9247063  0.94065014 0.94148929]";93.78$\pm$0.94;"[0.93112313 0.9420021  0.94436305 0.93354068 0.9462145  0.947037
 0.91754689 0.92847248 0.94817918 0.93910837]";93.57$\pm$1.39;"[0.94673398 0.93643441 0.932232   0.91833276 0.93840741 0.9613475
 0.91112339 0.92783146 0.9483257  0.93667251]"
AP;94.43$\pm$0.49;"[0.94463361 0.94815902 0.9451308  0.93734418 0.94600953 0.9512815
 0.93492782 0.95017591 0.94296342 0.94223217]";94.4$\pm$0.62;"[0.94998043 0.95235157 0.94870471 0.93391133 0.94136893 0.94824584
 0.93600731 0.94076722 0.93921957 0.94916783]";94.92$\pm$0.5;"[0.95175838 0.9522875  0.95090661 0.94891939 0.9499644  0.95962937
 0.9419295  0.94239717 0.94461914 0.94942574]";93.0$\pm$0.74;"[0.93173379 0.93579694 0.92970744 0.9117854  0.93572186 0.93491146
 0.92355124 0.92989832 0.93900451 0.92810861]";93.01$\pm$1.14;"[0.93430355 0.93411952 0.93676124 0.90259402 0.93913444 0.94068502
 0.93142759 0.93699255 0.91536827 0.92986894]";93.27$\pm$0.59;"[0.94114269 0.93906561 0.93684362 0.92586679 0.93141812 0.9381011
 0.92317881 0.92580203 0.93462517 0.93062165]";95.72$\pm$1.06;"[0.96100784 0.96569654 0.95971393 0.9515939  0.95973334 0.96994277
 0.92858174 0.95765951 0.96082349 0.95698506]";93.97$\pm$1.83;"[0.95353928 0.960419   0.94601548 0.9481141  0.95479794 0.95764717
 0.92626582 0.91904396 0.92815649 0.90332305]";95.25$\pm$1.17;"[0.95624344 0.96486295 0.9568333  0.94398408 0.95961613 0.95748029
 0.92062128 0.95414996 0.95467052 0.95648753]";95.41$\pm$0.67;"[0.94516629 0.96233741 0.96021761 0.94327247 0.95705193 0.96080552
 0.94709411 0.94997355 0.95581869 0.95881571]";95.26$\pm$0.53;"[0.94367535 0.95539122 0.95941664 0.94802003 0.95604644 0.95488894
 0.9468933  0.94783471 0.96011964 0.95401447]";95.57$\pm$0.96;"[0.96327589 0.95943443 0.95499915 0.94303238 0.95314241 0.97263805
 0.94015785 0.94698683 0.96413098 0.95900714]"
pretrain_time;34.66$\pm$27.66;"[ 28.51480508  24.44792461  25.2211082   21.29296303  24.0271275
  32.14100218 116.41983986  33.92352796  16.99701619  23.61769342]";40.17$\pm$9.49;"[49.90169668 32.08744121 49.72515321 40.37820673 37.87657833 41.61396194
 24.23098898 26.08867812 49.40289879 50.37513041]";45.89$\pm$20.44;"[30.58882594 35.56740832 84.03694034 27.90967607 38.4563477  33.15411401
 50.09073997 86.27233839 33.93037915 38.87284017]";896.71$\pm$181.65;"[1066.43852329 1044.20552087  828.93921518 1085.45279312 1073.02791166
  639.25423598  916.19305921  632.29969549  660.04675984 1021.24086475]";1019.2$\pm$62.45;"[1021.86339974  918.43035889 1011.53286886 1064.4691503  1054.79709721
 1074.17616439 1077.63658023 1038.942873    885.14291859 1044.99446535]";902.63$\pm$148.97;"[1031.81390858  733.30935526  981.68411446 1103.54726839 1041.59876633
 1044.35986948  852.49284363  833.45609522  739.1488142   664.90628862]";12.59$\pm$2.26;"[12.62918401 10.0037303  11.36319733 11.88491297 10.79073739 17.61210179
 16.0642128  11.86940408 11.86346054 11.82365251]";11.08$\pm$0.96;"[12.12134814 11.98701262 10.85313869 10.27806759 10.27223659 10.27798128
 12.76701021 11.97350812 10.12675071 10.19174671]";11.7$\pm$1.8;"[12.0125134  10.70512891 10.76633    10.86299253 10.6823585  13.28912401
 16.51172757 10.76217461 10.71198702 10.66978002]";343.77$\pm$6.12;"[339.61518168 344.10945678 337.34567332 355.38649821 344.45251179
 344.10748172 354.51101184 339.28594327 337.54792094 341.37585902]";344.22$\pm$5.97;"[339.29087424 346.61588383 337.78998065 354.9659791  344.92407513
 344.92815781 354.48831391 340.18575335 338.5231235  340.47134948]";376.74$\pm$95.69;"[339.85874081 343.97908688 337.97525215 355.36967301 345.20099664
 663.29324412 355.27484179 340.30819416 346.22695446 339.93196654]"
