metrics;grace_random;grace_scom;grace_sbm;grace_sbm2;bgrl_random;bgrl_scom;bgrl_sbm;bgrl_sbm2;csgcl_random;csgcl_scom;csgcl_sbm;csgcl_sbm2
Hits@10;48.81$\pm$4.21;51.53$\pm$4.99;45.55$\pm$6.71;33.87$\pm$3.08;34.19$\pm$6.69;32.78$\pm$13.51;23.04$\pm$11.89;32.35$\pm$13.55;51.24$\pm$4.54;51.73$\pm$3.4;51.38$\pm$4.99;36.06$\pm$3.66
Hits@20;61.08$\pm$3.09;62.88$\pm$2.16;61.69$\pm$4.64;44.14$\pm$2.48;46.48$\pm$6.42;45.54$\pm$14.39;34.72$\pm$15.35;42.87$\pm$15.22;64.14$\pm$2.19;62.31$\pm$3.06;62.7$\pm$4.11;44.25$\pm$2.66
Hits@50;74.19$\pm$1.7;75.05$\pm$0.82;74.05$\pm$1.86;57.39$\pm$2.7;65.36$\pm$5.51;61.88$\pm$16.1;49.73$\pm$17.42;58.24$\pm$16.63;74.78$\pm$1.8;73.91$\pm$1.35;74.24$\pm$1.91;59.32$\pm$1.9
Hits@100;81.03$\pm$1.68;82.02$\pm$0.83;81.05$\pm$1.57;67.63$\pm$2.3;78.08$\pm$4.21;73.53$\pm$15.19;61.96$\pm$17.22;69.81$\pm$16.48;81.05$\pm$0.97;80.81$\pm$1.46;81.54$\pm$1.58;68.98$\pm$1.74
ROCAUC;91.71$\pm$1.01;92.15$\pm$0.44;91.31$\pm$0.8;84.66$\pm$1.36;92.1$\pm$1.03;90.31$\pm$5.91;86.02$\pm$8.6;88.37$\pm$6.56;91.8$\pm$0.73;92.11$\pm$0.64;91.26$\pm$0.78;85.69$\pm$1.17
AP;93.17$\pm$0.7;93.51$\pm$0.2;92.97$\pm$0.58;87.59$\pm$0.97;92.15$\pm$1.19;90.4$\pm$6.21;85.91$\pm$8.51;88.84$\pm$6.64;93.35$\pm$0.4;93.46$\pm$0.38;93.16$\pm$0.5;88.4$\pm$0.82
pretrain_time;6.24$\pm$0.01;6.72$\pm$0.02;148.78$\pm$5.04;293.63$\pm$10.0;5.74$\pm$0.01;6.27$\pm$0.02;149.48$\pm$5.05;293.61$\pm$9.91;6.71$\pm$0.05;7.19$\pm$0.06;148.82$\pm$4.99;293.08$\pm$9.61
