metrics;grace_enc:gcn_grace_pred:mlp_random_mean;grace_enc:gcn_grace_pred:mlp_random
Hits@10;44.55$\pm$6.52;[0.32227488 0.45971564 0.51753555 0.46161137 0.46635071]
Hits@20;57.31$\pm$3.55;[0.5042654  0.59905213 0.5971564  0.59052133 0.57440758]
Hits@50;70.39$\pm$2.78;[0.65781991 0.73933649 0.72132701 0.70900474 0.69194313]
Hits@100;79.09$\pm$1.04;[0.79052133 0.80473934 0.79905213 0.77535545 0.78483412]
ROCAUC;91.1$\pm$0.45;[0.90925699 0.91528986 0.91376474 0.90295366 0.91394263]
AP;92.42$\pm$0.48;[0.91603072 0.9289545  0.92746226 0.92177049 0.92700654]
pretrain_time;4.77$\pm$0.13;[4.70488453 4.70861506 4.71365261 4.70785642 5.0254581 ]
