metrics;a2grace_random_mean;a2grace_random;a2bgrl_random_mean;a2bgrl_random
Hits@10;83.58$\pm$0.0;[0.83576642];83.94$\pm$0.0;[0.83941606]
Hits@20;83.76$\pm$0.0;[0.83759124];84.31$\pm$0.0;[0.84306569]
Hits@50;85.04$\pm$0.0;[0.85036496];85.04$\pm$0.0;[0.85036496]
Hits@100;85.95$\pm$0.0;[0.85948905];86.5$\pm$0.0;[0.8649635]
ROCAUC;90.65$\pm$0.0;[0.90645812];91.22$\pm$0.0;[0.91224559]
AP;94.19$\pm$0.0;[0.94190156];94.54$\pm$0.0;[0.94537234]
pretrain_time;13.69$\pm$0.0;[13.69081068];21.67$\pm$0.0;[21.66668987]
