metrics;lbgrl_sbm2_mean;lbgrl_sbm2
Hits@10;50.48$\pm$5.7;"[0.43824701 0.42231076 0.5059761  0.58167331 0.60956175 0.47410359
 0.48605578 0.46613546 0.53784861 0.52589641]"
Hits@20;62.95$\pm$4.98;"[0.56573705 0.55378486 0.68525896 0.64940239 0.72111554 0.60557769
 0.66533865 0.60557769 0.6374502  0.60557769]"
Hits@50;80.12$\pm$4.04;"[0.81673307 0.70119522 0.79681275 0.79681275 0.87649402 0.81673307
 0.80079681 0.79282869 0.80876494 0.80478088]"
Hits@100;90.96$\pm$3.24;"[0.93227092 0.84860558 0.90039841 0.91633466 0.96414343 0.92031873
 0.90039841 0.94422311 0.8685259  0.90039841]"
ROCAUC;87.87$\pm$2.35;"[0.88290662 0.82379645 0.87562102 0.88512881 0.92538214 0.88493833
 0.87838288 0.88923985 0.87203378 0.8699761 ]"
AP;88.7$\pm$2.0;"[0.8785999  0.84112299 0.88930498 0.89313919 0.92748393 0.88961009
 0.8819146  0.89480104 0.89145049 0.88304554]"
pretrain_time;1.63$\pm$0.13;"[1.86713529 1.52825832 1.62719679 1.61128259 1.52067494 1.64207196
 1.89219642 1.48759294 1.55006742 1.56839299]"
