metrics;louvain_prob_pred_mean;louvain_prob_pred;grace_sbm_mean;grace_sbm;grace_sbm+random_mean;grace_sbm+random;grace_sbm+deg_mean;grace_sbm+deg;grace_sbm+scom_mean;grace_sbm+scom;grace_sbm2_mean;grace_sbm2;bgrl_sbm_mean;bgrl_sbm;bgrl_sbm+random_mean;bgrl_sbm+random;bgrl_sbm+deg_mean;bgrl_sbm+deg;bgrl_sbm+scom_mean;bgrl_sbm+scom;bgrl_sbm2_mean;bgrl_sbm2
Hits@10;23.61$\pm$3.4;"[0.19336493 0.22180095 0.26635071 0.24834123 0.27677725 0.20189573
 0.3014218  0.22938389 0.20473934 0.21706161]";57.37$\pm$5.19;"[0.53270142 0.53649289 0.58009479 0.61895735 0.53554502 0.58957346
 0.47582938 0.6056872  0.66919431 0.59336493]";59.46$\pm$4.89;"[0.52890995 0.6        0.57819905 0.6521327  0.52701422 0.63412322
 0.53175355 0.66540284 0.60663507 0.62180095]";47.73$\pm$5.59;"[0.45308057 0.51943128 0.50995261 0.49668246 0.40094787 0.51943128
 0.42748815 0.56398104 0.38104265 0.50047393]";59.18$\pm$5.31;"[0.60853081 0.5943128  0.67298578 0.62843602 0.57061611 0.56966825
 0.45971564 0.5971564  0.63033175 0.58672986]";36.81$\pm$4.5;"[0.42180095 0.39810427 0.41516588 0.37156398 0.32322275 0.40663507
 0.27677725 0.3563981  0.32417062 0.38672986]";56.13$\pm$2.86;"[0.52890995 0.57345972 0.56398104 0.57725118 0.56113744 0.58957346
 0.50805687 0.53554502 0.61042654 0.56492891]";59.33$\pm$4.21;"[0.49383886 0.58293839 0.63033175 0.60947867 0.60379147 0.54691943
 0.59146919 0.6        0.63886256 0.63507109]";61.2$\pm$5.66;"[0.51753555 0.63507109 0.57630332 0.66919431 0.57630332 0.62085308
 0.53175355 0.62843602 0.67677725 0.68815166]";59.5$\pm$3.86;"[0.57535545 0.60853081 0.58767773 0.64075829 0.60189573 0.62274882
 0.507109   0.58957346 0.64834123 0.56777251]";56.72$\pm$3.9;"[0.51848341 0.57440758 0.58578199 0.63886256 0.53649289 0.60473934
 0.5478673  0.50995261 0.60094787 0.55450237]"
Hits@20;35.77$\pm$2.68;"[0.32132701 0.32037915 0.37535545 0.33270142 0.37251185 0.32890995
 0.38483412 0.38578199 0.38578199 0.36966825]";66.37$\pm$2.29;"[0.64834123 0.61421801 0.65687204 0.68436019 0.64170616 0.67393365
 0.66066351 0.68056872 0.68625592 0.69004739]";69.1$\pm$2.74;"[0.70616114 0.65687204 0.66919431 0.73649289 0.66445498 0.69194313
 0.65118483 0.71563981 0.7042654  0.71374408]";61.23$\pm$6.17;"[0.52227488 0.65971564 0.68625592 0.67298578 0.56398104 0.6436019
 0.53838863 0.692891   0.57156398 0.57156398]";67.64$\pm$3.0;"[0.67772512 0.63601896 0.70331754 0.692891   0.6957346  0.66161137
 0.60853081 0.6957346  0.69668246 0.6957346 ]";46.38$\pm$3.92;"[0.492891   0.46824645 0.53459716 0.48909953 0.42085308 0.47582938
 0.38388626 0.47298578 0.44739336 0.4521327 ]";64.63$\pm$1.81;"[0.64075829 0.60853081 0.66729858 0.65592417 0.66635071 0.64265403
 0.62274882 0.66255924 0.6436019  0.6521327 ]";67.94$\pm$2.32;"[0.66445498 0.66729858 0.72511848 0.68530806 0.69383886 0.6492891
 0.66635071 0.64834123 0.6957346  0.6985782 ]";70.95$\pm$2.27;"[0.69099526 0.7042654  0.69004739 0.73933649 0.69383886 0.72132701
 0.66635071 0.73080569 0.73364929 0.72417062]";68.45$\pm$2.57;"[0.64454976 0.66635071 0.6957346  0.72985782 0.70616114 0.68436019
 0.66255924 0.67677725 0.71658768 0.66255924]";67.91$\pm$3.18;"[0.61232227 0.66540284 0.73933649 0.69478673 0.69763033 0.6985782
 0.65308057 0.66540284 0.68246445 0.68246445]"
Hits@50;52.83$\pm$1.21;"[0.53649289 0.53744076 0.54597156 0.54597156 0.51943128 0.50900474
 0.51943128 0.53080569 0.51848341 0.52037915]";76.28$\pm$1.69;"[0.74597156 0.72606635 0.76966825 0.76966825 0.74881517 0.76682464
 0.76208531 0.78483412 0.77630332 0.77819905]";77.75$\pm$1.66;"[0.77914692 0.7478673  0.77440758 0.79905213 0.76587678 0.76208531
 0.77251185 0.77630332 0.79241706 0.8056872 ]";77.68$\pm$2.05;"[0.74312796 0.76303318 0.81327014 0.8028436  0.76777251 0.76113744
 0.77251185 0.79526066 0.78388626 0.76492891]";77.18$\pm$1.94;"[0.76966825 0.74028436 0.77725118 0.78862559 0.78388626 0.76398104
 0.73364929 0.78293839 0.78388626 0.7943128 ]";58.88$\pm$2.29;"[0.61516588 0.57061611 0.62180095 0.60947867 0.56208531 0.59146919
 0.56018957 0.56682464 0.61232227 0.57819905]";72.79$\pm$1.71;"[0.70521327 0.7042654  0.7450237  0.7450237  0.75165877 0.70805687
 0.71563981 0.73080569 0.73364929 0.73933649]";75.75$\pm$1.95;"[0.73270142 0.72985782 0.77440758 0.75165877 0.77914692 0.75829384
 0.73270142 0.75829384 0.77251185 0.78578199]";79.28$\pm$1.72;"[0.78483412 0.78578199 0.79241706 0.81042654 0.78767773 0.76872038
 0.76777251 0.79810427 0.82559242 0.80663507]";76.83$\pm$1.51;"[0.74691943 0.74218009 0.78388626 0.77535545 0.77156398 0.75924171
 0.76682464 0.76303318 0.78578199 0.78862559]";76.92$\pm$2.18;"[0.74881517 0.76208531 0.80853081 0.76872038 0.80947867 0.75165877
 0.76398104 0.76303318 0.77345972 0.74218009]"
Hits@100;58.84$\pm$1.03;"[0.58578199 0.59526066 0.58388626 0.5943128  0.60663507 0.58009479
 0.57914692 0.58767773 0.57061611 0.60094787]";81.36$\pm$1.74;"[0.8056872  0.77251185 0.82843602 0.82654028 0.81137441 0.80947867
 0.80663507 0.82180095 0.81327014 0.84075829]";82.95$\pm$1.07;"[0.83601896 0.80379147 0.83317536 0.83791469 0.82274882 0.82464455
 0.83222749 0.82369668 0.83886256 0.84170616]";84.84$\pm$1.72;"[0.82180095 0.82654028 0.87393365 0.86066351 0.83222749 0.85118483
 0.84265403 0.86729858 0.86540284 0.84265403]";82.48$\pm$1.37;"[0.82748815 0.7943128  0.83222749 0.83507109 0.83222749 0.81990521
 0.80758294 0.82180095 0.83791469 0.83981043]";66.72$\pm$1.54;"[0.68056872 0.67393365 0.67582938 0.67014218 0.66255924 0.6549763
 0.64739336 0.63981043 0.69383886 0.67298578]";77.55$\pm$1.68;"[0.74691943 0.7535545  0.79241706 0.78388626 0.79620853 0.75734597
 0.77725118 0.77535545 0.77725118 0.79526066]";80.37$\pm$2.16;"[0.78199052 0.77251185 0.82274882 0.8        0.83317536 0.81232227
 0.76872038 0.80379147 0.81421801 0.82748815]";83.76$\pm$1.41;"[0.83601896 0.80853081 0.83696682 0.84265403 0.85402844 0.81895735
 0.83507109 0.84075829 0.84549763 0.85781991]";81.3$\pm$1.64;"[0.78483412 0.78672986 0.82748815 0.80663507 0.82274882 0.8
 0.82180095 0.82180095 0.82559242 0.83222749]";83.01$\pm$1.53;"[0.80853081 0.82180095 0.85402844 0.81611374 0.85687204 0.81327014
 0.83317536 0.83127962 0.83033175 0.83601896]"
ROCAUC;77.52$\pm$0.59;"[0.77692384 0.77236899 0.7766016  0.77320276 0.78287819 0.77679028
 0.76733586 0.77682981 0.76439832 0.7847344 ]";90.89$\pm$1.05;"[0.90735811 0.87995508 0.91514746 0.91028503 0.90457447 0.91138744
 0.91049437 0.91485546 0.91618659 0.91898115]";92.05$\pm$0.63;"[0.92310854 0.90703713 0.92438894 0.92066845 0.91742863 0.91820938
 0.92134678 0.9159336  0.93254494 0.92471777]";93.65$\pm$0.75;"[0.92292688 0.92735563 0.94652187 0.9416262  0.9345109  0.93517801
 0.9340518  0.94369039 0.94586635 0.93334112]";91.51$\pm$0.89;"[0.91460741 0.89854585 0.91591294 0.91484198 0.92282473 0.91175311
 0.90282429 0.91474944 0.92722735 0.92728914]";83.41$\pm$0.85;"[0.84209331 0.83011702 0.83661463 0.82780171 0.83392287 0.83438737
 0.82618809 0.81861863 0.84950583 0.84176636]";88.66$\pm$0.91;"[0.87783483 0.86925451 0.89567889 0.88768806 0.89159183 0.87726242
 0.88418769 0.88855956 0.8936662  0.900491  ]";90.06$\pm$1.01;"[0.89526516 0.8782031  0.91144044 0.89951978 0.9100146  0.89522697
 0.89182723 0.90451697 0.90954342 0.91010445]";92.14$\pm$0.74;"[0.91887911 0.90533276 0.92270973 0.92253813 0.92589834 0.91627591
 0.91690663 0.9229613  0.93273919 0.93013499]";90.62$\pm$0.93;"[0.89781649 0.88700254 0.9172723  0.90595359 0.91436491 0.89768424
 0.90463017 0.90771546 0.91729813 0.91200916]";91.86$\pm$0.67;"[0.90944    0.91022124 0.92977606 0.90951326 0.92519395 0.9231657
 0.91657151 0.92070618 0.91854277 0.92293614]"
AP;82.27$\pm$0.41;"[0.82120205 0.82016312 0.82476387 0.82471478 0.83099935 0.81937263
 0.818468   0.82300095 0.81686405 0.82734981]";93.22$\pm$0.7;"[0.92956845 0.91376993 0.93651138 0.93346074 0.92929363 0.93473451
 0.93065085 0.93691438 0.93795061 0.93890327]";93.96$\pm$0.39;"[0.94009411 0.93226167 0.93996512 0.94147796 0.93767372 0.93888354
 0.93680673 0.93745887 0.94771795 0.94328345]";94.26$\pm$0.64;"[0.93242516 0.94125041 0.95143833 0.94861741 0.94105003 0.93700092
 0.94094581 0.95324545 0.94397714 0.93640076]";93.57$\pm$0.65;"[0.93501638 0.92569865 0.93840151 0.93658677 0.94110428 0.93450904
 0.92307594 0.93575321 0.9431722  0.94375036]";87.13$\pm$0.62;"[0.87857233 0.87028452 0.87523481 0.87089362 0.87018702 0.87385719
 0.85801413 0.86417249 0.87982445 0.87235517]";91.71$\pm$0.65;"[0.90835093 0.90654123 0.92408058 0.91905123 0.92198358 0.91051413
 0.91371515 0.91817286 0.92309873 0.9255854 ]";92.75$\pm$0.72;"[0.9209279  0.91535444 0.93648699 0.92732543 0.93519986 0.92399624
 0.91799571 0.92945886 0.9341591  0.93402822]";94.15$\pm$0.45;"[0.9372088  0.93367537 0.94203487 0.9433613  0.94492234 0.93853679
 0.93714002 0.94350854 0.94895742 0.94588673]";93.1$\pm$0.66;"[0.92198075 0.91966333 0.93852648 0.93260605 0.93578628 0.92558236
 0.92814075 0.93235772 0.94030322 0.93554321]";93.87$\pm$0.48;"[0.92982724 0.93576251 0.94753307 0.93495059 0.94451594 0.94037646
 0.93554268 0.9383083  0.93909097 0.94064359]"
pretrain_time;nan$\pm$nan;[];375.47$\pm$79.33;"[384.1988492  575.61391711 436.46373725 295.46020532 365.14441919
 371.39661002 328.09595394 315.66874719 388.27116013 294.41439319]";339.98$\pm$29.13;"[344.64948225 337.85094523 311.34196901 308.03422904 360.41656184
 330.09457111 387.74170995 379.36202216 347.42891502 292.92436695]";773.26$\pm$136.47;"[822.72086668 777.69516516 819.06805325 801.89435983 832.53485346
 921.03565383 897.12896514 409.70142817 684.09098768 766.70669723]";419.57$\pm$127.72;"[321.87740684 577.35664535 448.30196643 387.59763789 394.95884895
 350.53190804 726.65014696 367.0344348  329.48512506 291.93416953]";594.51$\pm$22.78;"[570.39553404 619.94565201 616.41294408 570.38476992 612.61803889
 619.16327262 610.08857656 586.25202131 584.74835467 555.05124927]";347.6$\pm$20.14;"[383.00965118 347.10665536 331.7253356  339.73205161 369.55986595
 349.69943881 373.455863   329.18599916 332.79839849 319.74775839]";360.21$\pm$44.34;"[383.04007459 367.49632549 322.69974208 363.97831774 472.61942911
 349.00760078 368.9947536  328.16573834 300.23388648 345.91030216]";555.72$\pm$104.81;"[505.60983562 535.19172525 507.65248156 422.27318835 806.28535366
 621.57424498 619.58016562 493.06085777 453.93304682 592.06807899]";351.62$\pm$20.63;"[361.74500632 361.39776802 349.44300532 348.03091192 392.528754
 354.26852632 367.80248475 327.22600269 315.10979319 338.60808253]";742.37$\pm$113.55;"[1013.66356897  857.18865657  667.65966964  787.71448636  733.67143416
  714.14743543  696.36978745  678.19616222  585.39681149  689.70494032]"
