metrics;a2bgrl_random_mean;a2bgrl_random;a2bgrl_deg_mean;a2bgrl_deg;a2bgrl_pr_mean;a2bgrl_pr;a2bgrl_evc_mean;a2bgrl_evc;a2bgrl_scom_mean;a2bgrl_scom;a2bgrl_random+scom_mean;a2bgrl_random+scom;a2bgrl_random+deg_mean;a2bgrl_random+deg;a2bgrl_deg+scom_mean;a2bgrl_deg+scom
Hits@10;12.43$\pm$4.5;"[0.15506382 0.16635875 0.03791569 0.15951461 0.08557272 0.16740846
 0.16194995 0.14208935 0.0966997  0.06999496]";11.51$\pm$5.28;"[0.13188613 0.05878401 0.14532247 0.13541317 0.12907289 0.17526033
 0.01721532 0.06823144 0.09145113 0.19835405]";15.08$\pm$3.36;"[0.12953477 0.13549714 0.1808868  0.13910816 0.12437017 0.23358247
 0.13805845 0.12256466 0.12936681 0.17496641]";10.93$\pm$7.27;"[0.06718173 0.         0.12084313 0.05466913 0.10371179 0.17597414
 0.16098421 0.14842963 0.01574572 0.24538126]";12.11$\pm$5.67;"[0.04828687 0.12928284 0.18390998 0.13755459 0.11962546 0.14015788
 0.1499832  0.03694995 0.04849681 0.21628317]";13.36$\pm$6.18;"[0.17521834 0.02145616 0.16522506 0.13923413 0.1547699  0.08263352
 0.17034767 0.1606483  0.0389654  0.22732617]";13.62$\pm$6.77;"[0.23404434 0.04837084 0.22325328 0.12945079 0.13008062 0.03464058
 0.19041821 0.05731441 0.14074572 0.17358079]";14.98$\pm$4.18;"[0.14108163 0.13100437 0.18193651 0.06189117 0.10820457 0.19184582
 0.15443399 0.14935338 0.16018643 0.21817266]"
Hits@20;20.2$\pm$7.52;"[0.24739671 0.25386295 0.04828687 0.26671145 0.14099765 0.28820961
 0.2408045  0.25524857 0.15775109 0.12084313]";19.14$\pm$8.4;"[0.24651495 0.09313067 0.24139234 0.21594726 0.22858582 0.31541821
 0.03392677 0.09791737 0.18370003 0.25743198]";24.03$\pm$2.75;"[0.25676016 0.24504535 0.25642425 0.23878905 0.19906785 0.29240846
 0.2202301  0.25260329 0.19545684 0.24659893]";16.93$\pm$8.89;"[0.10236816 0.04597749 0.16871011 0.12625966 0.17299295 0.26310044
 0.23022338 0.25852368 0.02662076 0.2985388 ]";18.96$\pm$8.24;"[0.08691636 0.2562563  0.25180551 0.23736144 0.17790561 0.23853712
 0.23513604 0.05089016 0.07402586 0.28753779]";20.01$\pm$8.47;"[0.27166611 0.04627141 0.23731945 0.2418962  0.23022338 0.11635035
 0.27376554 0.25726402 0.06205912 0.2639822 ]";19.56$\pm$9.01;"[0.28799966 0.07616728 0.31025361 0.24798455 0.18655526 0.0577343
 0.27859422 0.07898052 0.1834481  0.24781659]";24.2$\pm$5.85;"[0.26780316 0.27368156 0.24454148 0.10446758 0.16001847 0.28518643
 0.27880417 0.25054585 0.25482869 0.30055425]"
Hits@50;34.82$\pm$11.64;"[0.38910816 0.41069029 0.11336916 0.45444239 0.23857911 0.43957843
 0.43701713 0.45200705 0.35568525 0.19188781]";32.74$\pm$13.81;"[0.43500168 0.15544172 0.38041653 0.39347497 0.40384615 0.48358247
 0.05328351 0.16715653 0.38406953 0.4176604 ]";40.23$\pm$4.51;"[0.42038965 0.38541317 0.40590359 0.40686933 0.32012093 0.46502351
 0.37835909 0.48232281 0.35711287 0.40195667]";28.34$\pm$13.7;"[0.17139738 0.08662244 0.27544508 0.2533171  0.30235976 0.43319617
 0.41010245 0.42164931 0.04790897 0.43202049]";32.78$\pm$13.73;"[0.15749916 0.41871011 0.38957004 0.44797615 0.33758818 0.46636715
 0.40233456 0.08947766 0.13008062 0.43869667]";32.73$\pm$12.41;"[0.43008902 0.1025781  0.37403426 0.422783   0.40195667 0.19986564
 0.40556769 0.40094894 0.12416023 0.41136211]";32.45$\pm$13.44;"[0.47984548 0.13520322 0.41614881 0.36185757 0.3643349  0.09884112
 0.44764024 0.14444071 0.39288713 0.40342627]";38.94$\pm$7.79;"[0.44570877 0.41803829 0.33825999 0.20423245 0.3033255  0.44453309
 0.45272086 0.44906785 0.41274773 0.42547027]"
Hits@100;47.76$\pm$14.88;"[0.55336748 0.55765032 0.16186597 0.60077259 0.34069533 0.573522
 0.56588008 0.61714814 0.52032247 0.28430467]";44.44$\pm$17.15;"[0.57150655 0.22090191 0.5349345  0.53413671 0.53560632 0.58704232
 0.08393517 0.27200202 0.53636211 0.56747565]";54.85$\pm$3.75;"[0.55853208 0.53476654 0.55105811 0.53661404 0.48043332 0.59065334
 0.55639066 0.62130501 0.5055005  0.54992442]";38.82$\pm$17.65;"[0.23983876 0.1386043  0.37495801 0.37260665 0.42341283 0.54912664
 0.56592207 0.59804333 0.073522   0.54585153]";44.49$\pm$16.73;"[0.23261673 0.55282163 0.5492526  0.5930047  0.50025193 0.58964562
 0.53384279 0.15342627 0.19474303 0.54975647]";44.83$\pm$16.36;"[0.58149983 0.14880752 0.50554249 0.57692308 0.55437521 0.2812395
 0.54085489 0.55760833 0.18403594 0.55198186]";44.27$\pm$17.1;"[0.59426436 0.20364461 0.573522   0.54287034 0.47984548 0.14334901
 0.57927444 0.21233624 0.54845482 0.54895868]";51.81$\pm$8.04;"[0.57331206 0.52452133 0.46561135 0.31046355 0.46825663 0.566174
 0.57667115 0.58645448 0.55567686 0.55416527]"
ROCAUC;97.02$\pm$4.32;"[0.98753927 0.98762238 0.84192876 0.98905986 0.97633862 0.98834449
 0.98837852 0.98767653 0.98681981 0.96864511]";96.04$\pm$5.98;"[0.98801142 0.94071156 0.98767272 0.98823824 0.98775585 0.98892822
 0.7870532  0.96024243 0.98727132 0.98851217]";98.77$\pm$0.08;"[0.98752691 0.9872359  0.9874125  0.98851312 0.9861995  0.98888647
 0.98775033 0.98838201 0.98699944 0.98793172]";95.39$\pm$6.0;"[0.94546856 0.92711762 0.9735418  0.97722028 0.98034119 0.98704458
 0.98817849 0.98770717 0.7836706  0.98826264]";96.69$\pm$3.3;"[0.93711202 0.98792839 0.98769575 0.98824496 0.9875069  0.9881118
 0.98761885 0.91547859 0.90129724 0.98817449]";95.39$\pm$6.15;"[0.98817207 0.8613296  0.98708861 0.98860097 0.98787485 0.95508497
 0.98767586 0.98727622 0.80824747 0.98741326]";95.5$\pm$5.84;"[0.98809127 0.8995961  0.98792898 0.98851869 0.98679859 0.80331053
 0.98805688 0.93233679 0.98750552 0.98771054]";98.51$\pm$0.66;"[0.98809704 0.9869098  0.98494971 0.96554729 0.98515831 0.98839479
 0.98820465 0.98777297 0.98751304 0.98830777]"
AP;96.94$\pm$3.94;"[0.98607872 0.98622426 0.85368059 0.98768218 0.97150711 0.98718003
 0.98723715 0.98675245 0.98472739 0.96323908]";95.87$\pm$5.83;"[0.98680298 0.93417368 0.98607172 0.98656334 0.9860492  0.98794096
 0.79160003 0.95467292 0.98539103 0.98737755]";98.63$\pm$0.12;"[0.98623912 0.98581637 0.98624142 0.98719169 0.9836739  0.98803388
 0.98635195 0.98743692 0.98496413 0.98655096]";94.99$\pm$6.13;"[0.93950228 0.91393969 0.96981475 0.97288166 0.97737873 0.98542526
 0.98679682 0.98678652 0.77929226 0.98728106]";96.47$\pm$3.38;"[0.93049277 0.98647506 0.98646606 0.9869172  0.98517202 0.98681173
 0.98637335 0.90652211 0.90494709 0.98704362]";95.52$\pm$5.5;"[0.98706009 0.86176067 0.98518185 0.98738164 0.98621008 0.95056117
 0.98671961 0.98617645 0.83417557 0.98650715]";95.53$\pm$5.29;"[0.98731469 0.8997854  0.98703373 0.98677393 0.98427378 0.82438645
 0.98703174 0.92429903 0.98593746 0.98638733]";98.32$\pm$0.78;"[0.98692768 0.98529127 0.98273894 0.9602871  0.98209729 0.98713343
 0.98732787 0.98682732 0.98605948 0.9871025 ]"
pretrain_time;390.15$\pm$105.51;"[352.84969234 408.86451721 229.82393885 446.96860337 263.24681544
 403.02332616 532.00616026 521.08620191 486.80998468 256.85689735]";415.97$\pm$113.57;"[505.59830093 251.73163605 519.60232925 513.27123237 406.75802827
 514.3061409  254.01488161 260.07586241 402.94851184 531.34937429]";467.85$\pm$50.76;"[485.93948245 530.36104345 475.16022873 529.72798538 491.68404484
 402.32038307 506.88966107 442.82810926 366.92382097 446.68377924]";337.56$\pm$114.16;"[268.30007219 259.69407797 243.65280294 234.64209008 228.50545287
 430.65593839 530.29087663 478.12687087 245.40303993 456.31605864]";373.82$\pm$88.04;"[251.79189754 432.55367184 397.37578988 362.14003277 491.01485348
 418.48557115 479.65783978 255.36113477 245.11518979 404.7290535 ]";388.96$\pm$92.06;"[436.09245849 254.03721118 423.37988424 430.33556771 467.30460191
 254.84947348 497.8520956  418.01636529 248.66618752 459.0499475 ]";399.09$\pm$109.22;"[344.7031219  260.1680088  532.97854877 532.03991508 438.98305058
 259.83918476 532.82974911 257.08297515 386.07596016 446.19210076]";478.51$\pm$86.22;"[507.62212133 535.33714175 535.27072978 243.79272199 535.14564157
 461.15590262 534.38012242 535.68482041 437.48448849 459.21292806]"
