metrics;bgrl_random;lbgrl_random
Hits@10;32.23$\pm$0.0;14.71$\pm$0.0
Hits@20;46.51$\pm$0.0;21.77$\pm$0.0
Hits@50;59.91$\pm$0.0;37.15$\pm$0.0
Hits@100;71.56$\pm$0.0;52.49$\pm$0.0
ROCAUC;97.97$\pm$0.0;96.98$\pm$0.0
AP;97.97$\pm$0.0;96.59$\pm$0.0
pretrain_time;15.41$\pm$0.0;103.5$\pm$0.0
