metrics;louvain_prob_pred;baseline;grace_random;grace_deg;grace_pr;grace_evc;grace_scom;grace_sbm;grace_sbm2;bgrl_random;bgrl_deg;bgrl_pr;bgrl_evc;bgrl_scom;bgrl_sbm;bgrl_sbm2;lgrace_random;lgrace_deg;lgrace_pr;lgrace_evc;lgrace_scom;lgrace_sbm;lgrace_sbm2;lbgrl_random;lbgrl_deg;lbgrl_pr;lbgrl_evc;lbgrl_scom;lbgrl_sbm;lbgrl_sbm2
Hits@10;43.19$\pm$0.0;55.71$\pm$0.0;13.3$\pm$0.0;22.75$\pm$0.0;13.85$\pm$0.0;12.53$\pm$0.0;17.36$\pm$0.0;12.64$\pm$0.0;5.93$\pm$0.0;6.59$\pm$0.0;10.33$\pm$0.0;6.59$\pm$0.0;6.59$\pm$0.0;6.59$\pm$0.0;6.15$\pm$0.0;6.48$\pm$0.0;12.64$\pm$0.0;5.27$\pm$0.0;11.87$\pm$0.0;14.51$\pm$0.0;15.16$\pm$0.0;8.24$\pm$0.0;10.22$\pm$0.0;9.45$\pm$0.0;22.75$\pm$0.0;8.9$\pm$0.0;8.79$\pm$0.0;8.46$\pm$0.0;16.48$\pm$0.0;9.12$\pm$0.0
Hits@20;43.19$\pm$0.0;63.96$\pm$0.0;17.69$\pm$0.0;35.27$\pm$0.0;18.35$\pm$0.0;17.91$\pm$0.0;19.78$\pm$0.0;19.23$\pm$0.0;11.65$\pm$0.0;11.65$\pm$0.0;15.93$\pm$0.0;11.76$\pm$0.0;11.98$\pm$0.0;11.54$\pm$0.0;12.75$\pm$0.0;11.43$\pm$0.0;19.01$\pm$0.0;8.68$\pm$0.0;16.15$\pm$0.0;17.8$\pm$0.0;20.0$\pm$0.0;14.29$\pm$0.0;15.93$\pm$0.0;15.49$\pm$0.0;29.23$\pm$0.0;15.82$\pm$0.0;17.25$\pm$0.0;14.62$\pm$0.0;19.45$\pm$0.0;12.31$\pm$0.0
Hits@50;43.19$\pm$0.0;71.87$\pm$0.0;30.44$\pm$0.0;54.84$\pm$0.0;29.12$\pm$0.0;29.45$\pm$0.0;32.09$\pm$0.0;29.23$\pm$0.0;21.65$\pm$0.0;22.42$\pm$0.0;26.37$\pm$0.0;22.53$\pm$0.0;22.42$\pm$0.0;22.2$\pm$0.0;23.19$\pm$0.0;19.89$\pm$0.0;28.02$\pm$0.0;14.73$\pm$0.0;24.73$\pm$0.0;25.93$\pm$0.0;31.32$\pm$0.0;29.89$\pm$0.0;25.16$\pm$0.0;24.4$\pm$0.0;42.42$\pm$0.0;23.74$\pm$0.0;24.29$\pm$0.0;23.08$\pm$0.0;27.47$\pm$0.0;21.54$\pm$0.0
Hits@100;43.19$\pm$0.0;80.44$\pm$0.0;41.65$\pm$0.0;68.79$\pm$0.0;40.88$\pm$0.0;41.43$\pm$0.0;43.19$\pm$0.0;39.56$\pm$0.0;29.78$\pm$0.0;29.89$\pm$0.0;34.73$\pm$0.0;30.44$\pm$0.0;30.66$\pm$0.0;30.0$\pm$0.0;30.44$\pm$0.0;29.56$\pm$0.0;40.88$\pm$0.0;25.82$\pm$0.0;41.1$\pm$0.0;41.76$\pm$0.0;46.81$\pm$0.0;51.98$\pm$0.0;34.29$\pm$0.0;32.42$\pm$0.0;56.81$\pm$0.0;33.96$\pm$0.0;33.74$\pm$0.0;34.29$\pm$0.0;34.95$\pm$0.0;32.75$\pm$0.0
ROCAUC;71.92$\pm$0.0;90.65$\pm$0.0;73.79$\pm$0.0;89.45$\pm$0.0;73.83$\pm$0.0;73.23$\pm$0.0;76.06$\pm$0.0;72.25$\pm$0.0;64.5$\pm$0.0;64.62$\pm$0.0;66.08$\pm$0.0;64.66$\pm$0.0;64.74$\pm$0.0;64.62$\pm$0.0;64.82$\pm$0.0;64.04$\pm$0.0;81.38$\pm$0.0;66.96$\pm$0.0;81.22$\pm$0.0;79.75$\pm$0.0;81.47$\pm$0.0;80.94$\pm$0.0;70.27$\pm$0.0;66.15$\pm$0.0;81.75$\pm$0.0;66.06$\pm$0.0;66.05$\pm$0.0;65.82$\pm$0.0;66.97$\pm$0.0;65.86$\pm$0.0
AP;78.88$\pm$0.0;92.44$\pm$0.0;75.39$\pm$0.0;88.83$\pm$0.0;75.31$\pm$0.0;74.84$\pm$0.0;77.25$\pm$0.0;73.97$\pm$0.0;66.59$\pm$0.0;66.86$\pm$0.0;69.06$\pm$0.0;66.91$\pm$0.0;66.97$\pm$0.0;66.83$\pm$0.0;67.07$\pm$0.0;66.18$\pm$0.0;79.19$\pm$0.0;65.61$\pm$0.0;78.43$\pm$0.0;78.06$\pm$0.0;80.19$\pm$0.0;78.94$\pm$0.0;71.3$\pm$0.0;68.99$\pm$0.0;83.26$\pm$0.0;69.08$\pm$0.0;69.2$\pm$0.0;68.69$\pm$0.0;71.12$\pm$0.0;68.23$\pm$0.0
pretrain_time;nan$\pm$nan;nan$\pm$nan;0.07$\pm$0.0;0.07$\pm$0.0;0.07$\pm$0.0;0.07$\pm$0.0;0.08$\pm$0.0;6.04$\pm$0.0;11.76$\pm$0.0;0.06$\pm$0.0;0.06$\pm$0.0;0.06$\pm$0.0;0.06$\pm$0.0;0.07$\pm$0.0;6.04$\pm$0.0;11.77$\pm$0.0;0.11$\pm$0.0;0.12$\pm$0.0;0.11$\pm$0.0;0.12$\pm$0.0;0.12$\pm$0.0;6.05$\pm$0.0;11.79$\pm$0.0;0.07$\pm$0.0;0.07$\pm$0.0;0.07$\pm$0.0;0.07$\pm$0.0;0.07$\pm$0.0;5.99$\pm$0.0;11.73$\pm$0.0
