metrics;baseline_mean;baseline;bgrl_random_mean;bgrl_random
Hits@10;22.68$\pm$5.16;"[0.20568648 0.32953381 0.19723361 0.2734375  0.19390369 0.28112193
 0.17981557 0.14728484 0.23463115 0.22528176]";0.15$\pm$0.05;"[0.00064037 0.00102459 0.00140881 0.00166496 0.00115266 0.00153689
 0.00230533 0.00179303 0.00128074 0.00204918]"
Hits@20;34.35$\pm$2.55;"[0.31518955 0.37589652 0.37128586 0.35489242 0.32735656 0.37602459
 0.32735656 0.35015369 0.33875512 0.29764344]";0.26$\pm$0.05;"[0.00166496 0.0024334  0.00192111 0.00268955 0.00281762 0.00268955
 0.00345799 0.00268955 0.00307377 0.00230533]"
Hits@50;46.05$\pm$1.57;"[0.46465164 0.45338115 0.46644467 0.45453381 0.4658043  0.48232582
 0.44415984 0.47438525 0.47348873 0.42610143]";0.55$\pm$0.08;"[0.00422643 0.0048668  0.00589139 0.00563525 0.0048668  0.00678791
 0.00678791 0.00576332 0.0053791  0.00525102]"
Hits@100;54.04$\pm$1.07;"[0.53983094 0.53509221 0.55379098 0.53342725 0.54597848 0.55571209
 0.52971311 0.55315061 0.53509221 0.52254098]";1.21$\pm$0.15;"[0.01011783 0.01255123 0.01255123 0.01165471 0.01063012 0.01293545
 0.01575307 0.01165471 0.01191086 0.01101434]"
ROCAUC;87.62$\pm$0.46;"[0.86934791 0.8731088  0.88586249 0.87118325 0.87817577 0.87471738
 0.87308383 0.87779287 0.87759997 0.88069759]";51.79$\pm$0.38;"[0.5167829  0.51744289 0.51900494 0.51421927 0.51555836 0.52653494
 0.5166171  0.52023396 0.52055764 0.51207347]"
AP;90.61$\pm$0.3;"[0.90116438 0.90578469 0.91322029 0.90378746 0.90660186 0.90670278
 0.90426631 0.90718504 0.90513124 0.90730695]";49.74$\pm$0.34;"[0.49384672 0.49537926 0.49882047 0.49429691 0.49464516 0.5043839
 0.49944038 0.49728321 0.50174472 0.49406048]"
pretrain_time;nan$\pm$nan;[];0.0$\pm$0.0;"[0.00021863 0.00023293 0.00021791 0.00023246 0.00024009 0.00024366
 0.00023389 0.00023675 0.00023413 0.00024271]"
