metrics;a2grace_random_mean;a2grace_random;a2grace_deg_mean;a2grace_deg;a2grace_raa_mean;a2grace_raa;a2grace_sbm+random_mean;a2grace_sbm+random;a2grace_sbm+deg_mean;a2grace_sbm+deg;a2grace_sbm+raa_mean;a2grace_sbm+raa;a2bgrl_random_mean;a2bgrl_random;a2bgrl_deg_mean;a2bgrl_deg;a2bgrl_raa_mean;a2bgrl_raa;a2bgrl_sbm+random_mean;a2bgrl_sbm+random;a2bgrl_sbm+deg_mean;a2bgrl_sbm+deg;a2bgrl_sbm+raa_mean;a2bgrl_sbm+raa
Hits@10;55.88$\pm$5.1;"[0.53744076 0.54881517 0.5450237  0.65876777 0.56872038 0.54881517
 0.4492891  0.58009479 0.60758294 0.54312796]";40.52$\pm$4.42;"[0.37440758 0.4028436  0.37914692 0.40189573 0.45687204 0.42369668
 0.41232227 0.49763033 0.33554502 0.36777251]";56.07$\pm$4.86;"[0.56682464 0.52322275 0.52132701 0.64170616 0.56113744 0.57440758
 0.45687204 0.58293839 0.61137441 0.56682464]";60.04$\pm$6.5;"[0.61516588 0.57061611 0.62843602 0.64265403 0.62180095 0.64549763
 0.41611374 0.63222749 0.63317536 0.59810427]";43.93$\pm$8.09;"[0.36872038 0.49004739 0.50236967 0.47109005 0.4        0.41042654
 0.36872038 0.59241706 0.29952607 0.49004739]";56.48$\pm$3.18;"[0.58578199 0.56872038 0.58957346 0.5971564  0.53744076 0.5971564
 0.48909953 0.54881517 0.57725118 0.55734597]";52.82$\pm$6.43;"[0.4056872  0.51184834 0.55260664 0.58199052 0.53175355 0.56018957
 0.41232227 0.56018957 0.60663507 0.55829384]";58.64$\pm$2.99;"[0.53838863 0.61611374 0.59052133 0.62464455 0.59241706 0.57251185
 0.54881517 0.57630332 0.63412322 0.57061611]";51.66$\pm$4.81;"[0.49194313 0.45781991 0.51848341 0.55829384 0.57345972 0.51374408
 0.41327014 0.53933649 0.56872038 0.53080569]";56.02$\pm$4.13;"[0.52890995 0.5563981  0.55165877 0.62748815 0.53554502 0.55924171
 0.48151659 0.57061611 0.62748815 0.56303318]";58.14$\pm$4.21;"[0.51090047 0.60758294 0.61990521 0.63981043 0.61800948 0.61421801
 0.54597156 0.53175355 0.57630332 0.54976303]";54.86$\pm$3.87;"[0.52037915 0.54218009 0.53459716 0.60379147 0.58104265 0.53649289
 0.47488152 0.56113744 0.60758294 0.52417062]"
Hits@20;66.04$\pm$2.74;"[0.65592417 0.65023697 0.67298578 0.71753555 0.67014218 0.61895735
 0.62274882 0.68436019 0.66350711 0.64739336]";54.09$\pm$4.53;"[0.48056872 0.49478673 0.57630332 0.56113744 0.54881517 0.51753555
 0.58388626 0.62938389 0.49004739 0.52606635]";65.56$\pm$3.4;"[0.65876777 0.62938389 0.6492891  0.71563981 0.64739336 0.6549763
 0.58009479 0.66919431 0.69099526 0.66066351]";68.64$\pm$3.35;"[0.66350711 0.66824645 0.69763033 0.74028436 0.68056872 0.707109
 0.60947867 0.68341232 0.71563981 0.69763033]";60.45$\pm$5.14;"[0.4985782  0.58104265 0.67867299 0.60758294 0.61042654 0.61327014
 0.6        0.68909953 0.56113744 0.60473934]";66.03$\pm$2.99;"[0.67867299 0.65781991 0.67867299 0.68530806 0.64454976 0.66729858
 0.57819905 0.67298578 0.65781991 0.68151659]";62.76$\pm$2.82;"[0.62369668 0.61137441 0.63317536 0.64739336 0.6521327  0.61706161
 0.56018957 0.62369668 0.67109005 0.63601896]";67.31$\pm$2.82;"[0.62748815 0.68530806 0.67867299 0.71184834 0.68151659 0.67962085
 0.64265403 0.67393365 0.71469194 0.63507109]";61.94$\pm$2.45;"[0.60947867 0.63412322 0.63033175 0.64739336 0.64739336 0.58388626
 0.56777251 0.62748815 0.62369668 0.62274882]";63.91$\pm$3.27;"[0.63696682 0.64549763 0.64075829 0.68436019 0.63981043 0.64265403
 0.5563981  0.63127962 0.67962085 0.63317536]";66.09$\pm$2.79;"[0.62180095 0.65876777 0.6957346  0.69099526 0.66919431 0.68436019
 0.62369668 0.63696682 0.69194313 0.63601896]";63.26$\pm$2.51;"[0.62274882 0.64549763 0.63886256 0.66824645 0.66919431 0.60758294
 0.59810427 0.61990521 0.65402844 0.60189573]"
Hits@50;75.53$\pm$1.79;"[0.76777251 0.73175355 0.77914692 0.78388626 0.77251185 0.75165877
 0.74407583 0.74218009 0.74407583 0.73554502]";73.84$\pm$2.33;"[0.70900474 0.72417062 0.73459716 0.74123223 0.7535545  0.70521327
 0.76492891 0.77819905 0.75545024 0.71753555]";75.19$\pm$1.11;"[0.74881517 0.73838863 0.7563981  0.76872038 0.74218009 0.74218009
 0.74028436 0.7535545  0.77156398 0.75734597]";77.52$\pm$2.0;"[0.76682464 0.7478673  0.7971564  0.79905213 0.78104265 0.79526066
 0.74407583 0.75260664 0.77819905 0.78957346]";76.87$\pm$1.92;"[0.74028436 0.7478673  0.80379147 0.78104265 0.76303318 0.75829384
 0.77156398 0.7943128  0.7535545  0.77345972]";76.73$\pm$1.63;"[0.76777251 0.74123223 0.79620853 0.78862559 0.77630332 0.76682464
 0.7507109  0.76872038 0.76777251 0.74881517]";70.78$\pm$1.72;"[0.67867299 0.69478673 0.73838863 0.70331754 0.72417062 0.69763033
 0.69763033 0.69952607 0.72606635 0.71753555]";76.55$\pm$1.51;"[0.75734597 0.76966825 0.77914692 0.76872038 0.77251185 0.74597156
 0.75829384 0.7450237  0.79810427 0.76018957]";69.02$\pm$0.91;"[0.68625592 0.6957346  0.69763033 0.70236967 0.70616114 0.68246445
 0.67677725 0.68341232 0.68530806 0.68625592]";74.54$\pm$1.77;"[0.71279621 0.73649289 0.76777251 0.74976303 0.76587678 0.76113744
 0.72701422 0.74123223 0.76113744 0.73080569]";76.46$\pm$1.52;"[0.73744076 0.76682464 0.79052133 0.77251185 0.77156398 0.77345972
 0.75829384 0.74123223 0.77440758 0.76018957]";73.91$\pm$0.92;"[0.73838863 0.72890995 0.74976303 0.73933649 0.7535545  0.72890995
 0.73364929 0.7478673  0.72606635 0.7450237 ]"
Hits@100;81.48$\pm$1.72;"[0.82748815 0.77630332 0.82369668 0.82559242 0.83791469 0.8056872
 0.81421801 0.7943128  0.82274882 0.81990521]";84.45$\pm$1.89;"[0.82843602 0.83412322 0.80379147 0.85402844 0.85687204 0.84834123
 0.85118483 0.85876777 0.87488152 0.83412322]";81.29$\pm$1.7;"[0.80947867 0.78388626 0.82559242 0.82085308 0.82180095 0.78862559
 0.80853081 0.80094787 0.82938389 0.83981043]";82.83$\pm$1.89;"[0.82559242 0.79905213 0.84739336 0.82843602 0.83127962 0.8464455
 0.80758294 0.80094787 0.84549763 0.85118483]";84.82$\pm$1.79;"[0.83222749 0.80379147 0.85971564 0.85402844 0.86635071 0.84454976
 0.84170616 0.85876777 0.86255924 0.85876777]";82.09$\pm$1.49;"[0.81421801 0.79336493 0.83791469 0.83601896 0.84265403 0.81990521
 0.80473934 0.81706161 0.83033175 0.81232227]";75.58$\pm$1.45;"[0.73649289 0.73554502 0.77345972 0.75165877 0.76113744 0.74407583
 0.76492891 0.7478673  0.78104265 0.76208531]";81.51$\pm$1.45;"[0.8        0.8        0.83033175 0.81990521 0.81232227 0.81611374
 0.81800948 0.79241706 0.84454976 0.81706161]";73.55$\pm$1.16;"[0.72890995 0.72796209 0.7507109  0.73175355 0.75450237 0.72606635
 0.74123223 0.71374408 0.74123223 0.73933649]";80.81$\pm$1.15;"[0.77819905 0.8056872  0.81516588 0.82085308 0.81611374 0.81421801
 0.80853081 0.81421801 0.80853081 0.79905213]";82.12$\pm$1.29;"[0.80853081 0.81516588 0.84549763 0.83222749 0.82180095 0.82274882
 0.81990521 0.79905213 0.83507109 0.81232227]";79.01$\pm$1.26;"[0.78199052 0.77345972 0.7971564  0.79810427 0.81232227 0.77914692
 0.79905213 0.78862559 0.77156398 0.8       ]"
ROCAUC;91.62$\pm$1.06;"[0.91593928 0.89547854 0.92393926 0.91829923 0.92655152 0.90595854
 0.91795602 0.90423396 0.93113213 0.92295231]";93.49$\pm$0.59;"[0.93079175 0.9286512  0.92793423 0.93437209 0.93631859 0.93363222
 0.93743267 0.94328339 0.9465705  0.92970508]";91.36$\pm$0.88;"[0.90911086 0.8936996  0.92112756 0.91515465 0.92154534 0.90723928
 0.9115267  0.91031199 0.92481991 0.921336  ]";91.78$\pm$1.14;"[0.91757961 0.89653422 0.9264446  0.91786528 0.92674828 0.92542845
 0.9062968  0.90230408 0.93041359 0.92848319]";93.44$\pm$0.82;"[0.92413374 0.91762629 0.93987017 0.93655309 0.93751263 0.93293367
 0.9290546  0.94224748 0.94554979 0.93863929]";91.15$\pm$0.89;"[0.9047915  0.8917832  0.92005211 0.91782395 0.91626334 0.91142607
 0.90565261 0.90853754 0.92455462 0.91451225]";87.16$\pm$1.09;"[0.85364713 0.85642865 0.8858624  0.86840188 0.87467487 0.86544148
 0.8735253  0.8693749  0.88855365 0.88045731]";90.69$\pm$0.77;"[0.89665099 0.89534107 0.91587431 0.90687002 0.9087936  0.90256463
 0.90641091 0.90340918 0.92116874 0.91215921]";86.07$\pm$0.85;"[0.85358238 0.84348869 0.86778105 0.86098066 0.87049078 0.85051639
 0.86892028 0.85896633 0.86535698 0.86712787]";90.39$\pm$0.83;"[0.88580447 0.8937562  0.9116426  0.91362278 0.90653669 0.90605512
 0.90855641 0.89858808 0.90981951 0.90425282]";91.07$\pm$0.52;"[0.90113133 0.9032524  0.91902338 0.91318254 0.91041351 0.91425709
 0.90772355 0.91331012 0.91495634 0.90964264]";89.19$\pm$0.72;"[0.8848665  0.87530469 0.89499607 0.89430336 0.90072101 0.88721996
 0.8943703  0.8910905  0.89619684 0.89951169]"
AP;93.39$\pm$0.65;"[0.93138436 0.92290114 0.93867715 0.93842434 0.94242655 0.92684442
 0.93110816 0.92885908 0.94349741 0.93478141]";93.87$\pm$0.53;"[0.93327984 0.93534763 0.93471325 0.94113061 0.94112654 0.9331784
 0.94392829 0.94910696 0.94176816 0.93301617]";93.28$\pm$0.59;"[0.92870622 0.92201145 0.93742191 0.93643943 0.93886203 0.92668837
 0.92727896 0.93325226 0.940625   0.93651307]";93.81$\pm$0.78;"[0.93666455 0.92632477 0.94484066 0.9382028  0.94426812 0.94459335
 0.92601988 0.92914609 0.9461175  0.94497584]";94.09$\pm$0.59;"[0.93265188 0.9300931  0.94481637 0.94355985 0.94455781 0.94057764
 0.93726806 0.95093783 0.94465833 0.9401184 ]";93.34$\pm$0.55;"[0.92989351 0.92289168 0.93798758 0.93841554 0.93760017 0.93459227
 0.92577732 0.93215227 0.94103739 0.93411204]";90.74$\pm$0.81;"[0.89431304 0.89824865 0.91799849 0.90709774 0.90970686 0.90236416
 0.90279399 0.9063282  0.92127608 0.91373071]";93.11$\pm$0.56;"[0.92411096 0.92570187 0.93721829 0.9332316  0.93184133 0.92766318
 0.92691723 0.92726271 0.94321643 0.93345301]";89.93$\pm$0.53;"[0.89419111 0.89024894 0.90426313 0.90186678 0.90750133 0.89320208
 0.89883677 0.89714143 0.9040284  0.90177047]";92.83$\pm$0.57;"[0.91710175 0.92346813 0.93505194 0.93609824 0.93061412 0.92920122
 0.92715921 0.92462478 0.9343032  0.92543068]";93.31$\pm$0.44;"[0.92526733 0.92916876 0.94023639 0.93710995 0.93283585 0.93602861
 0.92835429 0.93221803 0.93760521 0.93203122]";92.1$\pm$0.49;"[0.91591885 0.91200691 0.92438756 0.92497954 0.92806147 0.91637396
 0.91806612 0.92047928 0.92419486 0.92530902]"
pretrain_time;39.45$\pm$2.83;"[38.86729097 37.09237981 39.45311952 35.4814992  41.98696041 43.24974132
 39.13019347 35.1481843  43.66559052 40.47304153]";55.93$\pm$11.7;"[36.6803298  55.72325397 68.16185355 52.26597428 62.74425244 68.04928899
 71.84185481 45.19097638 58.95378828 39.6514523 ]";38.9$\pm$2.79;"[38.23014712 41.68696332 35.19880986 36.87479377 43.20707774 36.7258327
 42.88583541 37.49420643 40.60277581 36.06636167]";491.41$\pm$168.41;"[357.32077122 565.18594241 432.62338996 425.91526914 384.87892509
 402.95286512 882.59442186 718.02310538 388.59103632 355.97678828]";697.34$\pm$194.63;"[456.9011333  787.60992742 857.66610694 867.36836815 804.61122322
 845.6547792  904.04690099 455.2665801  644.16404843 350.09787297]";464.61$\pm$118.04;"[405.18778825 736.78434062 575.20027852 356.28654838 416.79664278
 385.43451619 433.69942403 397.85704613 360.48866248 578.38706398]";32.8$\pm$1.83;"[34.2373178  34.01030755 29.28922391 34.17795253 33.57887602 33.05383182
 33.93088841 32.90598631 29.20197535 33.63469005]";36.01$\pm$3.75;"[35.16333199 40.58709526 29.78309464 34.00784063 34.89009213 31.78456116
 41.06524777 41.55617976 35.13649201 36.15467334]";34.25$\pm$0.76;"[33.61176991 34.87964702 33.02090836 34.97987819 34.06034136 33.48141646
 33.8103981  34.21597147 35.6067872  34.80355883]";410.31$\pm$54.05;"[419.27561116 494.74214673 380.46835518 358.11157608 516.4665823
 355.11813188 385.72844672 370.4569025  380.73402047 442.04067922]";384.86$\pm$30.54;"[349.41600394 393.69728398 375.6292491  431.02150989 429.93197656
 365.9869411  385.21129799 402.23039794 329.30430603 386.14242721]";427.32$\pm$22.95;"[438.20675373 455.16680312 459.29623938 402.96306181 445.40356278
 432.23575878 399.86598301 417.47183537 434.0689702  388.47689247]"
