metrics;lbgrl_random_mean;lbgrl_random;lbgrl_deg_mean;lbgrl_deg;lbgrl_pr_mean;lbgrl_pr;lbgrl_evc_mean;lbgrl_evc;lbgrl_scom_mean;lbgrl_scom;lbgrl_random+scom_mean;lbgrl_random+scom;lbgrl_random+deg_mean;lbgrl_random+deg;lbgrl_deg+scom_mean;lbgrl_deg+scom
Hits@10;27.92$\pm$3.95;"[0.32423285 0.33021209 0.27222473 0.24232852 0.34296029 0.27662455
 0.21412455 0.27075812 0.24469765 0.2741426 ]";27.59$\pm$5.97;"[0.40049639 0.32524819 0.2336417  0.28012184 0.32694043 0.21604242
 0.23646209 0.29478791 0.25597924 0.18975632]";28.84$\pm$4.71;"[0.35841606 0.32569946 0.23431859 0.32558664 0.31926895 0.28576264
 0.29805957 0.29862365 0.24052347 0.19821751]";23.54$\pm$5.04;"[0.29478791 0.27854242 0.16640343 0.25507671 0.32615072 0.16899819
 0.21762184 0.20419675 0.23781588 0.20430957]";27.4$\pm$4.69;"[0.33077617 0.26793773 0.24684116 0.27008123 0.36405686 0.23657491
 0.21976534 0.32829422 0.2351083  0.24063628]";26.41$\pm$5.98;"[0.29535199 0.28959838 0.28643953 0.29162906 0.36191336 0.15365523
 0.21897563 0.31509477 0.24063628 0.18738718]";28.65$\pm$6.8;"[0.38876354 0.32603791 0.33935018 0.21310921 0.33190433 0.2088222
 0.22743682 0.35288809 0.29061372 0.18603339]";28.93$\pm$5.55;"[0.36732852 0.35920578 0.23770307 0.28440884 0.36823105 0.2592509
 0.25394856 0.26398917 0.29930054 0.19968412]"
Hits@20;39.99$\pm$4.0;"[0.4588222  0.39812726 0.37748195 0.39316336 0.43456679 0.38571751
 0.3963222  0.46152978 0.32344314 0.36992329]";40.44$\pm$4.59;"[0.48093412 0.40478339 0.34814982 0.39620939 0.45464801 0.34420126
 0.43851534 0.4446074  0.37308213 0.35886733]";41.38$\pm$5.15;"[0.46525271 0.43118231 0.36371841 0.41380866 0.4396435  0.39259928
 0.44415614 0.50564079 0.339463   0.34239621]";35.77$\pm$3.74;"[0.40455776 0.38616877 0.32220217 0.34634477 0.39869134 0.30009025
 0.32378159 0.34893953 0.41110108 0.33551444]";39.07$\pm$4.85;"[0.46784747 0.34329874 0.34645758 0.36180054 0.46333484 0.39384025
 0.35649819 0.4545352  0.36495939 0.35446751]";38.56$\pm$6.04;"[0.46435018 0.37759477 0.38673285 0.40625    0.45837094 0.26128159
 0.36022112 0.45509928 0.34555505 0.34070397]";41.03$\pm$6.01;"[0.44979693 0.4090704  0.47788809 0.39598375 0.44866877 0.31554603
 0.34995487 0.50722022 0.4183213  0.33100181]";41.58$\pm$4.65;"[0.49356949 0.48070848 0.39000451 0.42475181 0.42554152 0.379287
 0.40038357 0.41471119 0.42712094 0.32208935]"
Hits@50;59.54$\pm$3.47;"[0.63120487 0.58009928 0.60898014 0.57096119 0.64462996 0.58269404
 0.56498195 0.65027076 0.54095217 0.57897112]";58.96$\pm$4.67;"[0.61732852 0.57479693 0.55234657 0.56419224 0.6633574  0.54636733
 0.64553249 0.64993231 0.54095217 0.54151625]";60.09$\pm$3.75;"[0.62939982 0.58935018 0.55121841 0.58833484 0.65873195 0.58562726
 0.63842509 0.64733755 0.56441787 0.55573105]";52.43$\pm$4.02;"[0.56419224 0.52967058 0.47405235 0.51590704 0.58968863 0.45024819
 0.49447202 0.53700361 0.55708484 0.53091155]";58.11$\pm$3.88;"[0.62454874 0.56159747 0.53519856 0.6036778  0.65151173 0.58698105
 0.56238718 0.61146209 0.53959838 0.53429603]";58.35$\pm$5.42;"[0.63718412 0.54591606 0.59487816 0.62330776 0.65207581 0.48307762
 0.60875451 0.62951264 0.52177347 0.53824458]";60.15$\pm$5.39;"[0.60773917 0.61180054 0.66358303 0.59950361 0.61631318 0.49842058
 0.61935921 0.67384928 0.61541065 0.50936372]";60.82$\pm$5.09;"[0.6541065  0.60740072 0.53294224 0.63831227 0.65850632 0.58743231
 0.63413809 0.62578971 0.64496841 0.49875903]"
Hits@100;72.47$\pm$2.51;"[0.75259477 0.70397112 0.74142599 0.69708935 0.7407491  0.71502708
 0.72382671 0.76714801 0.68095668 0.72382671]";72.64$\pm$3.8;"[0.754287   0.70803249 0.70351986 0.70543773 0.77549639 0.68953069
 0.77809116 0.77402978 0.70577617 0.66990072]";73.35$\pm$3.1;"[0.76240975 0.72506769 0.6952843  0.74120036 0.76128159 0.72777527
 0.77470668 0.76556859 0.69043321 0.69122292]";65.69$\pm$3.33;"[0.66933664 0.67745939 0.64361462 0.62883574 0.72619585 0.59499097
 0.65173736 0.6590704  0.67994134 0.63752256]";71.21$\pm$3.43;"[0.75564079 0.71265794 0.66933664 0.74819495 0.75022563 0.71694495
 0.70656588 0.73465704 0.66110108 0.66595217]";71.48$\pm$4.54;"[0.75676895 0.71107852 0.73555957 0.72630866 0.76568141 0.63504061
 0.73646209 0.76263538 0.67181859 0.6463222 ]";72.36$\pm$4.5;"[0.76173285 0.74029783 0.75947653 0.70295578 0.75327166 0.64767599
 0.70983755 0.78282942 0.7336417  0.64384025]";73.18$\pm$3.05;"[0.75507671 0.71965253 0.69314079 0.74311823 0.75315884 0.71051444
 0.74729242 0.75609206 0.77008123 0.67012635]"
ROCAUC;97.91$\pm$0.22;"[0.9815697  0.97842569 0.98231064 0.97501481 0.97974446 0.9791221
 0.97726869 0.98215102 0.97800704 0.97767845]";98.11$\pm$0.19;"[0.98365042 0.97973831 0.9800432  0.97886403 0.98364484 0.98118451
 0.98236003 0.98344792 0.97933949 0.97902901]";98.11$\pm$0.18;"[0.98311816 0.98061226 0.97946388 0.97893681 0.98306354 0.98154855
 0.98227317 0.9836357  0.97932618 0.9788676 ]";97.82$\pm$0.19;"[0.98053328 0.97826061 0.97704733 0.97498006 0.9810567  0.97642555
 0.97816186 0.97967633 0.97926696 0.97638528]";98.04$\pm$0.16;"[0.98375434 0.9787445  0.97977645 0.97938547 0.98211159 0.98056543
 0.97994194 0.98184268 0.97912549 0.97859219]";97.98$\pm$0.23;"[0.98358099 0.97855122 0.98255385 0.9782052  0.98104901 0.97753239
 0.97994795 0.98216546 0.97785315 0.97658375]";98.08$\pm$0.22;"[0.98376549 0.98029151 0.9833319  0.97864971 0.98138781 0.97777442
 0.98068598 0.98371474 0.98080658 0.97730932]";98.0$\pm$0.17;"[0.98315027 0.97873181 0.97960959 0.97886421 0.98067716 0.98019699
 0.97908747 0.98189296 0.98049969 0.97692176]"
AP;97.93$\pm$0.22;"[0.98230262 0.97905814 0.98179002 0.97577167 0.98088857 0.97920706
 0.9775044  0.98198315 0.97663018 0.97805383]";98.07$\pm$0.23;"[0.98363791 0.98024125 0.97879892 0.97881206 0.98395877 0.97953055
 0.98241106 0.98323683 0.97829734 0.97762907]";98.07$\pm$0.23;"[0.98324492 0.9809443  0.97810068 0.97863462 0.98350942 0.98068187
 0.98277666 0.98329722 0.97819759 0.97756008]";97.67$\pm$0.22;"[0.97920887 0.97763126 0.97479133 0.97408341 0.98052582 0.97370052
 0.9767965  0.97810448 0.97770931 0.97493966]";97.97$\pm$0.2;"[0.98365743 0.9788036  0.97819454 0.97922434 0.98249927 0.97966846
 0.97913286 0.98117816 0.97762384 0.97742963]";97.94$\pm$0.28;"[0.98340376 0.97881148 0.98175157 0.97872481 0.98190566 0.97515556
 0.98005052 0.98193353 0.97678735 0.97539201]";98.06$\pm$0.28;"[0.98382732 0.98098116 0.98352725 0.97817852 0.98184657 0.97632101
 0.98032519 0.9841457  0.98083916 0.97594506]";98.01$\pm$0.2;"[0.98344595 0.98003698 0.97880683 0.97943247 0.98153176 0.97957526
 0.98029503 0.98163141 0.98114784 0.97558565]"
pretrain_time;149.15$\pm$89.45;"[271.88523412  80.83570004 256.50909805 114.46408057 114.42038727
 215.01230359  55.70224714 272.0137012   38.53517556  72.08445716]";84.16$\pm$32.75;"[152.8784616   64.4657104   67.32579947 125.31203222  88.82870221
  90.59584069  80.53706169  87.5757463   42.08081508  41.96468568]";89.79$\pm$34.44;"[152.80418634  67.84166598  67.25007081 125.59447408  93.48748946
 122.05847597  86.82266593  97.30858302  42.40099525  42.35665226]";55.36$\pm$12.58;"[68.75023103 42.78930879 68.61440325 42.8328886  64.35613179 69.07013392
 42.98121333 68.61018181 42.70478296 42.89397287]";97.42$\pm$53.81;"[201.74284148  69.51307011  67.89715385 116.55056    127.05286121
 175.56213951  42.82235217  87.69309115  42.60245633  42.72730231]";100.33$\pm$58.76;"[143.21951056  61.41228151 227.85371995 118.51490355  71.81814718
  76.50194097  57.62267518 165.30556726  40.53144646  40.4852984 ]";116.53$\pm$69.57;"[225.06525326  87.95645094 225.54266405  96.30562353  57.13062739
  75.88719606  54.81902742 207.21347594  95.22562671  40.11874127]";96.67$\pm$28.85;"[133.43980718  91.16352892  68.40574884 101.64929843  62.38376522
 122.30256867 127.5252521  117.94651198  98.82220769  43.04853439]"
