metrics;baseline_mean;baseline;bgrl_random_mean;bgrl_random;bgrl_sbm2_mean;bgrl_sbm2;lbgrl_random_mean;lbgrl_random;lbgrl_sbm2_mean;lbgrl_sbm2
Hits@10;24.42$\pm$6.05;[0.20568648 0.32953381 0.19723361];12.14$\pm$0.5;[0.1225666  0.1147541  0.12679303];7.49$\pm$1.13;[0.06416496 0.09054816 0.07005635];14.94$\pm$0.64;[0.14190574 0.14869365 0.15753074];5.34$\pm$1.32;[0.03765369 0.05276639 0.06992828]
Hits@20;35.41$\pm$2.76;[0.31518955 0.37589652 0.37128586];16.91$\pm$0.68;[0.16214139 0.17827869 0.1670082 ];11.92$\pm$1.52;[0.09836066 0.12512807 0.13422131];21.09$\pm$2.83;[0.17085041 0.23078893 0.23091701];9.58$\pm$3.48;[0.06211578 0.08158299 0.14369877]
Hits@50;46.15$\pm$0.58;[0.46465164 0.45338115 0.46644467];25.41$\pm$0.47;[0.24833504 0.25409836 0.25986168];21.79$\pm$1.93;[0.19569672 0.21542008 0.2426998 ];29.92$\pm$2.57;[0.26357582 0.31070697 0.32338627];18.15$\pm$2.63;[0.15689037 0.16956967 0.21798156]
Hits@100;54.29$\pm$0.79;[0.53983094 0.53509221 0.55379098];34.04$\pm$1.81;[0.3154457  0.34772029 0.35796619];32.29$\pm$1.38;[0.30635246 0.32223361 0.34003586];38.35$\pm$1.17;[0.36731557 0.38870389 0.39446721];26.45$\pm$2.51;[0.24820697 0.24526127 0.29994877]
ROCAUC;87.61$\pm$0.71;[0.86934791 0.8731088  0.88586249];75.68$\pm$1.0;[0.74266476 0.762885   0.76479902];81.56$\pm$0.21;[0.81830881 0.81328127 0.81507704];82.45$\pm$3.37;[0.77711035 0.84358581 0.85287343];86.53$\pm$0.38;[0.85989658 0.86762796 0.8683563 ]
AP;90.67$\pm$0.5;[0.90116438 0.90578469 0.91322029];81.56$\pm$0.88;[0.80321177 0.82078032 0.82291302];84.89$\pm$0.17;[0.84867375 0.84698851 0.85101577];86.27$\pm$1.84;[0.83690759 0.87281833 0.87845724];86.91$\pm$0.45;[0.86312404 0.87012425 0.87410263]
pretrain_time;nan$\pm$nan;[];1.51$\pm$0.0;[1.51054573 1.50488687 1.50746655];462.65$\pm$6.84;[452.9973805  468.04451823 466.89842582];2.45$\pm$0.5;[3.15637851 2.0988543  2.10095263];462.26$\pm$5.83;[454.05894256 467.14467597 465.56400943]
