metrics;baseline_enc:gcn_grace_pred:mlp_mean;baseline_enc:gcn_grace_pred:mlp
Hits@10;19.0$\pm$3.28;[0.18102932 0.23578695 0.20945542 0.13704369 0.18671454]
Hits@20;27.18$\pm$3.37;[0.29802513 0.29204069 0.30101735 0.2133453  0.25433872]
Hits@50;42.85$\pm$2.91;[0.44853381 0.45691203 0.4347696  0.37372831 0.42848594]
Hits@100;57.71$\pm$4.32;[0.60293238 0.60831837 0.59844405 0.49222023 0.58378217]
ROCAUC;93.75$\pm$1.03;[0.94221259 0.94010474 0.9439877  0.91721721 0.94410081]
AP;93.37$\pm$1.11;[0.93886302 0.93924443 0.94049467 0.91160069 0.93850559]
pretrain_time;nan$\pm$nan;[]
