metrics;baseline_mean;baseline;bgrl_random_mean;bgrl_random
Hits@10;11.64$\pm$3.0;"[0.1198786  0.08194234 0.09484067 0.11836115 0.13505311 0.07435508
 0.17905918 0.14871017 0.10849772 0.10318665]";5.14$\pm$0.95;"[0.06904401 0.04400607 0.04704097 0.0508346  0.04855842 0.0508346
 0.06221548 0.0477997  0.03414264 0.0599393 ]"
Hits@20;16.65$\pm$2.68;"[0.17602428 0.15402124 0.1198786  0.17223065 0.19575114 0.14491654
 0.21699545 0.18057663 0.16388467 0.14112291]";9.16$\pm$0.88;"[0.1107739  0.08877086 0.09104704 0.08952959 0.09180577 0.08194234
 0.10318665 0.09256449 0.07966616 0.08649469]"
Hits@50;24.41$\pm$1.76;"[0.25644917 0.23899848 0.23748103 0.22610015 0.26479514 0.22230653
 0.26327769 0.26100152 0.25569044 0.21471927]";16.48$\pm$1.09;"[0.15705615 0.16540212 0.18285281 0.17223065 0.18209408 0.16236722
 0.16616085 0.15553869 0.15553869 0.14871017]"
Hits@100;30.49$\pm$1.05;"[0.31942337 0.30273141 0.29059181 0.29210926 0.30880121 0.29817906
 0.31942337 0.31790592 0.30349014 0.29590288]";23.58$\pm$1.04;"[0.23975721 0.23899848 0.25569044 0.23368741 0.24279211 0.22534143
 0.2245827  0.24127466 0.21775417 0.23823976]"
ROCAUC;65.93$\pm$1.34;"[0.65205823 0.6509236  0.66726958 0.66557367 0.68496837 0.64735764
 0.65327979 0.6787607  0.64887781 0.64375399]";58.91$\pm$1.0;"[0.58817793 0.60067013 0.59735373 0.5902863  0.57366112 0.57871891
 0.59337906 0.60640317 0.5795567  0.58248461]"
AP;69.92$\pm$1.12;"[0.69974374 0.6948448  0.69554083 0.69858257 0.72135487 0.68469822
 0.70697926 0.71238657 0.69469533 0.68274801]";63.7$\pm$0.81;"[0.64250482 0.64687374 0.64725093 0.63647286 0.63213786 0.62572881
 0.63973188 0.64372563 0.62228102 0.63372197]"
pretrain_time;nan$\pm$nan;[];0.0$\pm$0.0;"[0.00016642 0.0001874  0.00018501 0.00018716 0.00018573 0.0001924
 0.0001843  0.00018883 0.00019407 0.00017667]"
