metrics;grace_random+inner;grace_deg+inner;grace_pr+inner;grace_evc+inner;grace_scom+inner;grace_sbm+inner;csgcl_random+inner;csgcl_deg+inner;csgcl_pr+inner;csgcl_evc+inner;csgcl_scom+inner;csgcl_sbm+inner;bgrl_random+inner;bgrl_deg+inner;bgrl_pr+inner;bgrl_evc+inner;bgrl_scom+inner;bgrl_sbm+inner
Hits@10;19.72$\pm$0.0;19.81$\pm$0.0;21.04$\pm$0.0;18.48$\pm$0.0;28.15$\pm$0.0;8.82$\pm$0.0;27.11$\pm$0.0;21.23$\pm$0.0;21.04$\pm$0.0;18.96$\pm$0.0;27.96$\pm$0.0;9.76$\pm$0.0;15.07$\pm$0.0;11.66$\pm$0.0;11.56$\pm$0.0;11.47$\pm$0.0;15.73$\pm$0.0;13.74$\pm$0.0
Hits@20;33.46$\pm$0.0;25.69$\pm$0.0;25.59$\pm$0.0;27.68$\pm$0.0;35.92$\pm$0.0;14.41$\pm$0.0;36.78$\pm$0.0;27.87$\pm$0.0;28.82$\pm$0.0;29.19$\pm$0.0;33.27$\pm$0.0;17.06$\pm$0.0;19.24$\pm$0.0;18.39$\pm$0.0;18.48$\pm$0.0;17.44$\pm$0.0;18.96$\pm$0.0;18.58$\pm$0.0
Hits@50;48.25$\pm$0.0;43.89$\pm$0.0;44.74$\pm$0.0;42.65$\pm$0.0;45.69$\pm$0.0;22.75$\pm$0.0;50.81$\pm$0.0;44.83$\pm$0.0;45.12$\pm$0.0;45.5$\pm$0.0;46.26$\pm$0.0;23.7$\pm$0.0;28.53$\pm$0.0;26.16$\pm$0.0;25.78$\pm$0.0;25.4$\pm$0.0;27.68$\pm$0.0;26.54$\pm$0.0
Hits@100;60.47$\pm$0.0;60.66$\pm$0.0;59.91$\pm$0.0;60.19$\pm$0.0;59.15$\pm$0.0;33.74$\pm$0.0;65.02$\pm$0.0;63.13$\pm$0.0;63.6$\pm$0.0;62.56$\pm$0.0;58.58$\pm$0.0;35.92$\pm$0.0;36.78$\pm$0.0;35.45$\pm$0.0;36.11$\pm$0.0;35.64$\pm$0.0;36.68$\pm$0.0;35.36$\pm$0.0
ROCAUC;86.95$\pm$0.0;87.93$\pm$0.0;87.99$\pm$0.0;87.77$\pm$0.0;86.39$\pm$0.0;74.04$\pm$0.0;88.04$\pm$0.0;88.52$\pm$0.0;88.61$\pm$0.0;88.44$\pm$0.0;86.77$\pm$0.0;74.37$\pm$0.0;70.48$\pm$0.0;67.42$\pm$0.0;67.43$\pm$0.0;67.32$\pm$0.0;69.0$\pm$0.0;67.49$\pm$0.0
pretrain_time;0.95$\pm$0.0;0.62$\pm$0.0;0.61$\pm$0.0;0.61$\pm$0.0;0.66$\pm$0.0;40.53$\pm$0.0;0.75$\pm$0.0;0.96$\pm$0.0;0.76$\pm$0.0;0.76$\pm$0.0;0.8$\pm$0.0;40.63$\pm$0.0;0.49$\pm$0.0;0.49$\pm$0.0;0.49$\pm$0.0;0.49$\pm$0.0;0.53$\pm$0.0;40.47$\pm$0.0
