metrics;baseline_enc:gcn_grace_pred:mlp_mean;baseline_enc:gcn_grace_pred:mlp
Hits@10;74.78$\pm$11.21;[0.79927007 0.82481752 0.52554745 0.81021898 0.77919708]
Hits@20;79.2$\pm$6.41;[0.82481752 0.82481752 0.66605839 0.84124088 0.80291971]
Hits@50;82.99$\pm$4.24;[0.84489051 0.86861314 0.74817518 0.8540146  0.83394161]
Hits@100;86.68$\pm$3.76;[0.88868613 0.87956204 0.7919708  0.89051095 0.88321168]
ROCAUC;92.39$\pm$3.29;[0.9425349  0.93914833 0.85826363 0.94331078 0.93636115]
AP;94.11$\pm$2.34;[0.95150175 0.95392934 0.89481531 0.95761111 0.94754866]
pretrain_time;nan$\pm$nan;[]
