metrics;bgrl_random;bgrl_scom;bgrl_sbm;âorbgrl_random;âorbgrl_scom;âorbgrl_sbm;lbgrl_random;lbgrl_scom;lbgrl_sbm
Hits@10;63.24$\pm$3.13;62.53$\pm$6.41;62.99$\pm$6.8;59.71$\pm$11.14;66.77$\pm$4.88;54.47$\pm$5.9;56.62$\pm$3.84;54.47$\pm$5.48;44.56$\pm$4.27
Hits@20;77.3$\pm$5.12;78.66$\pm$3.95;74.54$\pm$2.99;74.36$\pm$5.34;77.63$\pm$2.62;66.08$\pm$3.51;68.61$\pm$3.29;64.8$\pm$2.77;57.85$\pm$3.08
Hits@50;90.18$\pm$0.98;89.83$\pm$0.91;88.04$\pm$1.03;87.78$\pm$2.71;89.39$\pm$0.78;81.62$\pm$3.65;81.8$\pm$3.85;80.24$\pm$1.14;70.71$\pm$3.16
Hits@100;94.89$\pm$0.54;95.25$\pm$0.33;93.76$\pm$0.42;94.81$\pm$0.73;95.32$\pm$0.27;90.59$\pm$2.24;89.21$\pm$3.83;89.29$\pm$0.36;80.88$\pm$4.84
ROCAUC;97.49$\pm$0.25;97.38$\pm$0.13;97.17$\pm$0.09;97.52$\pm$0.24;97.62$\pm$0.12;96.81$\pm$0.33;96.7$\pm$0.57;96.58$\pm$0.11;94.03$\pm$1.18
AP;97.88$\pm$0.19;97.74$\pm$0.16;97.48$\pm$0.11;97.72$\pm$0.3;97.95$\pm$0.09;96.89$\pm$0.42;96.82$\pm$0.54;96.73$\pm$0.17;94.56$\pm$0.92
pretrain_time;2.21$\pm$0.0;2.47$\pm$0.0;19.84$\pm$2.57;2.77$\pm$0.05;2.98$\pm$0.0;21.12$\pm$5.35;131.59$\pm$0.09;132.44$\pm$0.11;141.81$\pm$0.38
