metrics;lbgrl_sbm2_mean;lbgrl_sbm2
Hits@10;7.07$\pm$3.12;"[0.06360424 0.12720848 0.02826855 0.06007067 0.06007067 0.02826855
 0.12014134 0.08480565 0.06713781 0.06713781]"
Hits@20;12.72$\pm$3.34;"[0.09540636 0.19434629 0.09187279 0.16254417 0.11660777 0.09187279
 0.1590106  0.13780919 0.12014134 0.1024735 ]"
Hits@50;24.7$\pm$3.94;"[0.19434629 0.32508834 0.2155477  0.25795053 0.24734982 0.22614841
 0.30035336 0.26855124 0.2155477  0.21908127]"
Hits@100;41.52$\pm$5.07;"[0.36042403 0.5335689  0.41342756 0.39575972 0.42756184 0.38515901
 0.48056537 0.39575972 0.38869258 0.37102473]"
ROCAUC;53.38$\pm$2.62;"[0.50573737 0.58767122 0.52602729 0.54114797 0.5326699  0.5158636
 0.56718151 0.52847457 0.53931251 0.4940691 ]"
AP;55.67$\pm$3.34;"[0.5363102  0.62695147 0.52708288 0.55988438 0.55562077 0.52119467
 0.60971547 0.55521072 0.54409355 0.53085233]"
pretrain_time;2.11$\pm$0.12;"[2.10235214 2.23684478 2.04032183 2.1175034  2.01120043 2.05475092
 2.40538454 2.01517844 2.17831683 1.97114539]"
