metrics;baseline_mean;baseline;grace_random_mean;grace_random;grace_deg_mean;grace_deg;grace_pr_mean;grace_pr;grace_evc_mean;grace_evc;grace_scom_mean;grace_scom;grace_random+scom_mean;grace_random+scom;grace_random+deg_mean;grace_random+deg;grace_deg+scom_mean;grace_deg+scom;bgrl_random_mean;bgrl_random;bgrl_deg_mean;bgrl_deg;bgrl_pr_mean;bgrl_pr;bgrl_evc_mean;bgrl_evc;bgrl_scom_mean;bgrl_scom;bgrl_random+scom_mean;bgrl_random+scom;bgrl_random+deg_mean;bgrl_random+deg;bgrl_deg+scom_mean;bgrl_deg+scom;csgcl_random_mean;csgcl_random;csgcl_deg_mean;csgcl_deg;csgcl_pr_mean;csgcl_pr;csgcl_evc_mean;csgcl_evc;csgcl_scom_mean;csgcl_scom;csgcl_random+scom_mean;csgcl_random+scom;csgcl_random+deg_mean;csgcl_random+deg;csgcl_deg+scom_mean;csgcl_deg+scom
Hits@10;81.73$\pm$2.07;"[0.80656934 0.83941606 0.82116788 0.7810219  0.81934307 0.84671533
 0.78649635 0.83029197 0.80839416 0.83394161]";83.1$\pm$1.35;"[0.83394161 0.85036496 0.84306569 0.80291971 0.82664234 0.83941606
 0.81386861 0.84124088 0.82664234 0.83211679]";80.11$\pm$2.0;"[0.81386861 0.79562044 0.83211679 0.77189781 0.76094891 0.8120438
 0.8120438  0.80839416 0.80839416 0.79562044]";82.77$\pm$1.6;"[0.81569343 0.84124088 0.84489051 0.79379562 0.83576642 0.84489051
 0.80839416 0.83394161 0.82846715 0.83029197]";83.08$\pm$1.58;"[0.83029197 0.85218978 0.84489051 0.79562044 0.83211679 0.83941606
 0.81021898 0.84124088 0.83029197 0.83211679]";83.19$\pm$1.43;"[0.83394161 0.84671533 0.83941606 0.80109489 0.83941606 0.84489051
 0.80839416 0.83576642 0.83394161 0.83576642]";83.03$\pm$1.55;"[0.83759124 0.84306569 0.83759124 0.79379562 0.83941606 0.84306569
 0.80839416 0.83759124 0.82846715 0.83394161]";82.76$\pm$1.94;"[0.83576642 0.84489051 0.83211679 0.77737226 0.83941606 0.83576642
 0.80656934 0.83029197 0.83394161 0.83941606]";82.43$\pm$1.88;"[0.82481752 0.83759124 0.84306569 0.77372263 0.82481752 0.82846715
 0.81021898 0.83394161 0.83394161 0.83211679]";83.58$\pm$1.61;"[0.83759124 0.8540146  0.84671533 0.79927007 0.84671533 0.8540146
 0.81751825 0.83211679 0.83211679 0.83759124]";83.14$\pm$1.71;"[0.81934307 0.85948905 0.83759124 0.8120438  0.83576642 0.85583942
 0.80109489 0.83576642 0.82664234 0.83029197]";81.55$\pm$1.75;"[0.81569343 0.83211679 0.83029197 0.77554745 0.81934307 0.83759124
 0.8120438  0.79927007 0.80656934 0.82664234]";82.9$\pm$1.84;"[0.82664234 0.85036496 0.83941606 0.7919708  0.83759124 0.8540146
 0.80291971 0.8229927  0.83211679 0.83211679]";83.23$\pm$1.51;"[0.83211679 0.84671533 0.83394161 0.80109489 0.84854015 0.84671533
 0.81021898 0.83029197 0.84306569 0.83029197]";83.34$\pm$1.79;"[0.83394161 0.85036496 0.84306569 0.7919708  0.84489051 0.8540146
 0.81021898 0.83576642 0.83394161 0.83576642]";83.52$\pm$1.79;"[0.84124088 0.85036496 0.84124088 0.79562044 0.84854015 0.85583942
 0.80839416 0.83576642 0.83576642 0.83941606]";83.28$\pm$1.71;"[0.83211679 0.84306569 0.83576642 0.79562044 0.84671533 0.8540146
 0.80656934 0.84124088 0.83759124 0.83576642]";82.79$\pm$1.74;"[0.82846715 0.84671533 0.83941606 0.7919708  0.84124088 0.84124088
 0.80109489 0.83941606 0.8229927  0.82664234]";80.78$\pm$1.82;"[0.82481752 0.80474453 0.78649635 0.77189781 0.82481752 0.82481752
 0.80291971 0.83029197 0.79562044 0.8120438 ]";82.81$\pm$1.83;"[0.81934307 0.84306569 0.84489051 0.78649635 0.83211679 0.84671533
 0.80474453 0.83211679 0.83576642 0.83576642]";82.94$\pm$1.84;"[0.82846715 0.84854015 0.83941606 0.78649635 0.83941606 0.84489051
 0.80474453 0.83941606 0.82846715 0.83394161]";82.92$\pm$1.58;"[0.83211679 0.83759124 0.83941606 0.79014599 0.83759124 0.84671533
 0.81021898 0.83576642 0.83211679 0.83029197]";82.9$\pm$1.63;"[0.82846715 0.84306569 0.83759124 0.7919708  0.83941606 0.84124088
 0.80656934 0.84306569 0.82481752 0.83394161]";82.65$\pm$2.0;"[0.81751825 0.8540146  0.83394161 0.7810219  0.83394161 0.83576642
 0.80474453 0.84489051 0.8229927  0.83576642]";82.45$\pm$2.42;"[0.8120438  0.85766423 0.83759124 0.76277372 0.83394161 0.83576642
 0.81021898 0.83576642 0.83211679 0.82664234]"
Hits@20;83.18$\pm$1.69;"[0.82664234 0.85583942 0.83576642 0.80109489 0.83211679 0.84671533
 0.80291971 0.83394161 0.83576642 0.84671533]";83.56$\pm$1.23;"[0.84124088 0.85036496 0.84489051 0.80656934 0.83394161 0.84306569
 0.82116788 0.84306569 0.83759124 0.83394161]";82.46$\pm$1.48;"[0.83759124 0.83211679 0.84124088 0.78832117 0.81569343 0.83211679
 0.8120438  0.83029197 0.82664234 0.83029197]";83.19$\pm$1.56;"[0.82846715 0.84124088 0.84854015 0.79379562 0.83576642 0.85218978
 0.81934307 0.83576642 0.83394161 0.83029197]";83.54$\pm$1.4;"[0.83759124 0.8540146  0.84489051 0.80291971 0.83576642 0.84306569
 0.81751825 0.84489051 0.83576642 0.83759124]";83.54$\pm$1.52;"[0.83759124 0.85036496 0.84124088 0.80474453 0.84124088 0.84854015
 0.80839416 0.83576642 0.84854015 0.83759124]";83.43$\pm$1.64;"[0.83759124 0.84489051 0.83941606 0.79562044 0.84671533 0.84854015
 0.81021898 0.83759124 0.84124088 0.84124088]";84.74$\pm$1.79;"[0.85218978 0.87226277 0.84489051 0.81751825 0.85948905 0.86131387
 0.81386861 0.84489051 0.84671533 0.86131387]";83.65$\pm$1.88;"[0.84124088 0.85036496 0.84671533 0.79014599 0.83941606 0.84124088
 0.8120438  0.85218978 0.84489051 0.84671533]";84.38$\pm$1.45;"[0.84124088 0.85583942 0.8540146  0.81386861 0.85583942 0.8649635
 0.82481752 0.84306569 0.84306569 0.84124088]";84.34$\pm$1.81;"[0.84124088 0.86313869 0.85948905 0.81386861 0.86313869 0.85948905
 0.8120438  0.84671533 0.83394161 0.84124088]";82.34$\pm$1.48;"[0.81934307 0.83941606 0.83211679 0.78649635 0.83211679 0.83941606
 0.8229927  0.82116788 0.8120438  0.82846715]";83.69$\pm$1.67;"[0.83759124 0.85583942 0.84671533 0.80656934 0.84306569 0.85766423
 0.80656934 0.83576642 0.84124088 0.83759124]";83.83$\pm$1.45;"[0.84124088 0.85583942 0.83759124 0.80839416 0.85218978 0.84854015
 0.81751825 0.83394161 0.85036496 0.83759124]";84.12$\pm$1.7;"[0.84489051 0.85948905 0.84671533 0.80291971 0.85218978 0.8649635
 0.8229927  0.83759124 0.83941606 0.84124088]";83.96$\pm$1.77;"[0.84489051 0.85766423 0.84306569 0.79927007 0.84854015 0.85766423
 0.81386861 0.84671533 0.84124088 0.84306569]";83.47$\pm$1.68;"[0.83759124 0.84854015 0.83759124 0.79562044 0.84671533 0.8540146
 0.8120438  0.84124088 0.83759124 0.83576642]";83.34$\pm$1.74;"[0.83394161 0.8540146  0.84671533 0.79927007 0.84489051 0.84671533
 0.80474453 0.84306569 0.83211679 0.82846715]";82.85$\pm$1.59;"[0.84124088 0.82664234 0.83211679 0.7919708  0.84854015 0.84306569
 0.81021898 0.83211679 0.82481752 0.83394161]";83.36$\pm$1.82;"[0.82481752 0.84489051 0.8540146  0.79379562 0.83576642 0.85036496
 0.80839416 0.84306569 0.84124088 0.83941606]";83.18$\pm$1.71;"[0.83211679 0.85218978 0.83941606 0.79379562 0.83941606 0.84489051
 0.80656934 0.84306569 0.83211679 0.83394161]";83.16$\pm$1.48;"[0.83394161 0.84489051 0.84124088 0.79744526 0.83759124 0.84671533
 0.81021898 0.83576642 0.83576642 0.83211679]";83.19$\pm$1.71;"[0.83211679 0.84854015 0.83941606 0.7919708  0.84306569 0.84671533
 0.81021898 0.84489051 0.82846715 0.83394161]";83.98$\pm$1.96;"[0.84489051 0.8649635  0.84671533 0.80291971 0.86131387 0.84854015
 0.80656934 0.84671533 0.83211679 0.84306569]";83.98$\pm$2.11;"[0.84124088 0.87408759 0.84306569 0.79379562 0.84671533 0.84489051
 0.81386861 0.85948905 0.84124088 0.83941606]"
Hits@50;85.18$\pm$1.85;"[0.84854015 0.8649635  0.84854015 0.81021898 0.85036496 0.87043796
 0.82846715 0.86313869 0.86313869 0.87043796]";84.34$\pm$1.29;"[0.85036496 0.85583942 0.85218978 0.81386861 0.84671533 0.85583942
 0.82664234 0.84671533 0.84854015 0.83759124]";86.28$\pm$2.0;"[0.8959854  0.85036496 0.8649635  0.85036496 0.86313869 0.87591241
 0.81569343 0.87043796 0.86678832 0.87408759]";84.0$\pm$1.65;"[0.84306569 0.84671533 0.8540146  0.80291971 0.84489051 0.8649635
 0.82116788 0.84124088 0.84671533 0.83394161]";84.32$\pm$1.58;"[0.85583942 0.86313869 0.84854015 0.80839416 0.84124088 0.85583942
 0.82116788 0.84854015 0.84854015 0.84124088]";84.32$\pm$1.3;"[0.84306569 0.8540146  0.84489051 0.82116788 0.85036496 0.86131387
 0.81751825 0.84489051 0.85036496 0.84489051]";84.11$\pm$1.34;"[0.84306569 0.85036496 0.83941606 0.81386861 0.85036496 0.85583942
 0.81751825 0.84489051 0.85036496 0.84489051]";86.93$\pm$2.53;"[0.88321168 0.89416058 0.8649635  0.83211679 0.8959854  0.88138686
 0.81751825 0.87956204 0.85583942 0.88868613]";86.04$\pm$2.0;"[0.8649635  0.87773723 0.87226277 0.82481752 0.86678832 0.87226277
 0.81934307 0.87956204 0.8649635  0.86131387]";85.18$\pm$1.28;"[0.85036496 0.86131387 0.85948905 0.8229927  0.8649635  0.87043796
 0.84306569 0.84489051 0.84854015 0.85218978]";86.95$\pm$2.33;"[0.88686131 0.8850365  0.88138686 0.84489051 0.89781022 0.88868613
 0.81569343 0.86678832 0.86313869 0.8649635 ]";83.58$\pm$1.23;"[0.84124088 0.84671533 0.83759124 0.80474453 0.83576642 0.8540146
 0.83029197 0.83941606 0.83211679 0.83576642]";84.25$\pm$1.55;"[0.84671533 0.86131387 0.85218978 0.81386861 0.84854015 0.85948905
 0.81569343 0.84124088 0.84854015 0.83759124]";84.69$\pm$1.39;"[0.84671533 0.85583942 0.85218978 0.81751825 0.85948905 0.85036496
 0.8229927  0.8540146  0.85948905 0.85036496]";84.84$\pm$1.56;"[0.85218978 0.86313869 0.84854015 0.81386861 0.85948905 0.87408759
 0.83576642 0.84489051 0.84124088 0.85036496]";84.89$\pm$1.64;"[0.8540146  0.86131387 0.85218978 0.80474453 0.85036496 0.86313869
 0.83576642 0.85766423 0.85766423 0.85218978]";84.43$\pm$1.56;"[0.85948905 0.85766423 0.84489051 0.80839416 0.85218978 0.86131387
 0.82481752 0.84306569 0.84671533 0.84489051]";84.2$\pm$1.8;"[0.84306569 0.86313869 0.85766423 0.80656934 0.85218978 0.85766423
 0.81386861 0.84489051 0.84854015 0.83211679]";86.11$\pm$2.27;"[0.88321168 0.8540146  0.84854015 0.85036496 0.89963504 0.88868613
 0.81751825 0.86131387 0.84671533 0.86131387]";83.94$\pm$1.82;"[0.83576642 0.84671533 0.85583942 0.80474453 0.83941606 0.8649635
 0.80839416 0.84306569 0.84854015 0.84671533]";84.09$\pm$1.56;"[0.84489051 0.85766423 0.84124088 0.80291971 0.84671533 0.85583942
 0.8229927  0.84489051 0.85036496 0.84124088]";84.05$\pm$1.53;"[0.84306569 0.84671533 0.84306569 0.81021898 0.84854015 0.86313869
 0.81569343 0.84124088 0.8540146  0.83941606]";83.78$\pm$1.81;"[0.83394161 0.8540146  0.84671533 0.79927007 0.85218978 0.85583942
 0.8120438  0.85218978 0.83394161 0.83759124]";86.26$\pm$2.19;"[0.87591241 0.88686131 0.85766423 0.85218978 0.88868613 0.87773723
 0.80839416 0.85948905 0.85766423 0.86131387]";86.26$\pm$2.22;"[0.8649635  0.89963504 0.85948905 0.83576642 0.87043796 0.86861314
 0.81386861 0.87408759 0.86131387 0.87773723]"
Hits@100;87.55$\pm$1.47;"[0.87226277 0.8850365  0.87408759 0.84306569 0.87226277 0.89416058
 0.85766423 0.88138686 0.88868613 0.88686131]";85.31$\pm$1.41;"[0.85948905 0.85948905 0.85948905 0.81934307 0.85948905 0.86861314
 0.83941606 0.86678832 0.8540146  0.84489051]";91.26$\pm$3.25;"[0.95072993 0.9270073  0.92153285 0.8959854  0.91788321 0.9379562
 0.82481752 0.91240876 0.91240876 0.92518248]";84.73$\pm$1.5;"[0.8540146  0.85218978 0.85583942 0.81569343 0.85218978 0.86861314
 0.82846715 0.84489051 0.86131387 0.83941606]";85.33$\pm$1.49;"[0.85948905 0.87408759 0.85036496 0.82116788 0.85218978 0.86861314
 0.83394161 0.86313869 0.85583942 0.8540146 ]";85.82$\pm$1.64;"[0.86131387 0.86861314 0.85218978 0.83759124 0.87773723 0.88321168
 0.82664234 0.85218978 0.86678832 0.85583942]";85.29$\pm$1.17;"[0.85583942 0.8540146  0.8540146  0.82846715 0.86678832 0.86861314
 0.83576642 0.85218978 0.85766423 0.85583942]";89.64$\pm$3.05;"[0.90328467 0.9270073  0.89416058 0.86678832 0.91423358 0.91970803
 0.8229927  0.91605839 0.87956204 0.91970803]";89.22$\pm$2.16;"[0.89416058 0.91058394 0.90145985 0.89233577 0.89416058 0.91788321
 0.83394161 0.90328467 0.88868613 0.8850365 ]";86.31$\pm$1.26;"[0.85766423 0.8649635  0.86313869 0.83759124 0.87226277 0.87773723
 0.85583942 0.8540146  0.86313869 0.8850365 ]";89.89$\pm$2.88;"[0.92153285 0.90875912 0.9270073  0.87773723 0.9270073  0.92153285
 0.82846715 0.89416058 0.8959854  0.88686131]";84.25$\pm$1.28;"[0.84854015 0.85766423 0.83759124 0.81386861 0.84489051 0.86313869
 0.83759124 0.84671533 0.83759124 0.83759124]";85.22$\pm$1.22;"[0.85036496 0.86131387 0.8540146  0.82664234 0.85948905 0.87226277
 0.83576642 0.85218978 0.85766423 0.85218978]";85.75$\pm$1.31;"[0.86131387 0.86678832 0.85766423 0.83576642 0.86861314 0.85766423
 0.83029197 0.86861314 0.87043796 0.85766423]";85.71$\pm$1.47;"[0.86313869 0.86861314 0.86131387 0.82481752 0.87043796 0.87773723
 0.84124088 0.86131387 0.85036496 0.85218978]";86.5$\pm$1.54;"[0.8649635  0.86861314 0.87408759 0.82664234 0.85948905 0.87956204
 0.85036496 0.87043796 0.87956204 0.87591241]";85.6$\pm$1.42;"[0.87043796 0.86313869 0.85948905 0.8229927  0.86678832 0.86861314
 0.83759124 0.8540146  0.85583942 0.86131387]";85.22$\pm$1.84;"[0.8649635  0.87043796 0.86678832 0.81751825 0.86131387 0.86861314
 0.82116788 0.85036496 0.85948905 0.84124088]";91.3$\pm$2.89;"[0.93978102 0.92518248 0.91423358 0.91605839 0.93613139 0.93613139
 0.83576642 0.91605839 0.89233577 0.91788321]";84.58$\pm$1.7;"[0.84306569 0.85766423 0.85583942 0.81386861 0.85036496 0.86678832
 0.81569343 0.84489051 0.86131387 0.84854015]";85.0$\pm$1.37;"[0.85948905 0.87226277 0.84306569 0.82116788 0.8540146  0.85948905
 0.83394161 0.85218978 0.85583942 0.84854015]";85.73$\pm$1.32;"[0.86131387 0.87226277 0.85583942 0.83759124 0.86861314 0.87773723
 0.83394161 0.85218978 0.85766423 0.85583942]";84.53$\pm$1.93;"[0.83941606 0.8540146  0.85766423 0.80474453 0.86131387 0.8649635
 0.81386861 0.85766423 0.84854015 0.85036496]";88.56$\pm$2.36;"[0.89233577 0.91423358 0.88868613 0.87773723 0.90145985 0.90328467
 0.8229927  0.89416058 0.87773723 0.88321168]";89.29$\pm$2.93;"[0.90145985 0.93248175 0.88321168 0.87043796 0.90510949 0.91058394
 0.82116788 0.90693431 0.88321168 0.91423358]"
ROCAUC;92.69$\pm$0.91;"[0.92487446 0.9350941  0.92040233 0.91932175 0.92961965 0.93545707
 0.90655802 0.93015411 0.92854907 0.9393781 ]";90.16$\pm$0.97;"[0.90782674 0.90863259 0.90695429 0.8794122  0.89905895 0.91251032
 0.89166311 0.9114131  0.89789347 0.90052414]";94.17$\pm$1.89;"[0.95604787 0.95055177 0.95049683 0.93720863 0.94588817 0.95435958
 0.88752731 0.94508398 0.94145433 0.94883185]";88.97$\pm$1.07;"[0.89406069 0.8870045  0.89758045 0.87008831 0.89714756 0.90088211
 0.88280209 0.89238239 0.90218579 0.87319849]";90.46$\pm$0.98;"[0.90833289 0.91519593 0.89909891 0.88652166 0.90267196 0.92029577
 0.89378097 0.91109343 0.89837964 0.91027759]";91.7$\pm$1.28;"[0.916781   0.93186904 0.91292157 0.90284512 0.9267742  0.9336156
 0.88920228 0.9137474  0.92347754 0.91845263]";90.47$\pm$1.02;"[0.89865603 0.91173944 0.90092373 0.88800682 0.91084035 0.92491109
 0.89310499 0.90878909 0.9000646  0.91044075]";93.47$\pm$2.05;"[0.94195882 0.94979587 0.93847068 0.92758671 0.94120458 0.94658579
 0.87638859 0.9488152  0.93269653 0.94322753]";93.2$\pm$1.58;"[0.93827921 0.94816253 0.93719364 0.93335087 0.93283639 0.93952795
 0.88763719 0.94244832 0.92707057 0.93376712]";90.03$\pm$1.09;"[0.90306156 0.89935532 0.90430031 0.88438049 0.90863592 0.91306643
 0.89568571 0.87764066 0.90690101 0.91023763]";94.36$\pm$2.52;"[0.95441952 0.95650741 0.95540019 0.94346895 0.96337045 0.95738485
 0.87077761 0.94751985 0.94510063 0.94155589]";87.09$\pm$1.22;"[0.86854654 0.87885609 0.87261242 0.83923957 0.87622209 0.8833532
 0.88501985 0.86648196 0.86960547 0.86892615]";88.93$\pm$0.98;"[0.8862486  0.89552587 0.88936544 0.87390777 0.90416378 0.90398896
 0.87469031 0.88488998 0.88893921 0.89117361]";90.2$\pm$1.26;"[0.90815307 0.90914873 0.898686   0.88886928 0.9158253  0.91154796
 0.87050123 0.90505288 0.90507952 0.90748042]";89.78$\pm$0.82;"[0.89481992 0.90646811 0.89634837 0.88262228 0.90871583 0.90856765
 0.89625513 0.89886915 0.89829306 0.8871377 ]";91.58$\pm$1.16;"[0.91338777 0.91925848 0.92629136 0.89240237 0.91489957 0.92420847
 0.89706098 0.91963144 0.92987106 0.92083356]";91.06$\pm$1.37;"[0.92040732 0.9215495  0.90593532 0.89402406 0.92313123 0.91774835
 0.87907254 0.9107571  0.91074045 0.92304465]";90.21$\pm$1.1;"[0.90799656 0.92138966 0.91223227 0.88038454 0.89853615 0.90532094
 0.88890591 0.89772198 0.90472987 0.90379749]";94.17$\pm$1.95;"[0.95111787 0.95404324 0.94752651 0.9378613  0.95422971 0.95790765
 0.88667484 0.94817585 0.93816266 0.94162748]";88.97$\pm$1.39;"[0.88735415 0.89054092 0.90116349 0.86876965 0.89506966 0.9045717
 0.86518661 0.88752564 0.91174277 0.88504649]";89.99$\pm$0.99;"[0.91142642 0.90842946 0.89282527 0.88301854 0.9052993  0.91468812
 0.88719098 0.90297166 0.89662142 0.89658979]";91.71$\pm$1.17;"[0.91939168 0.93238851 0.91190594 0.90864591 0.92268501 0.93175083
 0.89080399 0.91071048 0.92468632 0.91777998]";89.58$\pm$1.49;"[0.89425715 0.90535924 0.90371091 0.86652192 0.91334781 0.90724233
 0.86915925 0.89990143 0.89860608 0.90014119]";93.28$\pm$1.71;"[0.93871044 0.9492098  0.93284305 0.9274685  0.94383025 0.94791112
 0.88658493 0.94132446 0.93135123 0.92857238]";93.62$\pm$1.76;"[0.93782301 0.96001718 0.93780636 0.92609156 0.93868214 0.94318091
 0.88979834 0.94837398 0.9356602  0.94434973]"
AP;94.93$\pm$0.59;"[0.94929923 0.95630497 0.94810905 0.94268512 0.95177581 0.95494854
 0.93805261 0.94701112 0.94674027 0.95804009]";93.77$\pm$0.6;"[0.94295785 0.94265942 0.94214369 0.92526787 0.93903229 0.94483539
 0.93257957 0.94120978 0.93542597 0.93132169]";95.4$\pm$0.96;"[0.95836599 0.95975718 0.96183236 0.94685446 0.9533802  0.95859241
 0.9289467  0.95968433 0.95067116 0.96175981]";93.21$\pm$0.75;"[0.93569104 0.93401112 0.93885327 0.91982694 0.93678109 0.94121397
 0.92743523 0.92852796 0.93879409 0.91951925]";93.93$\pm$0.6;"[0.94234204 0.94712158 0.93839092 0.92744514 0.93894207 0.94716605
 0.93248223 0.94327735 0.93461174 0.94165361]";94.47$\pm$0.72;"[0.94509151 0.95203659 0.9439239  0.93577877 0.95099595 0.95467384
 0.92944916 0.94178114 0.94779991 0.94535979]";93.93$\pm$0.59;"[0.93791064 0.94409978 0.93906595 0.9284303  0.94396999 0.95012931
 0.9322639  0.93934966 0.9356195  0.94169221]";95.19$\pm$0.95;"[0.95751649 0.95517353 0.95647692 0.94921408 0.95208329 0.95841774
 0.92472937 0.95777244 0.9526522  0.95544229]";95.13$\pm$0.84;"[0.95779706 0.95596966 0.95886216 0.94978715 0.94816761 0.95253945
 0.92948945 0.96026429 0.9483556  0.95187653]";94.02$\pm$0.6;"[0.94143528 0.94084551 0.94233799 0.92978365 0.94499421 0.94779869
 0.93644472 0.92995525 0.94270127 0.94604684]";95.99$\pm$1.33;"[0.96647637 0.9683216  0.96769732 0.95769278 0.97165104 0.96766403
 0.92292915 0.96170145 0.95820175 0.9565415 ]";92.53$\pm$0.65;"[0.92546838 0.93087609 0.92667118 0.90801907 0.92787083 0.93281139
 0.93034183 0.92341884 0.92324951 0.92445404]";93.42$\pm$0.58;"[0.93284474 0.93932426 0.9352699  0.92357585 0.94155374 0.94162964
 0.92506136 0.93232006 0.93530812 0.93474646]";93.97$\pm$0.71;"[0.9423051  0.94455824 0.93844083 0.9301458  0.9474852  0.94400845
 0.92304298 0.94180955 0.94260097 0.94229678]";93.86$\pm$0.53;"[0.93840277 0.94451672 0.93867736 0.92722278 0.94468168 0.94544422
 0.9355023  0.93917293 0.93829532 0.93437809]";94.59$\pm$0.7;"[0.94557107 0.94906858 0.95167163 0.93009947 0.94573776 0.95090431
 0.93551607 0.94798075 0.95344291 0.94881366]";94.28$\pm$0.74;"[0.94906754 0.94917539 0.94134969 0.93065523 0.94956623 0.94598716
 0.927801   0.94256126 0.942723   0.94862898]";93.8$\pm$0.72;"[0.94206496 0.94997121 0.94492808 0.92447315 0.93907359 0.94190104
 0.92904234 0.93293374 0.93943809 0.93595725]";95.61$\pm$1.01;"[0.96363925 0.96459539 0.96005916 0.95230739 0.96135885 0.9638425
 0.92895763 0.96023244 0.95077222 0.95566454]";93.27$\pm$0.82;"[0.93242713 0.93538025 0.94025635 0.91959542 0.93626528 0.94169252
 0.918421   0.92770867 0.94364906 0.93203161]";93.71$\pm$0.61;"[0.94379224 0.94410293 0.93466933 0.92590649 0.94022531 0.94534232
 0.92926219 0.93622554 0.93662384 0.93484653]";94.44$\pm$0.68;"[0.94599662 0.95328125 0.94344227 0.93716449 0.94836018 0.95324767
 0.93061207 0.93948137 0.94837079 0.94411984]";93.49$\pm$0.86;"[0.93477259 0.94158728 0.94043983 0.91790319 0.94494153 0.94238112
 0.9200265  0.93557891 0.93540093 0.93600012]";95.15$\pm$1.01;"[0.95260335 0.96241939 0.95433623 0.94909508 0.96091104 0.96129343
 0.92772478 0.95583069 0.95020629 0.94071482]";95.47$\pm$1.04;"[0.95728406 0.97143926 0.9566292  0.94685017 0.95488711 0.96108103
 0.93014446 0.96322149 0.95125605 0.95405533]"
pretrain_time;nan$\pm$nan;[];21.95$\pm$7.77;"[11.07801032 30.54967141 17.60622454 28.25823379 31.25670409 23.61240864
 11.56143355 12.65068555 22.78507257 30.18832302]";18.73$\pm$6.76;"[31.90860796 11.42898321 19.68221521 14.00996184 18.11829996 29.30082297
 16.27575755 13.08611512 21.71033096 11.79943228]";13.62$\pm$6.06;"[13.18041229 11.51472068 10.4492135  12.87277079 12.98177719 11.271734
 12.1861074  10.54973245  9.72635317 31.48152399]";12.85$\pm$2.56;"[11.15746593 11.07599783 10.720047   11.50889182 19.80415392 13.40215325
 13.04856634 12.13050795 14.21102929 11.39705253]";16.64$\pm$7.45;"[12.41155624 35.09263301 14.05333304 12.10893273 26.65348649 15.09982872
 13.76179338 13.76595426 12.89077401 10.60735273]";21.83$\pm$8.56;"[28.05032039 42.13520575 16.39024568 19.70201468 23.30841184 13.96265221
 15.41778469 16.53216887 28.93094659 13.872962  ]";18.97$\pm$7.95;"[14.34388351 39.09554982 13.2966187  13.56962705 25.29189801 12.70203018
 16.05798459 24.54158878 15.88675928 14.90035987]";18.84$\pm$5.57;"[15.71813226 27.26427937 16.37586594 28.24897623 19.81193423 14.76645637
 15.91838551 12.56342959 12.95070767 24.74499917]";13.7$\pm$4.01;"[19.91714549 18.6278379  14.74035311 11.96264052 19.75125909 11.81042171
  9.71144295 10.21581674 10.04719663 10.17755675]";18.63$\pm$7.3;"[18.25882363 14.35603642 10.19182229 23.00652719 10.18311143 28.71629882
 10.45243216 15.23783278 27.70344162 28.17000222]";11.3$\pm$1.38;"[11.95734024 13.562536   10.72048259 13.12398291 10.40885639 10.44605374
  9.80669951 12.83793926  9.51009488 10.60972595]";15.5$\pm$4.3;"[22.85688996 19.57710266 15.60493302 16.33308816 17.28435111 17.15725088
  9.78348374 17.37737989  9.4384594   9.61941528]";12.8$\pm$2.81;"[11.42593789 14.38491106 16.71731687 12.88730192 11.13843584 11.92422509
 18.78860641 10.33014345 10.10540223 10.28240418]";21.94$\pm$7.57;"[13.07206941 35.90402198 22.29695916 23.00064993 25.13088107 20.03552198
 12.27707171 12.22324324 31.5902741  23.85683298]";15.39$\pm$5.41;"[12.88656497 11.18999696 12.72023129 12.18552518 26.06951523 15.63593125
 12.09570694 25.90355921 12.8231864  12.42621064]";15.36$\pm$2.11;"[16.18263888 19.46606398 16.27567339 15.63885975 15.91009283 14.72378206
 13.01446414 17.29878426 12.98448348 12.11284924]";24.01$\pm$7.85;"[10.84028339 31.68415308 16.83263946 20.29864717 23.07165027 13.20517039
 31.43372798 31.63092399 29.52650261 31.60097313]";18.21$\pm$4.41;"[20.13915825 15.70790267 11.88385248 20.61838651 26.33803558 20.21474218
 17.1648128  15.70521522 22.60127473 11.75107646]";12.98$\pm$2.74;"[12.31601238 11.21381497 12.77312541 13.17561293 12.32719874 11.35716343
 21.00516748 12.23842788 11.24214387 12.18631601]";12.98$\pm$1.68;"[12.45747399 12.98276901 11.39775872 11.42101026 13.04405665 13.46484065
 13.00616932 11.38445663 13.14442492 17.48050976]";16.11$\pm$4.96;"[11.75858235 27.60961318 13.75682402 12.11950397 15.62620044 13.16837645
 13.42287493 15.30355811 14.85390639 23.49611282]";32.15$\pm$8.57;"[24.9954865  41.74406648 33.58750415 21.50043869 41.77326107 27.30878615
 36.26201344 41.81265044 16.79050684 35.71326256]";18.66$\pm$7.0;"[15.19219398 22.19192076 13.52126813 22.11455727 11.77531934 13.47549248
 35.61764169 14.21163058 14.52631831 23.98678613]";15.37$\pm$0.93;"[14.8548193  14.86927032 14.73405671 17.81117654 15.30126667 15.13721132
 16.30847931 14.88685465 15.02817297 14.73852277]"
