metrics;grace_random
Hits@10;65.41$\pm$0.0
Hits@20;76.84$\pm$0.0
Hits@50;89.8$\pm$0.0
Hits@100;94.48$\pm$0.0
ROCAUC;97.51$\pm$0.0
AP;97.85$\pm$0.0
pretrain_time;2.55$\pm$0.0
