metrics;grace_random;grace_sbm;grace_sbm2;csgcl_random;csgcl_sbm;csgcl_sbm2;lgrace_random;lgrace_sbm;lgrace_sbm2;bgrl_random;bgrl_sbm;bgrl_sbm2;lbgrl_random;lbgrl_sbm;lbgrl_sbm2
Hits@10;42.21$\pm$3.7;19.51$\pm$3.68;14.13$\pm$2.01;42.49$\pm$4.09;20.37$\pm$2.91;15.66$\pm$3.25;31.02$\pm$5.25;6.29$\pm$2.63;8.83$\pm$1.05;38.27$\pm$2.06;34.46$\pm$1.91;25.4$\pm$2.78;45.84$\pm$2.57;24.92$\pm$4.43;12.47$\pm$2.01
Hits@20;49.23$\pm$2.15;24.32$\pm$2.56;20.4$\pm$2.17;50.09$\pm$2.17;25.63$\pm$2.55;21.56$\pm$3.29;40.63$\pm$4.16;9.48$\pm$3.48;12.46$\pm$1.46;42.73$\pm$1.63;39.0$\pm$1.91;33.11$\pm$2.96;51.48$\pm$2.25;32.48$\pm$4.02;18.88$\pm$1.62
Hits@50;57.87$\pm$1.81;31.27$\pm$2.42;31.59$\pm$2.72;57.79$\pm$1.82;34.47$\pm$2.69;31.9$\pm$3.3;55.22$\pm$2.96;16.83$\pm$6.12;20.25$\pm$2.05;48.89$\pm$1.12;45.28$\pm$1.92;43.24$\pm$2.54;58.35$\pm$1.62;43.36$\pm$3.86;29.18$\pm$1.29
Hits@100;64.11$\pm$1.66;38.94$\pm$2.52;41.54$\pm$2.59;63.8$\pm$1.65;41.42$\pm$1.76;42.54$\pm$2.98;64.78$\pm$1.75;25.07$\pm$8.63;29.24$\pm$1.81;55.15$\pm$1.14;51.37$\pm$2.01;51.7$\pm$1.48;62.84$\pm$0.96;51.86$\pm$3.29;39.25$\pm$2.22
ROCAUC;79.71$\pm$1.09;70.85$\pm$1.24;72.39$\pm$1.58;78.89$\pm$0.99;71.85$\pm$1.19;72.75$\pm$1.66;81.24$\pm$0.92;64.03$\pm$5.2;66.03$\pm$1.49;76.97$\pm$0.67;74.89$\pm$0.79;76.4$\pm$0.86;81.95$\pm$0.46;77.53$\pm$1.59;71.37$\pm$1.21
AP;85.36$\pm$0.71;75.03$\pm$1.37;75.58$\pm$1.38;84.93$\pm$0.65;76.24$\pm$1.19;76.01$\pm$1.77;85.44$\pm$0.88;65.69$\pm$5.58;68.47$\pm$1.24;82.59$\pm$0.51;80.7$\pm$0.72;80.83$\pm$0.86;86.15$\pm$0.29;81.39$\pm$1.5;74.31$\pm$0.87
pretrain_time;7.26$\pm$0.12;154.04$\pm$5.72;300.8$\pm$11.13;7.77$\pm$0.1;156.01$\pm$7.13;299.65$\pm$8.76;14.82$\pm$0.31;154.57$\pm$4.72;300.86$\pm$11.46;6.09$\pm$0.01;150.31$\pm$5.15;294.24$\pm$9.15;6.9$\pm$0.03;151.14$\pm$3.72;295.11$\pm$9.45
