metrics;baseline_mean;baseline;bgrl_random_mean;bgrl_random;bgrl_sbm2_mean;bgrl_sbm2;lbgrl_random_mean;lbgrl_random;lbgrl_sbm2_mean;lbgrl_sbm2
Hits@10;65.44$\pm$4.41;"[0.5958589  0.63343558 0.70705521 0.73619632 0.59355828 0.62806748
 0.63266871 0.68251534 0.66027607 0.67484663]";52.71$\pm$5.93;"[0.57055215 0.53757669 0.5797546  0.55828221 0.41180982 0.44478528
 0.57668712 0.5506135  0.57668712 0.46472393]";21.81$\pm$5.4;"[0.28297546 0.25306748 0.19325153 0.30521472 0.16257669 0.2101227
 0.24309816 0.20628834 0.21395706 0.11042945]";44.6$\pm$4.67;"[0.51150307 0.45092025 0.43251534 0.5053681  0.39647239 0.40184049
 0.49233129 0.48466258 0.39187117 0.39263804]";13.24$\pm$3.09;"[0.14953988 0.1648773  0.0958589  0.15797546 0.125      0.13726994
 0.18251534 0.0851227  0.1303681  0.09509202]"
Hits@20;76.99$\pm$3.96;"[0.74769939 0.68558282 0.80214724 0.79601227 0.76917178 0.71395706
 0.81134969 0.79677914 0.77990798 0.79677914]";63.78$\pm$4.36;"[0.6702454  0.6303681  0.64647239 0.70015337 0.5851227  0.59279141
 0.66104294 0.67407975 0.66180982 0.5559816 ]";32.48$\pm$5.94;"[0.37193252 0.3351227  0.35046012 0.43021472 0.26150307 0.32822086
 0.34509202 0.3006135  0.32745399 0.19785276]";55.98$\pm$3.97;"[0.60506135 0.57592025 0.5559816  0.57898773 0.48006135 0.49539877
 0.59662577 0.59279141 0.56748466 0.54984663]";20.04$\pm$4.01;"[0.22239264 0.22546012 0.17254601 0.2101227  0.15567485 0.19095092
 0.26533742 0.18634969 0.24769939 0.12730061]"
Hits@50;89.88$\pm$1.25;"[0.8857362  0.88650307 0.90490798 0.91794479 0.89723926 0.89110429
 0.88343558 0.89493865 0.90644172 0.9202454 ]";78.01$\pm$2.16;"[0.7845092  0.78067485 0.7898773  0.81134969 0.74539877 0.74233129
 0.80138037 0.78144172 0.79754601 0.76610429]";52.78$\pm$6.44;"[0.5797546  0.52990798 0.55521472 0.58128834 0.43711656 0.52607362
 0.5851227  0.58588957 0.5107362  0.38650307]";70.46$\pm$2.3;"[0.68865031 0.69478528 0.74156442 0.72239264 0.70092025 0.67638037
 0.73082822 0.72315951 0.70015337 0.66717791]";34.7$\pm$3.81;"[0.35659509 0.3642638  0.35352761 0.32822086 0.31211656 0.35429448
 0.4148773  0.29447853 0.39647239 0.2952454 ]"
Hits@100;94.85$\pm$0.54;"[0.94861963 0.94631902 0.94555215 0.95398773 0.94325153 0.94325153
 0.94248466 0.95092025 0.95015337 0.96088957]";86.83$\pm$1.42;"[0.8642638  0.87576687 0.88190184 0.88266871 0.85199387 0.84279141
 0.87039877 0.87883436 0.88343558 0.85122699]";69.76$\pm$3.41;"[0.69555215 0.69785276 0.73849693 0.72315951 0.65260736 0.66717791
 0.72162577 0.73619632 0.7101227  0.63343558]";79.19$\pm$2.21;"[0.79141104 0.7845092  0.80444785 0.83128834 0.78834356 0.76380368
 0.80291411 0.81748466 0.78144172 0.75383436]";49.16$\pm$3.68;"[0.5398773  0.52453988 0.47622699 0.46242331 0.46855828 0.50613497
 0.53220859 0.4601227  0.52300613 0.42331288]"
ROCAUC;97.61$\pm$0.29;"[0.97625063 0.97144522 0.97695093 0.97873007 0.97748664 0.97846346
 0.97004082 0.97794156 0.9749834  0.97844868]";96.05$\pm$0.37;"[0.9592288  0.96359303 0.96279028 0.96553082 0.95726329 0.95638781
 0.95629717 0.96285328 0.96502703 0.95572939]";91.26$\pm$0.9;"[0.91301034 0.91687446 0.92528358 0.92284087 0.90079068 0.90882826
 0.9196133  0.91426357 0.91002241 0.89465417]";93.71$\pm$0.56;"[0.93709234 0.93643791 0.93516587 0.94690285 0.93553685 0.93692176
 0.93203744 0.94776088 0.93184675 0.93088559]";83.43$\pm$0.68;"[0.83454193 0.84510849 0.83456989 0.82979815 0.83019492 0.83715082
 0.83785648 0.83309715 0.84144306 0.81886939]"
AP;97.96$\pm$0.22;"[0.9794556  0.97535154 0.98025444 0.98274306 0.97993768 0.97910631
 0.97651848 0.98165125 0.97870292 0.98178225]";96.28$\pm$0.39;"[0.96327077 0.96454231 0.96512863 0.96801338 0.95783575 0.95669786
 0.96294034 0.96485929 0.96728102 0.95722953]";90.54$\pm$1.31;"[0.91344737 0.91180217 0.90995333 0.92303222 0.89162427 0.89982524
 0.91754723 0.90734542 0.90422593 0.87532342]";94.29$\pm$0.5;"[0.94330911 0.94231429 0.94290326 0.95255078 0.94006334 0.93862865
 0.94295911 0.95094518 0.93997361 0.93515277]";83.13$\pm$1.23;"[0.83620914 0.84835797 0.83092025 0.82852136 0.81925697 0.83396327
 0.84715453 0.8207302  0.84086639 0.80712803]"
pretrain_time;nan$\pm$nan;[];0.05$\pm$0.0;"[0.04723835 0.04620981 0.04635739 0.04614925 0.0459857  0.04584146
 0.04604959 0.04603004 0.04578519 0.0457778 ]";0.88$\pm$0.28;"[0.78817868 1.1776793  1.53172493 1.06502771 0.64275861 0.88107777
 0.64708519 0.63552308 0.61610913 0.80059409]";0.06$\pm$0.0;"[0.05626845 0.05563712 0.05555749 0.05497336 0.05482316 0.05503869
 0.05516577 0.0548985  0.05483937 0.05475426]";0.89$\pm$0.26;"[0.9679029  0.68140936 0.65508604 0.66327167 1.00576067 0.65155816
 1.3545475  0.67002583 1.31606865 0.91538453]"
