metrics;baseline_mean;baseline
Hits@10;5.31$\pm$1.71;"[0.06279997 0.06479297 0.06519971 0.07223623 0.02682421 0.02509558
 0.04789311 0.04526967 0.07642561 0.04476125]"
Hits@20;8.1$\pm$1.8;"[0.08336045 0.09678272 0.07807289 0.09954852 0.05088262 0.06424388
 0.08508908 0.0795168  0.11268608 0.06023753]"
Hits@50;13.39$\pm$2.54;"[0.13501586 0.14748231 0.12409501 0.15878956 0.09027495 0.09580656
 0.14209306 0.1590336  0.16883592 0.11799398]"
Hits@100;19.38$\pm$2.42;"[0.19877166 0.19269096 0.18026519 0.22205727 0.16529732 0.16497194
 0.18860327 0.23226633 0.22557553 0.16726999]"
ROCAUC;94.92$\pm$0.75;"[0.95524047 0.93948401 0.94139572 0.95831083 0.94933268 0.9471502
 0.9387105  0.95912644 0.95703147 0.94658028]"
AP;94.53$\pm$0.82;"[0.95167046 0.93570332 0.93773163 0.95547974 0.9435301  0.94156491
 0.93412613 0.95641005 0.95496694 0.94167823]"
pretrain_time;nan$\pm$nan;[]
