metrics;grace_enc:gcn_grace_pred:mlp_random_mean;grace_enc:gcn_grace_pred:mlp_random
Hits@10;1.34$\pm$2.68;[0.         0.06703297 0.         0.         0.        ]
Hits@20;1.34$\pm$2.68;[0.         0.06703297 0.         0.         0.        ]
Hits@50;1.34$\pm$2.68;[0.         0.06703297 0.         0.         0.        ]
Hits@100;61.45$\pm$33.71;[0.5        0.84615385 0.         0.87142857 0.85494505]
ROCAUC;87.97$\pm$1.16;[0.86091656 0.88235358 0.87958208 0.89720505 0.87857143]
AP;83.96$\pm$1.66;[0.82066315 0.84876242 0.82330187 0.86534929 0.83971   ]
pretrain_time;23.72$\pm$0.0;[23.72413516 23.72032857 23.71409369 23.71750236 23.72027516]
